"iWAT_M03(r1)"	"iWAT_M03(r2)"	"Beige/brite (RG on iWAT)_M03(r1)"	"Beige/brite (RG on iWAT)_M03(r2)"
"ENSMUSG00000022272"	8.03209666666667	8.05068	7.94507666666667	7.67168
"ENSMUSG00000022280"	8.44072	8.55069	8.549445	8.452525
"ENSMUSG00000022283"	10.152875	10.206495	10.20079	10.1789
"ENSMUSG00000022285"	11.075648	11.005364	10.934302	10.874484
"ENSMUSG00000022286"	5.6189875	5.5290175	5.584305	5.7656475
"ENSMUSG00000022292"	7.93302	7.99259	8.06571	7.93943
"ENSMUSG00000022295"	10.2013733333333	10.1834566666667	10.3541066666667	10.3853666666667
"ENSMUSG00000022296"	5.91476	5.72951	5.9832	5.94697
"ENSMUSG00000022297"	5.99549	6.10201	6.003035	6.08211
"ENSMUSG00000022300"	11.26935	11.29478	11.25922	11.23766
"ENSMUSG00000022304"	4.63218666666667	4.65774333333333	4.67085	4.73582666666667
"ENSMUSG00000022306"	7.20219	7.145795	6.5399	6.464415
"ENSMUSG00000022307"	9.7277	9.74624	9.694975	9.529655
"ENSMUSG00000022309"	5.98504	5.75725	5.69029	5.56837
"ENSMUSG00000022312"	12.30837	12.20574	12.09658	12.04924
"ENSMUSG00000022314"	8.62151333333333	8.36312333333333	8.43882666666667	8.44593333333333
"ENSMUSG00000022321"	4.91596	5.01214	4.72854	4.96699
"ENSMUSG00000022322"	8.12946	7.91783	7.91185	7.51478
"ENSMUSG00000022323"	9.03157	9.04227	8.52349	8.56635
"ENSMUSG00000022324"	7.578255	7.618655	6.549815	6.5477
"ENSMUSG00000022329"	6.83133	6.81535333333333	6.63207	6.72372666666667
"ENSMUSG00000022330"	4.7458	4.46309	4.6053	4.63074
"ENSMUSG00000022332"	9.43291	9.32548	9.2776	9.12065
"ENSMUSG00000022336"	13.0326666666667	12.9898366666667	12.8352033333333	12.77819
"ENSMUSG00000022337"	12.01316	12.04065	11.98831	12.09823
"ENSMUSG00000022338"	9.26389666666667	9.18475333333333	9.03731	9.03680333333333
"ENSMUSG00000022339"	9.60806	9.62072	9.38595	9.29012
"ENSMUSG00000022346"	10.06525	9.9654	9.91469	9.90255
"ENSMUSG00000022351"	10.62487	10.71022	10.63361	10.5751
"ENSMUSG00000022353"	8.43959666666667	8.54149666666667	7.83670333333333	7.95631333333333
"ENSMUSG00000022354"	13.220425	13.215635	13.622615	13.69194
"ENSMUSG00000022358"	7.1192	7.11942	6.982445	7.0341
"ENSMUSG00000022361"	10.165	10.23461	10.27114	10.22776
"ENSMUSG00000022362"	10.165	10.23461	10.27114	10.22776
"ENSMUSG00000022365"	10.7871275	10.7563375	11.222155	11.2274125
"ENSMUSG00000022366"	4.71121	4.58537	4.84925	4.89433
"ENSMUSG00000022367"	10.068875	10.040265	10.17933	9.928755
"ENSMUSG00000022369"	6.88383	6.91345	6.901	6.75125
"ENSMUSG00000022370"	10.1992733333333	10.10354	10.26692	10.2956766666667
"ENSMUSG00000022371"	8.98447	9.047095	8.354155	8.367855
"ENSMUSG00000022372"	5.154025	5.091425	5.218295	5.18461
"ENSMUSG00000022375"	4.28135	4.39862	4.37508	4.33335
"ENSMUSG00000022376"	4.41528	4.36008	4.28576	4.27366
"ENSMUSG00000022377"	8.20645	8.076115	7.905655	7.81477
"ENSMUSG00000022378"	10.3655	10.278	10.36444	10.31292
"ENSMUSG00000022382"	6.21079	6.237665	6.37749	6.288005
"ENSMUSG00000022383"	6.69101	6.60409	9.00779	8.54219
"ENSMUSG00000022385"	7.59684	7.44513	7.24042	7.29734
"ENSMUSG00000022387"	8.71748	8.70358	8.68437	8.74332
"ENSMUSG00000022389"	7.27982666666667	7.26328666666667	7.11507	6.95827666666667
"ENSMUSG00000022391"	8.43183	8.45655	8.50891	8.413045
"ENSMUSG00000022400"	11.6563733333333	11.61303	11.7007	11.70757
"ENSMUSG00000022403"	8.833735	8.90955	9.133275	9.020885
"ENSMUSG00000022404"	10.10293	10.20284	10.33729	10.28957
"ENSMUSG00000022407"	8.82267	8.69901	8.90747	8.83537
"ENSMUSG00000022408"	4.92383	5.02174	5.1969	5.24814
"ENSMUSG00000022414"	6.81998	6.92431	6.93844	7.03341
"ENSMUSG00000022415"	5.90451	5.897905	6.169215	6.175755
"ENSMUSG00000022419"	9.58837	9.75836	9.158655	9.1093
"ENSMUSG00000022420"	8.14869	7.97819	7.93488	8.0615
"ENSMUSG00000022421"	6.307415	6.31946	6.184105	6.240085
"ENSMUSG00000022425"	9.1604	9.246005	8.868085	9.042525
"ENSMUSG00000022426"	9.98237	10.01527	10.04349	10.01161
"ENSMUSG00000022427"	10.83932	10.80435	11.11969	11.190885
"ENSMUSG00000022428"	7.77883	7.77529	7.73586	7.75873
"ENSMUSG00000022429"	4.37221	4.4053	4.477565	4.51942
"ENSMUSG00000022431"	5.08117	5.26854	5.28541	5.35089
"ENSMUSG00000022432"	5.91191	5.81275	5.84323	6.08134
"ENSMUSG00000022433"	9.343375	9.31241	9.370055	9.22313
"ENSMUSG00000022434"	9.19052	9.10738	8.77266	8.80518
"ENSMUSG00000022435"	4.99416	4.85624	5.00959	5.03451
"ENSMUSG00000022436"	7.745265	7.83909	7.86645	7.73133
"ENSMUSG00000022437"	10.80601	10.80623	11.437185	11.39585
"ENSMUSG00000022438"	5.90806	5.75774	6.01173	6.13088
"ENSMUSG00000022439"	5.563945	5.67172	5.592485	5.683215
"ENSMUSG00000022440"	8.32314	8.29268	7.90385	7.92077
"ENSMUSG00000022442"	7.743685	7.72874	7.560775	7.59022
"ENSMUSG00000022443"	13.04138	12.970505	12.665135	12.547285
"ENSMUSG00000022445"	4.00599	3.93815	3.94219	4.04322
"ENSMUSG00000022450"	11.60331	11.58654	12.37643	12.47263
"ENSMUSG00000022451"	9.11976	9.04901666666667	9.0006	8.99615333333333
"ENSMUSG00000022452"	12.18207	12.16102	12.39671	12.35944
"ENSMUSG00000022453"	8.83227	8.85168	8.45707	8.3435
"ENSMUSG00000022454"	5.25921	5.353655	5.190865	5.43265
"ENSMUSG00000022456"	6.24655	6.33151	6.23751	6.35416
"ENSMUSG00000022462"	11.19699	11.14544	11.10934	11.06932
"ENSMUSG00000022463"	8.265495	8.279465	8.28894	8.25406
"ENSMUSG00000022464"	4.76252	4.748015	4.75145	4.76316
"ENSMUSG00000022466"	8.59062	8.62831	8.35709	8.22461
"ENSMUSG00000022468"	5.21815	5.28051	5.310645	5.441675
"ENSMUSG00000022469"	4.91275666666667	4.97899333333333	4.75081333333333	4.72158666666667
"ENSMUSG00000022471"	8.20372	8.09883	8.18204	8.20983
"ENSMUSG00000022472"	9.06286	9.1485	9.0925	9.094025
"ENSMUSG00000022474"	10.05212	10.128775	11.42663	11.398685
"ENSMUSG00000022475"	8.39762	8.323085	8.186245	8.276995
"ENSMUSG00000022476"	7.577365	7.487535	7.29354	7.31618
"ENSMUSG00000022477"	12.18511	12.23813	13.16009	13.1944
"ENSMUSG00000022479"	7.794795	7.78021	7.371965	7.285045
"ENSMUSG00000022483"	5.38392	5.67956	5.73402	5.82455
"ENSMUSG00000022485"	5.69422	5.88665	5.99836	5.72512
"ENSMUSG00000022488"	6.07595	6.154115	6.02342	5.928255
"ENSMUSG00000022489"	7.06463	7.1787	8.31014	8.35483
"ENSMUSG00000022490"	8.96674	9.1679	9.7438	9.86713
"ENSMUSG00000022491"	4.75196	4.68819	4.83634	4.85363
"ENSMUSG00000022496"	5.49205	5.38853	5.6256	5.38431
"ENSMUSG00000022498"	7.94589	7.84015	7.89315	7.92806
"ENSMUSG00000022500"	9.79176666666667	9.77481666666667	9.67346333333333	9.71078
"ENSMUSG00000022501"	4.74321	4.61003333333333	4.74106	4.68852
"ENSMUSG00000022503"	8.58450666666667	8.52817333333333	8.45879	8.32395
"ENSMUSG00000022504"	5.185755	5.038295	5.05896	5.07805
"ENSMUSG00000022505"	8.43118666666667	8.34800333333333	8.08824333333333	7.98111
"ENSMUSG00000022508"	8.098775	8.117865	8.50289	8.52129
"ENSMUSG00000022510"	4.54570333333333	4.50004666666667	4.53837	4.53991
"ENSMUSG00000022512"	4.60022	4.729725	4.991065	5.028395
"ENSMUSG00000022514"	7.81293	7.73270333333333	7.19180333333333	6.92523
"ENSMUSG00000022515"	7.65059	7.51717	7.61798	7.62405
"ENSMUSG00000022516"	9.768555	9.81103	9.66029	9.6416
"ENSMUSG00000022517"	9.1423	9.16194	9.0244	8.98476
"ENSMUSG00000022521"	7.3293	7.36864	7.20581	7.0167
"ENSMUSG00000022523"	4.77727	4.74413	4.77492	4.74035
"ENSMUSG00000022525"	5.67234	5.78873	5.68064	5.63752
"ENSMUSG00000022528"	9.03997	9.13942	8.64322	8.53557
"ENSMUSG00000022533"	9.6437	9.661075	10.069195	9.993285
"ENSMUSG00000022534"	5.8699	5.94322	5.84857	6.10313
"ENSMUSG00000022536"	10.47802	10.46099	10.28003	10.28811
"ENSMUSG00000022538"	8.85403	8.95086	9.13018	8.86346
"ENSMUSG00000022540"	8.70157	8.77586	8.58046	8.58243
"ENSMUSG00000022544"	7.08864	7.08864	7.24817	7.35621
"ENSMUSG00000022545"	6.34881	6.39982	6.35095	6.162865
"ENSMUSG00000022546"	8.30185	8.54159	9.04531	8.90305
"ENSMUSG00000022548"	11.92667	11.91505	11.78647	11.78977
"ENSMUSG00000022551"	12.26948	12.32716	12.91626	13.0738
"ENSMUSG00000022552"	8.687985	8.776345	8.69469	8.716625
"ENSMUSG00000022553"	9.675305	9.585965	9.694745	9.650555
"ENSMUSG00000022554"	7.59783	7.59783	7.59783	7.59783
"ENSMUSG00000022555"	11.22691	11.34831	12.44042	12.47117
"ENSMUSG00000022556"	8.02809	8.07989	7.84375	7.88459
"ENSMUSG00000022557"	8.8111	8.76551	8.71272	8.61642
"ENSMUSG00000022558"	8.12581	8.17333	8.43447	8.37452
"ENSMUSG00000022559"	8.60318	8.57204	8.68063	8.55149
"ENSMUSG00000022560"	7.48508	7.50652	7.631985	7.6378325
"ENSMUSG00000022561"	8.47007	8.40118	8.3472	8.16966
"ENSMUSG00000022562"	8.9762	9.07368	9.21791	9.2302
"ENSMUSG00000022564"	11.111665	11.14391	11.092995	11.07577
"ENSMUSG00000022565"	9.96372	9.948185	9.93796	9.805525
"ENSMUSG00000022568"	7.20806	7.391	7.21137	6.914
"ENSMUSG00000022570"	9.97681	9.9683	9.95562	10.02213
"ENSMUSG00000022571"	8.5598	8.50359	8.71707	8.6684
"ENSMUSG00000022577"	5.54821	5.50462	5.69191	5.61186
"ENSMUSG00000022580"	5.33055	5.22515	5.25284	5.30168
"ENSMUSG00000022583"	4.99419	4.86826	4.74283	4.67032
"ENSMUSG00000022584"	13.0554	13.01264	12.45989	12.58849
"ENSMUSG00000022586"	5.53816	5.40995	5.53772	5.47428
"ENSMUSG00000022589"	4.6099	4.51058	4.65311	4.50609
"ENSMUSG00000022594"	8.2332	8.34626	8.15322	8.08548
"ENSMUSG00000022596"	6.08001	6.16374	6.33456	6.38874
"ENSMUSG00000022598"	6.13981	6.46583	6.66173	6.49323
"ENSMUSG00000022602"	6.87159	7.07461	7.66901	7.77841
"ENSMUSG00000022607"	7.2893	7.41502	7.332765	7.21149
"ENSMUSG00000022610"	7.00936	6.49805	6.6449	6.59629
"ENSMUSG00000022613"	4.62985	4.61356	4.80306	4.80753
"ENSMUSG00000022615"	8.61784	8.49967	8.80519	8.91442
"ENSMUSG00000022617"	8.318985	8.42908	10.705915	10.776505
"ENSMUSG00000022619"	6.14707	6.17915	6.250855	6.16183
"ENSMUSG00000022620"	9.76884	9.77589	9.62722	9.74103
"ENSMUSG00000022622"	4.93193	4.86417	5.07735	4.8718
"ENSMUSG00000022623"	5.88966	5.91566	5.98515	5.85122
"ENSMUSG00000022629"	7.58556	7.59905	7.57442	7.49471
"ENSMUSG00000022634"	10.620045	10.609825	10.713165	10.688815
"ENSMUSG00000022636"	9.230045	9.35438	8.731425	8.754815
"ENSMUSG00000022641"	7.44264666666667	7.44378333333333	7.32179333333333	7.23446666666667
"ENSMUSG00000022650"	4.41248	4.65362	4.86703	4.83358
"ENSMUSG00000022652"	4.14767	4.19121	4.12742	4.22324
"ENSMUSG00000022656"	7.489214	7.513272	7.567632	7.536116
"ENSMUSG00000022657"	4.32908	4.5404	4.57562	4.58297
"ENSMUSG00000022658"	5.50936	5.43283	5.34607	5.4946
"ENSMUSG00000022659"	4.14571	4.07214	4.0441	4.14921
"ENSMUSG00000022661"	5.8221	6.07089	6.74571	6.76812
"ENSMUSG00000022663"	8.69384	8.640425	8.367505	8.445415
"ENSMUSG00000022664"	7.45910666666667	7.43205666666667	7.14743333333333	7.14862
"ENSMUSG00000022665"	13.125335	13.14176	12.831585	12.67043
"ENSMUSG00000022667"	5.32303	5.27376	5.05302	5.11044
"ENSMUSG00000022668"	7.17446	7.1525	7.12747	7.0432
"ENSMUSG00000022671"	10.0014	9.99096	9.89485	9.91532
"ENSMUSG00000022672"	6.98111	7.19798	6.77538	6.75496
"ENSMUSG00000022673"	9.73813	9.714305	9.584515	9.34969
"ENSMUSG00000022674"	8.995445	8.995785	8.862385	8.826685
"ENSMUSG00000022676"	8.82337	8.568	8.21527	8.20897
"ENSMUSG00000022677"	10.85415	10.9984	10.90097	10.94151
"ENSMUSG00000022678"	7.88009	7.87242	7.59133	7.41633
"ENSMUSG00000022679"	5.99316	5.96484	5.9874	5.93947
"ENSMUSG00000022680"	8.46776	8.44334	8.35019333333333	8.11845666666667
"ENSMUSG00000022681"	10.635	10.61398	10.61782	10.613
"ENSMUSG00000022682"	9.73223	9.73824	9.60424	9.52379
"ENSMUSG00000022683"	5.62818	5.76046	5.90812	6.14109
"ENSMUSG00000022684"	10.14932	10.1564333333333	10.32634	10.31661
"ENSMUSG00000022685"	7.945705	7.8239	7.66952	7.74097
"ENSMUSG00000022686"	4.71821	4.65356	4.664435	4.577125
"ENSMUSG00000022687"	7.675	7.56649	7.647265	7.570135
"ENSMUSG00000022696"	4.809745	4.707245	4.851725	4.98754
"ENSMUSG00000022701"	5.06392	5.08115	5.18115	5.05921
"ENSMUSG00000022702"	6.41804	6.43991666666667	6.47502333333333	6.40912333333333
"ENSMUSG00000022704"	6.229575	6.15553	6.14268	6.20072
"ENSMUSG00000022705"	4.40887	4.26656	4.3976	4.29343
"ENSMUSG00000022706"	10.97373	10.99537	11.33596	11.43369
"ENSMUSG00000022707"	9.51735	9.38576	9.99838	10.24097
"ENSMUSG00000022708"	8.78307333333333	8.77339	8.28575	8.56468666666667
"ENSMUSG00000022710"	10.45668	10.49681	10.47397	10.40118
"ENSMUSG00000022711"	8.67668	8.612755	8.89819	8.86144
"ENSMUSG00000022715"	6.13197	5.99902	6.10624	6.15962
"ENSMUSG00000022718"	5.57123	5.64708	5.57987	5.73374
"ENSMUSG00000022721"	8.4320025	8.4142525	8.208605	8.189275
"ENSMUSG00000022722"	8.72658	8.72234	8.41179	8.3753
"ENSMUSG00000022723"	7.74595	7.67355	7.47529	7.31811
"ENSMUSG00000022724"	7.07706	7.06686	7.14917	7.1707725
"ENSMUSG00000022742"	7.04717	6.938555	6.484525	6.62629
"ENSMUSG00000022744"	9.57108	9.5517	9.34185	9.42511
"ENSMUSG00000022747"	5.267685	5.309115	6.63212	6.314935
"ENSMUSG00000022749"	7.38615	7.324075	7.182635	7.129575
"ENSMUSG00000022750"	10.20368	10.23865	10.22575	10.19477
"ENSMUSG00000022751"	9.03363	9.01194	8.9169	8.82122
"ENSMUSG00000022752"	10.58144	10.5483	10.7281166666667	10.7737333333333
"ENSMUSG00000022754"	11.98313	11.89933	11.83362	11.82445
"ENSMUSG00000022756"	6.508105	6.521095	6.47893	6.676805
"ENSMUSG00000022757"	11.43516	11.42948	11.73564	11.68404
"ENSMUSG00000022758"	6.18538	6.00385	5.77564	6.0842
"ENSMUSG00000022760"	7.36267666666667	7.27891	7.24505333333333	7.37051666666667
"ENSMUSG00000022761"	8.82841	8.778575	8.48927	8.312375
"ENSMUSG00000022762"	4.76676	4.60497	4.84129666666667	4.76351333333333
"ENSMUSG00000022765"	7.54587333333333	7.50369666666667	7.42268333333333	7.30025
"ENSMUSG00000022766"	5.66243	5.69241	5.57134	5.76552
"ENSMUSG00000022769"	8.73184	8.79683	8.2636	8.26499
"ENSMUSG00000022770"	9.492415	9.48777	9.28708	9.102645
"ENSMUSG00000022771"	8.84859	8.89875	8.88506	8.70786
"ENSMUSG00000022773"	5.19719333333333	5.22156	5.19486333333333	5.27490333333333
"ENSMUSG00000022774"	10.1528033333333	10.0967666666667	10.1487466666667	10.1258
"ENSMUSG00000022779"	8.075995	8.1065	7.881875	7.925055
"ENSMUSG00000022780"	5.45736	5.38112	5.75295	5.71214
"ENSMUSG00000022781"	8.223765	8.163475	8.121225	7.966225
"ENSMUSG00000022783"	9.53667	9.483195	9.39897	9.552655
"ENSMUSG00000022788"	5.09503666666667	5.04627	5.13418	5.07047
"ENSMUSG00000022789"	8.18863666666667	8.15726	8.22619666666667	8.23746
"ENSMUSG00000022791"	9.100425	8.98099	8.604285	8.424515
"ENSMUSG00000022793"	5.52452	5.67657	5.55128	5.58298
"ENSMUSG00000022797"	5.66037833333333	5.717655	5.97765666666667	5.92143333333333
"ENSMUSG00000022799"	5.200805	5.126685	5.03643	5.034105
"ENSMUSG00000022800"	8.33691	8.36428	8.2215	8.18166666666667
"ENSMUSG00000022803"	4.94504	4.96273	5.12181	5.21739
"ENSMUSG00000022807"	10.0372	10.103075	10.783075	10.845205
"ENSMUSG00000022808"	7.858965	7.823845	7.678235	7.61303
"ENSMUSG00000022809"	4.72577	4.69234	4.60533	4.815055
"ENSMUSG00000022811"	9.0452975	9.017905	8.81366	8.8260575
"ENSMUSG00000022812"	9.92281	9.92744	9.85838	9.88433
"ENSMUSG00000022814"	7.50495	7.48960666666667	7.48633	7.40941
"ENSMUSG00000022816"	12.1520666666667	12.1771933333333	11.8432233333333	11.8260266666667
"ENSMUSG00000022817"	11.1256825	11.048585	10.540155	10.4441575
"ENSMUSG00000022820"	12.22041	12.244635	12.65856	12.776185
"ENSMUSG00000022821"	4.75951	4.93768	4.93844	4.8823
"ENSMUSG00000022822"	7.01470714285714	7.08633142857143	7.22436	7.23833428571429
"ENSMUSG00000022824"	5.35675	5.41568	5.603785	5.7214
"ENSMUSG00000022827"	8.211005	8.268835	8.590805	8.70974
"ENSMUSG00000022831"	4.94206	4.81081	4.85925	5.15081
"ENSMUSG00000022832"	6.20464	6.32455	6.29705	6.52762
"ENSMUSG00000022836"	9.63535666666667	9.59840333333333	9.03787666666667	8.87071333333333
"ENSMUSG00000022838"	5.94524	5.88438	5.6794	6.13177
"ENSMUSG00000022841"	10.73404	10.68235	10.67619	10.69539
"ENSMUSG00000022842"	7.87116	7.884625	7.73156	7.70544
"ENSMUSG00000022843"	4.75435	4.97919	4.79735	5.04197
"ENSMUSG00000022844"	10.53934	10.48315	10.16499	10.08773
"ENSMUSG00000022847"	5.06772	5.07917	5.07257	5.08402
"ENSMUSG00000022853"	7.81026	7.99437	11.15937	11.16941
"ENSMUSG00000022855"	8.85571666666667	8.90988666666667	9.23457	9.18269
"ENSMUSG00000022856"	9.44187	9.34661	9.50138	9.38313
"ENSMUSG00000022857"	4.57404	4.48534	4.41767	4.59256
"ENSMUSG00000022858"	11.14471	11.193645	11.048655	11.00518
"ENSMUSG00000022860"	5.4946	5.97681	4.91919	5.224
"ENSMUSG00000022861"	4.630255	4.54532	4.73138	4.701035
"ENSMUSG00000022863"	11.40263	11.36486	11.1249	11.02918
"ENSMUSG00000022864"	6.909535	6.8897175	6.69712	6.7618275
"ENSMUSG00000022865"	5.39753	5.37063333333333	5.61297333333333	5.62533333333333
"ENSMUSG00000022867"	9.96083	9.89586	9.85202	9.86333
"ENSMUSG00000022868"	5.83101	5.98427	5.80006	5.89509
"ENSMUSG00000022871"	5.81238	5.96239	5.88212	5.88175
"ENSMUSG00000022875"	6.34658	6.471655	6.256585	6.330945
"ENSMUSG00000022876"	4.62145	4.76703	4.83058	4.78447
"ENSMUSG00000022877"	4.55714	4.66057	4.83058	4.90182
"ENSMUSG00000022878"	14.37299	14.52141	14.50976	14.54407
"ENSMUSG00000022881"	7.742805	7.713635	8.105235	8.095135
"ENSMUSG00000022883"	6.86969	6.99038	6.48204	6.40489
"ENSMUSG00000022884"	12.06455	12.03282	11.82577	11.79818
"ENSMUSG00000022885"	6.19634	6.038745	6.39502	6.243045
"ENSMUSG00000022886"	4.89033	5.0404	4.83367	5.18739
"ENSMUSG00000022889"	11.48565	11.488865	11.80002	11.851
"ENSMUSG00000022890"	12.98029	12.93908	12.93229	12.96937
"ENSMUSG00000022892"	12.793125	12.777245	12.728335	12.68097
"ENSMUSG00000022893"	9.34424	9.45323	9.22846	9.24004
"ENSMUSG00000022894"	10.06158	10.110655	8.738275	8.663785
"ENSMUSG00000022895"	8.76264	8.84673	8.74518	8.79652
"ENSMUSG00000022897"	7.85835	7.79498666666667	7.94459666666667	7.93460666666667
"ENSMUSG00000022898"	10.05899	10.02062	10.11952	10.16135
"ENSMUSG00000022899"	4.94012	4.90306	4.96543	5.010805
"ENSMUSG00000022900"	4.36177	4.30922	4.26451	4.32391
"ENSMUSG00000022901"	4.294	4.253865	4.338225	4.283565
"ENSMUSG00000022905"	8.496828	8.515566	8.585844	8.524888
"ENSMUSG00000022906"	9.91263	10.03764	10.11645	10.13535
"ENSMUSG00000022912"	9.96559	9.82503	9.5177	9.50644
"ENSMUSG00000022913"	10.24181	10.21107	10.40629	10.51216
"ENSMUSG00000022914"	6.55802	6.8047725	6.51658	6.5807075
"ENSMUSG00000022931"	4.58285	4.81154	4.34794	4.77124
"ENSMUSG00000022935"	4.37001	4.3535	4.43532	4.52244
"ENSMUSG00000022938"	4.4787	4.36862	4.57619	4.4159
"ENSMUSG00000022940"	10.3439	10.36531	10.4198	10.45236
"ENSMUSG00000022941"	5.47212	5.3316	5.42626	5.33677
"ENSMUSG00000022945"	6.52935	6.41322	6.58083	6.48985
"ENSMUSG00000022946"	6.139945	6.040665	6.07588	6.15055
"ENSMUSG00000022947"	10.23491	10.15399	10.44346	10.35488
"ENSMUSG00000022948"	6.17438	6.32196	6.347835	6.37636
"ENSMUSG00000022951"	8.52584	8.603275	8.565285	8.490535
"ENSMUSG00000022952"	8.192886	8.256526	8.122448	8.211024
"ENSMUSG00000022956"	13.20273	13.29436	13.77784	13.82854
"ENSMUSG00000022957"	8.699276	8.695262	8.646086	8.641086
"ENSMUSG00000022960"	8.13633	8.09991	8.16081	7.96285
"ENSMUSG00000022961"	8.98319166666667	9.05764333333333	8.90202833333333	8.91977833333333
"ENSMUSG00000022962"	8.22100333333333	8.21012666666667	8.12351666666667	8.07806
"ENSMUSG00000022964"	9.87503	9.98192	9.64248	9.65867
"ENSMUSG00000022965"	8.5624	8.51433	8.54784	8.568925
"ENSMUSG00000022967"	9.523	9.40637	9.03226	8.95724
"ENSMUSG00000022969"	9.28773	9.41198	9.19619	9.07498
"ENSMUSG00000022971"	9.730735	9.67218	9.34491	9.398685
"ENSMUSG00000022972"	6.9432475	7.0050575	7.0255	7.1158525
"ENSMUSG00000022974"	6.49349666666667	6.62112333333333	6.48571	6.52612333333333
"ENSMUSG00000022978"	8.2454	8.302715	8.1589	8.17174
"ENSMUSG00000022982"	12.41566	12.40134	12.99314	13.06789
"ENSMUSG00000022983"	7.55827666666667	7.52403666666667	7.73246666666667	7.68735666666667
"ENSMUSG00000022986"	4.69109	4.71981	4.72803	4.84403
"ENSMUSG00000022991"	5.28332	5.26048	5.35335	5.59076
"ENSMUSG00000022992"	10.72709	10.65823	10.71262	10.66075
"ENSMUSG00000022994"	9.85713	9.92182	10.29336	10.23755
"ENSMUSG00000022995"	8.6029575	8.6341775	8.43365	8.41077
"ENSMUSG00000022996"	5.4261	5.25526	5.44365	5.68252
"ENSMUSG00000022997"	4.7998	4.94832	4.87073	4.80811
"ENSMUSG00000022999"	5.57983	5.61814	5.59585	5.57725
"ENSMUSG00000023000"	5.61476	5.771905	5.7889	5.761825
"ENSMUSG00000023004"	14.27291	14.2743	14.29095	14.28914
"ENSMUSG00000023007"	7.30773	7.41553	7.22448	7.40205
"ENSMUSG00000023008"	8.68852	8.57204	8.37716	8.15834
"ENSMUSG00000023009"	6.77787	6.87239	6.60535	6.64745
"ENSMUSG00000023010"	12.64411	12.61623	12.49956	12.41319
"ENSMUSG00000023013"	6.32572	6.14802	6.47383	6.53062
"ENSMUSG00000023015"	7.01991	6.78301	6.802935	6.732225
"ENSMUSG00000023018"	7.25103	7.36206	7.43109	7.31131
"ENSMUSG00000023019"	10.570515	10.682545	12.036945	12.03663
"ENSMUSG00000023020"	12.21589	12.25552	12.0876	12.2371
"ENSMUSG00000023021"	10.72986	10.78112	10.48993	10.35243
"ENSMUSG00000023022"	10.3895633333333	10.35047	9.94786	9.84974
"ENSMUSG00000023026"	8.65513	8.65811	8.60944	8.61178
"ENSMUSG00000023027"	10.84062	10.87427	10.74415	10.74742
"ENSMUSG00000023030"	7.28971666666667	7.27465	7.34618	7.3747
"ENSMUSG00000023031"	9.19181	9.27256	9.92275	10.05224
"ENSMUSG00000023032"	5.11399	5.208525	5.06591	5.180175
"ENSMUSG00000023033"	4.65634	4.80763333333333	4.74167333333333	4.79381
"ENSMUSG00000023034"	9.10959	8.96543	8.6202	8.49705
"ENSMUSG00000023036"	10.03342	9.98851	9.41037	9.4811
"ENSMUSG00000023039"	4.96818	5.01814	5.03781	4.97207
"ENSMUSG00000023041"	5.04104	4.97936	5.18831	4.96841
"ENSMUSG00000023043"	4.60067	4.51347	4.51347	4.71776
"ENSMUSG00000023044"	9.302705	9.387105	9.53748	9.58239
"ENSMUSG00000023045"	6.53174	6.24918	6.61515	6.5927
"ENSMUSG00000023046"	11.50275	11.44577	11.0122	11.01907
"ENSMUSG00000023047"	5.00912	4.96859	5.26366	5.25786
"ENSMUSG00000023048"	11.63364	11.53321	11.42119	11.46373
"ENSMUSG00000023050"	6.56305	6.53079666666667	6.47844	6.50774333333333
"ENSMUSG00000023051"	8.123165	8.063395	8.4419	8.397245
"ENSMUSG00000023052"	5.95088	5.91249	5.86804	6.06971
"ENSMUSG00000023057"	4.15341	4.18961	4.10811	4.28565
"ENSMUSG00000023064"	11.06847	11.09224	8.71327	8.59477
"ENSMUSG00000023066"	6.57799	6.62884	6.71287	6.57531
"ENSMUSG00000023067"	12.754455	12.748735	12.549465	12.43618
"ENSMUSG00000023068"	10.34297	10.35554	11.370315	11.390095
"ENSMUSG00000023070"	4.69864	4.73098	4.71475	4.82513
"ENSMUSG00000023072"	6.27752	6.353155	6.22178	6.32035
"ENSMUSG00000023073"	4.22538	4.205	4.15384	4.23427
"ENSMUSG00000023074"	9.78581	9.9461	10.46577	10.41503
"ENSMUSG00000023075"	10.95773	10.950065	10.95514	11.014705
"ENSMUSG00000023078"	8.093375	8.06121	6.85914	6.81577
"ENSMUSG00000023079"	9.29785	9.20792	9.68696	9.61053
"ENSMUSG00000023087"	10.32527	10.24712	11.47323	11.48949
"ENSMUSG00000023088"	9.80356	9.83014	9.46083	9.316325
"ENSMUSG00000023089"	11.32003	11.25119	11.749305	11.850465
"ENSMUSG00000023092"	11.12466	11.12692	11.42801	11.45736
"ENSMUSG00000023094"	8.01802	8.20478	8.63067	8.60953
"ENSMUSG00000023104"	8.8016	8.84738	9.07067	8.98927
"ENSMUSG00000023106"	9.358995	9.20856	9.22452	9.18546
"ENSMUSG00000023110"	9.73175	9.74316	9.86038	9.83837
"ENSMUSG00000023122"	5.30226	5.35877	5.41348	5.18492
"ENSMUSG00000023132"	4.74145	4.68842	4.94844	4.99213
"ENSMUSG00000023140"	5.11469	4.91247	5.0009	5.27269
