"Beige/brite (cold on sWAT)_M10(r1)"	"Beige/brite (cold on sWAT)_M10(r2)"	"Beige/brite (cold on sWAT)_M10(r3)"	"Treated BAT (cold)_M10(r1)"	"Treated BAT (cold)_M10(r2)"	"Treated BAT (cold)_M10(r3)"	"sWAT_M10(r1)"	"sWAT_M10(r2)"	"sWAT_M10(r3)"	"mWAT_M10(r1)"	"mWAT_M10(r2)"	"Beige/brite (cold on mWAT)_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r2)"	"BAT_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r3)"	"mWAT_M10(r3)"	"BAT_M10(r2)"	"BAT_M10(r3)"
"ENSMUSG00000000167"	6.16039	5.96807	6.1439	6.66373	6.60669	7.11494	6.36321	6.32092	6.53775	6.32353	6.60168	5.98785	6.10217	6.53556	6.75355	6.06844	6.61225	6.45396
"ENSMUSG00000000168"	10.19197	10.3829225	10.515605	11.238355	11.344385	11.393885	9.49554	9.8227375	9.0663575	9.0993575	9.490615	9.53781	9.295325	10.56017	9.83685	9.15516	10.7091025	10.5714375
"ENSMUSG00000000171"	12.424645	12.45078	12.55098	13.012405	13.034565	13.063535	12.0463	12.19658	11.850455	11.745285	12.024955	11.86278	11.790595	13.005255	12.110745	11.74767	13.12413	13.03209
"ENSMUSG00000000182"	3.99666	3.73435	4.29014	4.7477	4.4205	4.32929	3.78299	3.64989	3.90323	3.81654	4.63014	4.17749	3.96976	4.23618	4.12665	4.00879	4.51203	4.22577
"ENSMUSG00000000183"	3.26575	3.33087	3.09858	4.13927	4.13794	3.65512	4.00604	3.11653	3.14235	3.2277	3.28209	3.36318	3.07559	3.68667	3.19542	3.34703	3.56368	4.02881
"ENSMUSG00000000184"	11.4990542857143	11.59148	11.45642	9.36477285714286	9.98931285714286	9.26287285714286	11.5891385714286	11.9065428571429	11.64286	11.9870157142857	12.1999757142857	11.9529914285714	11.8735714285714	9.96045	11.9680185714286	12.0213	9.54173714285714	10.5735914285714
"ENSMUSG00000000194"	7.40513	7.31561	7.37640666666667	7.89325333333333	7.70479666666667	7.81228	7.47186	7.50930333333333	7.28055333333333	7.41597	7.61921	7.43986	7.38605333333333	7.52607333333333	7.55956	7.53055333333333	7.66167	7.51899
"ENSMUSG00000000197"	4.19174	4.410575	4.528935	4.199975	4.311425	4.26025	6.70501	4.364675	4.881315	5.931005	6.904815	5.69014	5.094875	4.268305	6.775775	6.06354	4.11541	4.141075
"ENSMUSG00000000202"	5.88389	5.92857	5.52407	6.07015	5.9218	6.02747	5.79155	6.04597	5.76369	5.61688	5.81416	5.81264	5.77516	5.9924	5.75776	5.81352	6.09169	5.91792
"ENSMUSG00000000204"	6.33818	6.230505	6.327715	5.28015	5.21654	4.81495	6.416985	6.596685	6.43309	7.27778	6.399415	5.86595	6.88012	6.056345	6.448405	6.744005	6.10148	6.090675
"ENSMUSG00000000214"	3.90179	3.8468	3.9371	4.06712	4.16702	3.92866	3.66439	3.4616	3.60003	3.84619	4.15259	3.69909	3.94018	4.06803	4.3522	4.02682	3.94776	3.97549
"ENSMUSG00000000215"	5.24727	5.50961	5.47426	5.88164	5.87527	6.24708	5.45888	5.3373	5.19189	5.23027	5.69863	5.48661	6.63	5.93797	5.51347	5.62703	5.99463	5.8473
"ENSMUSG00000000216"	5.17064	4.83724	4.91671	4.7267	4.73655	4.77774	4.97217	5.47311	5.06259	4.12558	4.36223	4.10987	4.20141	4.32689	4.28841	4.29636	4.45731	4.58238
"ENSMUSG00000000223"	6.56206666666667	6.58897	6.62804	5.17154	6.15268666666667	5.59816666666667	6.48500333333333	6.90223333333333	6.53834666666667	5.45234	5.61676666666667	5.24315	5.22888	6.19250333333333	5.62309666666667	5.55389	5.75432	6.23633666666667
"ENSMUSG00000000244"	8.083085	8.589785	8.50311	6.27786	6.355095	6.417115	8.53741	8.102955	9.33136	9.28396	6.43436	9.451285	9.28066	6.84802	6.459805	9.26665	5.92034	5.87163
"ENSMUSG00000000247"	4.26642	4.25143	4.41915	4.65109	4.62965	4.64972	4.59074	4.4214	4.64033	4.73616	4.29417	4.84296	4.74378	4.57225	4.31822	4.60922	4.80734	4.354
