"Beige/brite (cold on sWAT)_M10(r1)"	"Beige/brite (cold on sWAT)_M10(r2)"	"Beige/brite (cold on sWAT)_M10(r3)"	"Treated BAT (cold)_M10(r1)"	"Treated BAT (cold)_M10(r2)"	"Treated BAT (cold)_M10(r3)"	"sWAT_M10(r1)"	"sWAT_M10(r2)"	"sWAT_M10(r3)"	"mWAT_M10(r1)"	"mWAT_M10(r2)"	"Beige/brite (cold on mWAT)_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r2)"	"BAT_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r3)"	"mWAT_M10(r3)"	"BAT_M10(r2)"	"BAT_M10(r3)"
"ENSMUSG00000022141"	9.55152	9.73404	9.6491975	9.4432075	9.3699525	9.493635	9.6764825	9.7160175	9.850705	9.7804925	9.5638575	9.767255	9.77809	9.50279	9.4648875	9.7642125	9.59221	9.5379
"ENSMUSG00000022142"	8.5397	8.68955666666667	8.72057333333333	8.41582666666667	8.30397	8.32061	9.00331666666667	8.58845333333333	8.77219666666667	8.77507666666667	8.81723	8.90158	8.76281666666667	8.44987	8.80107666666667	8.80175	8.53078333333333	8.38995666666667
"ENSMUSG00000022144"	3.58571	4.17994	4.04057	4.27916	4.12033	4.00327	3.78943	4.06102	4.29027	6.77392	8.17131	6.46741	5.79082	4.10783	7.60739	6.93108	4.13467	4.41836
"ENSMUSG00000022146"	8.29040333333333	8.21291333333333	8.18656333333333	7.28686666666667	7.18436666666667	7.4076	7.77041	8.74001	8.44097	7.63630666666667	7.57671	7.76372	7.26770333333333	7.18398	7.89784	7.40756333333333	7.23466666666667	7.17087
"ENSMUSG00000022148"	10.91172	11.07256	11.146405	9.582465	9.82271	9.62181	11.04885	10.720625	11.40696	11.12241	9.71373	11.302995	11.262745	10.009295	9.71395	11.061085	9.774315	9.863155
"ENSMUSG00000022149"	4.57154	4.6434	4.29136	4.86427	5.00002	4.86201	4.98026	4.62509	4.42681	4.35112	4.0511	4.37985	4.31484	4.45668	4.27297	4.32166	4.79523	4.45009
"ENSMUSG00000022150"	9.02441	8.7374275	8.8302575	8.26341	8.18688	8.0668975	9.11874	9.1953525	8.9674625	8.948355	9.213065	8.8833575	8.719	8.2906275	9.3723525	8.9519675	8.1348125	8.22798
"ENSMUSG00000022151"	11.34902	11.22347	11.47567	11.60112	11.60553	11.49443	11.15893	11.3513	11.25466	11.43461	11.34225	11.31904	11.35553	11.19415	11.37999	11.35522	11.33914	11.35374
"ENSMUSG00000022155"	2.94945	2.75686	2.89702	3.3345	3.14079	3.29887	2.94037	2.91634	2.6415	2.81728	3.09815	2.8443	2.83586	3.03818	2.83245	2.9368	3.44194	3.11247
"ENSMUSG00000022156"	2.78975	2.627235	2.645785	3.208275	3.02012	2.74443	2.73783	2.67921	2.772515	2.590235	2.660375	2.622555	2.69304	2.78281	2.718135	2.70169	2.824635	2.797725
"ENSMUSG00000022157"	5.00744	4.57629	4.78752	5.29079	5.37048	5.36098	4.77608	4.89252	4.69228	4.66948	4.72974	5.08355	5.40433	5.07032	4.95883	5.02515	5.40032	5.30928
"ENSMUSG00000022159"	8.30578	8.237368	8.221642	8.511266	8.376244	8.374204	7.950934	8.223938	8.093176	8.264284	8.362568	8.20661	8.141508	8.433922	8.32619	8.056676	8.63077	8.464404
"ENSMUSG00000022160"	11.18011	11.16723	11.15228	10.80818	10.77192	10.84473	11.39886	11.23182	11.46487	11.50772	11.30789	11.47714	11.42049	10.98583	11.10818	11.31062	10.88468	10.85616
"ENSMUSG00000022174"	11.843075	11.83467	11.811215	11.84083	11.89384	12.022065	12.00947	11.86893	12.012905	11.901635	11.987515	11.95483	12.065965	11.820435	11.92872	11.90858	11.85506	11.861165
"ENSMUSG00000022175"	10.74584	10.72418	10.59371	10.88157	10.79522	10.925	10.52907	10.58461	10.73783	10.51616	10.32682	10.67713	10.66132	10.40651	10.54073	10.56307	10.43712	10.34195
"ENSMUSG00000022176"	5.63515	5.626275	5.85156	4.899765	5.17322	5.12927	6.174055	5.539375	5.75516	5.255855	5.121875	5.55021	5.28621	5.100815	5.14516	5.500775	4.996285	5.072455
"ENSMUSG00000022177"	9.04923	9.18058	8.7617	9.39951	9.09364	8.85067	9.04106	8.35855	8.81717	9.22479	9.53475	9.28212	9.31285	9.11155	9.57102	9.31568	8.99528	8.95627
"ENSMUSG00000022178"	9.7034	9.08028	9.61517	9.43867	9.1955	9.47814	9.81864	10.09151	9.55934	9.27516	9.82109	9.25262	8.59166	9.79064	9.66898	9.49517	9.73476	10.07096
"ENSMUSG00000022179"	7.49843	7.05072	7.08258	7.44272	7.70793	8.08189	7.28384	7.06599	7.07055	7.01411	7.32453	7.1771	7.10935	8.21298	7.38578	7.1162	7.94799	7.78593
"ENSMUSG00000022180"	7.31374	7.53368	6.82679	5.58544	6.24312	5.79386	7.64897	7.5077	7.46493	7.54203	8.43054	7.74336	8.65341	6.94257	8.30099	8.08734	6.07846	6.42478
"ENSMUSG00000022181"	7.7907	7.91288	7.18643	5.73635	6.28156	5.93337	7.24297	7.56676	7.52878	7.33989	6.63884	8.65066	8.4616	6.23887	7.01395	7.26202	5.86286	5.7575
"ENSMUSG00000022184"	10.00694	9.93614	9.77293	9.6432	9.77006	9.72786	9.24383	9.5256	9.59056	9.24576	9.36591	9.43367	9.38656	9.69031	9.41272	9.07614	9.79534	9.5912
"ENSMUSG00000022185"	9.19362	8.97097	9.094485	8.738535	8.69867	8.708695	9.49731	9.334965	9.47775	9.24568	9.184515	9.22616	9.09621	8.94048	8.97067	9.243125	8.86558	8.869935
"ENSMUSG00000022186"	11.133585	10.9332175	11.26443	12.110355	12.133445	12.2030075	10.692125	10.7168125	10.572675	10.9103075	11.5249625	10.9761525	10.719585	11.9774075	11.40704	11.1350075	11.956595	11.8499225
"ENSMUSG00000022191"	9.39188666666667	9.36264333333333	9.25233333333333	9.28358333333333	9.38508666666667	9.1655	9.43375333333333	9.43462666666667	9.29439333333333	9.34904333333333	9.69075333333333	9.51196	9.18605666666667	9.56872333333333	9.50588333333333	9.42927666666667	9.45141333333333	9.50785
"ENSMUSG00000022193"	12.94352	12.92783	12.86018	12.99793	12.9965	13.06527	12.75415	12.6282	12.6807	12.75382	12.82342	12.81292	12.77443	12.68745	12.88216	12.6668	12.95448	12.80736
"ENSMUSG00000022194"	11.7032575	11.6594625	11.72641	11.162735	11.2459975	11.211125	11.805525	11.766955	11.7535425	11.650395	11.56585	11.6413175	11.6564425	11.50454	11.5038025	11.6414975	11.477665	11.5425075
"ENSMUSG00000022195"	8.34998	8.32024	8.360275	8.39465	8.46624	8.564305	8.502765	8.51102	8.40921	8.51539	8.4758	8.333575	8.474635	8.42192	8.285365	8.4661	8.60019	8.400705
"ENSMUSG00000022197"	8.00097	7.9549925	7.741125	8.2425725	8.1970625	8.2700625	7.51543	7.886285	7.5764025	7.1471475	7.416435	7.2414875	7.1914675	8.6525125	7.614065	7.2513	8.5299125	8.5482975
"ENSMUSG00000022199"	8.30041	8.13029	7.80765	8.17969	8.16575	7.81344	8.43139	8.47766	8.27007	8.23166	9.03179	8.16876	8.418	8.41175	8.94767	8.50138	8.19455	8.0918
"ENSMUSG00000022200"	9.3948525	9.3055975	9.49754	10.23869	10.2066975	10.3160025	9.20092	9.2279075	9.09145	9.165635	9.4105325	9.279545	9.08991	9.4894375	9.5155275	9.25493	9.7648775	9.64253
"ENSMUSG00000022201"	9.593605	9.404435	9.7702825	9.2321825	9.5060875	9.2916875	9.6803375	9.917	9.8389375	9.8271575	9.8506075	9.7753975	9.77162	9.495715	9.582945	9.91854	9.5838025	9.7160925
"ENSMUSG00000022203"	9.320075	9.07193	8.935015	8.499905	8.370565	8.221955	9.583785	9.290235	9.18537	8.24307	9.082525	8.2072	8.341485	9.722925	9.16727	8.522715	9.513645	9.330845
"ENSMUSG00000022204"	10.237225	10.509535	10.4829	10.58374	10.46394	10.718175	10.404045	10.361165	10.443015	10.332105	10.135835	10.39588	10.334715	10.66357	10.263825	10.30549	10.674375	10.50269
"ENSMUSG00000022205"	10.52507	10.25727	10.28484	10.74052	10.795745	10.90985	10.48297	10.54695	10.3996	10.512675	10.95931	10.59564	10.486845	10.10662	10.718545	10.55889	10.089565	10.21803
"ENSMUSG00000022206"	9.65804	9.9807	9.52582666666667	10.5508533333333	11.4071966666667	11.5530733333333	7.70135	9.70826	10.0162833333333	9.81356666666667	8.98162666666667	7.76397	7.84057	9.69599333333333	8.75171333333333	8.90726	10.2957933333333	10.80573
"ENSMUSG00000022208"	5.57176	5.57176	5.76189	5.80075	6.01457	5.85853	5.62476	5.83679	5.82976	6.48415	7.83878	6.80402	6.39154	5.56412	7.91393	6.93961	5.8157	6.14617
"ENSMUSG00000022209"	6.29241	6.23461	6.09944	6.61982	6.56204	6.78413	6.34821	6.19554	5.94298	6.54345	6.8635	6.51465	6.36071	6.70883	6.77353	6.68693	6.34443	6.65561
"ENSMUSG00000022210"	11.45965	11.38526	11.38798	12.36768	12.312415	12.278595	10.78867	10.85723	10.501025	10.5653	10.79365	10.53856	10.72557	11.876945	11.0276	10.445595	12.03242	11.833615
"ENSMUSG00000022211"	6.71534	6.65966	6.6862	7.03242	6.78784	6.84482	6.68119	6.42974	6.80748	6.68559	7.00558	6.80852	6.60694	6.94883	7.07387	6.89938	6.80102	6.87457
"ENSMUSG00000022212"	5.68631	5.69097	5.61824	6.23659	6.02031	6.16733	5.55943	5.4488	5.64174	6.2282	6.04149	6.21616	5.97322	6.3479	6.10288	6.20557	5.7961	5.60312
"ENSMUSG00000022214"	11.04441	11.11238	10.991905	11.36212	11.27887	11.262625	10.881305	10.86313	10.96968	10.691815	10.7197	10.75763	10.880185	11.344975	10.78136	10.702725	11.360615	11.18414
"ENSMUSG00000022215"	5.7056	6.30564	5.95973	6.35647	6.56341	6.46473	6.59564	5.82977	5.76603	5.40044	5.68672	5.28707	5.64703	7.5248	5.72121	5.65109	6.21057	8.06125
"ENSMUSG00000022216"	13.01621	13.09612	13.0477	12.14287	12.27994	12.01212	13.15903	12.97334	13.30022	13.26071	12.8619	13.29769	13.30282	12.97646	12.81059	13.2206	12.95731	12.92067
"ENSMUSG00000022217"	10.38539	10.2292	10.21766	10.52671	10.6486	10.33824	9.52207	9.91658	9.90733	9.53889	9.48811	9.42286	9.62456	10.7356	9.75265	9.29248	10.86155	10.64759
"ENSMUSG00000022218"	7.0641	7.47844	7.02411	6.06412	6.11664	6.53484	7.33441	7.36419	8.01799	7.58324	6.38016	7.82491	7.57268	5.88928	6.48371	7.43127	6.21165	5.95382
"ENSMUSG00000022219"	7.65514	7.14363	7.20908	9.38405	9.31426	8.76803	5.30408	5.50429	5.65801	5.72991	5.49984	5.36318	5.67835	10.52477	5.71557	5.19185	10.03954	9.68731
"ENSMUSG00000022220"	10.33516	10.14764	10.15716	10.5823	10.45592	10.86388	9.90983	10.40702	9.67534	9.46282	9.77252	9.79789	9.52144	10.46811	9.61411	9.46061	10.30628	10.36854
"ENSMUSG00000022221"	8.69142	8.88886	8.60596	8.01157	7.96957	7.9684	8.46537	8.22571	9.0473	9.1334	7.60082	9.2661	9.27482	7.74091	8.14623	8.92775	7.52841	7.26409
"ENSMUSG00000022223"	10.90937	10.59186	10.5847	11.92764	11.86202	11.85356	10.34635	10.33245	10.20361	10.10061	10.5941	10.33553	10.34451	11.75955	10.45723	10.24973	11.68032	11.54789
"ENSMUSG00000022225"	11.2809	10.97673	10.88658	8.19939	9.23918	8.35559	11.26065	11.07901	11.29071	9.30817	9.55608	8.4496	8.65189	9.63217	9.48308	9.24922	9.03158	9.3232
"ENSMUSG00000022226"	3.2771	3.53461	3.49769	3.63102	4.22496	3.81902	3.39095	2.9744	3.30034	3.67095	3.26013	4.06617	3.55262	3.87201	2.97772	3.32394	3.51415	3.38361
"ENSMUSG00000022227"	2.86036	2.57056	2.65995	2.7079	2.48152	2.73359	2.5293	2.60901	2.93443	2.65959	2.59345	3.46777	2.86229	2.85681	2.85563	3.38328	2.68699	2.44183
"ENSMUSG00000022228"	11.47016	11.77686	11.84226	11.72349	11.56041	11.52083	11.59999	11.7666	11.72799	11.68127	11.71171	11.70901	11.71622	11.71239	11.74619	11.77043	11.71546	11.71841
"ENSMUSG00000022229"	2.80985	3.04635	2.97038	2.69532	3.41534	3.02442	3.91151	3.33228	2.87386	3.06266	3.13541	2.9362	2.65049	2.66097	3.12736	3.06496	2.89785	2.99878
"ENSMUSG00000022231"	6.7899	6.95369333333333	6.83905333333333	5.83433666666667	5.77083	5.55608	6.73382333333333	7.38113	7.05805	7.83512333333333	8.41106333333333	7.64775	7.33795666666667	5.94213333333333	8.36064333333333	7.82374	6.52623333333333	6.32348
"ENSMUSG00000022234"	11.86314	11.81315	11.75424	11.78657	11.74104	11.85576	12.21353	11.94753	11.96265	11.80379	11.84815	11.80456	11.76513	12.01142	11.73136	11.81544	11.98884	11.95495
"ENSMUSG00000022235"	12.05027	12.30701	12.09079	11.86124	11.84409	11.81941	11.55292	11.51807	11.13136	11.16401	11.75561	11.49528	11.70115	11.46718	12.02247	10.98036	11.50556	11.31368
"ENSMUSG00000022236"	9.47507	9.42152	8.82911	9.36244	9.43135	8.72088	8.24454	8.4104	8.29555	8.34093	8.37784	7.99783	8.2984	7.61556	8.6591	7.89906	7.30512	7.82904
"ENSMUSG00000022237"	4.74173333333333	4.79125333333333	4.76276333333333	4.32228666666667	4.40328666666667	4.17250333333333	4.88247333333333	4.66243666666667	5.01123666666667	5.08255	4.11673	4.90089	4.92164666666667	4.58110666666667	4.06876	4.95089333333333	4.23554	4.93664
"ENSMUSG00000022240"	6.61535	6.051	5.63975	5.86292	5.8203	5.69562	8.19767	6.5542	6.42419	7.72115	8.55427	7.71374	7.71287	5.48299	8.75725	7.94799	5.36159	5.17875
"ENSMUSG00000022241"	10.99701	10.85854	10.82202	11.02772	10.9273	10.90184	11.08326	10.89814	11.04443	10.96722	10.98274	10.90536	10.86766	11.04833	10.88287	10.87817	11.02209	10.91854
"ENSMUSG00000022243"	4.001035	4.130555	4.17186	4.24113	4.332095	4.487375	4.27216	3.85825	4.06574	4.0451	3.96268	3.920645	4.01594	4.303665	4.12025	4.08403	4.237855	4.576165
"ENSMUSG00000022244"	8.054	8.06183	7.86508	9.52573	9.48533	9.45254	7.25811	7.38368	7.36332	6.98858	7.10881	7.16077	6.92088	9.16248	7.66861	6.86285	9.16231	8.82137
"ENSMUSG00000022245"	6.41215	6.60803	5.81701	6.60441	6.54562	6.58229	5.35931	5.83264	5.72346	5.7385	5.81836	6.67081	6.58505	6.13739	5.92921	5.81508	6.22991	6.23965
"ENSMUSG00000022246"	8.585445	8.485135	8.68858	8.7224	8.68177	8.820525	8.782405	8.951825	8.698255	8.43873	8.09923	8.564165	8.612625	8.46764	8.25889	8.46195	8.178735	8.36735
"ENSMUSG00000022247"	10.32952	10.19052	10.379715	10.4038	10.44267	10.558415	10.58375	10.345845	10.510645	10.437605	10.431055	10.43027	10.094955	10.446435	10.282195	10.32766	10.61703	10.352885
"ENSMUSG00000022248"	8.39181	8.03677	8.79436	8.4757	8.30309	8.47178	8.88728	8.65351	9.12737	9.13692	9.03761	9.08504	8.93775	9.06947	8.87014	9.18002	8.96966	9.02068
"ENSMUSG00000022249"	2.802	3.02854	3.25765	3.47135	3.41276	3.1786	3.17675	3.12368	2.87403	3.04314	3.0377	2.971	3.02151	3.14008	2.958	2.97963	3.16606	3.25744
"ENSMUSG00000022253"	6.7834275	6.97909	6.924095	8.7266325	8.658175	8.6233025	6.601855	6.5503475	6.5493125	6.7193575	6.9056025	6.48972	6.665315	7.619925	7.0124575	6.67418	7.9568725	7.68459
"ENSMUSG00000022255"	8.65739333333333	8.591805	8.745005	8.73101666666667	8.66443666666667	8.83171833333333	8.586635	8.66379166666667	8.571205	8.70546833333333	8.57487	8.57533	8.49539666666667	8.676135	8.69732833333333	8.70138666666667	8.861535	8.864185
"ENSMUSG00000022257"	11.9265166666667	12.13581	11.9518733333333	12.07085	12.0221133333333	12.06162	12.1484766666667	12.2735	12.1321233333333	12.5260466666667	12.59303	12.3741666666667	12.2660133333333	12.02114	12.7147233333333	12.58255	12.04564	12.1140433333333
"ENSMUSG00000022261"	10.1627866666667	9.95086333333333	9.94516666666667	8.78791	9.09060333333333	8.71137666666667	10.1831966666667	10.1502166666667	10.00542	10.2839766666667	10.9999066666667	10.16865	9.93033	9.80769666666667	10.9183633333333	10.3988866666667	9.66946666666667	9.70772333333333
"ENSMUSG00000022262"	4.81702	4.84448	5.04318	5.2508	4.75142	4.70401	5.04318	4.78784	4.88873	5.1246	5.51845	5.28511	5.23673	4.77066	5.43758	5.1139	4.84429	5.42196
"ENSMUSG00000022263"	9.77203666666667	9.44906333333333	9.33915333333333	8.90187666666667	8.89569666666667	8.91087666666667	9.73219333333333	9.81119333333333	9.54506333333333	9.25465333333333	9.64454666666667	9.24808333333333	9.28220333333333	9.16030333333333	9.65855666666667	9.27170333333333	8.99184666666667	9.06757333333333
"ENSMUSG00000022265"	11.60667	11.63453	11.784	12.32255	12.27832	12.4803	11.10947	11.72915	11.0653	11.22814	11.34491	11.15922	10.80006	12.20212	11.35012	11.34057	12.42204	12.37658
"ENSMUSG00000022269"	4.63883	4.59735	4.57319	5.2447	4.7332	4.91094	4.42747	4.38926	4.19853	4.51909	4.22564	4.46288	4.55908	4.62424	4.46971	4.55167	4.93478	4.62662
"ENSMUSG00000022270"	9.898335	9.982145	10.1304	9.53278	9.572575	9.111255	10.52621	10.07365	10.541445	10.472545	9.68087	10.455645	10.855375	10.357415	9.58986	10.461545	10.435615	10.411635
"ENSMUSG00000022272"	8.5529425	8.3631825	8.4119475	9.20996	9.2245275	9.316095	8.2229375	8.4560825	8.1514375	8.2682275	8.73282	8.23303	8.0620825	8.9760975	8.6264025	8.3957	9.2966375	8.927305
"ENSMUSG00000022280"	9.55401	9.34643	9.513885	9.463385	9.428175	9.405955	9.672535	9.696405	9.61818	9.84292	9.830725	9.806045	9.679035	9.59516	9.633455	9.732435	9.62965	9.6507
"ENSMUSG00000022283"	9.926565	10.005495	9.90564	9.35846	9.452545	9.470565	10.455145	10.129935	10.23368	10.09336	9.682575	10.08957	10.19134	9.88022	9.67418	10.15359	9.93008	9.79718
"ENSMUSG00000022285"	12.161636	12.1376	12.344056	12.063128	12.02596	12.061148	12.344698	12.350738	12.53705	12.709188	12.686004	12.664392	12.589924	11.644348	12.632502	12.777464	11.723694	11.799534
"ENSMUSG00000022286"	5.9575975	5.8086625	5.957385	4.835915	4.6985325	4.9154425	6.27336	6.3087	6.04387	4.6905375	4.9659225	4.78606	5.2555775	4.901835	5.010845	4.8815675	4.567835	4.6564925
"ENSMUSG00000022288"	3.98038	4.09399	4.20319	4.78483	4.59766	4.54241	4.13729	3.7877	4.23681	4.2239	4.376	4.09846	3.64829	4.79644	4.31814	4.05919	4.28527	4.42458
"ENSMUSG00000022292"	7.9161125	8.226615	8.3752	8.7296525	8.6550875	8.7063825	7.93768	8.1375175	8.1772725	8.522785	8.7109275	8.34845	8.36564	8.74904	8.4136925	8.3092425	8.834385	8.9992125
"ENSMUSG00000022295"	11.3212066666667	11.3512033333333	11.2995066666667	11.89793	11.8000333333333	11.7614866666667	10.9402833333333	11.1495133333333	11.1504733333333	11.1631066666667	11.1741166666667	11.1541933333333	11.11637	11.4293533333333	11.19782	11.1425566666667	11.5420733333333	11.56993
"ENSMUSG00000022296"	5.3047	4.77414	4.83507	6.3421	6.29311	6.38478	4.56207	4.66432	4.54932	4.6915	5.10384	4.5891	4.30781	5.42564	5.28766	4.69194	5.49015	5.40088
"ENSMUSG00000022297"	7.703935	7.375335	7.35988	8.2979	8.45925	8.138765	8.09771	7.89819	7.465525	7.65607	8.44636	7.764265	7.6742	7.516985	8.57335	7.823005	7.92371	7.59453
"ENSMUSG00000022299"	8.00900666666667	7.79604666666667	8.14294333333333	9.75581666666667	9.83229666666667	9.77464666666667	7.79344	8.53169666666667	7.67183	7.72170666666667	7.84864666666667	7.51834	7.10344	9.87452333333333	7.46759333333333	7.71148	9.62386666666667	9.88081666666667
"ENSMUSG00000022300"	11.68331	11.57696	11.63372	11.90756	11.79455	11.77004	11.57786	11.48227	11.64271	11.59867	11.26003	11.69947	11.61113	11.64462	11.33938	11.46704	11.51975	11.49218
"ENSMUSG00000022303"	4.93052	4.69529	5.23131	4.38025	4.88105	4.65262	6.4924	5.255	5.95432	4.50457	4.42809	4.22144	4.16899	4.71868	3.99975	4.2842	4.47125	5.09748
"ENSMUSG00000022304"	3.86988	3.99638	3.91105333333333	4.47628333333333	4.24935666666667	4.45205333333333	3.99680333333333	4.00044	4.05272333333333	4.05081666666667	3.96883333333333	3.86199333333333	3.80637666666667	4.13118333333333	4.06128	3.87506666666667	4.30656	4.06984333333333
"ENSMUSG00000022305"	7.92021	7.73255	7.92412	8.17048	8.33465	8.25439	7.58097	7.73426	7.66771	8.28091	8.85358	8.10408	8.17657	8.34354	8.81179	8.3469	8.61652	8.44943
"ENSMUSG00000022306"	6.28925	6.14323	6.002655	5.56993	5.619375	5.443505	5.748455	5.952235	5.98506	6.615065	7.080225	6.586435	6.74025	6.00329	7.26073	6.65419	5.74239	5.90108
"ENSMUSG00000022307"	8.59890666666667	8.61485	8.68698333333333	8.84218	8.90572	8.94908666666667	8.45826333333333	8.57713	8.52503666666667	8.66844666666667	8.73220666666667	8.58854666666667	8.60866333333333	8.9386	8.87518	8.58862333333333	9.00164666666667	9.00179
"ENSMUSG00000022309"	7.899545	7.8043	7.935895	7.51343	7.693775	7.084	7.17519	7.78802	7.191815	6.627895	7.30154	7.007415	7.26324	9.213325	7.21494	6.11213	9.66599	9.27005
"ENSMUSG00000022311"	3.44898666666667	3.32738666666667	3.6258	3.82981	3.85205666666667	3.94808333333333	3.38401333333333	3.37186333333333	3.5149	3.78946666666667	4.26282333333333	3.65532333333333	3.54204	3.686	3.88446333333333	4.06002333333333	3.60465	3.66409333333333
"ENSMUSG00000022312"	12.93451	12.96115	12.93938	12.69764	12.68209	12.69874	13.14576	13.01035	13.17737	13.1675	13.015	13.13149	13.09913	12.77354	12.89544	13.11133	12.81541	12.78171
"ENSMUSG00000022313"	7.756195	7.6844925	7.6686075	7.60291	7.5943875	7.8044175	7.582035	7.4973275	7.8939575	7.9208825	7.357245	7.7672675	7.863775	7.3303775	7.48262	7.6239775	7.5079975	7.54439
"ENSMUSG00000022314"	9.50245666666667	9.85746333333333	9.77485333333333	10.07046	9.92197666666667	9.95327	9.96612666666667	9.72872333333333	9.83387	9.86309	9.53700333333333	9.78389	9.75044333333333	10.0288633333333	9.79362666666667	9.81496666666667	10.15061	10.0204666666667
"ENSMUSG00000022315"	3.7832	3.82488	4.01697	4.13321	4.22488	3.98641	3.92696	3.96435	3.74854	3.66583	3.9995	3.66877	3.85512	4.07953	3.99055	3.97636	4.34888	3.74287
"ENSMUSG00000022321"	3.28849	3.79331	3.55683	4.41534	3.65172	3.44122	4.07953	3.65924	3.56082	4.69259	6.11404	4.66209	4.92238	4.36701	5.89031	4.6088	4.35869	3.59955
"ENSMUSG00000022322"	7.12433	7.14314	7.36644	6.87502	6.79157	6.46636	9.46616	6.25052	7.95261	8.37079	6.33859	8.03598	8.028	6.4289	6.90602	8.17669	6.28008	6.38285
"ENSMUSG00000022323"	10.85804	11.11181	10.98672	11.17783	11.10808	11.07305	10.83481	10.86184	10.75991	10.6236	10.6401	10.66838	10.81964	10.94931	10.81909	10.47046	11.02184	10.91263
"ENSMUSG00000022324"	8.79193	9.12225	8.343645	7.777805	7.910905	7.37301	9.510975	9.492665	9.277075	9.415125	9.80561	9.12361	8.90003	8.58644	10.1146	9.60764	8.02472	8.481765
"ENSMUSG00000022325"	7.74093	7.65212	7.7678	7.32068	7.55738	7.60095	8.273	7.85872	7.9866	7.7024	7.64977	7.90635	7.5362	7.79271	7.62006	7.66967	7.97334	7.88813
"ENSMUSG00000022329"	7.38113666666667	7.61408666666667	7.57483	7.81078333333333	7.57205	7.54235666666667	7.39808333333333	7.74104	7.21244	7.26481666666667	7.83762333333333	7.28428333333333	7.47814	7.66579333333333	7.75564	7.50403333333333	7.53669	7.55222666666667
"ENSMUSG00000022330"	8.51865	7.99359	8.04432	7.31904	6.96359	7.12009	7.75438	7.94312	7.75924	4.8894	5.81054	5.45513	5.49308	7.60676	5.4742	5.31171	7.85228	7.47667
"ENSMUSG00000022332"	8.0254	7.40456	7.84432	9.92262	9.94536	10.2077	7.80797	6.97598	6.95473	7.55354	8.76392	7.39763	7.35545	9.77751	8.5059	7.88127	9.79046	9.62152
"ENSMUSG00000022335"	5.54088	5.4595	5.61051666666667	5.75679	5.96189	5.85128666666667	5.56694	5.44841	5.53592666666667	5.39871333333333	5.47331	5.54152333333333	5.42412666666667	5.98202	5.59684	5.60395666666667	5.89876666666667	5.84313333333333
"ENSMUSG00000022336"	12.5196433333333	12.74848	12.7256566666667	12.42498	12.41162	12.3469066666667	12.85127	12.7906466666667	12.84999	12.8217566666667	12.67291	12.76679	12.67007	12.6355133333333	12.6393633333333	12.79056	12.57729	12.6635833333333
"ENSMUSG00000022337"	11.94819	12.04006	11.94965	12.13326	12.13692	12.09914	11.83545	11.95425	11.79391	11.71259	11.77608	11.63522	11.61371	12.27423	11.87317	11.72159	12.18764	12.16705
"ENSMUSG00000022338"	8.97406	9.02048	8.829256	9.075996	9.161962	9.213466	8.819412	8.866414	8.644004	8.693326	9.004778	8.655204	8.920102	8.899932	9.05992	8.737684	8.740696	8.753714
"ENSMUSG00000022339"	8.30829	8.53957	8.56848	8.79764	8.71595	8.73724	8.38126	8.17812	8.47024	8.48342	8.32309	8.32912	8.33733	8.68625	8.46633	8.17859	8.71742	8.76439
"ENSMUSG00000022340"	7.22866	6.70512	6.71332	7.23679	7.77235	7.34366	6.9226	7.39741	6.84309	6.38679	7.03087	5.91077	6.46771	7.90372	7.23825	6.49071	7.56302	7.88297
"ENSMUSG00000022342"	3.25471	3.22360333333333	3.22857	3.54773	3.70222	3.39813	3.07225	3.16934	3.16607333333333	3.33034333333333	3.60763333333333	3.21375666666667	3.31649666666667	3.50008	3.66863666666667	3.31174333333333	3.54530666666667	3.30724333333333
"ENSMUSG00000022346"	9.25466	8.70861	9.17509	7.10912	7.10536	6.33091	10.55171	8.90956	9.65768	9.42591	8.63741	9.5493	9.1704	9.20578	8.57591	9.19453	8.65139	8.56178
"ENSMUSG00000022350"	10.3991	10.37918	10.22118	10.95954	10.73456	10.83208	10.26559	10.23315	10.20571	10.09201	10.1106	10.15575	10.31421	10.50723	10.29244	10.13428	10.51714	10.46111
"ENSMUSG00000022351"	10.37887	10.00978	10.37152	10.25139	10.44019	10.72962	10.26361	10.45118	10.09099	9.96424	10.2458	9.90663	9.54852	9.35014	10.14746	10.02137	9.3464	9.54574
"ENSMUSG00000022353"	10.88891	10.4929833333333	10.82896	11.32061	11.28649	11.2885766666667	10.58071	10.6690166666667	10.69979	10.30255	10.1018933333333	10.37022	10.2173333333333	10.5631433333333	9.96420333333333	10.2015366666667	10.43913	10.34341
"ENSMUSG00000022354"	13.40616	13.381155	13.28916	13.772285	13.71667	13.751715	12.894865	13.066405	12.720175	12.616045	12.96246	12.693915	12.853685	13.7944	13.032475	12.70057	13.781035	13.754215
"ENSMUSG00000022358"	8.88088666666667	8.77215	8.39184666666667	8.69676	8.43841	8.49907333333333	9.59051333333333	8.81500333333333	8.65634	9.16943666666667	10.6085433333333	9.4755	9.82709666666667	8.31148333333333	10.4207166666667	9.62290666666667	8.04134	8.62788333333333
"ENSMUSG00000022359"	8.36305	8.29554	8.364335	8.803295	8.733675	8.8234	8.37331	8.19634	8.566705	8.558425	8.21533	8.63695	8.753425	8.6864	8.220775	8.417635	8.68299	8.466125
