"gWAT_M02(r1)"	"gWAT_M02(r2)"	"BAT_M02(r1)"	"BAT_M02(r2)"
"ENSMUSG00000000530"	8.31363	8.19192	9.13265	8.964035
"ENSMUSG00000000531"	6.52065	5.324165	8.90839	8.34839
"ENSMUSG00000000532"	10.08197	10.40382	8.65186	8.8135
"ENSMUSG00000000538"	5.365005	5.806995	5.71634	5.757035
"ENSMUSG00000000544"	3.683965	3.579525	3.65824	3.60134
"ENSMUSG00000000552"	7.51983	7.63088	5.2337	5.5445
"ENSMUSG00000000555"	9.23045	8.39329	8.85647	8.18843
"ENSMUSG00000000560"	2.78075	2.71911666666667	3.94714	4.30388
"ENSMUSG00000000561"	7.62153	7.88244	7.32193	7.61658666666667
"ENSMUSG00000000562"	2.95763	2.7799	2.58453	2.86054
"ENSMUSG00000000563"	12.342285	12.281425	12.83672	12.80201
"ENSMUSG00000000567"	4.691185	5.368975	4.697665	4.336665
"ENSMUSG00000000568"	7.25080333333333	7.24681	8.12083333333333	7.99679
"ENSMUSG00000000579"	12.24787	12.10772	11.20838	11.58428
"ENSMUSG00000000581"	7.14286333333333	7.14542	6.82463666666667	6.91577333333333
"ENSMUSG00000000594"	8.96273	8.48619	7.72863	8.02612666666667
"ENSMUSG00000000600"	4.59174	4.69401	4.95919	4.842764
"ENSMUSG00000000605"	9.50891	9.64314	9.37281	9.449825
"ENSMUSG00000000606"	2.22061	2.34731	2.064125	2.202375
"ENSMUSG00000000627"	3.009935	3.20301	2.988015	3.29616
"ENSMUSG00000000628"	11.51089	11.9398	12.24805	12.65982
"ENSMUSG00000000631"	8.26035	7.92183	9.31472	8.95206
"ENSMUSG00000000632"	4.216115	4.12441	5.268675	4.62254
"ENSMUSG00000000673"	5.36467	4.84648	4.53617	4.63792
"ENSMUSG00000000682"	11.91686	9.89229	9.12209	7.64335
"ENSMUSG00000000686"	7.41849	7.83951	6.977505	7.30841
"ENSMUSG00000000690"	5.19609	5.65444	6.15219	6.33176
"ENSMUSG00000000693"	5.95726	4.60928	4.68495	4.31828
"ENSMUSG00000000706"	2.56886333333333	2.56201666666667	2.60980666666667	2.69386
"ENSMUSG00000000708"	7.974755	7.781935	7.6778	7.86403
"ENSMUSG00000000711"	6.38179	6.43133	6.32163	6.49728
"ENSMUSG00000000724"	3.60941	3.60941	3.66591	3.49914
"ENSMUSG00000000730"	7.46104	7.69031	5.6081	6.64344
"ENSMUSG00000000731"	4.15448	4.14862	3.79537	4.10093
"ENSMUSG00000000732"	8.63406	7.87209	6.96566	6.82133
"ENSMUSG00000000738"	8.78483	8.97937	10.03384	9.5652
"ENSMUSG00000000739"	6.03628	5.33656	5.37378	5.65769
"ENSMUSG00000000740"	13.00947	13.0327	12.8715966666667	12.7762433333333
"ENSMUSG00000000743"	10.73242	10.91811	10.54315	10.37611
"ENSMUSG00000000751"	9.52171	9.696665	9.503215	9.35242
"ENSMUSG00000000753"	11.305385	11.03613	7.973345	8.68178
"ENSMUSG00000000759"	7.45573	7.45158	8.15554	7.73564
"ENSMUSG00000000766"	2.753535	2.652945	2.7613625	2.84049
"ENSMUSG00000000776"	6.34575	6.513765	6.305885	6.36023
"ENSMUSG00000000782"	4.425505	4.404665	4.453975	4.89166
"ENSMUSG00000000787"	11.6506033333333	11.4924866666667	11.7280033333333	11.9015633333333
"ENSMUSG00000000791"	3.06043	3.19512	3.35404	3.34916
"ENSMUSG00000000792"	3.420445	3.68225	3.804465	3.696775
"ENSMUSG00000000794"	4.50563	4.70535	4.39574	4.6156
"ENSMUSG00000000804"	8.02175	7.956745	8.35249	8.031715
"ENSMUSG00000000805"	8.975515	7.77024	11.84866	11.51779
"ENSMUSG00000000811"	7.23333	8.00845333333333	7.7268	7.61818666666667
"ENSMUSG00000000817"	2.82135	2.548915	2.68627	2.7546
"ENSMUSG00000000823"	6.28537	6.80005	5.95883	6.30981
"ENSMUSG00000000826"	9.018996	9.132766	8.633786	8.91901
"ENSMUSG00000000827"	9.21515	9.27094	9.32273333333333	9.3564
"ENSMUSG00000000838"	8.713755	9.08554	6.95982	7.3934725
"ENSMUSG00000000861"	3.19425	3.08105666666667	3.17402	3.43948833333333
"ENSMUSG00000000869"	3.36917	3.34532	3.09549	3.0688
"ENSMUSG00000000876"	9.70016	10.099165	9.072265	9.4516
"ENSMUSG00000000881"	10.51073	9.36077	9.95466	10.18973
"ENSMUSG00000000884"	5.9146	6.50134	6.03547	5.94816
"ENSMUSG00000000889"	2.6261	2.48324	2.333	2.55094
"ENSMUSG00000000901"	6.70091	5.47475	7.91543	6.51671
"ENSMUSG00000000902"	10.10189	10.280755	10.32514	10.28236
"ENSMUSG00000000903"	3.9888	3.79175	4.2818	3.7573
"ENSMUSG00000000915"	5.75247	5.97862666666667	7.05557	7.03269333333333
"ENSMUSG00000000916"	7.854205	8.384465	8.626925	8.55384
"ENSMUSG00000000934"	8.2845	8.8218	9.32312	8.98482
"ENSMUSG00000000938"	3.12919	3.77563	3.24635	3.12919
"ENSMUSG00000000942"	5.1551	6.05197	8.31929	7.90166
"ENSMUSG00000000948"	10.292735	10.662375	9.88918	10.416915
"ENSMUSG00000000957"	5.0376	4.29142	4.25672	4.12223
"ENSMUSG00000000958"	8.144165	6.830275	5.832495	5.42555
"ENSMUSG00000000959"	8.402445	8.355395	9.08161	9.09344
"ENSMUSG00000000976"	6.9034675	7.377435	6.3999275	6.175755
"ENSMUSG00000000982"	11.17061	8.15212	7.7969	7.19892
"ENSMUSG00000000983"	6.88387	5.33875	4.22887	3.56188
"ENSMUSG00000001014"	4.00459	4.50432	4.11549	4.15886
"ENSMUSG00000001016"	9.741755	10.01542	9.47686	9.74826
"ENSMUSG00000001017"	9.70597	9.71412	9.91412	9.91683
"ENSMUSG00000001018"	10.592045	10.69893	10.604375	10.63712
"ENSMUSG00000001020"	12.24309	10.82939	8.61454	7.94888
"ENSMUSG00000001021"	2.55894	3.0399	2.3623	2.49965
"ENSMUSG00000001023"	2.75017	2.50394	2.03485	2.41925
"ENSMUSG00000001025"	12.66269	12.26832	10.98308	10.61922
"ENSMUSG00000001027"	2.19403	2.16653	2.15736	2.40578
"ENSMUSG00000001029"	8.62227	7.64723	10.50015	11.00623
"ENSMUSG00000001034"	7.44597	7.5011	7.65289	7.26219
"ENSMUSG00000001036"	8.54002666666667	8.77309666666667	9.55391333333333	9.32464
"ENSMUSG00000001039"	6.59349	7.1542	6.34794	6.91249
"ENSMUSG00000001052"	7.945665	8.05831	7.611815	8.00323
"ENSMUSG00000001053"	5.99933	5.89208	7.88757	7.15026
"ENSMUSG00000001054"	8.70354	8.94932	9.19179	8.96646
"ENSMUSG00000001056"	8.64671	8.98885	8.23429	8.292075
"ENSMUSG00000001062"	6.215605	6.317935	6.29277	5.99705
"ENSMUSG00000001065"	5.0396125	5.297155	5.5263625	5.258705
"ENSMUSG00000001082"	7.4455	7.1017	6.48837	6.48172
"ENSMUSG00000001089"	8.318305	8.54811	9.190955	9.143075
"ENSMUSG00000001095"	3.71053	3.87582	3.86151	4.49809
"ENSMUSG00000001098"	10.84285	10.88751	11.06804	11.02723
"ENSMUSG00000001100"	10.89188	11.132595	11.67314	11.59554
"ENSMUSG00000001103"	2.940655	3.258235	2.897575	3.24979
"ENSMUSG00000001105"	10.28671	10.46486	10.1313	10.24733
"ENSMUSG00000001119"	11.77397	11.97077	9.06982	8.0758
"ENSMUSG00000001120"	8.03736	8.59675	8.042055	7.530365
"ENSMUSG00000001123"	10.10624	9.98218	10.13117	10.35442
"ENSMUSG00000001127"	8.097092	8.229968	7.836906	7.87187
"ENSMUSG00000001128"	11.3184	10.20427	8.28614	8.39015
"ENSMUSG00000001131"	8.47558	9.54792	4.44754	3.48851
"ENSMUSG00000001138"	7.2503025	7.4275325	6.9573675	7.151305
"ENSMUSG00000001143"	7.625895	8.05114	7.75519	7.957075
"ENSMUSG00000001150"	8.79572	9.10062	8.84808	8.65261
"ENSMUSG00000001151"	8.564945	8.55474	9.176795	8.4515
"ENSMUSG00000001155"	3.71305	3.90376	3.33349	3.42166
"ENSMUSG00000001156"	7.10929666666667	7.53434	6.83959	7.10213
"ENSMUSG00000001157"	6.088495	6.361375	5.9170575	6.176555
"ENSMUSG00000001158"	11.31643	11.285945	11.353815	11.45838
"ENSMUSG00000001166"	7.15398	7.23728	5.85842	6.06355
"ENSMUSG00000001168"	3.36078	3.26717	3.24721	3.46695
"ENSMUSG00000001173"	4.90401	4.72715333333333	4.61001333333333	4.37847
"ENSMUSG00000001175"	12.13414	11.977824	11.923006	11.962688
"ENSMUSG00000001211"	9.045715	9.67372	10.400175	10.3846775
"ENSMUSG00000001225"	3.05817	2.90554333333333	3.10219666666667	3.37322666666667
"ENSMUSG00000001227"	7.53146	7.35053	8.33846	8.2035
"ENSMUSG00000001228"	5.84237333333333	5.42219	5.22218666666667	5.27600333333333
"ENSMUSG00000001229"	7.51851	7.96289	7.76995	7.45791
"ENSMUSG00000001240"	10.7839366666667	10.9134	10.7010233333333	10.9620933333333
"ENSMUSG00000001247"	6.29252	5.63417	5.02069	4.83894
"ENSMUSG00000001248"	8.44726	8.58796	8.72938	8.25923
"ENSMUSG00000001249"	5.8169	5.32668	4.85036	4.8646
"ENSMUSG00000001260"	1.99478	1.96489	2.377125	2.39174
"ENSMUSG00000001270"	10.56002	9.82299	9.37242	9.15974
"ENSMUSG00000001280"	7.33111	7.21948666666667	7.59368333333333	7.50397
"ENSMUSG00000001281"	6.19562	4.83232	4.80037	4.41898
"ENSMUSG00000001285"	7.15078	7.14198	7.36351	7.49604
"ENSMUSG00000001288"	6.64894	6.868465	7.02407	6.970365
"ENSMUSG00000001289"	12.50565	12.4686	12.25601	12.400025
"ENSMUSG00000001300"	6.11383	5.30351	7.742445	7.6754875
"ENSMUSG00000001305"	7.62194	7.97804	7.53147	7.35396
"ENSMUSG00000001313"	8.23663	7.69819	6.9597	6.2855
"ENSMUSG00000001323"	7.469596	7.84132	8.003584	8.158806
"ENSMUSG00000001333"	4.38277333333333	4.23403	4.23003333333333	4.23931333333333
"ENSMUSG00000001334"	4.7464	4.61856	5.13932	4.67447
"ENSMUSG00000001348"	12.32389	12.28876	11.33239	11.65783
"ENSMUSG00000001349"	2.55954	2.8188	2.67051	2.88176
"ENSMUSG00000001366"	9.56418	9.996045	9.84269	9.9065
"ENSMUSG00000001376"	6.970625	6.758965	6.79119	7.073315
"ENSMUSG00000001380"	10.46431	10.654795	10.180865	10.465655
"ENSMUSG00000001383"	8.37571	8.54043	7.95003	8.21073
"ENSMUSG00000001403"	8.73124	7.82967	5.78082	6.11416
"ENSMUSG00000001415"	6.301025	6.51085	6.35238	6.463565
"ENSMUSG00000001416"	9.55946	9.58162	9.431542	9.649022
"ENSMUSG00000001418"	10.42497	10.23145	9.60501	9.8084
"ENSMUSG00000001419"	7.71841333333333	7.74611666666667	8.32242	8.36715
"ENSMUSG00000001420"	5.34613	6.50195	9.18595	9.91378
"ENSMUSG00000001424"	9.83665	9.70739	9.32278	8.92064
"ENSMUSG00000001435"	10.25266	10.549455	8.17516	8.083315
"ENSMUSG00000001436"	8.306475	8.898085	9.172965	9.144295
"ENSMUSG00000001440"	10.99008	11.1425666666667	10.8262833333333	10.77688
"ENSMUSG00000001441"	7.37658666666667	7.49356333333333	7.24052666666667	7.20969
"ENSMUSG00000001444"	4.09027	3.38039	5.13336	5.14276
"ENSMUSG00000001445"	8.91461	9.22481	9.82552	9.75305
"ENSMUSG00000001467"	7.76926333333333	8.30470666666667	6.71875666666667	7.89717333333333
"ENSMUSG00000001472"	8.154395	8.15163	8.2227275	8.04521
"ENSMUSG00000001473"	10.19827	9.0918	8.00293	7.98643
"ENSMUSG00000001482"	8.26095	8.42891	8.32819	8.06802
"ENSMUSG00000001493"	6.85895	5.35339	9.09377	8.74107
"ENSMUSG00000001494"	3.62685	3.69203	3.379895	3.39578
"ENSMUSG00000001496"	4.80032	4.85546	4.87825	5.17253
"ENSMUSG00000001497"	3.42723	3.47554	3.78655333333333	3.75090333333333
"ENSMUSG00000001504"	3.28324	3.28324	3.56723	3.60464
"ENSMUSG00000001506"	11.451125	11.12295	8.707445	8.00156
"ENSMUSG00000001507"	5.48989	5.39619666666667	6.52466333333333	6.07219666666667
"ENSMUSG00000001508"	3.86719	3.95701	3.86713	3.73759
"ENSMUSG00000001510"	3.52807	3.72811	3.6451	3.66593
"ENSMUSG00000001517"	5.607845	4.85803	4.00312	3.9281125
"ENSMUSG00000001518"	8.54099	9.34145	9.45542	9.25956
"ENSMUSG00000001520"	8.44146333333333	7.0244	6.38939	5.72557333333333
"ENSMUSG00000001521"	5.53209	6.30256666666667	5.24786333333333	5.31403333333333
"ENSMUSG00000001524"	6.8438225	7.1637	7.03517	7.0480875
"ENSMUSG00000001525"	11.135025	10.94013	10.086805	10.304815
"ENSMUSG00000001542"	10.99259	10.76454	10.37853	10.60136
"ENSMUSG00000001552"	11.61384	11.86414	12.10366	11.83181
"ENSMUSG00000001555"	5.64537	5.16488	5.509585	5.42144
"ENSMUSG00000001558"	3.69677	3.99684	3.70653	3.82717
"ENSMUSG00000001566"	2.23075	2.18598	2.22855	2.21115
"ENSMUSG00000001576"	10.1487666666667	10.0666666666667	10.2906966666667	10.1846833333333
"ENSMUSG00000001583"	4.53909333333333	4.99741333333333	3.93827666666667	4.02463
"ENSMUSG00000001588"	4.33981	3.82802	5.660785	5.929465
"ENSMUSG00000001604"	6.88816	6.94069	7.26209	6.62321
"ENSMUSG00000001622"	2.35202	2.409845	3.06118	2.551095
"ENSMUSG00000001627"	12.13409	12.31574	11.82246	11.90543
"ENSMUSG00000001630"	8.02302666666667	8.23362666666667	8.27623	8.70060333333333
"ENSMUSG00000001632"	7.48677	7.58773	7.78572	7.5246
"ENSMUSG00000001642"	11.81061	11.67809	11.46616	11.3406866666667
"ENSMUSG00000001655"	2.24504	2.44641	2.53331	2.64869
"ENSMUSG00000001657"	11.57811	11.89626	8.91189	9.12109
"ENSMUSG00000001661"	6.19924	7.0232	5.04415	5.295055
"ENSMUSG00000001663"	10.75588	11.20463	10.36848	10.37609
"ENSMUSG00000001665"	6.86444	7.5383	7.27932	7.04252
"ENSMUSG00000001666"	11.52926	11.77618	11.74812	12.08395
"ENSMUSG00000001670"	3.44652	3.62118	3.3319	3.53164
"ENSMUSG00000001672"	2.781045	2.85736	2.634645	2.951085
"ENSMUSG00000001674"	8.01365666666667	8.05676666666667	7.87963	7.67681
"ENSMUSG00000001687"	10.98931	10.63507	10.63643	10.97905
"ENSMUSG00000001700"	8.02212	8.360405	6.866175	6.976275
"ENSMUSG00000001707"	8.74142	8.54195	7.62843	7.96651
"ENSMUSG00000001729"	6.93185	6.64813666666667	6.74829333333333	6.76077333333333
"ENSMUSG00000001739"	8.52097	8.12206	9.26515	8.32944
"ENSMUSG00000001741"	6.02655666666667	5.29332666666667	5.94461666666667	5.61236
"ENSMUSG00000001750"	10.88603	8.92609	9.30077	8.67176
"ENSMUSG00000001751"	9.64139	9.49954	7.9723	8.15034
"ENSMUSG00000001755"	9.85046	10.111855	11.24654	11.084795
"ENSMUSG00000001761"	5.0707	5.79316	3.89673	4.27655333333333
"ENSMUSG00000001763"	6.019038	5.35303	4.272216	4.195342
"ENSMUSG00000001767"	7.47373	7.725595	7.147025	7.513415
"ENSMUSG00000001768"	10.9959	10.63013	10.25191	10.52455
"ENSMUSG00000001773"	6.9249	6.97306	2.93899	3.3848
"ENSMUSG00000001774"	10.42138	10.38641	10.53919	10.64776
"ENSMUSG00000001783"	8.29668666666667	8.49412666666667	8.64754333333333	8.43596
