"gWAT_M02(r1)"	"gWAT_M02(r2)"	"BAT_M02(r1)"	"BAT_M02(r2)"
"ENSMUSG00000024069"	9.52454	9.54105	9.02437	9.19954
"ENSMUSG00000024070"	6.414555	6.547855	6.688115	6.837015
"ENSMUSG00000024072"	9.38843	9.37465	9.35679333333333	9.32494666666667
"ENSMUSG00000024073"	6.72318	7.01331	7.02404	7.1267625
"ENSMUSG00000024074"	8.068925	7.4632	8.10683	7.90037
"ENSMUSG00000024076"	4.88433	4.91299	3.389	3.63211
"ENSMUSG00000024077"	8.03821333333333	8.17199	7.51588666666667	7.73074
"ENSMUSG00000024078"	8.33257	8.51987	8.30447	8.09827
"ENSMUSG00000024079"	8.40555666666667	8.76129	7.8641	8.43425666666667
"ENSMUSG00000024081"	8.265795	8.365565	8.30313	8.311575
"ENSMUSG00000024082"	9.49895	9.89388	10.38485	10.49499
"ENSMUSG00000024083"	8.1786725	8.1880375	7.9540625	7.861075
"ENSMUSG00000024084"	9.33903	6.93416	3.71849	3.29918
"ENSMUSG00000024085"	9.67659	9.87096	9.32622	9.25811
"ENSMUSG00000024087"	7.12583	6.95397	4.199365	3.824115
"ENSMUSG00000024088"	2.72723	2.97264	2.92841	2.83237
"ENSMUSG00000024091"	9.15065333333333	9.04709	8.97018	8.95326333333333
"ENSMUSG00000024095"	9.60751	9.60093	9.744835	9.50891
"ENSMUSG00000024096"	9.54958	9.701895	9.24287	9.362065
"ENSMUSG00000024097"	10.033545	9.7973	10.6006	10.40493
"ENSMUSG00000024098"	5.7963375	6.11568	5.3467225	5.691765
"ENSMUSG00000024099"	11.18076	11.3762433333333	12.5345033333333	12.4165733333333
"ENSMUSG00000024101"	7.09219	7.115275	6.841	6.81797
"ENSMUSG00000024104"	10.5604533333333	10.6336433333333	10.2110766666667	10.2572433333333
"ENSMUSG00000024105"	3.23158	3.24476	3.211005	3.536025
"ENSMUSG00000024107"	2.30899	2.53559	2.31741	2.65202
"ENSMUSG00000024109"	3.26954714285714	3.35558571428571	3.24711428571429	3.42765285714286
"ENSMUSG00000024112"	2.517655	2.44024	2.386785	2.513035
"ENSMUSG00000024114"	3.01747	2.964335	2.900615	2.860845
"ENSMUSG00000024116"	3.26984	3.388	3.38725	3.44218
"ENSMUSG00000024118"	5.81139	6.24162	6.23526	6.20815
"ENSMUSG00000024120"	9.05245	9.41615	10.92383	10.60781
"ENSMUSG00000024121"	11.87385	11.5481166666667	11.1186266666667	11.2869333333333
"ENSMUSG00000024122"	9.554155	9.7056	9.150885	9.29341
"ENSMUSG00000024124"	3.09501	2.50065	2.68385	2.31549
"ENSMUSG00000024125"	2.35606	2.31998	2.40172	2.76848
"ENSMUSG00000024127"	7.36880333333333	7.71826666666667	7.23477333333333	7.32646666666667
"ENSMUSG00000024128"	2.35606	2.31998	2.40172	2.76848
"ENSMUSG00000024130"	8.68197	9.07477	8.1306	7.76227
"ENSMUSG00000024131"	7.09948	7.60436	6.69989	7.14254
"ENSMUSG00000024132"	11.44108	11.59986	12.56644	12.52934
"ENSMUSG00000024134"	2.85032	2.91999	3.10648	3.13124
"ENSMUSG00000024135"	6.43378	6.40047	6.419755	5.86543
"ENSMUSG00000024136"	4.32073	4.244045	5.14615	4.72865
"ENSMUSG00000024137"	5.55388	5.62411	5.96813	5.66236
"ENSMUSG00000024140"	9.158815	9.300045	9.900625	10.133355
"ENSMUSG00000024142"	5.380735	5.8388	5.34863	5.560635
"ENSMUSG00000024143"	11.24475	11.36294	11.58755	11.55179
"ENSMUSG00000024145"	9.00319	9.20428	8.53894	9.19856
"ENSMUSG00000024146"	9.283565	9.42976	9.302005	9.381035
"ENSMUSG00000024150"	11.37599	11.47115	10.80527	10.94603
"ENSMUSG00000024151"	8.51819	8.781	9.42269	9.12798
"ENSMUSG00000024154"	2.4224	2.56523	2.42692	2.33954
"ENSMUSG00000024155"	4.32295	4.46429	4.12237	4.07513
"ENSMUSG00000024158"	10.1667	10.54676	10.61135	10.6458566666667
"ENSMUSG00000024160"	7.40592	7.77344	8.2273	8.18191
"ENSMUSG00000024163"	5.713416	6.074724	5.984752	6.117582
"ENSMUSG00000024164"	12.75423	11.89753	11.63124	11.66731
"ENSMUSG00000024165"	10.21164	10.066	7.15235	7.09651
"ENSMUSG00000024168"	7.706585	6.74128	10.720875	10.70024
"ENSMUSG00000024169"	9.7444	10.04603	9.36895	9.28108
"ENSMUSG00000024170"	6.943975	7.238675	7.394035	7.291645
"ENSMUSG00000024171"	2.96601	3.06989	2.84112	3.30941
"ENSMUSG00000024172"	1.65427	1.9257	1.86506	2.20157
"ENSMUSG00000024173"	3.10648	3.28481	2.84727	2.70285
"ENSMUSG00000024174"	6.96051	6.93379	7.16883	6.75262
"ENSMUSG00000024175"	3.48402	3.78829	3.59149	3.66795
"ENSMUSG00000024176"	3.10648	2.89104	3.2011	3.02868
"ENSMUSG00000024177"	7.34794	7.5434	5.3295	5.79748
"ENSMUSG00000024180"	6.45681	6.160415	5.751405	6.247175
"ENSMUSG00000024181"	9.86744	10.20803	10.5495	10.26797
"ENSMUSG00000024182"	6.650975	6.7416	6.790355	6.70924
"ENSMUSG00000024184"	3.88351	3.75666	3.83827	3.96611
"ENSMUSG00000024186"	3.48521	3.85311	3.77384	3.54299
"ENSMUSG00000024187"	10.52916	10.49671	10.49651	10.24038
"ENSMUSG00000024188"	8.43964	8.6738225	8.4562325	8.575325
"ENSMUSG00000024190"	13.06678	12.54755	13.03001	12.83233
"ENSMUSG00000024191"	8.88873	9.14221	8.60478	9.05293
"ENSMUSG00000024193"	6.23671	6.39486	7.35431	7.21166
"ENSMUSG00000024194"	11.32184	11.56783	11.23006	11.30758
"ENSMUSG00000024197"	8.022	8.00972	8.54379	8.43875
"ENSMUSG00000024201"	6.91547	7.25343	7.07667	6.809775
"ENSMUSG00000024205"	13.1557066666667	13.2048866666667	12.8589766666667	13.0128633333333
"ENSMUSG00000024206"	6.25516	6.37077	6.18794	5.77167
"ENSMUSG00000024207"	3.86812	3.58153	3.65777	3.47123
"ENSMUSG00000024208"	10.188895	10.40981	10.73731	10.746375
"ENSMUSG00000024209"	3.323345	2.978685	2.413105	2.361595
"ENSMUSG00000024210"	4.23213	4.03936	3.99678	4.21276
"ENSMUSG00000024211"	2.78547	2.99455	2.93731	3.01589
"ENSMUSG00000024212"	5.42545	5.622745	5.63507	5.544215
"ENSMUSG00000024213"	11.59024	11.60954	11.39772	11.73093
"ENSMUSG00000024215"	3.40952	3.67619	3.39841	3.88065
"ENSMUSG00000024217"	6.96083	6.73913	6.969465	6.97788
"ENSMUSG00000024218"	9.21957	9.58768	9.04536	9.27465
"ENSMUSG00000024219"	7.20509	7.61528	7.83972	7.41545
"ENSMUSG00000024220"	6.76388	7.13148	7.5165	7.185
"ENSMUSG00000024222"	6.21617	6.892455	5.19899	5.139135
"ENSMUSG00000024223"	3.76548	3.94066	3.70358	3.60144
"ENSMUSG00000024225"	2.787585	2.774055	2.7228	2.746605
"ENSMUSG00000024227"	2.39596	2.45411	2.12238	2.4002
"ENSMUSG00000024228"	9.78628	9.88038	10.96342	10.97985
"ENSMUSG00000024231"	8.097605	8.27284	8.4032	8.33016
"ENSMUSG00000024232"	6.96065	6.53498	8.06617	7.31385
"ENSMUSG00000024233"	3.30139	3.36772	3.00972	3.10491
"ENSMUSG00000024234"	9.41614	9.58164	9.82124	9.88423
"ENSMUSG00000024235"	8.5722	7.98964	7.42232	7.19571
"ENSMUSG00000024236"	8.961965	9.30054	8.59175	8.12887
"ENSMUSG00000024238"	8.35909	8.17718	9.67765	9.53489
"ENSMUSG00000024240"	10.72912	10.7917	11.34308	10.87689
"ENSMUSG00000024241"	6.65898	6.6927475	6.853375	6.8172675
"ENSMUSG00000024242"	10.50286	10.53309	11.03775	10.74089
"ENSMUSG00000024245"	5.93468	4.8761	7.2517	6.40976
"ENSMUSG00000024246"	6.45131	6.47823	6.47823	6.57942
"ENSMUSG00000024247"	6.541785	6.949215	6.42406	5.811595
"ENSMUSG00000024248"	11.6473433333333	11.59588	11.9857666666667	11.9971866666667
"ENSMUSG00000024251"	5.942265	6.44748	6.085235	5.69453
"ENSMUSG00000024253"	8.66831	8.95877	7.15901	7.62119
"ENSMUSG00000024254"	3.48959	3.42073	3.10648	3.58999
"ENSMUSG00000024256"	2.66394	2.614065	3.111695	2.95161
"ENSMUSG00000024258"	8.63826	8.91015	8.20174	8.27015
"ENSMUSG00000024259"	10.9343	10.98288	11.293	11.38309
"ENSMUSG00000024260"	8.8568	9.18191	9.32783	8.78413
"ENSMUSG00000024261"	3.496435	3.262695	4.23319	3.82544
"ENSMUSG00000024266"	3.67726	4.12284	3.81872	3.61396
"ENSMUSG00000024268"	5.35262666666667	4.18788333333333	5.16790333333333	4.47869666666667
"ENSMUSG00000024269"	6.678335	6.563345	6.992775	7.09417
"ENSMUSG00000024270"	6.893235	6.71446	6.17487	6.42056
"ENSMUSG00000024271"	10.790155	10.87181	10.547205	10.808295
"ENSMUSG00000024273"	9.84562	10.34919	9.47709	9.90841
"ENSMUSG00000024276"	6.751025	6.88992	6.92659	6.90844
"ENSMUSG00000024277"	10.5238925	10.2371775	10.0019675	9.62892
"ENSMUSG00000024283"	7.410365	7.37297	7.918005	7.6370575
"ENSMUSG00000024286"	9.357688	9.338428	9.496082	9.602178
"ENSMUSG00000024287"	9.984945	10.0337425	10.0032025	9.9866025
"ENSMUSG00000024290"	10.3054166666667	10.14628	10.1699133333333	10.1099133333333
"ENSMUSG00000024292"	3.59677	3.45154	2.90668	2.60175
"ENSMUSG00000024293"	7.546255	7.41291	7.979615	7.851465
"ENSMUSG00000024294"	7.84982666666667	7.91413333333333	8.02895333333333	7.86388
"ENSMUSG00000024295"	3.75483	4.03241	3.51483	3.61844
"ENSMUSG00000024298"	8.80994	8.595	8.28964	8.815435
"ENSMUSG00000024299"	7.469525	7.72609	6.67927	6.96999
"ENSMUSG00000024300"	9.23097666666667	6.31435333333333	5.70373	4.16981
"ENSMUSG00000024301"	7.16484	6.06355	5.72228	4.66705
"ENSMUSG00000024302"	4.91353	6.338286	4.062228	3.857976
"ENSMUSG00000024304"	4.83427333333333	4.31282666666667	7.91832333333333	7.51681
"ENSMUSG00000024308"	9.49891333333333	9.6174	9.21607	9.22699
"ENSMUSG00000024309"	9.77388	10.13635	9.90637	10.16952
"ENSMUSG00000024312"	7.042195	7.39386	7.0887	7.293845
"ENSMUSG00000024313"	2.55885	2.5835	2.50048	2.55885
"ENSMUSG00000024317"	8.18533666666667	8.29757	8.32950666666667	8.35318333333333
"ENSMUSG00000024319"	7.58356	7.906445	8.020685	7.96948
"ENSMUSG00000024325"	7.69615	8.14406	7.8082	8.05187
"ENSMUSG00000024327"	10.30021	10.44748	9.99983	9.88818
"ENSMUSG00000024330"	3.53092	3.52466	3.14455	3.23556
"ENSMUSG00000024331"	2.920345	3.01892	3.40321	3.147635
"ENSMUSG00000024334"	4.60048	4.42139	4.10359	4.32744
"ENSMUSG00000024335"	8.719805	8.765585	8.942025	8.84938
"ENSMUSG00000024338"	10.29948	9.65212	10.13022	10.29607
"ENSMUSG00000024339"	8.31112	8.30111	9.00179	8.64439
"ENSMUSG00000024340"	4.73693	4.62019	2.64141	3.46214
"ENSMUSG00000024346"	11.09841	11.23959	10.5241	10.88209
"ENSMUSG00000024347"	3.20767	2.7809	2.14881	2.13694
"ENSMUSG00000024349"	8.05465	6.611015	8.343995	7.891465
"ENSMUSG00000024350"	5.86417333333333	6.34706666666667	5.56532333333333	5.73587333333333
"ENSMUSG00000024352"	8.09906	8.65792	7.17025	7.54169
"ENSMUSG00000024353"	3.60457	3.12552	3.36763	3.24741
"ENSMUSG00000024354"	3.378085	3.323385	3.28066	3.649685
"ENSMUSG00000024357"	10.47707	10.74787	9.3648	9.93941
"ENSMUSG00000024359"	10.1080666666667	10.1724866666667	10.40899	10.8718966666667
"ENSMUSG00000024360"	10.7837233333333	10.8567366666667	10.2789066666667	10.5368233333333
"ENSMUSG00000024365"	4.49054	4.87146	4.339255	4.386715
"ENSMUSG00000024366"	3.59117	3.58153	4.62294	4.11879
"ENSMUSG00000024369"	9.32093	9.6601	9.02988	9.17189
"ENSMUSG00000024370"	6.20026	6.34967333333333	6.02079	6.11157666666667
"ENSMUSG00000024371"	10.24054	11.032875	7.81289	8.561675
"ENSMUSG00000024376"	5.77933	5.23747	9.24608	8.77332
"ENSMUSG00000024378"	7.22992333333333	6.70800333333333	7.4926	7.55419
"ENSMUSG00000024379"	8.413	7.26294	5.52191	5.71787
"ENSMUSG00000024381"	6.237905	6.02807	5.40921	5.217035
"ENSMUSG00000024382"	8.89269	9.1096	8.81447	8.70373
"ENSMUSG00000024383"	7.12484333333333	7.13263666666667	6.94663	7.20854
"ENSMUSG00000024384"	8.156705	7.95833	8.729715	8.47772
"ENSMUSG00000024386"	2.38674	2.57685	2.41793	2.6073
"ENSMUSG00000024387"	11.72583	11.73795	11.46308	11.75379
"ENSMUSG00000024388"	3.73827	3.70147	3.47546	3.23238
"ENSMUSG00000024391"	4.156925	3.950625	3.684925	3.991515
"ENSMUSG00000024392"	11.78428	11.98456	11.6642	11.64199
"ENSMUSG00000024393"	5.44205666666667	5.98236333333333	5.84276	5.68224
"ENSMUSG00000024395"	10.36918	10.54428	11.59041	11.25654
"ENSMUSG00000024397"	9.92615	8.09691	6.87891	6.56278
"ENSMUSG00000024399"	3.32349	3.55091	3.14745	3.67637
"ENSMUSG00000024400"	7.2631	7.566235	7.61763	7.651365
"ENSMUSG00000024401"	7.62337	5.47727	6.10044	5.6241
"ENSMUSG00000024402"	2.93503	2.74567	2.6815	2.6815
"ENSMUSG00000024403"	6.51502	6.30491	6.82985	6.47495
"ENSMUSG00000024404"	10.0533733333333	9.98879	9.71081	9.75539666666667
"ENSMUSG00000024406"	4.13827	4.27083	3.88919	3.87416
"ENSMUSG00000024409"	2.67952	2.58571	2.80223	3.0911
"ENSMUSG00000024410"	7.37026	7.276265	6.84747	6.932165
"ENSMUSG00000024411"	2.47959333333333	2.45685	2.68669666666667	3.00771333333333
"ENSMUSG00000024413"	9.41167	8.69395	8.9888	8.92848
"ENSMUSG00000024414"	11.04472	11.12544	10.8097	11.08964
"ENSMUSG00000024420"	5.374635	5.864315	6.581325	5.8916
"ENSMUSG00000024421"	4.43048	4.44174	4.91896	4.16149
"ENSMUSG00000024422"	9.05541	9.03166	9.66868	9.26746
"ENSMUSG00000024423"	7.10655	7.06824	6.514505	6.540175
"ENSMUSG00000024424"	8.99737	9.4963	6.13713	6.56649
"ENSMUSG00000024425"	11.66157	11.73095	11.12139	11.14664
"ENSMUSG00000024426"	5.71589	6.16371	6.90742333333333	7.24965666666667
"ENSMUSG00000024427"	7.1674225	7.355265	6.55375	6.773805
"ENSMUSG00000024429"	7.292845	7.6268	7.229595	6.976855
"ENSMUSG00000024430"	4.35939333333333	4.71498333333333	4.63173	4.61499333333333
"ENSMUSG00000024431"	8.42189	8.60903666666667	8.241295	8.29190666666667
"ENSMUSG00000024436"	11.33239	11.53039	11.45803	11.90016
"ENSMUSG00000024437"	9.02331	8.380475	8.015975	7.911585
"ENSMUSG00000024440"	4.85942	4.78473666666667	6.51191666666667	6.32542666666667
"ENSMUSG00000024442"	8.06349	8.3086	9.03985	8.75443
"ENSMUSG00000024446"	10.18129	10.19239	10.01578	10.25161
"ENSMUSG00000024448"	4.1944	4.04953	4.12861	4.28397
"ENSMUSG00000024451"	7.66668	6.32586	10.814285	10.11226
"ENSMUSG00000024454"	8.49676	8.70425	9.34529	8.79756
"ENSMUSG00000024456"	7.2767	6.63757	6.40499666666667	6.62520666666667
"ENSMUSG00000024457"	6.892465	6.90078	6.87276	7.03415
"ENSMUSG00000024462"	6.04489	6.47896	6.85058	6.59069333333333
"ENSMUSG00000024471"	3.13958	3.39031	5.32884	2.7999
"ENSMUSG00000024472"	8.03814	8.11032	7.528405	7.653235
"ENSMUSG00000024474"	11.347495	11.22675	10.9512525	11.0999275
"ENSMUSG00000024477"	6.068575	6.15082	5.652545	5.982535
"ENSMUSG00000024479"	8.0668	7.82896	8.23716	8.73314
"ENSMUSG00000024480"	11.68056	11.48483	11.63254	11.59924
"ENSMUSG00000024481"	3.05125	3.38048	2.8447	3.42416
"ENSMUSG00000024483"	7.771436	8.117724	8.24803	8.081702
"ENSMUSG00000024485"	3.20437	3.082	3.20746	3.09679
"ENSMUSG00000024486"	6.197525	5.6355	6.313545	6.18686
"ENSMUSG00000024487"	9.37886	9.42679666666667	8.98324666666667	9.11464333333333
"ENSMUSG00000024491"	10.23883	10.3577	10.46129	10.59012
"ENSMUSG00000024493"	10.6134	10.75339	10.46655	10.26245
"ENSMUSG00000024497"	2.82666	2.82666	2.56435	2.82666
"ENSMUSG00000024498"	8.33920666666667	8.36564666666667	8.21581333333333	8.33871333333333
"ENSMUSG00000024500"	2.4189	2.658085	2.485935	2.689475
"ENSMUSG00000024501"	7.16854	7.66994333333333	5.50574	5.29684666666667
"ENSMUSG00000024502"	2.88457	3.16717	3.48995	3.22548
"ENSMUSG00000024503"	2.57682	2.75164	2.69087	2.80688
"ENSMUSG00000024505"	6.59128	6.66777666666667	6.60209	6.44097333333333
"ENSMUSG00000024507"	11.577705	11.60614	11.69746	11.62354
"ENSMUSG00000024510"	2.62745	2.55381	2.22537	2.4758
"ENSMUSG00000024511"	5.88304333333333	4.06826	3.17513666666667	3.07582
"ENSMUSG00000024512"	2.15167	2.10734	2.03491	2.20095
"ENSMUSG00000024513"	9.420285	9.323285	9.59327	9.40612
"ENSMUSG00000024515"	9.5253	9.69216	9.94347333333333	9.68325
"ENSMUSG00000024516"	10.80191	10.15332	10.23495	10.13283
"ENSMUSG00000024517"	2.60029	2.42477	2.39549	2.53138
"ENSMUSG00000024518"	4.67513	4.72438	4.44189	4.92237
"ENSMUSG00000024519"	2.95756	3.40461	3.43145	3.18888
"ENSMUSG00000024521"	7.57623	5.43421	5.43421	3.99572
"ENSMUSG00000024524"	6.948	4.367895	4.07052	4.640765
"ENSMUSG00000024525"	6.120845	5.97238	8.60176	8.885635
"ENSMUSG00000024526"	8.79637	7.27923	13.14111	13.14965
"ENSMUSG00000024527"	7.88881	8.013325	9.78379	9.276925
"ENSMUSG00000024528"	7.71043	7.8909	7.83142	7.78129
"ENSMUSG00000024529"	10.55825	10.43708	8.99605	9.77025
"ENSMUSG00000024530"	4.59033	4.312635	4.298915	5.17826
"ENSMUSG00000024532"	3.12215	2.94407	3.19596	3.12834
"ENSMUSG00000024533"	8.61834	8.749575	9.01503	9.3537
"ENSMUSG00000024534"	4.50563	3.652485	6.47393	6.15289
"ENSMUSG00000024535"	7.67801	7.00773	7.43331	6.73475
"ENSMUSG00000024537"	8.35857	8.319585	8.017565	8.18189
"ENSMUSG00000024538"	10.23527	10.39903	9.68969	9.40097
"ENSMUSG00000024539"	6.919435	7.0215025	6.9838475	7.252685
"ENSMUSG00000024542"	8.71656	8.67112	8.38675	8.26659
"ENSMUSG00000024544"	5.39328	5.31058333333333	6.27633	5.82075
"ENSMUSG00000024552"	3.17466	3.076605	3.093895	3.150045
"ENSMUSG00000024553"	2.817585	2.80946	4.151555	4.064875
"ENSMUSG00000024556"	7.903505	7.99583	7.058845	6.91273
"ENSMUSG00000024558"	3.10648	2.98311	2.85032	3.1388
"ENSMUSG00000024560"	6.37507	6.510835	6.489565	6.563865
"ENSMUSG00000024561"	6.38297333333333	6.4199	5.79044666666667	5.85732333333333
"ENSMUSG00000024563"	9.47994	9.41479	9.22271	9.09463
"ENSMUSG00000024565"	3.73158	3.606545	3.70398	3.904955
"ENSMUSG00000024566"	6.97093333333333	7.32112666666667	6.90754333333333	6.75249666666667
"ENSMUSG00000024570"	8.93918	9.01002	9.14578	9.27895
"ENSMUSG00000024571"	9.53139	9.42913	9.52746	9.31353
"ENSMUSG00000024575"	2.15254	2.2467	2.22537	2.26873
"ENSMUSG00000024576"	9.0771825	9.00913	9.079235	9.2414475
"ENSMUSG00000024578"	3.90394	4.09772	3.62543	3.90394
"ENSMUSG00000024579"	4.1981	4.15989	4.118	3.5145
"ENSMUSG00000024580"	7.516275	7.67538	8.33166	8.35296
"ENSMUSG00000024581"	7.91928333333333	7.91725666666667	7.77448333333333	7.69884
"ENSMUSG00000024583"	9.1264675	9.2158	9.4060025	9.558355
"ENSMUSG00000024587"	11.18281	11.124415	10.726935	10.867605
"ENSMUSG00000024588"	10.39471	10.55183	10.5523333333333	10.7043733333333
"ENSMUSG00000024589"	6.097986	5.820354	6.322378	6.236336
"ENSMUSG00000024590"	7.22391	6.31451	6.76347	6.68347
"ENSMUSG00000024592"	7.678105	7.7903	8.04356	8.169025
"ENSMUSG00000024593"	2.62745	2.50394	3.52122	2.72592
"ENSMUSG00000024594"	6.4519325	6.6049075	6.1352175	6.221195
"ENSMUSG00000024597"	7.00844666666667	7.27120666666667	7.70543	7.67015333333333
"ENSMUSG00000024598"	2.615175	2.87015	3.021815	3.39125
"ENSMUSG00000024601"	10.279125	10.4900625	9.7009975	9.77439
"ENSMUSG00000024603"	8.1668775	8.2004575	7.97789	8.0496
"ENSMUSG00000024604"	9.12679	8.81372	9.85247	9.32673
"ENSMUSG00000024608"	12.49489	12.30795	12.27532	12.25112
"ENSMUSG00000024610"	13.5159	12.66631	12.13277	11.22697
"ENSMUSG00000024613"	8.16168333333333	8.00414666666667	7.80904666666667	7.61246666666667
"ENSMUSG00000024614"	8.90178333333333	8.76401333333333	8.74679666666667	8.69559
"ENSMUSG00000024617"	4.361868	3.571448	3.752464	3.553544
"ENSMUSG00000024619"	3.13787	3.04321	2.8295	3.09054
"ENSMUSG00000024620"	8.791405	7.424065	9.504055	9.015915
"ENSMUSG00000024621"	11.5704366666667	10.1505533333333	9.14146666666667	8.21545333333333
"ENSMUSG00000024622"	7.23281	7.38247	7.34174	7.19596
"ENSMUSG00000024639"	8.58615666666667	8.83030333333333	8.33136666666667	8.35978
"ENSMUSG00000024640"	12.300435	12.436555	9.90353	10.42402
"ENSMUSG00000024642"	6.727095	6.069555	6.519825	6.391795
"ENSMUSG00000024644"	12.034085	11.54304	10.601525	10.64191
"ENSMUSG00000024645"	10.56611	10.75052	11.3952	11.3475
"ENSMUSG00000024646"	12.27091	12.30578	11.52842	11.62666
"ENSMUSG00000024647"	2.60369	2.80164	3.0234	2.74958
"ENSMUSG00000024650"	2.66433	2.8536	2.718495	2.958255
"ENSMUSG00000024653"	2.61515	2.65136	2.0953	2.53727
"ENSMUSG00000024654"	8.3321025	8.9004675	7.879855	8.0764375
"ENSMUSG00000024659"	13.32284	13.13741	11.5162	11.59114
"ENSMUSG00000024660"	6.64753333333333	6.30451	5.53978333333333	5.62204
"ENSMUSG00000024661"	13.11925	13.08556	13.02438	13.09585
"ENSMUSG00000024663"	8.996735	7.792755	6.03769	5.233185
"ENSMUSG00000024664"	11.5266366666667	11.8358	9.08154	9.86912666666667
"ENSMUSG00000024665"	5.81451	6.20951	5.62619	6.00694
"ENSMUSG00000024666"	5.85797	6.29683	5.6805	5.40409
"ENSMUSG00000024667"	10.186665	10.61354	8.91108	9.40667
"ENSMUSG00000024668"	9.761925	10.000005	9.86187	10.056435
"ENSMUSG00000024669"	2.68439	2.53784	2.49392	2.46665
"ENSMUSG00000024670"	4.26681	4.06517	3.40779	3.73265
"ENSMUSG00000024672"	7.623595	5.72266	5.258555	4.466945
"ENSMUSG00000024673"	3.45485	3.13431	4.30215	4.75281
"ENSMUSG00000024675"	5.34556	3.771065	3.751735	4.26191
"ENSMUSG00000024677"	8.41124	6.86012	5.75211	5.456555
"ENSMUSG00000024678"	7.88138	6.6969	5.11501	3.3889
"ENSMUSG00000024679"	10.588405	8.67574	6.90218	6.757695
"ENSMUSG00000024680"	2.260905	2.46109	2.227705	2.492795
"ENSMUSG00000024681"	3.86983	3.6417	3.6417	3.62406
"ENSMUSG00000024682"	3.10648	2.95651	2.55599	2.82188
"ENSMUSG00000024683"	10.98807	11.08081	11.67756	11.87162
"ENSMUSG00000024687"	11.01877	10.84705	11.29709	11.28913
"ENSMUSG00000024691"	10.07558	8.34155	8.17732	8.22705
"ENSMUSG00000024694"	2.26873	2.31606	2.16572	2.26873
"ENSMUSG00000024695"	7.40148833333333	7.64609666666667	7.776215	7.764875
"ENSMUSG00000024696"	8.30004	6.03415	4.97327	3.74823
"ENSMUSG00000024697"	2.82736333333333	2.59007	2.93457	2.95823333333333
"ENSMUSG00000024712"	8.81383	8.86289666666667	9.63367	9.40340666666667
"ENSMUSG00000024713"	5.2695075	5.6525975	5.155935	5.1376
"ENSMUSG00000024725"	7.92072	7.29973	7.800755	7.630125
"ENSMUSG00000024726"	9.462745	9.644425	10.03201	10.0331
"ENSMUSG00000024727"	4.43834	4.55593	4.54375	4.483955
"ENSMUSG00000024728"	2.32748	2.2808	2.38589	2.2882
"ENSMUSG00000024729"	2.36825	2.65298	2.37925	2.64029
"ENSMUSG00000024730"	7.33145	6.91498	4.0625	5.05016
"ENSMUSG00000024731"	2.55309	2.75017	2.93788	2.72592
"ENSMUSG00000024732"	6.73078666666667	6.88952333333333	6.11646	6.60607333333333
"ENSMUSG00000024734"	2.80216	2.86114	2.45903	2.76919
"ENSMUSG00000024735"	9.303236	9.56983	9.55862	9.4511
"ENSMUSG00000024736"	7.71858	7.2683	6.77143	6.44242
"ENSMUSG00000024737"	9.7382	7.23152	6.63139	5.90755
"ENSMUSG00000024738"	2.97089	3.28195	2.83585	2.87921
"ENSMUSG00000024740"	10.08979	10.49494	9.85735	9.85138
"ENSMUSG00000024742"	9.58238	8.993495	8.632415	8.51126
"ENSMUSG00000024743"	4.34281	4.349085	6.6659725	6.4104675
"ENSMUSG00000024747"	11.68131	12.10837	11.77704	12.03447
"ENSMUSG00000024749"	2.629005	2.48064	2.552025	2.535745
"ENSMUSG00000024750"	9.371786	9.13834	9.239082	9.38673
"ENSMUSG00000024754"	6.82427	6.43308	6.89925	7.00174
"ENSMUSG00000024757"	2.52921	2.38434	2.26022	2.50814
"ENSMUSG00000024758"	11.308165	11.358015	10.930275	10.964595
"ENSMUSG00000024759"	9.17073	9.398618	8.485046	8.837462
"ENSMUSG00000024761"	12.35587	12.32902	12.43488	12.35942
"ENSMUSG00000024764"	6.65981	6.85989	6.94395	6.3902
"ENSMUSG00000024766"	6.116875	6.066655	5.79197	6.03801
"ENSMUSG00000024767"	8.07858	8.35524	6.79695	7.29392
"ENSMUSG00000024768"	8.85951	7.07683	4.20851	4.28894
"ENSMUSG00000024769"	6.82411	7.79537	6.58341	6.73782
"ENSMUSG00000024770"	2.47185	2.41754	2.52349	2.29626
"ENSMUSG00000024771"	2.19356	2.55987	2.1864	2.55091
"ENSMUSG00000024772"	9.4785525	9.9197675	9.6388675	9.6217175
"ENSMUSG00000024773"	8.13382	8.47345	8.39824	8.34354
"ENSMUSG00000024774"	3.36087	3.36087	2.98003	3.33615
"ENSMUSG00000024776"	9.13261	9.10647	6.42011	7.11047
"ENSMUSG00000024777"	6.84634	7.22579	6.8484	7.25591
"ENSMUSG00000024778"	10.2179	10.45235	10.31473	10.15106
"ENSMUSG00000024780"	8.738055	8.87133	8.779845	9.037115
"ENSMUSG00000024781"	11.0465666666667	9.16694666666667	9.09862666666667	9.36842333333333
"ENSMUSG00000024782"	9.66772666666667	10.01355	9.99467333333333	9.96521666666667
"ENSMUSG00000024784"	3.01706	3.15576	2.52515	2.72592
"ENSMUSG00000024785"	8.71313	9.42672	8.84049	8.86382
"ENSMUSG00000024786"	3.10221	2.66267	4.58029	3.46478
"ENSMUSG00000024787"	7.49995	7.58874	7.95601	7.54153
"ENSMUSG00000024789"	8.474985	8.776025	8.794415	8.53367
"ENSMUSG00000024790"	5.349445	5.690695	5.242685	5.19937
