"sWAT_M06(r1)"	"sWAT_M06(r2)"	"sWAT_M06(r3)"	"sWAT_M06(r4)"	"BAT_M06(r1)"	"BAT_M06(r2)"	"BAT_M06(r3)"	"BAT_M06(r4)"
"ENSMUSG00000000301"	5.54261	5.63511	5.38776	5.73793	6.84789	6.71616	6.99123	6.66505
"ENSMUSG00000000303"	4.30754	3.80628	5.03058	4.00241	2.57196	2.67574	2.48623	2.98445
"ENSMUSG00000000305"	4.01966333333333	3.76028333333333	3.98999	3.80182	4.21153	3.79665333333333	3.74993333333333	3.94368666666667
"ENSMUSG00000000308"	3.219745	3.3347	3.294705	3.363975	3.362165	3.352135	3.33908	3.512625
"ENSMUSG00000000317"	6.15958	6.75328	6.16813	6.48432	6.79575	7.12443	7.00778	7.12443
"ENSMUSG00000000318"	9.96346	10.082	8.41832	10.49521	7.08348	8.48211	8.48992	9.63501
"ENSMUSG00000000320"	3.51219	3.461085	3.575415	3.23515	3.617085	3.770755	3.446435	3.70783
"ENSMUSG00000000325"	4.60131666666667	4.82601333333333	4.55089333333333	4.60236333333333	5.0983	5.08707333333333	4.93173	5.20224666666667
"ENSMUSG00000000326"	9.8312	10.545335	8.79736	10.033875	10.68701	11.200255	10.767335	10.49485
"ENSMUSG00000000339"	8.9444	8.56331	9.33529	8.6852	9.79841	9.77452	9.62123	9.11506
"ENSMUSG00000000340"	8.27426	8.54728	8.72825	8.00204	10.17556	9.60455	9.92881	9.8782
"ENSMUSG00000000346"	11.86236	11.65102	12.16805	11.69697	11.33763	11.3738	11.26141	11.03893
"ENSMUSG00000000355"	10.23389	9.96048	10.48712	9.98973	10.74462	10.71882	10.85154	10.60578
"ENSMUSG00000000359"	4.25312	4.58801	4.41739	4.70269	4.758985	4.78777	4.63852	4.90039
"ENSMUSG00000000365"	2.88445333333333	2.86555	3.079	2.70575666666667	2.89729	2.96925333333333	2.77862	2.94473
"ENSMUSG00000000374"	8.78741	8.68708	8.56184	8.74232	9.14304	9.04887	9.23512	8.62018
"ENSMUSG00000000378"	9.71522333333333	9.47594333333333	9.14895	9.68549666666667	8.21374666666667	8.32327333333333	8.51802666666667	8.62156666666667
"ENSMUSG00000000381"	4.18753	4.52561	4.5241	4.48134	4.93059	4.68046	4.62417	4.59365
"ENSMUSG00000000384"	6.4135675	6.1028	6.0937875	6.321005	7.7698275	7.6928825	7.2132225	6.8660675
"ENSMUSG00000000385"	3.64836666666667	3.74322333333333	4.11532666666667	3.75964	3.97058333333333	3.74598	3.63281333333333	3.93175333333333
"ENSMUSG00000000386"	6.79181	7.11548	7.54146	7.5502	3.72563	3.56748	4.65955	5.15897
"ENSMUSG00000000392"	8.22802	8.76851	8.84406	8.60697	6.16157	6.93846	6.64137	8.40077
"ENSMUSG00000000394"	2.35452	2.75852	2.8769	2.81051	2.71759	2.79029	2.80023	2.77895
"ENSMUSG00000000399"	10.96565	10.9696	9.13887	10.59614	12.81905	12.69092	12.61068	12.28815
"ENSMUSG00000000402"	2.65382	2.97378	3.12732	2.28786	2.42296	2.48372	2.32839	2.38166
"ENSMUSG00000000409"	8.53115333333333	7.99120333333333	6.97024333333333	8.60372666666667	5.37851	5.44800333333333	5.59674666666667	5.85231
"ENSMUSG00000000411"	2.44227	3.46649	2.8122	2.82075	3.31307	3.04111	3.06551	2.9088
"ENSMUSG00000000416"	3.53996	3.485	4.7508	3.63188	2.52704	3.6914	3.3337	2.89341
"ENSMUSG00000000420"	9.0018	8.71821	8.659725	9.014525	8.739735	8.718085	8.836115	8.55272
"ENSMUSG00000000435"	2.16366	2.12373	2.11912	2.06797	2.24545	2.15063	2.41521	2.90199
"ENSMUSG00000000439"	6.31964333333333	6.42373666666667	6.13957	6.28967333333333	7.13835	6.81046333333333	6.84449333333333	7.05312666666667
"ENSMUSG00000000440"	9.38856	9.55345	9.94676	9.06583	10.69027	10.90282	10.99731	10.88352
"ENSMUSG00000000441"	9.037985	9.245415	7.053725	9.276705	9.27047	9.170695	8.84786	9.19732
"ENSMUSG00000000486"	5.68242	5.44203	5.59507	5.68244	5.47491	5.30889	4.9592	5.13485
"ENSMUSG00000000489"	5.446025	5.727845	5.128605	5.646945	6.010335	6.119415	6.29444	5.985065
"ENSMUSG00000000530"	5.47026	5.772155	4.778985	5.945015	5.594105	5.89476	5.81463	6.06606
"ENSMUSG00000000531"	6.08431	6.77202	7.023825	6.64807	7.01566	7.48624	7.13361	6.863405
"ENSMUSG00000000532"	8.59525	8.47027	9.13694	8.86333	6.931	6.95066	7.44937	7.81042
"ENSMUSG00000000538"	5.2784775	5.3930075	5.4244825	5.1898825	5.4654675	5.6183025	5.6611475	5.475405
"ENSMUSG00000000544"	4.263835	4.25786	4.499395	4.182125	4.826555	4.642765	4.59737	4.62717
"ENSMUSG00000000552"	4.94767	5.20351	5.12705	5.31504	5.05355	5.4046	5.09102	5.76418
"ENSMUSG00000000555"	4.19781	4.28353	4.14805	4.5063	4.77018	4.60963	4.59363	4.6904
"ENSMUSG00000000560"	2.71260333333333	2.84523666666667	2.73351	2.73000666666667	2.92774	2.86808666666667	2.80254666666667	2.93676
"ENSMUSG00000000561"	6.82285666666667	6.89583	6.74050333333333	6.78126666666667	6.77964	6.71002666666667	6.57979333333333	6.94573666666667
"ENSMUSG00000000562"	2.72238	2.80852	2.86143	2.67671	2.73431	2.79914	2.49235	2.78293
