"sWAT_M06(r1)"	"sWAT_M06(r2)"	"sWAT_M06(r3)"	"sWAT_M06(r4)"	"BAT_M06(r1)"	"BAT_M06(r2)"	"BAT_M06(r3)"	"BAT_M06(r4)"
"ENSMUSG00000022543"	3.11056	3.20549	3.04317	2.871435	3.393065	3.40648	3.185315	3.3112
"ENSMUSG00000022544"	5.41593	5.02444	5.37912	5.35186	6.40052	6.25916	6.16552	6.1158
"ENSMUSG00000022545"	5.50204	5.5924175	5.54005	5.6182075	5.2582825	5.31034	5.0999525	5.28086
"ENSMUSG00000022546"	8.00955	8.50535	7.63529	7.60002	9.29705	9.78501	9.30229	8.85033
"ENSMUSG00000022548"	5.996815	6.95643	6.39043	6.648255	7.28863	7.483365	7.61356	7.719765
"ENSMUSG00000022550"	6.72862	6.79052	5.49614	7.2065	6.35453	6.21219	6.42407	6.82144
"ENSMUSG00000022551"	10.94497	11.01766	10.61967	10.95462	13.36914	13.22147	13.22998	12.90664
"ENSMUSG00000022552"	7.83968	7.970975	7.652365	8.442595	7.016385	7.49912	7.292115	7.214225
"ENSMUSG00000022553"	9.297235	9.106595	7.791415	9.213565	9.512995	9.50614	9.5388	9.271495
"ENSMUSG00000022554"	7.65765	7.656775	7.31571	7.631975	7.413335	7.558065	7.500335	7.52745
"ENSMUSG00000022555"	8.59001	9.85208	5.09737	9.58709	11.43515	11.74767	11.30576	10.12748
"ENSMUSG00000022556"	7.49273	7.17341	6.78593	7.14694	7.02499	6.65953	6.65477	6.99957
"ENSMUSG00000022557"	7.29775	7.1846	6.1319	7.56728	7.00203	6.91297	7.16804	7.06772
"ENSMUSG00000022558"	6.073715	6.71386	6.361805	6.8063	6.54025	6.41644	6.47118	6.38965
"ENSMUSG00000022559"	6.56637	6.34758	4.20724	6.60366	7.14111	6.73458	6.63853	6.58905
"ENSMUSG00000022560"	6.109094	5.986424	6.351274	6.144522	7.077122	6.691196	6.555558	6.403708
"ENSMUSG00000022561"	6.85593	7.26695	6.27542	7.39266	7.48478	7.34342	7.34342	7.2195
"ENSMUSG00000022562"	5.87241	5.769655	4.707165	5.76588	6.91987	6.85596	6.803285	6.78159
"ENSMUSG00000022564"	9.277215	10.08601	8.57258	9.99679	10.55265	10.4171	10.386225	10.55018
"ENSMUSG00000022565"	6.61026666666667	6.62516333333333	6.24383666666667	7.16423666666667	6.98658	7.03806666666667	6.86872666666667	6.90208666666667
"ENSMUSG00000022568"	6.66993	5.95483	5.80939	6.98659	6.42184	6.38865	6.5934	6.32062
"ENSMUSG00000022570"	8.10846	8.21586	8.04604	8.12205	8.52044	8.33099	8.3771	8.40639
"ENSMUSG00000022571"	6.93885	6.83572	6.10601	6.85885	8.0899	8.06838	8.19978	8.05454
"ENSMUSG00000022574"	5.77675	5.95068	5.8381	6.01639	7.86866	8.07668	7.7914	7.9972
"ENSMUSG00000022575"	7.47253	8.13365	6.33646	8.73766	6.07658	6.47531	6.56184	7.0553
"ENSMUSG00000022577"	4.43564	4.62944	4.16275	4.16887	4.28856	4.29623	4.18635	4.46839
"ENSMUSG00000022579"	9.18747	9.72946	6.78533	9.43877	10.97644	11.08769	11.10276	10.79438
"ENSMUSG00000022580"	4.03949	3.50049	4.18955	4.26998	4.35317	4.30217	4.21049	4.2947
"ENSMUSG00000022583"	3.7328	3.81686	3.78648	4.04094	3.73831	3.78697	3.73843	3.74441
"ENSMUSG00000022584"	10.30948	11.71863	11.1852	11.84885	11.14518	11.19507	11.54598	12.04419
"ENSMUSG00000022586"	6.0831	6.23384	5.7722	7.51451	5.94869	6.33834	5.88506	6.62947
"ENSMUSG00000022587"	7.518105	8.70186	7.475625	9.414455	7.415815	7.187305	7.9487	9.023455
"ENSMUSG00000022589"	3.56432	3.62569	3.5459	3.58777	3.64705	3.67466	3.82281	3.97496
"ENSMUSG00000022594"	5.76909	6.10551	6.00275	5.99895	7.11148	7.09975	7.23961	7.86436
"ENSMUSG00000022595"	5.04364	5.49562	5.84123	5.84123	5.81685	5.69291	5.39148	5.65389
"ENSMUSG00000022596"	5.60018	5.7852	5.88134	5.55459	6.15197	5.90325	5.76911	5.79641
"ENSMUSG00000022598"	5.21255	5.60458	5.89605	5.80781	6.09428	6.07358	5.81643	5.59314
"ENSMUSG00000022601"	9.41243	8.84096	9.55358	8.7321	8.37567	8.61973	8.49375	8.08844
"ENSMUSG00000022602"	5.47297	4.66609	5.07081	5.55417	4.80939	4.94164	4.56579	4.83449
"ENSMUSG00000022603"	4.54149	4.67088	4.79579	4.56641	4.79138	4.70792	4.58613	4.94877
"ENSMUSG00000022604"	6.32137	6.01386666666667	6.14550333333333	5.99739	5.15522	5.14671666666667	5.56617666666667	5.60432666666667
"ENSMUSG00000022607"	4.952405	5.146	4.81364	4.69396	4.942355	4.857495	4.974455	4.984635
"ENSMUSG00000022610"	6.77433	7.26169	5.69934	6.70872	7.24002	7.72434	7.27682	7.72936
"ENSMUSG00000022613"	3.63683	3.38742	3.29199	3.45514	3.7668	3.70874	3.60799	3.7061
"ENSMUSG00000022614"	6.8762	7.1427	5.8317	6.92703	7.22161	7.0462	6.80245	7.07213
"ENSMUSG00000022615"	6.85316	6.65068	6.05893	6.68263	8.63151	8.51398	8.36643	8.04036
"ENSMUSG00000022617"	7.394655	7.66666	6.433915	7.01107	11.37377	11.379325	11.28785	10.197625
"ENSMUSG00000022619"	4.4951775	4.74597	4.6354975	4.62535	5.19336	4.9960825	5.01206	4.97506
"ENSMUSG00000022620"	8.00312	8.51498	7.57016	8.25107	9.0959	9.10034	8.96837	8.81196
"ENSMUSG00000022621"	6.36742	5.96698	5.78886	5.8079	5.67522	5.58638	6.13791	6.58457
"ENSMUSG00000022622"	3.64246	3.693	4.40299	4.05178	4.02401	4.22695	4.06027	3.93524
"ENSMUSG00000022623"	6.29271	6.4306	6.4306	6.13893	6.78353	7.32406	7.53777	6.52096
"ENSMUSG00000022629"	5.534	5.533065	6.049855	4.971265	6.700165	6.53186	6.815685	6.66461
"ENSMUSG00000022634"	9.15685	9.070695	9.04245	8.78658	9.782195	9.59803	9.833165	9.61516
"ENSMUSG00000022635"	6.278705	6.41801	6.41868	6.261035	6.844195	6.75541	6.78409	6.634695
"ENSMUSG00000022636"	7.272315	7.88816	7.35704	7.1574275	4.7999175	4.9905175	5.19831	5.7932475
"ENSMUSG00000022637"	8.055275	8.216875	8.30252	7.67154	6.495815	6.791335	6.98043	7.0711
"ENSMUSG00000022639"	7.10869	7.24476	7.09776	7.04276	4.87093	4.16723	5.65933	6.48555
"ENSMUSG00000022641"	6.575476	6.269408	6.051312	6.26357	5.632936	5.586696	5.969424	5.9666
"ENSMUSG00000022650"	2.52	3.32791	3.57673	3.22608	3.51486	3.39124	3.25328	3.6085
"ENSMUSG00000022652"	3.40455	2.69335	2.96231	2.42441	2.7205	2.8246	3.05564	2.85039
"ENSMUSG00000022656"	4.00539166666667	4.18373833333333	4.328225	3.91305666666667	3.734395	3.58870666666667	3.84141	4.2071
"ENSMUSG00000022657"	7.38779	6.65972	7.24087	7.21285	5.02374	4.73878	4.67985	4.74943
"ENSMUSG00000022658"	4.05535	4.0482	4.30379	4.09891	4.70957	4.41227	4.50844	4.70541
"ENSMUSG00000022659"	6.564735	5.95487	7.141675	5.11185	4.09891	4.03631	3.862265	3.905785
"ENSMUSG00000022661"	8.66445	8.62012	10.00172	8.24955	8.10955	9.33331	8.58725	8.44378
"ENSMUSG00000022663"	6.815875	6.816375	6.87871	6.736755	6.651955	6.60892	6.773935	6.457785
"ENSMUSG00000022664"	6.31066	5.77268333333333	6.10987333333333	5.63951333333333	5.29151666666667	5.62191666666667	5.91943333333333	5.66636333333333
"ENSMUSG00000022665"	10.5033	10.703005	9.81577	10.414265	7.288755	7.69491	8.680545	9.3775
"ENSMUSG00000022667"	4.902625	4.361365	5.00058	4.39183	3.668595	4.12908	4.12577	4.271485
"ENSMUSG00000022668"	5.19171	5.56342	4.77733	5.21321	5.329015	5.384185	5.18411	5.408025
"ENSMUSG00000022671"	7.48083	7.74678	7.12447	7.63215	8.70111	8.92218	8.98991	8.68706
"ENSMUSG00000022672"	8.01128	7.40692	7.2537	7.50595	6.06921	6.3615	6.56552	6.6251
"ENSMUSG00000022673"	10.12483	9.339585	10.212025	9.81022	6.32298	6.956815	7.600345	7.600725
"ENSMUSG00000022674"	6.18563	5.888785	6.42822	5.642465	5.293555	5.358355	5.427665	5.7288875
"ENSMUSG00000022676"	6.49306	6.57781	7.476105	6.28146	5.847595	6.279975	6.249695	6.292575
"ENSMUSG00000022677"	9.3392	9.36498	9.42456	9.10476	9.7748	9.6098	9.70513	9.82134
"ENSMUSG00000022678"	6.94089	6.80887	6.07505	7.21411	6.49344	6.64387	6.89602	6.59727
"ENSMUSG00000022679"	5.1295	5.31661	5.16571	5.11296	5.49903	5.5499	5.4441	5.51422
"ENSMUSG00000022680"	5.71603333333333	6.40478	5.86654	6.22046666666667	6.62919333333333	6.68248333333333	6.77669333333333	7.23345333333333
"ENSMUSG00000022681"	9.249485	9.233705	9.12992	9.15115	10.04351	10.00579	10.097895	9.946295
"ENSMUSG00000022682"	7.44236	7.4898	4.15651	7.42989	7.65882	7.83477	7.42845	7.71413
"ENSMUSG00000022683"	5.39638	5.25842	5.66908	5.52877	5.69972	5.90325	5.71767	5.71322
"ENSMUSG00000022684"	7.4975925	7.600035	7.5729325	7.6095225	8.217025	8.097825	8.2701775	7.5888225
"ENSMUSG00000022685"	7.416585	7.299	7.112315	7.335215	7.323195	7.182875	7.57989	7.830775
"ENSMUSG00000022686"	6.92076	6.36313	6.308965	6.549205	3.698255	3.473785	3.311185	3.45584
"ENSMUSG00000022687"	4.922875	5.35538	5.064775	4.897455	5.329775	5.46742	5.33855	5.47682
"ENSMUSG00000022696"	6.72125	6.26228	5.37852	6.57782	4.070345	3.93222	3.63356	3.77285
"ENSMUSG00000022698"	8.47596333333333	8.25227333333333	9.02477333333333	8.10905333333333	8.65558333333333	8.82066333333333	8.70859	8.65184666666667
"ENSMUSG00000022701"	4.419235	4.46728	4.943835	4.429745	4.74938	4.63947	4.51874	4.707315
"ENSMUSG00000022702"	5.7666	5.76619	5.61459333333333	5.89728333333333	5.72802	5.65456	5.78124666666667	5.47551
"ENSMUSG00000022704"	5.38915	5.206905	5.929495	5.25262	4.67385	4.874345	5.30351	5.217045
"ENSMUSG00000022705"	2.52	3.14623	2.77543	2.80835	3.14623	2.94296	3.14565	2.80068
"ENSMUSG00000022706"	9.62711	9.07474	8.28919	9.13891	10.02908	10.06107	10.15109	9.80441
"ENSMUSG00000022707"	8.22531	8.02045	8.2071	7.21062	10.95649	11.09187	10.52699	9.4292
"ENSMUSG00000022708"	8.67708625	8.71807125	7.90411875	8.11936875	8.8054925	8.97381	9.04991875	8.64779875
"ENSMUSG00000022710"	8.29420333333333	8.24318666666667	7.12441333333333	8.41258	7.61819166666667	7.56455333333333	7.64331333333333	7.48901333333333
"ENSMUSG00000022711"	6.18662	6.24025666666667	5.05637	6.45722333333333	6.65512333333333	6.64018333333333	6.76891666666667	6.10884333333333
"ENSMUSG00000022715"	4.31468	4.2379	4.65413	4.43737	5.10659	5.01693	4.99577	4.69938
"ENSMUSG00000022718"	6.50230666666667	6.26549	6.51376666666667	6.53027666666667	6.12566	6.18023666666667	6.02314666666667	6.05792333333333
"ENSMUSG00000022721"	7.029075	7.0008175	6.7063625	7.226815	6.4712925	6.552135	6.5860875	6.57825
"ENSMUSG00000022722"	7.29893	6.99428	7.65282	6.78116	7.24681	7.47484	8.02446	7.54049
"ENSMUSG00000022723"	5.83012	6.35497	6.7164	5.91138	6.68418	6.98555	6.63381	6.34219
"ENSMUSG00000022724"	6.6439325	6.43902	6.298785	6.3323525	6.315115	6.1152725	6.2147425	6.2641675
"ENSMUSG00000022738"	4.28517	4.53744	4.17174	4.3203	4.82298	4.65158	4.6258	4.54513
"ENSMUSG00000022742"	5.079545	4.735085	5.722965	4.909065	4.236275	4.404515	4.791275	4.790315
"ENSMUSG00000022744"	7.1647	6.777055	7.22445	6.67219	7.619525	7.60727	7.72973	7.29514
"ENSMUSG00000022747"	7.18224	7.22617666666667	7.10335333333333	6.94479333333333	7.62667666666667	7.34624	7.98247666666667	7.14049666666667
"ENSMUSG00000022748"	6.44219	6.41623	6.71034	6.56826	6.96062	6.95326	6.844385	6.987625
"ENSMUSG00000022749"	6.76317	6.510245	5.87829	6.08353	6.6231	6.564855	6.897885	6.64369
"ENSMUSG00000022750"	8.05103	8.39456	8.11692	8.04083	8.1323	8.02738	8.00202	8.80363
"ENSMUSG00000022751"	7.75128	7.35531	6.69268	7.27758	9.4858	9.38983	9.70392	9.52095
"ENSMUSG00000022752"	9.11999333333333	8.93764	9.53319	9.01852666666667	9.63345333333333	9.64006333333333	9.67023333333333	9.35695
"ENSMUSG00000022753"	3.278245	3.4247	3.692545	3.61258	4.17635	3.818035	3.623875	3.677055
"ENSMUSG00000022754"	5.68226	5.87385	5.58192	5.2421	6.62167	5.15029	5.00225	5.65389
"ENSMUSG00000022756"	5.72336	5.820065	5.68248	5.81238	6.23712	6.30246	6.140855	6.373115
"ENSMUSG00000022757"	9.51925	9.22986	9.38176	9.2627	9.58318	9.57995	9.42488	9.7055
"ENSMUSG00000022758"	4.892945	5.222965	4.912935	4.9276	5.875835	5.674445	5.68739	5.58273
"ENSMUSG00000022759"	3.42314	3.10713	3.34683	3.1484	3.76238	3.41149	3.22376	3.49626
"ENSMUSG00000022760"	6.40055333333333	6.11501333333333	6.45978	6.38700333333333	6.70538	6.47939666666667	6.51220666666667	6.37357
"ENSMUSG00000022761"	7.726195	7.677345	7.287645	7.751395	7.481275	7.284425	7.371865	8.222295
"ENSMUSG00000022762"	3.15833	3.19052333333333	3.83230666666667	3.16057333333333	3.65185	3.27909333333333	3.24242666666667	3.33854333333333
"ENSMUSG00000022763"	4.395915	4.652975	4.76581	4.647745	5.004295	4.741185	4.872315	4.911925
"ENSMUSG00000022765"	6.07140333333333	5.97242333333333	6.24543666666667	6.00757	6.11038	5.92601666666667	6.15968333333333	5.97034333333333
"ENSMUSG00000022766"	4.58225	5.08028	5.04749	5.06146	5.17763	5.03594	5.05685	5.16423
"ENSMUSG00000022768"	2.6493	2.64376	2.84859	2.865	2.98514	2.83615	2.83625	2.77155
"ENSMUSG00000022769"	8.65581	8.59619	7.61124	8.5703	6.17064	6.40524	6.37348	7.34227
"ENSMUSG00000022770"	6.67830333333333	6.27107666666667	6.33041	6.29048666666667	6.34821	6.14020333333333	5.98728	6.09734666666667
"ENSMUSG00000022771"	7.311465	7.305755	5.748045	7.605885	6.96977	6.837695	7.04093	7.053605
"ENSMUSG00000022772"	4.59637	4.39148	4.51946	4.45439	5.29468	4.80535	5.16025	4.91012
"ENSMUSG00000022773"	3.73026666666667	4.00201	4.10417666666667	4.0127	4.65040333333333	4.37514666666667	4.44663333333333	4.50466
"ENSMUSG00000022774"	8.40979666666667	8.27074666666667	7.67599333333333	8.2683	8.12151333333333	8.17988333333333	8.38820666666667	8.37402333333333
"ENSMUSG00000022779"	7.345325	7.2294	6.97929	7.303575	7.228295	7.38832	7.33919	7.19836
"ENSMUSG00000022780"	4.52338	4.50707	4.86635	4.85292	5.07375	5.02591	4.82051	4.86396
"ENSMUSG00000022781"	8.330275	7.71143	8.428625	8.24914	6.94038	7.24689	7.255095	7.50467
"ENSMUSG00000022783"	9.053105	9.368625	9.5125	9.141955	9.171845	9.12562	9.18191	9.3238
"ENSMUSG00000022787"	6.736245	6.482355	5.83065	6.79464	7.08731	6.41267	6.75073	6.605515
"ENSMUSG00000022788"	4.156255	4.5146525	4.59603	4.2054275	4.4424425	4.67267	4.821285	4.41684
"ENSMUSG00000022789"	7.2281	6.95549333333333	7.16233666666667	6.89188	7.60559	7.54107	7.48365333333333	7.01476666666667
"ENSMUSG00000022790"	3.04408	3.18979	3.14788	3.10599	3.24642	3.24054	3.02295	3.21575
"ENSMUSG00000022791"	7.161155	6.972255	6.78129	7.24409	6.901295	6.875815	6.66326	7.42875
"ENSMUSG00000022792"	6.99134	6.1673	6.90476	6.15647	7.72894	7.82109	7.81741	7.63359
"ENSMUSG00000022793"	4.78638	4.82976	3.50967	4.66841	4.46068	5.02542	4.72292	5.05568
"ENSMUSG00000022797"	4.79500333333333	4.78109666666667	5.01051833333333	4.80923166666667	5.6999	5.741325	6.02958	5.75044833333333
"ENSMUSG00000022798"	3.17492	3.08996	3.34774	3.10555	3.11028	3.3069	3.34452	3.18642
"ENSMUSG00000022799"	5.8598825	6.1382875	5.9842475	5.9771025	6.2748425	6.25961	6.2715075	6.0077675
"ENSMUSG00000022800"	6.7078475	6.29786	6.514175	6.30894	7.2468675	7.1991	7.289935	6.747765
"ENSMUSG00000022801"	9.01848	8.43721	9.45835	8.58068	7.61651	7.74647	8.19155	8.41458
"ENSMUSG00000022802"	4.54618	4.14606	4.47149	4.454855	5.208385	4.89923	5.18479	4.95539
"ENSMUSG00000022803"	5.09068	5.02082	5.03764	5.15196	6.10489	5.94498	6.13265	6.6536
"ENSMUSG00000022805"	2.93586	3.08956	3.60029	3.12345	4.3264	4.34495	3.9555	3.68293
"ENSMUSG00000022807"	9.19108	9.236245	9.633415	8.962975	9.67389	9.807745	10.26207	9.4746
"ENSMUSG00000022808"	6.86258	6.954455	7.0287	6.747195	6.710345	6.67023	6.616005	6.49904
"ENSMUSG00000022809"	3.72314	3.84372	3.89944	3.874315	3.96127	4.137865	3.84303	4.019805
"ENSMUSG00000022811"	8.00408833333333	7.72374833333333	8.09297333333333	7.633275	7.29752	7.41962333333333	7.503895	7.337345
"ENSMUSG00000022812"	7.368655	7.29696333333333	7.35722166666667	7.15678833333333	7.13643166666667	7.33507	7.18186666666667	6.88372666666667
"ENSMUSG00000022814"	6.12188333333333	5.86714333333333	5.81520666666667	6.11567333333333	6.00652666666667	6.20499333333333	5.97376333333333	6.14246
"ENSMUSG00000022816"	8.31621	9.74893333333333	9.01936333333333	8.58952333333333	6.47312666666667	7.57965666666667	7.27963	8.81099666666667
"ENSMUSG00000022817"	7.9834825	8.3773	7.277295	8.20704	8.41095	8.2025975	8.4724675	9.11901
"ENSMUSG00000022820"	10.668865	10.79032	10.29512	10.653835	12.75689	12.704675	12.666475	12.51518
"ENSMUSG00000022821"	4.867505	4.73333	5.226075	4.73826	5.410605	5.225415	5.026255	5.0167
"ENSMUSG00000022822"	5.73627375	6.01827875	5.89093375	5.96650875	5.937835	5.84304625	5.755635	5.92861625
"ENSMUSG00000022824"	3.40092	3.889975	3.87944	3.78199	3.990495	3.89126	3.818355	3.904265
"ENSMUSG00000022827"	6.077345	6.031115	6.06643	6.15102	6.34049	6.35602	6.246585	6.265285
"ENSMUSG00000022828"	6.64683	6.28635	6.324125	6.271885	5.818005	5.851975	6.09991	5.764425
"ENSMUSG00000022831"	7.46583	7.92695	3.97275	8.3975	5.13858	5.20717	5.48938	6.14322
"ENSMUSG00000022832"	5.05487	5.29959	5.75642	5.39246	5.76733	5.26227	5.40124	5.34421
"ENSMUSG00000022833"	5.19491	4.97238	5.4246	5.26631	5.41534	5.23666	4.92981	5.31555
"ENSMUSG00000022836"	7.31303666666667	7.54532333333333	6.27164666666667	7.45552333333333	7.19437333333333	7.27746333333333	7.31873	7.02681333333333
"ENSMUSG00000022837"	7.03279	6.52315	7.12376	6.34879	5.33948	5.67038	5.78926	6.16802
"ENSMUSG00000022838"	8.45992	8.30201	9.66191	8.61953	7.39231	6.46161	6.32692	6.50544
"ENSMUSG00000022840"	6.16295	6.59748	6.39499	6.13546	4.80658	5.48498	5.06481	5.45749
"ENSMUSG00000022841"	8.69961	8.40731	8.52029	8.74839	8.26374	8.36897	8.3093	8.34977
"ENSMUSG00000022842"	5.48677	5.675615	5.38701	5.760965	5.899465	5.734685	5.645445	6.02265
"ENSMUSG00000022843"	3.77404	3.98208	3.51897	3.71849	3.839	3.91159	4.06587	3.90314
"ENSMUSG00000022844"	6.89217	7.26544	6.34998	6.79547	7.53153	7.32403	7.60043	8.15006
"ENSMUSG00000022847"	3.73177	4.29238	4.52647	4.66222	4.4672	4.77107	4.26195	4.67857
"ENSMUSG00000022848"	5.49563	5.711415	5.319035	5.28672	5.571035	5.636535	5.8604	5.54903
"ENSMUSG00000022849"	4.15790333333333	3.96146666666667	4.22310333333333	4.19148	4.01218666666667	4.01588333333333	3.98031333333333	3.96569333333333
"ENSMUSG00000022853"	7.35645	7.46313	8.99742	6.44206	9.16945	10.13423	10.61146	8.86578
"ENSMUSG00000022855"	7.38808	7.0259975	6.1038425	7.100805	7.0337725	6.962265	6.966175	6.8868175
"ENSMUSG00000022856"	7.21702	7.34628	6.77649	7.3529	8.39903	8.28419	7.9824	7.90222
"ENSMUSG00000022857"	3.14514	3.37191	3.84123	3.02828	3.62282	3.6365	3.43388	3.41716
"ENSMUSG00000022858"	8.4398225	8.064395	8.6311925	8.1898075	6.9375125	7.2441	7.4520425	7.114865
"ENSMUSG00000022860"	2.87229	3.14735	3.81237	3.25919	2.88118	2.8625	2.64468	3.63255
"ENSMUSG00000022861"	3.624585	3.782425	3.786575	4.100425	3.937505	3.65262	3.66962	3.584895
"ENSMUSG00000022863"	9.19585	8.97956	9.16911	8.96404	9.42343	9.55613	9.55876	9.37444
"ENSMUSG00000022864"	7.16748	6.6405075	6.79008	6.68739	5.89308	6.0651525	6.251285	6.026535
"ENSMUSG00000022865"	4.6566175	4.652265	4.53092	4.6534775	6.490865	6.1676925	6.0533375	5.9359625
"ENSMUSG00000022867"	9.30982	9.11727	9.90762	9.33043	9.40802	9.8338	9.61348	9.31403
"ENSMUSG00000022868"	4.12531	4.67088	4.69762	4.51713	4.90163	4.82521	4.69288	4.6091
"ENSMUSG00000022871"	4.3579	4.50395	4.75116	4.29327	5.16082	5.40358	5.01991	4.88887
"ENSMUSG00000022875"	3.102945	3.37386	3.489025	3.45587	6.8655	6.507325	6.24201	6.50433
"ENSMUSG00000022876"	9.0508	7.85533	8.33734	9.17137	4.46142	4.66714	4.29611	5.7098
"ENSMUSG00000022877"	3.43987	3.55001	3.93245	3.64127	4.13418	3.84422	3.73951	3.90301
"ENSMUSG00000022878"	13.43856	13.59925	13.5152	13.51953	13.54223	13.7164	13.80851	13.88028
"ENSMUSG00000022881"	7.906895	6.83815	8.255335	7.206215	6.274935	6.654845	6.797385	6.907445
"ENSMUSG00000022883"	3.86114	3.484715	4.26517	3.36835	2.980145	2.845445	2.80306	2.74181
"ENSMUSG00000022884"	12.38246	12.15277	12.30487	11.9958	11.47577	11.48628	11.84802	12.04535
"ENSMUSG00000022885"	8.037675	7.96707	8.42223	8.19096	6.788945	6.827915	6.723465	6.998815
"ENSMUSG00000022886"	4.68193	4.72506	4.98318	4.81194	5.54911	5.14153	5.03761	5.18414
"ENSMUSG00000022889"	9.96564	9.730365	10.22629	9.77332	11.29271	11.200285	11.37221	11.2254
"ENSMUSG00000022890"	11.53148	11.48942	11.8044	11.36286	11.7384	11.89917	11.78218	12.02118
"ENSMUSG00000022892"	10.138425	10.562135	10.135615	10.90982	9.67824	10.09627	10.15861	10.59919
"ENSMUSG00000022893"	7.05189	6.87004	6.86517	6.37612	6.95384	7.82956	7.68106	7.19108
"ENSMUSG00000022894"	7.88288	8.37783	7.8659175	6.9538175	5.921905	6.4442	5.8641	6.8634475
"ENSMUSG00000022895"	8.60642	9.0402	7.93179	8.42359	8.94692	8.93018	9.2475	8.94417
"ENSMUSG00000022897"	6.95589333333333	6.33914666666667	6.25033	5.98942666666667	6.06576333333333	6.03410666666667	5.82142	5.79270666666667
"ENSMUSG00000022898"	8.2941	8.3357	7.66558	8.15756	7.81133	8.06515	8.07288	7.8967
"ENSMUSG00000022899"	5.12610333333333	6.60682	6.29921	6.17717333333333	5.71138	5.80204333333333	5.24453333333333	5.52808333333333
"ENSMUSG00000022900"	4.01931	2.90825	2.99831	3.04725	2.92013	2.79497	2.76874	2.73255
"ENSMUSG00000022901"	8.226335	7.959075	8.971635	8.434535	4.448545	4.94449	5.56696	6.4012
"ENSMUSG00000022905"	7.131152	6.71222	7.042738	6.728824	6.83288	6.86661	6.865108	6.976662
"ENSMUSG00000022906"	9.84235	10.00568	10.15396	10.02058	9.16737	9.01042	9.8626	9.65715
"ENSMUSG00000022911"	6.36362	6.1714	7.04946	5.83277	5.61673	5.87211	6.21437	5.87887
"ENSMUSG00000022912"	7.75746	8.40689	8.20655	7.8483	7.00386	6.52655	7.35804	7.90428
"ENSMUSG00000022913"	8.78979	8.7566	7.97711	8.83308	9.64086	9.67745	9.84813	9.75024
"ENSMUSG00000022914"	6.557072	6.683168	6.539954	6.31175	6.26935	6.30296	6.325684	5.964844
"ENSMUSG00000022915"	4.64956	4.57575	4.9076	4.62879	4.92548	4.66784	4.92583	4.78082
"ENSMUSG00000022931"	2.38932	2.51848	2.5403	2.82043	2.67067	2.5768	2.57988	2.30627
"ENSMUSG00000022935"	2.60286	2.56257	3.00471	2.36356	3.09808	2.96699	3.2145	2.95702
"ENSMUSG00000022938"	2.74312	2.62797	2.71647	2.64284	2.71036	2.6564	2.50418	2.69226
"ENSMUSG00000022940"	9.37447	9.43019	9.61834	9.24459	9.32159	9.72554	9.76887	9.5287
"ENSMUSG00000022941"	6.5871	6.47427	7.03797	6.1107	6.10459	6.33521	6.03608	6.27331
"ENSMUSG00000022945"	4.747695	4.69273	4.35712	4.902365	4.57865	4.158405	4.333925	4.255585
"ENSMUSG00000022946"	5.632435	5.7301	4.83502	5.542705	5.61316	5.73558	5.619045	5.624175
"ENSMUSG00000022947"	7.41205	7.62245	6.98406	7.58882	7.94615	8.21503	8.78882	8.38435
"ENSMUSG00000022948"	6.68476	6.635295	6.86785	6.60672	6.01154	6.11371	6.733935	6.28625
"ENSMUSG00000022949"	4.010395	3.960385	4.23051	4.07926	4.35466	4.630605	4.015435	4.191625
"ENSMUSG00000022951"	5.44794	5.76118	5.75878	5.58559	6.34137	6.60362	6.31046	6.459225
"ENSMUSG00000022952"	6.248985	5.89189666666667	6.22193833333333	6.36088166666667	5.49424833333333	5.441225	5.54243666666667	5.76155
"ENSMUSG00000022956"	11.16318	11.31931	9.70462	11.2879	13.16699	13.14899	13.08912	12.94768
"ENSMUSG00000022957"	5.77156285714286	6.05655714285714	5.92201571428571	5.96046714285714	5.98292	6.24338714285714	5.88146571428571	6.28309
"ENSMUSG00000022960"	8.78068	8.47131	9.01744	8.25842	6.54069	6.7114	6.85066	6.54541
"ENSMUSG00000022961"	7.96208714285714	7.62866571428571	7.27645857142857	7.85418428571429	6.93208142857143	7.22060285714286	7.20539	7.24240857142857
"ENSMUSG00000022962"	6.6904975	6.665635	6.2949875	6.7543025	6.9356	6.7551125	6.900075	7.0270775
"ENSMUSG00000022964"	9.50711	9.12916	8.93669	9.36076	9.45672	9.48803	9.64483	9.96815
"ENSMUSG00000022965"	6.7916	7.145565	6.537025	7.06464	6.52564	6.49967	6.646235	6.9363
"ENSMUSG00000022967"	7.45951	7.72016	6.685925	7.51577	6.633705	6.64517	7.06585	6.675435
"ENSMUSG00000022969"	9.65642	9.48937	8.8161	9.19226	9.00151	9.01405	9.05955	9.11334
"ENSMUSG00000022971"	8.48837	8.47612666666667	8.36905666666667	8.70280666666667	8.37562666666667	8.48870666666667	8.41815333333333	8.58230333333333
"ENSMUSG00000022972"	6.62233	6.584335	6.746065	6.448195	7.3620975	7.27177	7.3131475	7.0955525
"ENSMUSG00000022973"	6.98784	6.745728	7.053262	6.934326	6.028792	6.49912	6.572958	6.19271
"ENSMUSG00000022974"	6.40394666666667	6.26851	6.70897	6.21098	5.96894666666667	6.11813666666667	6.24857	5.82325333333333
"ENSMUSG00000022978"	8.63586	8.102955	9.2799	8.29753	5.613295	5.734225	6.104135	6.788725
