"BAT_M09(r1)"	"BAT_M09(r2)"	"BAT_M09(r3)"	"eWAT_M09(r1)"	"eWAT_M09(r2)"	"eWAT_M09(r3)"	"pvWAT_M09(r1)"	"pvWAT_M09(r2)"	"pvWAT_M09(r3)"	"iWAT_M09(r1)"	"iWAT_M09(r2)"	"iWAT_M09(r3)"
"ENSMUSG00000033383"	6.97758	7.23132	7.25834	7.01351	7.22181	7.05558	7.32447	6.71687	6.88848	7.04694	7.08786	6.88428
"ENSMUSG00000033386"	8.91889	9.32055	9.06746	9.28718	9.14645	9.19624	9.08975	9.4418	9.4551	9.02833	9.19084	9.082
"ENSMUSG00000033389"	7.45412	7.6531	7.3836	7.86126	7.73641	7.9244	7.5511	7.34776	7.28568	7.56479	7.56408	7.5574
"ENSMUSG00000033392"	9.81874	9.93145	9.9729	9.65638	9.71365	10.04359	9.73116	9.94679	10.09136	9.62412	9.69456	9.66489
"ENSMUSG00000033396"	8.82474	8.81881	8.80899	9.09503	9.0465	9.20922	8.75619	8.96267	9.06498	8.99676	9.05985	9.08006
"ENSMUSG00000033400"	11.01536	10.76111	10.61562	9.26643	9.0596	9.1138	10.65522	10.53046	10.42975	9.2136	8.93671	8.83562
"ENSMUSG00000033405"	7.96955666666667	8.16578	7.97221666666667	7.34772	7.12906333333333	7.37343666666667	7.84778	7.84208666666667	7.90731333333333	7.24259	7.26369	7.26645333333333
"ENSMUSG00000033409"	8.2047	8.19739	8.24804	8.10301	8.3	8.00081	8.30552	7.81637	7.8898	8.24277	8.17164	8.25938
"ENSMUSG00000033411"	8.47692	8.296545	8.28963	8.49598	8.7853	8.81783	8.312875	8.54016	8.584055	8.737075	8.848435	8.93368
"ENSMUSG00000033416"	10.11271	10.30991	9.95549	9.0113	8.60674	8.92244	10.072	9.98026	10.07528	8.82204	9.04014	9.11493
"ENSMUSG00000033417"	9.4503	9.66751	9.58219	9.48083	9.3387	9.44402	9.45146	9.63153	9.51876	9.41664	9.4911	9.51076
"ENSMUSG00000033419"	8.22402	8.10555	8.36828	7.98648	8.15704	8.01563	8.43419	8.13092	8.15094	8.08156	8.16005	7.95781
"ENSMUSG00000033420"	8.60452	8.94341	8.34113	9.81565	10.07095	10.37492	9.40471	9.56486	9.59047	9.8967	10.30191	10.0269
"ENSMUSG00000033423"	9.4057	9.4562	9.26145	9.68915	9.63792	9.6459	9.54101	9.49083	9.61213	9.5494	9.48184	9.42912
"ENSMUSG00000033427"	6.885875	6.854005	7.008525	6.759085	6.80077	6.8387	6.851655	6.84927	6.80344	6.644825	6.85231	6.857665
"ENSMUSG00000033429"	12.19608	12.37676	12.56278	11.52171	11.52103	11.08917	12.26955	12.27161	12.3659	11.11223	11.10648	10.76076
"ENSMUSG00000033430"	8.65179	8.52555	8.6011	8.78125	8.62466	8.7833	8.69518	8.68633	8.74347	8.59936	8.48385	8.64273
"ENSMUSG00000033434"	8.93982	8.65774	8.7967	8.72046	8.71546	8.65531	8.62096	8.79694	8.69879	8.73713	8.69521	8.84304
"ENSMUSG00000033436"	8.15964	8.10949	8.01315	8.45498	8.71149	8.74013	8.27548	8.19263	8.13787	8.64014	8.7117	8.66187
"ENSMUSG00000033439"	7.19709	7.35907	7.33069	7.13498	7.14554	7.32923	7.21421	7.19334	7.35585	7.36933	7.36073	7.53544
"ENSMUSG00000033444"	9.27578	9.23166	9.18305	9.74948	9.62675	9.80394	9.3187	9.45224	9.48729	9.6241	9.69353	9.72027
"ENSMUSG00000033446"	10.54031	10.93025	10.62711	10.58643	10.6325	10.90381	10.54817	10.93765	10.93486	10.87692	10.65132	10.51407
"ENSMUSG00000033450"	8.28985	8.070805	8.311995	8.660675	8.786875	8.89573	8.32984	8.821025	8.52552	8.968165	9.189245	9.609695
"ENSMUSG00000033453"	7.65647	8.16235	7.75767	8.25667	8.34805	8.4929	7.95762	7.73464	8.03036	8.0422	8.22853	8.13396
"ENSMUSG00000033454"	8.2167	8.20578	7.730645	8.675075	8.75985	8.76305	8.192655	8.30837	8.126295	8.71578	8.456745	8.556545
"ENSMUSG00000033458"	8.1611	8.26423	8.27317	8.33163	8.37238	8.35125	8.29366	8.22494	8.2462	8.29905	8.17644	8.26568
"ENSMUSG00000033460"	8.26985	7.9597	8.22918	8.82096	8.66685	8.81816	8.33806	7.8713	8.03895	8.47637	8.37294	8.60492
"ENSMUSG00000033467"	8.40546	8.34877	8.37846	8.55507	8.1276	8.46724	8.42197	8.28839	8.09061	8.31183	8.24107	8.44247
"ENSMUSG00000033470"	5.48973	5.46153	5.52523	5.63	5.66799	5.75073	5.38961	5.55876	5.7242	5.96648	6.10567	6.26945
"ENSMUSG00000033475"	10.62285	10.66158	10.32476	10.48822	10.68354	10.38491	10.69287	10.74609	10.5892	10.55199	10.35781	10.08147
"ENSMUSG00000033478"	9.37501	9.4245	9.18673	9.24237	9.16246	9.39448	9.38493	9.32505	9.397	9.19604	9.22541	9.28637
"ENSMUSG00000033486"	7.37834	7.3148	7.46863	6.84389	7.0932	7.07246	7.16903	7.20834	7.34314	6.76939	6.8435	7.0851
"ENSMUSG00000033487"	9.49604	9.50146	9.5085	10.03682	10.29504	10.35646	9.73961	9.96785	10.04239	9.92126	10.22433	10.30015
"ENSMUSG00000033488"	9.90336	9.54595	9.8355	9.62781	9.54369	9.89872	9.50823	9.46149	9.56478	9.37885	9.21363	9.23884
"ENSMUSG00000033491"	6.67986	6.64269	6.77416	6.44424	6.53026	6.5472	6.5696	6.55709	6.70936	6.21193	6.4128	6.41569
"ENSMUSG00000033498"	7.34225	7.61281	7.57718	7.41393	7.64195	7.57287	7.61681	7.45974	7.47408	7.47264	7.56014	7.33161
"ENSMUSG00000033499"	10.17448	10.13144	10.01174	10.06288	10.12258	10.20649	9.98361	10.07131	10.10711	10.09117	10.05383	10.05118
"ENSMUSG00000033501"	7.20492	7.29003	7.31975	7.15176	7.29216	7.01148	7.38753	7.19844	7.10096	7.06106	7.26741	7.17143
"ENSMUSG00000033502"	8.28236	8.37937	8.0587	8.18466	8.78819	8.38814	8.02045	8.36675	8.12576	8.67283	8.85521	9.09209
"ENSMUSG00000033508"	7.51557	7.51352	7.69477	7.37991	7.40845	7.2488	7.7801	7.39086	7.2043	7.93289	7.69774	7.82872
"ENSMUSG00000033510"	7.70205	7.59655	7.83511	7.41068	7.69696	7.49848	7.79637	7.33871	7.40819	7.56639	7.54662	7.60273
"ENSMUSG00000033520"	5.51217	5.80862	5.783895	5.57615	5.570935	5.512475	5.59258	5.313455	5.650185	5.58095	5.512415	5.39344
"ENSMUSG00000033526"	10.48316	10.44752	10.2343	10.00507	9.81002	9.9676	10.40535	10.30823	10.23336	9.6443	9.28496	9.14185
"ENSMUSG00000033530"	10.82239	10.81811	10.57381	11.02199	10.77311	11.07487	10.76285	10.75375	10.75364	10.73891	10.26092	10.15503
"ENSMUSG00000033533"	7.54535	7.38943	7.58234	7.19164	7.39567	7.35568	7.60693	7.36404	7.28993	7.27025	7.29982	7.38908
"ENSMUSG00000033538"	7.14247	7.50088	7.1839	8.21559	8.34599	8.60351	7.77794	8.33206	8.12896	8.62691	8.97961	9.09197
"ENSMUSG00000033540"	9.54513	9.57436	9.22941	9.29681	9.51161	9.70235	9.50372	9.57196	9.58007	9.5352	9.6166	9.56575
"ENSMUSG00000033542"	8.452515	8.393775	8.623225	8.894975	9.216685	8.95443	8.583425	8.406525	8.69677	8.742975	8.59294	8.627335
"ENSMUSG00000033543"	8.87439	8.64768	8.5101	8.90805	8.7165	8.56895	8.70654	8.84532	8.87697	8.91454	8.89026	8.64049
"ENSMUSG00000033544"	8.56719	8.25815	8.27479	7.57206	7.47225	7.5413	7.65506	7.74534	7.95897	7.71471	7.45835	7.7055
"ENSMUSG00000033545"	10.02733	10.20347	9.98358	9.85693	10.10185	10.12336	10.092	10.09817	10.04835	10.13798	10.23089	10.17206
"ENSMUSG00000033554"	8.25802	8.17739	8.16588	8.13609	8.12049	8.04967	8.29814	8.33011	8.34284	8.30461	8.47118	8.61317
"ENSMUSG00000033557"	9.963	10.07608	9.84703	10.1178	10.02941	10.24352	9.96015	10.02693	10.02809	9.81326	9.79514	9.69239
"ENSMUSG00000033565"	9.74595	9.56428	9.33696	9.70925	9.62289	9.85309	9.58277	9.60293	9.50943	9.49051	9.34444	9.1313
"ENSMUSG00000033569"	6.18478	6.02713	6.17576	5.9662	6.06648	6.03026	6.12169	5.87227	6.16959	6.04324	5.98401	5.91481
"ENSMUSG00000033576"	9.04525	8.47345	9.07187	10.44462	10.00848	10.6208	9.36622	9.00947	9.73361	10.18583	9.58284	9.88176
"ENSMUSG00000033577"	9.19074	8.98573	9.09092	9.34712	9.54684	9.42563	9.13106	9.04972	9.17427	9.00516	8.68606	8.66655
"ENSMUSG00000033578"	7.99813	7.96902	7.87085	7.75746	7.79194	7.53234	8.13495	7.86021	7.96307	7.35404	7.47285	7.46807
"ENSMUSG00000033579"	7.45267	7.44452	7.57648	7.19082	7.38992	7.31318	7.33475	7.70284	7.55391	7.37623	7.35894	7.44396
"ENSMUSG00000033581"	8.05536	7.89009	7.85851	7.97784	8.50286	8.30266	8.30604	8.15667	8.06185	7.87953	7.9192	7.76894
"ENSMUSG00000033585"	10.29651	10.48226	10.67484	10.51534	10.35504	10.56913	10.48803	10.58141	10.52494	10.38196	10.26204	9.88759
"ENSMUSG00000033589"	9.19195	8.98361	9.06435	9.64481	9.58238	9.73879	9.27411	9.42607	9.17816	9.64175	9.60182	9.55728
"ENSMUSG00000033590"	9.2798	9.24326	9.18076	7.3887	7.67709	7.34294	9.20682	9.00074	9.01335	7.37492	7.54266	7.12415
"ENSMUSG00000033594"	7.89205	7.82904	7.75519	7.57368	7.70946	7.63009	7.81498	7.69646	7.69012	7.65747	7.71626	7.7126
"ENSMUSG00000033595"	7.62364	7.51731	7.70615	7.92579	8.01051	7.83761	7.99733	7.58321	7.81183	7.29782	7.39292	7.52226
"ENSMUSG00000033596"	8.635115	8.67755	8.497705	8.72046	8.547885	8.72993	8.47174	8.57118	8.71245	8.67704	8.69555	8.796715
"ENSMUSG00000033597"	8.18939	8.06246	8.16194	8.05168	8.20729	8.12822	8.20326	7.92082	8.04465	8.06963	8.08606	8.10407
"ENSMUSG00000033610"	12.2183	12.41596	12.43146	7.97587	8.5165	8.24377	12.19269	12.19906	12.19544	8.23553	8.85381	8.20827
"ENSMUSG00000033615"	7.88469	8.0342	7.98452	7.73896	7.91589	7.75507	7.8863	7.83559	7.59185	7.69273	7.74059	7.6255
"ENSMUSG00000033618"	7.41794	7.55185	7.46737	7.2559	7.12161	7.3389	7.30523	7.32352	7.26605	7.39759	7.25363	7.29191
"ENSMUSG00000033623"	9.06655	9.21134	9.14106	9.11294	9.03889	9.34957	9.05419	9.05471	9.21018	8.90397	8.94083	9.06256
"ENSMUSG00000033624"	10.79427	10.8749	10.9047	9.96598	10.03282	10.03232	10.6935	10.71478	10.80311	9.83471	9.80481	9.56738
"ENSMUSG00000033628"	9.08301	8.91627	8.80116	8.93566	9.14237	9.07674	8.98782	9.13168	8.93224	9.12109	9.15093	9.18146
"ENSMUSG00000033629"	8.69846	9.02146	9.05762	9.21194	9.06682	9.37251	8.95339	9.2926	9.21945	9.02235	9.05756	9.21823
"ENSMUSG00000033632"	8.31687	8.36228	8.01274	8.42723	8.74982	8.78436	8.3379	8.46889	8.37785	8.69336	8.83584	8.85216
"ENSMUSG00000033633"	8.3219	8.28607	8.35083	8.08011	8.31276	8.22741	8.23299	8.02059	8.20067	8.20418	8.18454	8.07497
"ENSMUSG00000033634"	6.16746	6.04817	6.09171	5.89592	6.05995	6.02464	5.93497	5.9543	6.12936	5.9721	5.99441	5.9978
"ENSMUSG00000033644"	7.31063	7.35305	7.38849	7.23003	7.30941	7.3956	7.33672	7.17923	7.13062	7.10493	7.35859	7.29496
"ENSMUSG00000033653"	8.64737	8.51267	8.43986	8.8295	8.79532	8.84768	8.65721	8.63025	8.61457	8.75436	8.73194	8.82327
"ENSMUSG00000033658"	7.9275	7.82842	7.65008	8.18595	7.99624	8.23397	7.7391	7.94155	7.89796	7.80436	7.79329	8.0492
"ENSMUSG00000033669"	7.23526	7.19526	7.10985	6.96343	7.05855	7.16997	7.10379	7.10467	7.16011	7.22973	7.22241	7.73715
"ENSMUSG00000033671"	9.38157666666667	9.46461333333333	9.43473333333333	9.49127166666667	9.57520333333333	9.65752	9.36078166666667	9.56908	9.532535	9.68447833333333	9.75613	9.92931666666667
"ENSMUSG00000033676"	7.48765	7.46608	7.49162	7.2684	7.25647	7.26788	7.36892	7.18405	7.31314	7.2912	7.36234	7.23994
"ENSMUSG00000033684"	8.67521	8.69952	8.692	9.96321	9.52141	9.72626	8.74913	8.59627	8.56764	9.15302	8.97887	9.01027
"ENSMUSG00000033685"	8.957445	8.7129	8.686625	9.55736	9.40638	9.652775	8.919885	9.26678	9.006505	9.61316	9.65242	9.67968
"ENSMUSG00000033688"	7.45965	7.74999	7.76366	7.68698	7.8096	7.72059	7.55522	7.66302	7.49062	7.89995	7.76067	7.69697
"ENSMUSG00000033697"	9.20197	9.107205	9.201585	9.046635	8.832115	9.12713	9.323565	9.31733	9.41039	8.972355	8.85395	9.023765
"ENSMUSG00000033701"	8.68123	8.58223	8.27995	8.37158	8.56025	8.37282	8.59107	8.48917	8.2259	8.48086	8.51877	8.65183
"ENSMUSG00000033703"	8.53915	8.39963	8.74726	8.42905	8.39262	8.50379	8.35512	8.39027	8.32164	8.52014	8.46257	8.44283
"ENSMUSG00000033705"	8.36083333333333	8.21429333333333	8.20531	8.71064666666667	8.56755666666667	9.00301666666667	8.36616	8.33128666666667	8.42415666666667	8.52462	8.56818666666667	8.45537333333333
"ENSMUSG00000033706"	8.42324	8.64086	8.54695	8.59976	8.29655	8.60966	8.47041	8.6975	8.73178	8.47357	8.46267	8.63684
"ENSMUSG00000033707"	9.38235	9.43881	9.481275	8.843985	8.866025	8.8533	9.530095	9.37844	9.56164	8.783855	8.649665	8.687505
"ENSMUSG00000033712"	9.08217	8.96674	8.95127	9.19095	9.13089	9.31155	9.0599	9.09068	8.96998	9.26402	9.20388	9.3482
"ENSMUSG00000033713"	9.31508	9.42436	9.31765	9.22969	9.00293	9.08172	9.29758	9.43839	9.21749	9.33515	9.18325	9.27377
"ENSMUSG00000033715"	6.74771	6.51763	6.30049	7.60142	6.84561	7.32066	7.23873	6.94741	7.26824	7.27126	6.82587	6.82459
"ENSMUSG00000033717"	7.12671	7.1293	7.35356	7.48888	7.67494	7.48336	7.42917	7.40085	7.42777	7.41902	7.59458	7.54533
"ENSMUSG00000033720"	10.18086	10.76507	10.5475	9.65637	9.00915	9.36369	10.50381	10.49046	10.62773	9.252	9.17502	9.14228
"ENSMUSG00000033721"	8.00399	7.72621	7.83202	8.1146	8.09782	8.46809	7.85165	7.9224	7.87015	8.1191	8.36511	8.34476
"ENSMUSG00000033722"	7.79675	7.81245	7.99559	7.99779	7.88198	7.97908	7.88785	7.91535	7.67599	7.96133	7.80152	8.08359
"ENSMUSG00000033726"	8.71668	8.77716	8.87842	8.64069	8.78471	8.4899	8.76326	8.53335	8.34816	8.73151	8.66975	8.5065
"ENSMUSG00000033728"	8.05468	8.10744	8.18404	8.30458	8.10369	8.35686	8.07032	8.06253	8.22962	8.21364	8.18049	8.33287
"ENSMUSG00000033730"	8.57121	8.51741	8.58345	8.4522	8.57741	8.50039	8.63178	8.53082	8.42897	8.94197	8.72195	8.89943
"ENSMUSG00000033731"	6.2942	6.40038	6.65084	6.19624	6.37213	6.41569	6.28385	6.13017	6.1801	6.22146	6.11512	6.44296
"ENSMUSG00000033732"	9.3203	9.44346	9.25818	9.94948	9.76798	10.01178	9.5116	9.77301	9.71406	9.91165	10.03649	10.29393
"ENSMUSG00000033735"	8.75509	8.887	8.82381	8.80826	8.52263	8.66146	9.01936	8.82282	8.8903	8.50269	8.46851	8.45609
"ENSMUSG00000033737"	6.52193	6.78534	6.67169	6.0518	6.37007	6.3286	6.10351	6.29981	6.22809	6.09241	6.17985	6.08524
"ENSMUSG00000033739"	8.98076	9.071	9.19194	8.98657	8.72448	8.88849	8.95412	8.9781	9.15919	8.62356	8.70261	8.53258
"ENSMUSG00000033740"	7.01609	6.78952	6.84533	6.88078	7.00128	6.95758	7.1681	6.71393	6.87835	6.66226	6.8884	6.68154
"ENSMUSG00000033751"	10.1205	9.74496	9.66811	9.50915	9.36311	9.3956	9.88932	9.86213	9.85021	9.39039	9.42431	9.29937
"ENSMUSG00000033752"	6.86937	6.93718	6.87935	6.64532	6.93091	6.90708	7.09139	6.57656	7.09491	6.75131	6.74247	6.5718
"ENSMUSG00000033760"	8.93884	8.95011	8.92543	8.71687	8.80676	9.02353	9.04709	8.86335	9.03649	8.87468	9.00362	9.09843
"ENSMUSG00000033762"	7.82385	7.71305	7.8752	7.65318	7.74218	7.63256	7.84867	7.49907	7.61449	7.67718	7.66518	7.75099
"ENSMUSG00000033763"	9.16492	9.1617	8.97456	9.61133	9.26844	9.47597	9.13466	9.03846	8.9914	9.52199	9.12622	9.03942
"ENSMUSG00000033765"	7.14229	7.09453	7.05907	6.97143	7.19554	6.74111	7.10201	7.01191	6.90651	6.93608	7.12279	7.021
"ENSMUSG00000033767"	8.49785	8.52501	8.03066	8.03047	8.16254	8.17473	8.49255	8.85055	8.47941	8.99705	9.3716	9.56381
"ENSMUSG00000033768"	8.06	7.80376	8.11788	7.99667	8.07172	7.95399	8.13692	7.84311	7.82853	7.98476	7.94658	7.93659
"ENSMUSG00000033769"	9.976	9.86604	9.84632	10.21311	10.34377	10.60087	9.9728	10.132	10.13574	10.20341	10.17666	10.05767
"ENSMUSG00000033770"	7.41045	7.34403	7.46089	7.17099	7.24225	7.17785	7.28258	7.15139	7.03799	7.04854	7.12627	7.14136
"ENSMUSG00000033773"	8.28421	8.25814	8.20669	8.3471	8.2862	8.56546	8.06594	8.25424	8.27249	8.20233	8.08278	8.25421
"ENSMUSG00000033774"	7.88396	7.63253	7.7497	7.55832	7.66947	7.5453	7.97612	7.60687	7.28334	7.62984	7.56379	7.52178
"ENSMUSG00000033777"	8.13803	8.05092	7.31499	8.5918	8.61017	8.73183	7.48088	8.34156	7.66381	8.51057	9.73473	9.03858
"ENSMUSG00000033781"	9.80698	9.94938	9.94782	9.73298	9.94472	10.06233	9.97598	9.9162	10.14123	10.05098	9.97378	9.9909
"ENSMUSG00000033788"	9.79655	10.0514	9.76386	9.4641	9.63263	9.88403	9.82144	9.65576	9.79081	9.3818	9.31586	9.21319
"ENSMUSG00000033790"	7.79664	7.94801	7.55852	8.13858	8.07496	8.3588	7.90711	8.24939	8.1047	8.33599	8.27817	8.57022
"ENSMUSG00000033792"	9.20253	9.16615	9.0946	9.93345	10.06234	10.16524	9.11473	9.29257	9.43166	9.7392	9.93186	9.76931
"ENSMUSG00000033793"	9.55578	9.69756	9.80142	9.98358	9.79106	9.77092	9.63302	9.64747	9.69017	9.79146	9.54389	9.30648
"ENSMUSG00000033794"	7.35449	7.39346	7.31235	7.08445	7.33768	7.42546	7.48229	7.19087	7.32487	7.4384	7.11092	7.18798
"ENSMUSG00000033799"	8.96569	9.04333	8.98816	9.01821	9.16937	9.19911	8.91339	9.27477	9.13265	9.50933	9.67963	9.88625
"ENSMUSG00000033805"	5.98766	5.92066	5.7844	5.78092	5.94591	6.01308	5.96524	5.8414	5.84902	5.85766	5.60288	5.91099
"ENSMUSG00000033808"	9.40059	9.51085	9.44953	9.522	9.48495	9.74548	9.30559	9.51677	9.4853	9.42258	9.591	9.75195
"ENSMUSG00000033809"	10.46404	10.54793	9.85035	10.47315	10.42414	10.35816	10.94712	11.0485	10.77038	10.35131	10.32719	9.97129
"ENSMUSG00000033813"	10.328525	10.32471	10.216875	10.14734	10.21359	10.13921	10.303055	10.31713	10.33734	10.23405	10.234295	10.214485
"ENSMUSG00000033819"	8.45032	8.4672	8.63648	8.44224	8.27392	8.3684	8.42478	8.26641	8.42189	8.17358	8.06534	8.20547
"ENSMUSG00000033825"	7.85275	7.79549	7.70151	8.38466	8.64325	8.56354	8.43652	8.91402	8.5445	8.9852	9.102	8.94109
"ENSMUSG00000033826"	6.74357	6.78713	6.9303	6.85631	6.90466	6.77298	7.03954	7.26842	6.96088	7.60343	7.73436	8.0172
"ENSMUSG00000033831"	6.89998	6.78966	7.24203	6.88941	6.93612	6.95248	7.17821	6.62657	6.72064	6.77759	6.75605	6.91459
"ENSMUSG00000033834"	5.80796	5.76053	6.28285	5.8274	5.80552	5.61847	6.02573	5.97086	5.99209	5.6975	5.49297	5.70385
"ENSMUSG00000033837"	7.31608	7.06023	7.21008	6.82125	7.20347	7.09094	7.19317	7.09425	7.14712	7.12496	6.99319	7.17973
"ENSMUSG00000033845"	9.74447	10.0419	9.95925	8.99141	8.81926	8.72213	9.99619	9.88004	9.94133	8.84502	8.77819	8.77004
"ENSMUSG00000033847"	6.45865	6.51706	6.77642	6.55384	6.63071	6.58729	6.60943	6.42936	6.51823	6.46878	7.00285	6.5209
"ENSMUSG00000033849"	9.39571	10.03159	9.68701	11.3243	12.34196	12.05681	10.01955	10.42433	10.85989	10.98902	11.94696	11.09785
"ENSMUSG00000033850"	6.80871	6.97172	6.82243	6.66784	6.63597	6.62617	6.89251	7.05549	6.66381	6.60389	6.59892	6.66343
"ENSMUSG00000033852"	9.94423	10.011725	10.044095	9.84443	9.89954	9.800945	9.845625	9.801385	10.01991	9.846955	9.982425	9.867175
"ENSMUSG00000033854"	7.69123	7.54913	7.80627	7.46602	7.63974	7.39482	7.626	7.38922	7.40182	7.59334	7.62811	7.56567
"ENSMUSG00000033855"	8.56798	8.22019	8.06426	8.39402	8.35311	8.48456	8.35475	8.29812	8.14466	8.13725	8.18878	7.97852
"ENSMUSG00000033857"	8.23958	8.0278	8.0677	8.50424	8.34226	8.56805	8.3258	8.11346	8.05647	8.47929	8.33662	8.35263
"ENSMUSG00000033860"	5.88545	5.68927	5.87398	5.39459	5.66098	5.45141	5.63512	5.70411	5.81246	5.58332	5.48621	5.85429
"ENSMUSG00000033862"	8.395995	8.45438	8.38514	8.56388	8.44435	8.668915	8.454445	8.485115	8.60762	8.4917	8.34304	8.53422
"ENSMUSG00000033863"	10.64382	10.58782	10.7119	10.61773	10.52205	11.03737	10.66328	10.53703	10.95466	10.47878	10.17304	10.24847
"ENSMUSG00000033871"	10.03094	10.6661	10.51206	8.1203	8.28087	8.42481	10.19877	10.40091	10.38493	8.21608	8.628	8.34164
"ENSMUSG00000033872"	10.1680875	10.173875	10.2967425	10.13519	9.7479375	9.8602275	10.4098725	10.3627825	10.2703775	9.665445	9.615935	9.6761775
"ENSMUSG00000033880"	10.64828	10.6606	10.45668	11.20798	11.28132	12.00148	11.18038	11.45189	11.45422	11.33799	11.79156	11.8663
"ENSMUSG00000033882"	7.09014	7.10727	7.05235	7.81249	7.9684	7.94155	6.94647	7.11652	7.07594	7.60931	7.35373	7.41847
"ENSMUSG00000033885"	10.09302	10.28397	10.107	10.43956	10.72731	10.49293	10.08593	10.42655	10.25285	10.90764	11.03187	11.09285
"ENSMUSG00000033898"	7.05762	7.33123	6.83765	9.60053	9.66603	9.77167	8.87501	8.73169	9.18242	8.59705	8.98964	8.51984
"ENSMUSG00000033900"	6.89385	6.86616	6.83913	7.31865	7.34333	7.58449	6.97543	6.66852	6.59621	7.09444	7.06826	7.10034
"ENSMUSG00000033902"	8.34759	8.57543	8.3432	9.19521	9.10846	9.21027	8.53984	8.45638	8.42572	8.71814	8.61591	8.77621
"ENSMUSG00000033904"	7.27833	7.44952	7.34935	7.37474	7.48801	7.31323	7.37684	7.39112	7.39261	7.35381	7.36481	7.40685
"ENSMUSG00000033906"	7.4313	7.6851	7.63994	8.06504	7.99983	8.06559	7.78864	7.77241	7.5742	8.39069	8.38216	8.63542
"ENSMUSG00000033909"	8.87921	9.14316	8.88607	8.86957	8.76359	8.95306	9.08254	8.99591	8.99712	8.99229	9.06696	9.06507
"ENSMUSG00000033910"	8.15428	8.15297	8.07167	8.76072	8.79539	8.97083	8.53781	8.50764	8.61667	8.5309	8.48111	8.48232
"ENSMUSG00000033916"	10.71957	10.64803	10.65179	10.69512	10.69673	10.69119	10.39007	10.47972	10.47007	10.62122	10.60438	10.48301
"ENSMUSG00000033917"	10.55607	10.70131	10.78307	10.12965	9.99403	9.89973	10.78125	10.7361	11.09461	9.59081	9.65198	9.24536
"ENSMUSG00000033918"	9.92788	9.93138	9.83283	9.59395	9.37801	9.41	10.16084	9.94376	9.94284	9.44717	9.42531	9.40934
"ENSMUSG00000033931"	8.05441	8.15732	8.12643	8.39477	8.241	8.26465	8.20244	8.24013	8.17071	8.32052	8.22816	8.31465
"ENSMUSG00000033933"	8.37801	8.04928	8.15836	8.83212	8.68306	8.95521	8.26592	8.3174	8.41143	8.69338	8.55336	8.75986
"ENSMUSG00000033938"	10.54291	10.34168	10.1687	9.50998	9.42043	9.29414	10.59066	10.54183	10.57355	9.41167	9.29749	9.15119
"ENSMUSG00000033940"	11.28627	11.35123	11.42649	11.79736	11.37785	11.37958	11.45708	11.33082	11.41156	11.49738	11.41371	11.47316
"ENSMUSG00000033943"	9.04781	9.28192	9.11397	9.36035	9.43803	9.58194	9.15454	9.32039	9.2872	9.54846	9.45789	9.55243
"ENSMUSG00000033948"	8.16225	8.61195	8.2709	7.13492	7.4499	7.02699	8.33891	8.24263	8.60196	7.09964	7.08885	7.048
"ENSMUSG00000033949"	6.29074	6.49806	6.60186	6.65444	6.65285	6.65232	6.64269	6.34659	6.58226	6.58466	6.7795	6.65772
"ENSMUSG00000033952"	6.44561	6.33971	6.26114	6.35544	6.40733	6.47654	6.42775	6.30754	6.2736	6.49425	6.58752	6.76144
"ENSMUSG00000033953"	8.64253	8.58279	8.47331	8.83018	8.608955	8.732895	8.599055	8.59983	8.5907	8.695725	8.53817	8.51207
"ENSMUSG00000033955"	9.70553	9.6818	9.81633	10.25752	10.25127	10.51214	9.90324	9.76036	9.9846	10.05065	9.66017	9.84538
"ENSMUSG00000033960"	10.04057	9.90129	10.04954	10.55202	10.21709	10.56111	10.32832	10.00197	10.16797	10.34035	9.84749	9.91384
"ENSMUSG00000033961"	7.84152	8.15421	8.04878	7.87159	8.01074	7.95809	8.02589	7.99077	7.96818	7.92023	7.84387	7.90386
"ENSMUSG00000033963"	6.26	5.96619	5.96242	5.62291	5.7313	5.68165	5.97973	5.85233	5.78547	5.68545	5.79933	5.8444
"ENSMUSG00000033964"	8.77199	8.9151	8.90067	9.06079	8.65962	9.00104	8.82213	8.91015	9.09863	8.71621	8.48078	8.49745
"ENSMUSG00000033965"	9.64634	9.65346	9.86489	8.94808	9.14054	9.10582	9.98416	10.04174	10.1684	8.79489	9.03668	8.97244
"ENSMUSG00000033966"	6.10833	5.9183	6.34866	6.73538	6.60546	6.31545	6.1471	6.06895	6.01377	6.3038	6.30359	6.22338
"ENSMUSG00000033967"	7.07551	7.0822	7.2052	6.89226	7.17028	7.06359	7.51395	7.0021	6.82315	7.08878	7.24556	7.07319
"ENSMUSG00000033970"	7.42003	7.39627	7.54618	7.5504	7.44883	7.52144	7.77907	7.52354	7.47183	7.37882	7.49508	7.77201
"ENSMUSG00000033972"	7.79307	7.6667	7.24852	7.84801	8.01899	8.03173	7.69106	7.85249	7.70163	8.10641	8.18154	7.91196
"ENSMUSG00000033981"	5.63103	5.61653	5.72662	5.57124	5.58422	5.53115	5.63353	5.47576	5.44772	5.68962	5.52943	5.35673
"ENSMUSG00000033983"	7.81263	7.82014	7.99742	7.65592	7.90083	7.758035	7.85726	7.66924	7.7316	7.911735	7.811165	7.78462
"ENSMUSG00000033985"	8.0075	8.12914	7.81243	8.10301	8.23357	8.16152	8.10855	7.86192	8.13597	8.12864	8.16493	8.10369
