"BAT_M09(r1)"	"BAT_M09(r2)"	"BAT_M09(r3)"	"eWAT_M09(r1)"	"eWAT_M09(r2)"	"eWAT_M09(r3)"	"pvWAT_M09(r1)"	"pvWAT_M09(r2)"	"pvWAT_M09(r3)"	"iWAT_M09(r1)"	"iWAT_M09(r2)"	"iWAT_M09(r3)"
"ENSMUSG00000000247"	7.87366	7.6743	7.80492	7.69548	7.60678	7.4768	7.70998	7.28887	7.35563	7.67227	7.53151	7.54497
"ENSMUSG00000000248"	6.66257	6.99432	6.77783	6.84616	7.2004	6.94214	6.53368	7.1473	6.97331	7.31789	7.27207	7.34128
"ENSMUSG00000000253"	9.63397	10.80687	10.0503	8.22173	7.94643	8.31332	9.98474	10.35469	10.07307	7.96295	7.77091	7.69352
"ENSMUSG00000000263"	6.40938	6.47744	6.61029	6.45056	6.42096	6.47944	6.52587	6.42077	6.54437	6.3209	6.43867	6.33897
"ENSMUSG00000000266"	9.07673	8.94491	8.94014	9.67795	9.67567	9.84614	9.12221	8.89517	9.12882	9.38758	9.03244	8.93165
"ENSMUSG00000000275"	9.03746	8.97563	8.91803	9.06085	9.1322	9.3223	9.17495	9.18511	9.31666	9.30846	9.87148	9.88148
"ENSMUSG00000000276"	7.9639	8.04016	8.07161	8.11103	7.85159	8.25903	7.96146	7.87224	7.90508	8.00395	7.87115	8.02617
"ENSMUSG00000000278"	10.35929	10.7652	10.59904	10.30568	10.05139	10.32241	10.53558	10.66503	10.82594	10.29272	10.47254	10.45094
"ENSMUSG00000000282"	8.84172	8.85789	8.90399	8.82106	8.92079	8.8466	8.82885	8.74945	8.71117	8.9479	8.86677	8.85779
"ENSMUSG00000000290"	8.52195	8.26819	7.85634	9.60989	9.36451	9.56506	8.35903	9.47689	8.68633	9.68499	10.32784	10.52219
"ENSMUSG00000000295"	9.4051	9.20355	9.45446	9.02298	9.00115	9.03713	9.27628	9.40289	9.33715	9.03851	8.87499	8.86847
"ENSMUSG00000000296"	8.12687	8.08573	8.11811	7.45942	7.7806	7.74251	8.03453	7.94193	7.97963	7.45472	7.47558	7.57388
"ENSMUSG00000000301"	8.79665	8.62978	8.66251	8.87125	8.81476	8.5878	8.99494	8.77914	8.72534	8.6769	8.44096	8.16676
"ENSMUSG00000000303"	7.38246	7.69546	7.47698	7.79157	8.12962	7.5759	7.63822	7.59401	7.31593	7.6333	7.60118	7.78231
"ENSMUSG00000000305"	8.06326	8.01763	8.15921	7.866835	7.86352	7.968125	8.265785	7.93401	7.890065	7.871715	7.95745	8.02875
"ENSMUSG00000000308"	7.68662	7.74531	7.59488	7.77271	7.68438	7.46505	7.80008	7.5852	7.65311	7.45554	7.52044	7.64982
"ENSMUSG00000000317"	8.67211	8.57683	8.71191	9.13595	8.54972	9.1054	8.4705	8.68265	8.86579	8.95752	7.99446	8.4694
"ENSMUSG00000000318"	8.17231	8.32097	7.61616	9.74393	9.67199	9.84784	8.43315	8.43243	8.38519	9.59526	10.02353	9.43196
"ENSMUSG00000000320"	7.35532	6.85707	7.07038	7.34601	7.47241	7.29177	7.16686	7.29664	7.3768	6.92283	6.81033	6.90938
"ENSMUSG00000000325"	8.17129	8.25718	8.39129	8.54561	8.34104	8.29176	8.2408	8.1578	8.1811	8.44788	8.22018	8.33455
"ENSMUSG00000000326"	12.44973	12.10862	11.84687	12.07711	11.87548	11.98157	12.17917	12.10924	11.7335	11.51915	11.3505	10.92297
"ENSMUSG00000000339"	9.93233	9.99146	9.976	9.66104	9.44302	9.50801	9.86433	9.86288	9.77718	9.47272	9.28293	9.3516
"ENSMUSG00000000340"	11.76252	11.77	11.88213	10.84659	11.27215	11.28819	11.85186	11.79905	11.918	10.80404	10.89871	10.69721
"ENSMUSG00000000346"	10.88959	10.88342	10.4799	10.91777	11.27254	11.05669	10.93065	11.02498	11.03144	11.23709	11.34258	11.0844
"ENSMUSG00000000355"	8.22645	8.32369	7.99532	7.7214	8.32458	7.82658	8.04409	8.38343	8.18159	8.02265	8.20982	8.03974
"ENSMUSG00000000359"	8.16805	8.34179	8.34211	8.74023	8.79291	8.90537	8.32568	8.26449	8.32143	8.4091	8.46441	8.40528
"ENSMUSG00000000365"	6.42597	6.451	6.36982	6.35242	6.40646	6.36033	6.43007	6.32025	6.39217	6.23702	6.26141	6.22809
"ENSMUSG00000000374"	9.8096	9.98373	9.90672	10.10586	9.81174	10.03673	9.92444	9.98766	10.15033	9.90965	9.82362	9.80009
"ENSMUSG00000000378"	8.9407	8.81213	9.05128	9.33002	9.06464	9.36597	9.22802	9.26885	9.25877	9.45142	9.5998	9.8421
"ENSMUSG00000000381"	7.89658	7.90142	8.11441	7.86377	7.91233	7.75102	8.1342	7.88523	7.71364	7.91586	7.85394	7.72755
"ENSMUSG00000000384"	8.7365775	8.7240425	8.664035	7.95794	7.859805	7.86218	8.4421325	8.4721925	8.51689	8.12742	8.1692325	8.3762575
"ENSMUSG00000000385"	7.4141	7.44471	7.58203	7.62225	7.71966	7.43727	7.77022	7.31245	7.17725	7.31018	7.41953	7.42666
"ENSMUSG00000000386"	6.23561	6.43583	6.54938	6.4224	6.35438	6.4555	6.35689	6.80324	6.61978	7.06021	8.39283	8.4614
"ENSMUSG00000000392"	7.26659	7.67222	7.39567	7.67494	7.66692	8.029	7.18013	7.32268	7.348	8.25121	8.49997	8.33113
"ENSMUSG00000000394"	6.83259	6.43066	6.71359	6.52563	6.68104	6.34547	6.78436	6.27991	6.385	6.48206	6.57393	6.5445
"ENSMUSG00000000399"	12.19271	12.20899	12.36588	10.78431	10.70903	10.63596	12.0277	11.92255	12.15518	10.71361	10.68891	10.19742
"ENSMUSG00000000402"	6.19293	6.41156	6.41257	6.75042	7.05307	6.59008	6.60422	6.70348	6.5516	6.36818	6.18555	6.22716
"ENSMUSG00000000409"	7.64428	7.7064	7.81985	7.79891	7.68407	7.66464	7.76003	8.88767	7.59775	9.49223	9.74295	10.41935
"ENSMUSG00000000411"	8.25349	7.97421	8.21889	7.81195	7.98526	7.75904	8.01004	7.82905	7.96851	7.97888	7.95824	7.97987
"ENSMUSG00000000416"	7.52845	7.64264	7.61237	7.65487	7.68277	7.70863	7.60576	7.6123	7.60444	7.63019	7.64805	7.7252
"ENSMUSG00000000420"	9.16194	9.16372	9.02555	9.45122	9.14849	9.21031	8.96221	9.33574	9.19914	9.31105	9.32756	9.33755
"ENSMUSG00000000435"	7.11986	7.45125	7.10968	6.89434	6.8458	6.9286	7.12272	7.00304	6.79689	6.75775	6.9016	7.1037
"ENSMUSG00000000439"	9.76148	9.75579	9.87822	9.63032	9.50207	9.78587	9.79861	9.70762	9.90401	9.47975	9.27774	9.52205
"ENSMUSG00000000440"	12.24643	12.27192	12.47948	11.91016	12.06569	12.29278	12.21063	12.2548	12.4593	11.71576	11.72076	11.75558
