"BAT_M07(r1)"	"BAT_M07(r2)"	"BAT_M07(r3)"	"BAT_M07(r4)"	"BAT_M07(r5)"	"eWAT_M07(r1)"	"eWAT_M07(r2)"	"eWAT_M07(r3)"	"eWAT_M07(r4)"	"eWAT_M07(r5)"	"eWAT_M07(r6)"
"ENSMUSG00000000381"	5.51336	5.45611	5.16567	5.17324	5.2542	5.01721	4.87252	5.17407	5.17256	5.02344	5.18795
"ENSMUSG00000000384"	7.08355	7.053005	7.04345	7.08656	6.900195	6.586735	6.663705	6.56146	6.67453	6.67227	6.828105
"ENSMUSG00000000385"	4.2547	4.32288	4.28978	4.09422	3.99557	4.08295	4.23121	4.10134	4.05974	3.98744	3.82861
"ENSMUSG00000000386"	2.74843	2.7328	2.88707	2.86864	2.63471	2.57742	2.74575	2.75618	2.95032	2.59009	2.76882
"ENSMUSG00000000392"	6.67395	6.74294	6.60369	6.95074	6.03087	6.5311	6.51787	6.28246	6.38772	6.59474	6.44204
"ENSMUSG00000000399"	9.96792	10.01448	9.50321	9.76879	10.0216	8.96199	8.96653	8.58598	8.58853	9.2544	9.06974
"ENSMUSG00000000409"	4.73234	4.5875	4.6895	4.56879	4.79684	4.53054	4.65869	4.61921	4.65611	4.62991	4.62844
"ENSMUSG00000000420"	7.98523	7.89346	8.0584	8.00502	7.57058	8.33712	8.16814	8.2302	8.01673	8.21495	7.90647
"ENSMUSG00000000435"	2.36657	2.22538	2.40676	2.49526	2.34291	2.42534	2.47183	2.30652	2.41195	2.36046	2.36955
"ENSMUSG00000000440"	8.06652	7.95552	7.68021	7.79155	8.14216	6.96723	6.77307	6.35115	6.31726	7.41868	7.00471
"ENSMUSG00000000441"	7.9462	7.66161	7.79059	7.69259	7.6781	7.76566	7.74133	7.65204	7.47907	7.85651	7.73215
"ENSMUSG00000000486"	6.15537	6.30089	6.48462	6.48462	6.53578	6.46376	6.53949	6.43352	6.60947	6.40919	6.571
"ENSMUSG00000000489"	5.39523	5.52027	5.41825	5.3802	5.30564	5.12228	5.35493	5.29664	5.28343	5.30431	5.42975
"ENSMUSG00000000530"	6.70991	6.88767666666667	6.71104	6.7196	6.88445666666667	6.82526333333333	6.87240666666667	6.82858666666667	7.11595666666667	6.66679	6.8781
"ENSMUSG00000000532"	5.97649	6.10318	6.0887	5.90718	6.06242	5.97226	6.12025	6.19672	6.10442	5.79475	6.08901
"ENSMUSG00000000552"	7.36692	7.36645	7.49279	7.283	7.14586	7.66779	7.47415	7.51091	7.45789	7.69994	7.48349
"ENSMUSG00000000555"	5.96076	5.99669	6.11117	6.13604	5.7572	6.48289	6.54103	6.38378	6.1929	6.18246	6.06675
"ENSMUSG00000000560"	3.65025	3.90208	4.06497	3.75322	3.76807	3.96465	4.07956	3.90394	3.70064	3.75766	4.1308
"ENSMUSG00000000561"	6.79588	6.3811	6.70281	6.74884	6.80091	6.45363	6.22075	6.23818	6.31974	6.51617	6.33416
"ENSMUSG00000000568"	7.7531	7.53348	8.01136	7.91907	7.66531	7.68162	7.61186	7.67627	7.47769	7.72764	7.32218
"ENSMUSG00000000579"	5.68399	5.7834	5.77385	5.89994	5.62988	5.9719	6.13626	6.13242	6.14388	6.02855	5.90385
"ENSMUSG00000000581"	5.08216	4.79866	4.89843	5.24474	5.54226	4.87512	4.75976	4.92656	4.88691	5.30515	4.5925
"ENSMUSG00000000594"	8.10219	8.02267	7.83129	8.15021	8.63403	9.06129	9.16362	8.88022	8.98628	8.83677	8.96788
"ENSMUSG00000000605"	5.98367	6.03709	6.16767	6.151515	5.99413	6.57202	6.703175	6.577355	6.54094	6.490455	6.536985
"ENSMUSG00000000606"	2.64741	2.63698	2.49652	2.41906	2.68854	2.3691	2.62435	2.61735	2.54727	2.57934	2.64908
"ENSMUSG00000000627"	6.40547	6.42437	6.6463	6.39126	6.4783	6.34302	6.43932	6.465	6.38318	6.20321	6.40349
"ENSMUSG00000000628"	7.45338	7.38758	6.69435	7.04109	6.99007	7.53888	7.80213	7.72104	7.80305	7.73536	7.77951
"ENSMUSG00000000632"	4.43628	4.6947	4.56474	4.58499	4.37463	4.505	4.63321	4.6621	4.59505	4.40293	4.57829
"ENSMUSG00000000682"	5.16599	5.21459	4.9249	5.04133	4.96809	5.30144	5.27743	5.17756	5.27917	5.15	5.43248
"ENSMUSG00000000690"	7.60213	7.59637	7.76711	7.68395	7.77516	7.67159	7.6757	7.62762	7.70993	7.65648	7.69315
"ENSMUSG00000000701"	4.0244	3.96759	3.97287	4.22475	4.00829	4.00049	3.95397	3.93311	4.11017	3.87139	4.29387
"ENSMUSG00000000706"	4.50721	4.71049	4.62024	4.46614	4.3493	4.5067	4.67628	4.6234	4.59817	4.44288	4.65432
"ENSMUSG00000000708"	5.163855	5.10773	5.142305	5.178515	4.82732	5.10721	5.08067	5.1969	5.20645	5.294605	5.183945
"ENSMUSG00000000711"	5.50739	5.54416	5.56276	5.81639	5.60804	5.39254	5.59585	5.49093	5.53186	5.44131	5.61416
"ENSMUSG00000000724"	4.28629	4.38963	4.15351	4.15415	4.43082	4.23961	4.4228	4.34212	4.49395	4.28735	4.51378
"ENSMUSG00000000731"	6.41224	6.56178	6.28639	6.35921	6.52456	6.30233	6.37894	6.27518	6.4232	6.32328	6.44833
"ENSMUSG00000000739"	4.52893	4.79464	4.65383	4.73253	4.4883	4.54011	4.52173	4.48104	4.54192	4.58644	4.44796
"ENSMUSG00000000740"	12.31217	12.22929	12.41753	12.42593	12.60643	12.23817	12.1884	12.17367	12.17907	12.21963	12.15578
"ENSMUSG00000000751"	7.88869	7.65277	8.01502	7.8354	7.97343	7.50805	7.37893	7.54588	7.46094	7.70405	7.15298
"ENSMUSG00000000753"	10.42984	10.25028	10.70064	10.67346	10.25781	10.66841	10.49597	10.62114	10.59751	10.47869	10.29176
"ENSMUSG00000000759"	5.4046	5.18688	5.78546	5.55969	5.60698	5.69807	5.62417	5.59969	5.56308	5.73478	5.52003
"ENSMUSG00000000766"	7.64589	7.41727	7.53222	7.567625	7.631825	7.567305	7.563515	7.693225	7.5329	7.662785	7.4027
"ENSMUSG00000000776"	5.7276	5.69968	5.67321	5.78388	5.87454	5.85091	5.85347	6.03775	5.84566	5.89641	5.74528
"ENSMUSG00000000782"	5.15633	5.29903	5.059805	5.23176	4.97993	5.194565	5.313165	5.11891	5.274635	5.099265	5.2931
"ENSMUSG00000000787"	6.77349	6.497325	6.76489	6.99486	6.6585	6.51583	6.374065	6.656815	6.928795	6.608995	6.70855
"ENSMUSG00000000791"	5.81319	5.92586	5.93555	5.55241	5.82188	5.82851	5.98254	5.92375	5.98975	5.88052	6.17325
"ENSMUSG00000000805"	5.17972	4.98449	5.02843	4.97942	5.27559	4.98625	4.87299	4.91365	4.84689	4.97942	4.99259
"ENSMUSG00000000817"	4.33685	4.49719	4.27551	4.22621	4.28449	4.1295	4.43416	4.29078	4.28952	4.16696	4.29207
"ENSMUSG00000000826"	6.66945	6.67372	6.46729	6.78799	6.80096	6.28806	6.34571	6.31475	6.5392	6.29997	6.55473
"ENSMUSG00000000827"	5.20031	4.93339	5.1143	5.2043	5.83572	5.14877	5.09195	5.0976	4.98046	5.12996	4.82671
"ENSMUSG00000000838"	7.55849	7.352145	7.6168	7.795315	7.261365	8.42746	8.37702	8.35983	8.279055	8.543885	8.322165
"ENSMUSG00000000869"	2.951825	3.015275	2.87622	2.8864075	3.019925	2.8893075	2.9720225	2.997215	3.02999	2.872535	3.0009725
"ENSMUSG00000000881"	6.00124	5.96294	5.82621	5.85661	6.0556	6.25419	6.32018	6.4192	6.36969	6.24218	6.19905
"ENSMUSG00000000901"	7.31845	7.69055	7.1389	8.21951	7.13006	7.01909	7.64663	7.56799	8.07193	7.51793	7.76051
"ENSMUSG00000000902"	8.4252	8.38053	8.55423	8.41953	8.95902	8.54557	8.44877	8.62248	8.44492	8.72111	8.44505
"ENSMUSG00000000903"	4.30297	4.52184	4.42562	4.302	4.43794	4.60092	4.6682	4.59747	4.69664	4.56364	4.71059
"ENSMUSG00000000915"	6.79266	6.64011	6.84263	6.72726	6.55058	6.47253	6.5261	6.39727	6.50173	6.27767	6.54319
"ENSMUSG00000000938"	3.03719	2.86502	2.88107	3.00905	2.64811	2.7917	2.83975	2.84437	2.78165	2.79296	2.98437
"ENSMUSG00000000942"	6.09109333333333	6.05549333333333	6.18300333333333	6.15545	5.99042333333333	5.96517	5.99507666666667	5.87047	6.01233	5.91555	5.95281666666667
"ENSMUSG00000000957"	8.69817	8.6644	8.86382	9.02664	9.71569	10.41201	10.6919	10.94604	11.1749	10.63338	10.73511
"ENSMUSG00000000958"	5.56491	5.54588	5.60958	5.61158	5.38629	5.37324	5.51539	5.46412	5.60418	5.13492	5.25048
"ENSMUSG00000000982"	4.66768	4.90517	4.61398	4.64018	4.72577	4.85002	4.66199	4.52872	4.60232	4.48373	4.6907
"ENSMUSG00000000983"	5.9382	6.11265	6.01441	5.85448	5.73543	6.29424	6.43022	6.31794	6.53026	6.40015	6.62831
"ENSMUSG00000001016"	5.02276	4.70422	5.15989	5.12629	5.4053	4.77752	4.45776	4.95775	4.84203	5.00584	4.61863
"ENSMUSG00000001017"	7.04636	6.61069	7.06187	7.09109	7.09775	7.1655	6.97368	7.14727	6.78027	7.37196	6.77058
"ENSMUSG00000001018"	6.94392	6.86513	6.84553	6.88083	7.05408	6.80128	6.91705	6.93678	6.90608	6.87623	6.96369
"ENSMUSG00000001020"	9.1075	8.71943	9.63854	9.24703	9.75788	9.40738	9.15395	9.50777	9.06064	9.2434	8.43739
"ENSMUSG00000001021"	4.374915	4.404905	4.286005	4.313205	4.515085	4.345815	4.40451	4.310855	4.385095	4.342625	4.328305
"ENSMUSG00000001023"	5.64555	5.40227	5.44932	5.41478	5.25795	5.30632	5.33616	5.34883	5.47128	5.30625	5.38193
"ENSMUSG00000001025"	11.62419	11.21206	11.8941	11.5566	12.14769	12.13268	12.01853	12.26011	11.96799	12.08295	11.63879
"ENSMUSG00000001029"	6.36452	6.55163	6.40691	6.708	6.39762	5.32937	5.35887	5.15312	5.38721	5.14643	5.26978
"ENSMUSG00000001034"	7.31988	7.26132	7.30621	7.30819	7.34006	7.13895	7.34461	7.28139	7.42713	7.21375	7.47106
"ENSMUSG00000001036"	7.58394	7.64841	7.57979	7.63506	7.39402	7.325	7.35778	7.40357	7.63806	7.26935	7.45153
"ENSMUSG00000001039"	6.09169	5.98874	6.33514	6.15345	6.64742	6.0798	6.03333	6.13885	5.84644	6.07575	6.11085
