"BAT_M07(r1)"	"BAT_M07(r2)"	"BAT_M07(r3)"	"BAT_M07(r4)"	"BAT_M07(r5)"	"eWAT_M07(r1)"	"eWAT_M07(r2)"	"eWAT_M07(r3)"	"eWAT_M07(r4)"	"eWAT_M07(r5)"	"eWAT_M07(r6)"
"ENSMUSG00000020630"	4.29269	4.29857	4.38742	4.42601	4.50168	4.4436	4.48019	4.61309	4.42601	4.42601	4.43696
"ENSMUSG00000020635"	7.08023	7.2613	7.06717	7.00461	6.90846	7.04524	7.04385	7.10086	7.12638	6.93737	7.0784
"ENSMUSG00000020638"	4.83014	4.78855	4.598	4.78855	4.56292	4.74362	4.85191	4.82207	4.80298	4.75191	4.93015
"ENSMUSG00000020641"	4.90212	5.0938	5.01172	5.06895	4.81494	4.74801	4.83697	4.64796	4.74233	4.67893	4.97102
"ENSMUSG00000020644"	7.11326	6.47343	6.9359	7.08546	7.67109	7.14612	6.9213	7.53113	7.32876	7.02114	6.51647
"ENSMUSG00000020647"	5.5847	5.70141	5.58787	5.55291	5.32338	5.64931	5.82625	5.62501	5.68197	5.61371	5.6352
"ENSMUSG00000020649"	6.71785	6.12055	6.96875	6.62073	6.7369	5.77403	5.56133	6.10567	5.83341	6.01372	5.41733
"ENSMUSG00000020650"	5.97583	5.88333	6.18815	6.05371	5.63828	5.94381	5.73682	5.6927	5.78821	5.94195	5.69335
"ENSMUSG00000020654"	6.26055	6.40116	6.55498	6.47254	6.43306	6.65846	6.73022	6.68519	6.66463	6.53377	6.65234
"ENSMUSG00000020660"	7.35298	7.47541	7.53947	7.42707	7.47094	7.48378	7.46349	7.45861	7.32065	7.34999	7.49611
"ENSMUSG00000020661"	4.41541	4.45986	4.34895	4.25209	4.43039	4.45306	4.64203	4.46855	4.31877	4.76724	4.45188
"ENSMUSG00000020664"	9.17151	9.02826	8.78266	9.12491	8.81119	8.23635	8.20905	7.86208	7.85612	8.51167	8.15607
"ENSMUSG00000020668"	5.27919	5.37008	5.42467	5.60744	4.9875	5.35773	5.37623	5.35882	5.51957	5.3796	5.22717
"ENSMUSG00000020669"	3.04613	3.09147	2.95893	3.16702	3.07552	3.00076	2.94158	2.84483	2.99627	3.12364	2.82836
"ENSMUSG00000020671"	6.73045	6.568825	6.731775	6.93853	6.986115	6.675075	6.65842	6.645385	6.77673	6.702065	6.626165
"ENSMUSG00000020673"	4.34247	4.67312	4.48571	4.45131	4.19261	4.37715	4.34236	4.22077	4.49553	4.18762	4.43163
"ENSMUSG00000020676"	6.03356	6.18252	5.7136	6.33864	5.93951	5.55365	5.44244	5.25335	5.31576	5.44584	5.50993
"ENSMUSG00000020677"	5.64718	5.45333	5.90245	5.77029	5.38907	5.3068	5.22545	5.29913	5.51005	5.33448	5.6059
"ENSMUSG00000020679"	2.99989	2.90018	2.93061	2.85686	2.9283	2.8772	3.02594	2.93566	2.94405	2.98506	3.12756
"ENSMUSG00000020680"	4.71604	4.40273	4.65225	4.75218	4.75582	5.3384	5.17676	5.1863	5.16899	5.39143	5.22062
"ENSMUSG00000020681"	6.20271	6.37822	5.86876	6.41396	5.9749	6.26594	6.37065	6.49605	6.66297	6.30147	6.61614
"ENSMUSG00000020694"	4.786995	4.94546	4.69719	4.782985	4.485825	4.670595	4.834585	4.682845	4.740155	4.68789	4.65483
"ENSMUSG00000020695"	7.26664	7.24203	7.39693	7.20012	6.75314	7.10281	7.30278	7.25721	7.59598	7.19958	7.63778
"ENSMUSG00000020697"	4.76618	4.700945	4.758115	4.697725	4.71816	4.69645	4.53902	4.640765	4.664015	4.73592	4.684465
"ENSMUSG00000020698"	5.39358	5.39712	5.39333	5.34551	5.36202	5.33044	5.3915	5.36069	5.40417	5.09568	5.60286
"ENSMUSG00000020700"	5.77950333333333	5.76182666666667	5.82697666666667	5.84399333333333	5.58818	6.00246666666667	6.10531	6.11921666666667	6.15124666666667	6.02017333333333	6.0108
"ENSMUSG00000020702"	4.982215	5.205865	5.020365	5.00833	4.98168	4.90684	4.94452	4.92457	4.920875	4.8097	5.050685
"ENSMUSG00000020704"	5.8783	6.07317	6.00497	5.99259	5.89139	5.85922	5.97285	5.90372	5.89934	5.77404	6.08101
"ENSMUSG00000020706"	5.04427	4.74779	5.12708	5.26313	5.32083	5.6705	5.7072	5.32657	5.02932	5.9026	5.28673
"ENSMUSG00000020708"	7.03893	7.03812	7.02626	7.04919	7.38036	7.21019	7.02667	7.11259	7.08942	7.21138	7.0464
"ENSMUSG00000020713"	6.56759	6.72247	6.51717	6.63444	6.6196	6.5263	6.47866	6.47391	6.5561	6.43767	6.39222
"ENSMUSG00000020716"	4.55161	4.61022	4.53468	4.38692	4.49622	4.42307	4.43841	4.59871	4.60992	4.51658	4.48981
"ENSMUSG00000020718"	5.07854	5.11672	4.93171	4.9212	4.91286	5.16601	5.09406	5.03261	5.08779	5.05663	5.13904
"ENSMUSG00000020719"	7.51607	7.37654	7.46985	7.61038	6.65507	7.62572	7.73987	7.71235	7.79577	7.59666	7.48316
"ENSMUSG00000020720"	7.15642	7.05756	7.08317	7.16391	6.95781	7.05837	7.0543	7.06202	6.92696	7.36385	6.90851
"ENSMUSG00000020722"	5.3719	5.56189	5.55077	5.46994	5.55679	5.28511	5.39032	5.30736	5.39032	5.27645	5.39529
"ENSMUSG00000020733"	7.29476	7.22843	7.07464	7.27081	7.56201	7.87621	7.73293	8.08558	8.09397	7.9426	7.95512
"ENSMUSG00000020734"	7.43281	7.62171	7.65256	7.54887	7.70252	7.7685	7.87853	7.83392	7.7685	7.75304	8.00734
"ENSMUSG00000020737"	8.13705	8.03048	8.26394	8.14346	8.44951	8.02819	7.7267	7.80924	7.77444	8.23663	7.73308
"ENSMUSG00000020739"	7.20258	7.000055	7.396345	7.124525	7.18989	7.0334	6.77648	6.912385	6.837545	7.14225	6.824255
"ENSMUSG00000020743"	8.46352	8.51388	8.24308	8.26621	8.27892	8.20152	8.10012	7.8868	8.05369	8.12938	8.20255
"ENSMUSG00000020744"	7.89916	8.01519	7.69829	7.7915	7.51508	7.14945	7.28757	6.98428	7.18762	7.21413	7.41725
"ENSMUSG00000020745"	6.6035	6.45876	6.54857	6.5783	6.15768	7.16729	7.12127	7.09709	7.13204	6.9919	6.95878
"ENSMUSG00000020752"	6.42592	6.33183	6.38779	6.46478	5.98254	6.19315	6.26592	6.16807	6.26592	6.12191	6.31913
"ENSMUSG00000020758"	5.72598	5.76018	5.59847	5.6565	5.767	5.37709	5.3277	5.40627	5.42257	5.27638	5.25091
"ENSMUSG00000020766"	7.58418	7.14545	7.68901	7.61951	8.01143	7.2445	7.10765	7.3738	7.37172	7.50617	7.29079
"ENSMUSG00000020773"	8.07821	7.9295	8.15538	8.34569	8.57404	7.88777	8.39669	8.04758	8.17199	7.96947	7.88697
"ENSMUSG00000020775"	7.98351	7.96069	7.75364	7.82862	7.96198	7.32452	7.2526	7.21843	7.29349	7.408	7.53569
"ENSMUSG00000020777"	7.36512	7.3161	7.09118	7.09559	7.71544	7.5101	7.50128	7.12431	7.30931	7.63517	7.54363
"ENSMUSG00000020778"	6.45266	6.59704	6.61543	6.4752	6.83525	6.57288	6.63523	6.68455	6.56086	6.54935	6.58947
"ENSMUSG00000020780"	8.43528	8.30519	8.52041	8.48476	8.48349	8.1825	8.10273	8.23815	8.1473	8.26503	8.11987
"ENSMUSG00000020782"	7.37526	7.51036	7.47269	7.21539	7.35108	7.41371	7.43621	7.47013	7.51416	7.42385	7.49315
"ENSMUSG00000020787"	6.92277	7.10236	6.89927	7.13058	6.61569	6.72458	6.89175	6.69243	6.90465	6.67629	6.73795
"ENSMUSG00000020788"	5.34256666666667	5.48811	5.41994333333333	5.31572333333333	5.34397	5.23641333333333	5.28203333333333	5.28924333333333	5.33865	5.18746666666667	5.32658666666667
"ENSMUSG00000020790"	7.51143	7.51249	7.74749	7.61947	7.18674	7.71612	7.7209	7.6561	7.65	7.66636	7.6372
"ENSMUSG00000020792"	6.39286	5.90536	6.07313	6.08249	6.48949	6.4364	6.26545	6.2927	6.31319	6.27038	6.27015
"ENSMUSG00000020793"	7.09382	7.31444	7.03682	7.11559	7.27808	7.07218	7.22416	7.27799	7.35897	7.10975	7.31746
"ENSMUSG00000020794"	7.40528	7.36299	7.35274	7.50223	7.35834	7.31023	7.28418	7.47557	7.44674	7.33855	7.11927
"ENSMUSG00000020799"	2.82756	2.99546	2.78443	2.86938	3.1016	2.8904	2.97248	2.84162	2.88078	2.98476	3.00986
"ENSMUSG00000020802"	5.310585	5.29532	5.35148	5.31037	5.30743	5.48173	5.40177	5.20595	5.31399	5.31076	5.578715
"ENSMUSG00000020803"	7.63684	7.50208	7.82132	7.81116	8.17418	7.85152	8.01448	7.95878	7.82985	7.96701	7.67643
"ENSMUSG00000020804"	7.114355	7.12056	7.011735	7.05038	7.08456	6.86947	6.87325	6.87075	7.00218	6.801025	7.0448
"ENSMUSG00000020808"	6.80521	6.55797	7.14692	6.71109	7.23086	6.67473	6.33457	6.61185	6.28693	6.89389	6.48661
"ENSMUSG00000020817"	4.98094	5.17947333333333	5.01749333333333	5.05901333333333	4.6973	4.99156	5.04131	5.02236	5.0765	5.05616	5.04795
"ENSMUSG00000020821"	5.99215	5.86494	5.99906	6.1023	6.17066	6.94488	6.97874	7.0745	6.91155	6.84546	6.76396
"ENSMUSG00000020823"	5.8099	5.76795	5.835365	5.779295	5.6852	5.87711	5.901955	5.872165	6.01785	5.94518	5.983825
"ENSMUSG00000020826"	4.58741	4.90751	4.95795	4.7568	4.70136	4.46863	4.40508	4.50477	4.56515	4.57675	4.56695
"ENSMUSG00000020828"	7.78269	7.90315	7.7714	7.792	7.82128	8.19633	8.19427	8.13164	8.19162	8.00014	8.2904
"ENSMUSG00000020829"	5.6258	5.55337	5.63885	5.48385	5.65423	6.03841	6.14625	5.91727	5.99459	5.97384	5.92027
"ENSMUSG00000020831"	7.05790333333333	6.92941	7.14296	6.97574	7.51821333333333	6.81557666666667	6.50962333333333	6.60734666666667	6.40595	6.83703333333333	6.56898333333333
"ENSMUSG00000020832"	6.914155	6.84099	6.87054	6.891225	7.224055	6.51009	6.486715	6.375055	6.503535	6.58086	6.611345
"ENSMUSG00000020838"	4.76012	4.69095	4.66315	4.62879	4.83489	4.43648	4.58962	4.66887	4.63321	4.5113	4.48441
"ENSMUSG00000020840"	8.34343	8.11471	8.38358	8.07738	8.56799	8.10958	7.98688	7.96356	7.60552	8.08061	7.7182
"ENSMUSG00000020841"	6.367715	6.169095	6.430875	6.341175	5.95537	6.196565	6.187025	6.288555	6.172795	6.15912	6.085335
"ENSMUSG00000020843"	6.42863	6.10569	6.31377	6.41682	6.65607	6.21255	6.05766	5.97079	5.98036	6.53951	6.09953
"ENSMUSG00000020844"	6.94454	6.9866	6.75174	6.67999	6.91212	6.90325	6.88602	6.91526	7.01639	6.90325	6.91761
"ENSMUSG00000020846"	7.15538	6.97007	7.1745	7.17467	6.9343	6.57209	6.75979	6.78613	6.49566	6.49894	6.48912
"ENSMUSG00000020848"	5.91716	5.80951	6.01673	6.04905	5.77116	5.85675	6.02432	5.92804	6.03304	5.71875	6.1735
"ENSMUSG00000020849"	6.38063	6.30616	6.45424	6.52208	6.82088	6.88611	6.78945	6.86018	6.66425	6.79878	6.77034
"ENSMUSG00000020850"	8.26123	8.00867	8.38946	8.114	8.05777	8.22475	8.05312	8.13843	7.9765	8.30766	7.99243
"ENSMUSG00000020857"	10.73488	10.57134	10.74167	10.7041	11.3585	10.85709	10.70018	10.74928	10.71203	11.05226	10.67868
"ENSMUSG00000020863"	4.3442	4.24696	4.43289	4.69151	3.73141	4.30354	4.08722	4.07989	4.22008	4.6293	4.07837
"ENSMUSG00000020864"	5.87933	5.79082	5.73687	5.747705	5.830465	6.18758	6.054885	5.928795	5.942385	6.13739	5.93443
"ENSMUSG00000020865"	7.21173	7.31196	7.29299	7.24174	7.08035	7.11952	7.13624	7.11876	7.15445	6.99247	7.32631
"ENSMUSG00000020866"	4.89067	4.79929	4.86417	4.53694	5.11688	6.27164	6.29471	6.30685	6.14007	5.94917	5.97053
"ENSMUSG00000020869"	9.69376	9.44593	9.89947	9.63308	10.07092	9.61475	9.60281	9.45234	9.38073	9.72998	9.4637
"ENSMUSG00000020870"	7.78975	7.74281	7.44191	7.53935	7.85956	7.38426	7.49751	7.21735	7.23881	7.71345	7.62835
"ENSMUSG00000020871"	6.13545	6.39799	6.19328	6.06126	6.06382	6.00978	6.04577	5.99938	6.2302	6.08215	6.20751
"ENSMUSG00000020873"	8.55964	8.4985	8.63502	8.78037	8.81352	8.75338	8.66136	8.67768	8.7322	8.74722	8.69314
"ENSMUSG00000020875"	4.14096	3.88114	4.14763	3.84586	3.88801	3.94728	3.91658	4.08826	4.02237	3.98662	3.91155
"ENSMUSG00000020884"	4.05818	4.39246	3.95859	4.08402	4.21376	4.14264	4.13616	4.09986	4.27032	4.08017	4.33811
"ENSMUSG00000020886"	5.8353	6.18864	6.03747	6.10822	6.068	6.42067	6.38039	6.27801	6.2609	6.08755	6.40574
"ENSMUSG00000020888"	6.53915	6.47846	6.60307	6.60155	6.61625	6.46259	6.51053	6.54181	6.63468	6.53029	6.52168
"ENSMUSG00000020889"	6.57016	6.54524	6.40117	6.53825	6.85057	6.39842	6.55087	6.53238	6.45018	6.43517	6.69164
"ENSMUSG00000020890"	6.44892	6.45057	6.28614	6.23087	6.50109	6.39219	6.40158	6.41805	6.48751	6.451	6.54039
"ENSMUSG00000020891"	4.18546	4.57653	4.14741	4.06147	3.93303	4.29125	4.20444	4.1251	4.22853	4.01391	4.04511
"ENSMUSG00000020892"	6.92694	7.18242	6.99073	6.97448	7.00544	6.98991	7.01884	6.9679	7.13445	6.87555	7.18856
"ENSMUSG00000020893"	6.83918	6.68749	6.84482	6.60303	6.85491	7.10777	6.97115	7.08357	7.07369	7.0517	7.00336
"ENSMUSG00000020894"	5.56578	5.68375	5.692545	5.569575	5.463145	5.96372	5.87196	5.778205	5.65137	5.79778	5.68511
"ENSMUSG00000020897"	8.01021	7.53658	8.18579	7.75916	8.17456	7.84424	7.63922	7.92731	7.80485	7.81508	7.79655
"ENSMUSG00000020898"	5.92978	6.14363	6.04029	6.02799	6.19303	6.36447	6.15549	6.14149	6.11873	6.15634	6.15411
"ENSMUSG00000020900"	4.48386	4.52994	4.51981	4.40941	4.55014	4.47599	4.5858	4.57931	4.56177	4.33012	4.50109
"ENSMUSG00000020902"	5.56228	5.66272	5.762785	5.79599	5.666745	5.63226	5.546135	5.761765	5.747875	5.534465	5.6835
"ENSMUSG00000020903"	6.9894	7.11069	6.70246	6.81429	6.56732	6.22628	6.18906	6.20155	6.35585	6.29812	6.40712
"ENSMUSG00000020907"	4.38356	4.46486	4.51745	4.39156	4.59084	4.48697	4.56102	4.59605	4.50255	4.42852	4.6861
"ENSMUSG00000020908"	3.36241	3.13517	3.57298	3.21714	3.25806	3.05983	3.01624	3.02577	2.98711	3.12992	3.04306
"ENSMUSG00000020910"	7.17343	7.02186	6.90413	6.97473	6.92857	6.95651	6.97669	6.92223	6.90325	7.03198	6.91524
"ENSMUSG00000020911"	4.17261	4.26774	4.69305	4.66865	4.61424	3.92451	4.11209	4.10482	4.0299	4.06925	4.19009
"ENSMUSG00000020912"	6.08728	6.23593	5.99478	6.0498	5.94597	5.89145	6.0501	5.94074	6.0519	6.01664	5.99949
"ENSMUSG00000020914"	6.33542	5.81756	6.62938	5.95066	5.92555	5.95171	5.34806	6.07539	5.35353	6.32827	5.39111
"ENSMUSG00000020916"	8.28793	8.62659	8.54722	8.33261	8.58747	8.57424	8.60837	8.6419	8.75458	8.5204	8.75554
"ENSMUSG00000020917"	10.20421	10.1297	9.90325	9.95674	9.81102	10.20141	10.36465	10.17604	9.96716	10.39734	10.40074
"ENSMUSG00000020918"	7.17152	7.11068	7.12664	7.14901	7.21766	7.11462	7.01142	6.8515	7.04193	7.23156	7.08329
"ENSMUSG00000020919"	6.42517	6.52289	6.52925	6.6264	6.52289	6.58802	6.37655	6.52289	6.51764	6.4091	6.73054
"ENSMUSG00000020923"	7.96096	7.89607	8.03877	7.87824	8.12338	8.21306	8.23494	8.27188	8.00078	8.27154	8.14908
"ENSMUSG00000020926"	6.43401	6.67045	6.5348	6.40589	6.2399	6.24658	6.36292	6.42386	6.36009	6.35321	6.37484
"ENSMUSG00000020929"	7.52352	7.26238	7.61899	7.4181	7.53927	7.1491	7.08171	7.17625	7.11102	7.37473	7.16256
"ENSMUSG00000020932"	4.51901	4.63999	4.626675	4.481525	4.61736	4.577005	4.671465	4.655965	4.67031	4.52894	4.654065
"ENSMUSG00000020936"	6.62776	6.71292	6.68503	6.693965	6.906465	6.79349	6.775995	6.8041	6.729805	6.86563	6.68429
"ENSMUSG00000020946"	7.31920666666667	7.32252333333333	7.39437333333333	7.44913333333333	7.37676333333333	7.22311333333333	7.24837	7.27069666666667	7.34374333333333	7.26068333333333	7.29074666666667
"ENSMUSG00000020949"	6.85162	6.83469	7.01314	6.79852	6.70515	7.06497	6.93206	7.23078	6.83672	7.22527	6.7414
"ENSMUSG00000020950"	2.68093	2.96125	2.74572	2.84487	2.94646	2.76298	2.99189	2.58823	2.75388	2.69577	2.7041
"ENSMUSG00000020953"	2.75329	2.68304	2.50595	2.48415	2.58645	2.56812	2.7741	2.65373	2.51718	2.46741	2.70608
"ENSMUSG00000020954"	7.33174	7.09742	7.16997	7.33404	6.44985	7.3578	7.3455	7.49243	7.42306	7.37358	6.92005
"ENSMUSG00000020955"	6.86774	6.73911	6.78833	6.89261	7.07834	6.84208	6.8035	6.79461	6.74297	7.15406	6.67478
"ENSMUSG00000020956"	5.37802	5.38146	5.417365	5.472475	5.62071	6.00552	5.87374	5.9257	5.825055	5.94165	5.84031
"ENSMUSG00000020962"	6.03334	5.71636	5.84236	5.75246	5.08175	5.76428	5.51499	5.73977	5.66878	5.79635	5.40104
"ENSMUSG00000020963"	4.3759	4.17614	4.36316	4.26103	4.16652	4.43152	4.38722	4.04764	3.77488	4.82654	4.29165
"ENSMUSG00000020964"	5.311445	5.04612	5.13739	5.302915	4.77394	5.46388	5.316065	5.455215	5.418045	5.505895	5.27524
"ENSMUSG00000020974"	4.08051	3.70861	4.36768	3.97964	4.11123	3.91725	3.74751	3.97694	3.81592	4.11811	3.57961
"ENSMUSG00000020978"	6.87898	6.79543	6.79225	7.03802	7.16434	6.86315	6.72259	6.93073	7.03223	7.17106	6.69621
"ENSMUSG00000020986"	7.586225	7.414415	7.58454	7.77268	7.932835	7.32458	7.19197	7.34821	7.690535	7.196205	7.406625
"ENSMUSG00000020994"	5.19095	5.01777	5.37259	5.13621	4.43793	4.79247	4.58895	4.73879	4.68593	5.01919	4.45967
"ENSMUSG00000021000"	6.63492	6.35597	6.50666	6.58308	5.94037	6.7384	6.7324	6.83539	6.56713	6.92234	6.3214
"ENSMUSG00000021003"	4.43733	4.56336	4.7181	4.47859	3.97306	4.47587	4.55968	4.60975	4.6525	4.54768	4.56772
"ENSMUSG00000021009"	5.76863	5.70907	5.68802	5.83058	5.23386	6.0134	6.03428	6.15708	6.15202	6.11531	6.07623
"ENSMUSG00000021012"	7.60255	7.38078	7.42284	7.49495	7.51712	7.2506	6.97054	7.27919	7.24764	7.37007	7.10074
"ENSMUSG00000021018"	7.58302	7.31701	7.54747	7.59781	7.71543	7.0334	6.97854	7.16821	7.27966	7.27666	7.14267
"ENSMUSG00000021022"	4.75791	4.96122	4.8601	4.73965	4.72283	4.74282	4.68411	4.72995	4.93308	4.70993	4.78516
"ENSMUSG00000021024"	9.59064	9.3675	9.41709	9.60486	10.20245	9.67809	9.62896	9.60149	9.32141	9.88689	9.40903
"ENSMUSG00000021025"	7.030235	6.928975	6.958905	7.1224	7.534455	7.317055	7.210675	7.32356	7.161465	7.328545	7.08194
"ENSMUSG00000021033"	8.61423	8.50074	8.36087	8.38507	8.95578	9.0156	9.00589	8.64073	8.32794	9.26752	8.89546
"ENSMUSG00000021036"	7.41038	7.23083	7.63498	7.61412	7.46933	8.0972	8.08923	8.27449	8.25365	8.05565	8.06414
"ENSMUSG00000021039"	6.13618	5.95301	6.0638	6.21051	5.98688	5.89179	5.67048	5.98889	6.19017	6.05298	5.97568
"ENSMUSG00000021040"	7.85813	7.57416	7.75116	7.75572	8.22484	7.87907	7.69856	7.80349	7.35884	8.05302	7.20723
"ENSMUSG00000021054"	6.47871	6.27315	7.11566	6.77011	6.96966	7.58688	7.62268	7.6043	7.58557	7.527	7.53448
"ENSMUSG00000021055"	3.66382	3.72995	3.82995	3.52936	3.51068	3.75719	3.62431	3.63461	3.59597	3.41315	3.80074
"ENSMUSG00000021056"	2.37982	2.33096	2.1945	2.14793	2.07296	2.11385	2.28854	2.16611	2.17839	2.16517	2.21525
"ENSMUSG00000021065"	6.02721	5.82329	5.93492	5.99055	5.51707	5.87667	5.81289	5.80758	5.78378	5.89089	5.79347
"ENSMUSG00000021068"	3.87643	4.15037	3.90059	3.75447	3.41042	3.64608	3.78284	3.66048	3.71869	3.64076	3.40031
"ENSMUSG00000021070"	4.03969	4.48542	4.15076	4.15884	4.28334	4.45779	4.51466	4.36966	4.39686	4.33549	4.58093
"ENSMUSG00000021072"	7.88314	7.7385	7.87957	7.97461	7.65553	7.79933	7.41557	7.84767	7.67204	7.9028	7.61379
"ENSMUSG00000021076"	6.44453	6.402245	6.364455	6.410345	6.546145	6.39054	6.330275	6.43094	6.397775	6.554305	6.18948
"ENSMUSG00000021079"	5.77924	5.58887	5.72336	5.85829	5.58392	5.48523	5.4298	5.02096	5.04137	5.68458	5.33227
"ENSMUSG00000021087"	3.46328	3.5355	3.64693	3.28637	3.21744	3.49657	3.58935	3.48079	3.61111	3.42076	3.58087
"ENSMUSG00000021091"	10.27327	10.14801	10.41466	10.5199	10.57133	11.49355	11.43283	11.21277	11.33663	11.3475	11.35457
"ENSMUSG00000021094"	8.03535	8.01823	7.54099	7.58095	8.00121	8.28735	8.17947	8.01209	7.89735	8.45102	8.03527
"ENSMUSG00000021095"	3.81708	4.02788	3.89835	3.73023	4.20169	3.84591	3.66072	3.86569	3.85999	4.2043	4.16011
"ENSMUSG00000021096"	6.54513	6.57263	6.43385	6.50884	6.27688	6.74	6.8313	6.34355	6.58483	6.82588	6.79016
"ENSMUSG00000021103"	7.45716	7.34509	7.38672	7.4788	7.73899	7.08101	6.85285	7.05708	7.14052	7.21469	6.99251
"ENSMUSG00000021108"	4.66477	4.70907	4.78945	5.06842	4.67883	4.45788	4.51121	4.36149	4.33844	4.22035	4.49319
"ENSMUSG00000021109"	9.718395	9.63788	9.703745	9.72432	9.440235	9.8452	10.003835	10.249735	10.16209	9.93495	9.790335
"ENSMUSG00000021111"	4.576445	4.461905	4.575095	4.474805	4.298905	4.361005	4.34349	4.468475	4.585555	4.262645	4.431115
"ENSMUSG00000021114"	8.38297	8.30874	8.19534	8.55447	8.29279	8.15952	8.18511	8.41413	8.37262	8.54432	8.31771
"ENSMUSG00000021115"	4.58702	4.38319	4.55802	4.44119	4.53601	4.31531	4.09304	4.48847	4.23869	4.50033	4.19427
"ENSMUSG00000021116"	8.505	8.1406	8.49439	8.53456	8.76727	7.84685	7.83401	7.72192	7.97839	8.13527	7.85685
"ENSMUSG00000021124"	7.50048	7.32228	7.53645	7.55005	7.93104	7.83451	7.7748	8.074	7.78258	8.04228	7.566
"ENSMUSG00000021125"	2.84365	3.18908	3.09371	3.03922	2.77361	2.86978	3.12353	3.01743	3.00553	2.88664	2.5665
"ENSMUSG00000021127"	7.68013	7.38906	7.4262	7.61369	7.28858	7.87218	7.97935	8.57483	8.39712	8.10491	7.83548
"ENSMUSG00000021131"	9.62284	9.35159	9.74771	9.77151	10.21822	9.32264	9.11277	9.30891	9.12538	9.49745	8.92457
"ENSMUSG00000021133"	7.43293	7.10193	7.42508	7.35407	7.29241	7.63912	7.19839	7.58263	7.4395	7.52216	7.16694
"ENSMUSG00000021134"	8.99106	8.5645	8.73127	8.7302	8.27897	8.27942	8.32707	7.953	7.93998	7.91241	7.74651
"ENSMUSG00000021135"	3.26168	3.362775	3.345265	3.35262	3.141285	3.30044	3.280655	3.144865	3.323925	3.117995	3.257335
"ENSMUSG00000021136"	8.32404	8.19837	8.40174	8.32992	7.84237	8.16533	8.2231	7.90929	7.9364	8.28641	8.1669
"ENSMUSG00000021149"	7.04974	6.99144	7.16086	7.21267	6.6517	6.50266	6.44843	6.61779	6.40101	6.80482	6.59788
"ENSMUSG00000021156"	7.33992	7.0146	7.43718	7.37529	6.74097	8.02416	8.01321	7.98261	7.66775	8.02549	7.75818
"ENSMUSG00000021175"	6.66131	6.63252	7.03446	6.58704	6.26124	6.191	6.03823	6.11543	6.17127	6.33306	6.32361
"ENSMUSG00000021178"	7.86427	7.85908	7.89842	7.90939	8.33702	7.89166	7.84951	7.73396	7.78064	8.08349	7.74274
"ENSMUSG00000021190"	8.01061	7.81127	7.73277	8.07692	7.98476	8.10216	8.18484	8.4435	8.74521	8.25077	8.24212
"ENSMUSG00000021192"	6.38709	6.46991	6.54132	6.57023	6.23133	6.24659	6.25191	6.17879	6.37751	6.14201	6.21818
"ENSMUSG00000021194"	6.36663	6.44803	6.26862	6.32984	6.26585	6.25595	6.21091	6.03464	6.20137	5.98453	6.28258
"ENSMUSG00000021196"	6.850525	6.81814	6.464665	6.752855	7.14627	5.65829	5.89072	5.9488	6.046585	5.97452	6.042625
"ENSMUSG00000021207"	4.00417	4.02385	4.00178	3.9814	4.00865	3.94358	4.14644	3.94741	4.13089	3.98493	4.03464
"ENSMUSG00000021210"	3.83218	3.99415	3.93042	3.7944	4.17514	3.98435	3.98435	4.04458	4.19679	3.98774	4.19331
"ENSMUSG00000021211"	6.80846	6.77531	6.57235	6.74719	6.7012	6.80275	6.92035	6.79253	6.80344	6.7466	6.78664
"ENSMUSG00000021213"	6.80846	6.77531	6.57235	6.74719	6.7012	6.80275	6.92035	6.79253	6.80344	6.7466	6.78664
"ENSMUSG00000021215"	3.93374	3.56525	3.55871	3.64233	3.55113	3.66679	3.40787	3.4919	3.45849	3.49831	3.46696
"ENSMUSG00000021218"	8.92392	8.67144	8.96409	8.94586	9.30938	8.92327	8.88924	8.89213	8.91074	8.99964	8.78107
"ENSMUSG00000021219"	4.69267	4.85736	4.89298	4.91259	4.83256	4.83409	4.75147	4.90858	4.98779	4.84866	5.06933
"ENSMUSG00000021221"	7.9006	8.07475	7.95469	7.88862	7.78353	7.80684	7.88706	7.86538	8.03371	7.75601	7.9548
"ENSMUSG00000021224"	4.29193	4.28718	4.49261	4.48983	4.37938	4.23154	4.33678	4.3673	4.3903	4.3769	4.03023
"ENSMUSG00000021226"	5.1353	5.53871	5.22206	5.31523	5.24231	5.08654	5.21999	5.22273	5.2427	5.10485	5.29868
"ENSMUSG00000021236"	5.85064	5.7073	5.56062	5.62969	5.54311	5.44157	5.43967	5.49296	5.59385	5.52893	5.4832
"ENSMUSG00000021239"	6.19105	6.01031	6.05544	6.1075	6.26315	6.25806	6.39352	6.24543	6.28481	6.25517	6.38732
"ENSMUSG00000021240"	5.88225	5.50407	5.51412	5.3804	5.56167	5.40785	5.33661	5.05942	5.07328	5.59223	5.14012
"ENSMUSG00000021241"	8.63495	8.65491	8.14839	8.43895	8.3913	7.69425	7.72983	7.68343	7.64141	7.88904	7.70902
"ENSMUSG00000021242"	11.7161	11.66236	11.65352	11.65344	11.40555	11.57705	11.61158	11.42087	11.36832	11.62867	11.68866
"ENSMUSG00000021243"	8.66037	8.36817	8.56973	8.46024	8.59432	8.13304	7.9502	7.8735	7.5767	8.38604	7.80687
"ENSMUSG00000021244"	6.63121	6.59225	6.87892	6.62082	6.40042	6.62816	6.60348	6.51058	6.4182	6.5818	6.40565
