"Deep neck_patient 1_hM2"	"Subcutaneous neck_patient 1_hM2"	"Deep neck_patient 2_hM2"	"Subcutaneous neck_patient 2_hM2"	"Deep neck_patient 3_hM2"	"Subcutaneous neck_patient 3_hM2"	"Deep neck_patient 4_hM2"	"Subcutaneous neck_patient 4_hM2"	"Deep neck_patient 5_hM2"	"Subcutaneous neck_patient 5_hM2"	"Deep neck_patient 6_hM2"	"Subcutaneous neck_patient 6_hM2"
"ENSG00000130787"	7.1983	7.20787	7.12573	7.30165	7.0593	7.09344	7.32481	7.2297	7.24642	7.27824	7.22563	7.33359
"ENSG00000130803"	7.92141	7.78722	7.85127	7.67052	7.81074	7.79195	7.66543	7.73299	7.9279	7.94611	7.80692	7.74977
"ENSG00000130810"	7.69722	7.96076	7.5094	7.64087	7.62519	7.51927	7.77184	7.85206	7.72235	7.7645	7.73069	7.77392
"ENSG00000130811"	11.23527	11.14782	11.25772	11.21748	11.22413	11.21882	11.33911	11.11321	11.11804	10.98185	11.08495	11.31302
"ENSG00000130812"	7.74848	7.95268	7.59301	7.8532	7.60385	7.4752	7.70571	7.82164	7.69493	7.83907	7.82114	7.84857
"ENSG00000130813"	9.11399	9.14343	8.63918	8.72467	8.81177	8.51103	8.99732	9.00336	8.71705	8.83866	8.88588	9.06687
"ENSG00000130816"	11.44164	11.185845	11.451605	11.365375	11.692045	11.837165	11.73184	11.417665	11.287895	11.134805	11.412115	11.48878
"ENSG00000130818"	8.68484	8.75953	8.62279	8.35584	8.15133	8.08461	8.43252	8.41204	8.74268	8.566	8.61213	8.42281
"ENSG00000130821"	9.31010333333333	9.76023333333333	9.01550666666667	9.31745	9.12764	9.08546666666667	8.7368	8.77726	8.73298666666667	9.02893	8.72587333333333	8.99257333333333
"ENSG00000130822"	7.38912	7.78495	7.43457	7.81135	7.58601	7.49375	7.59576	7.78125	7.77077	7.78851	7.81146	7.77016
"ENSG00000130826"	6.13435	6.11987333333333	6.30343	6.15049666666667	6.32803333333333	6.42223	6.36703333333333	6.35337666666667	6.26302666666667	6.23274	6.23904	6.24805333333333
"ENSG00000130827"	9.31913	9.41169	9.28013	9.54956	9.0058	9.02488	9.61817	9.01902	8.74625	8.94218	8.64976	9.10483
"ENSG00000130829"	7.53865	7.83911	7.64102	7.94491	7.66904	7.5029	7.64439	7.75147	7.78902	7.95945	7.87117	7.82243
"ENSG00000130830"	9.16878	9.00206	9.6701	9.48544	9.87913	9.71991	9.64532	9.3911	9.09753	9.02487	9.05967	9.49838
"ENSG00000130844"	7.54358	7.54276	7.47526	7.49763	7.26739	7.35232	7.49511	7.44189	7.72925	7.56584	7.6951	7.51176
"ENSG00000130856"	8.52017	8.29325	8.53469	8.30654	8.41286	8.32973	8.50566	8.28866	8.38654	8.48958	8.5013	8.45135
"ENSG00000130876"	7.76877	7.78685	7.79397	8.1346	7.84169	7.75895	7.76821	7.73915	7.75956	7.8308	7.83978	7.8275
"ENSG00000130881"	9.02376	9.06947	8.85704	9.21721	9.07409	8.90273	8.98238	9.08364	9.21842	9.00644	9.27144	9.17266
"ENSG00000130921"	7.86222	7.70368	8.02012	7.80973	7.99404	7.78045	7.93681	8.12032	8.13122	8.02014	8.10312	7.99772
"ENSG00000130935"	8.605	8.5025	8.63035	8.2002	8.54132	8.76747	8.59315	8.62238	8.72943	8.36974	8.55151	8.38978
"ENSG00000130939"	10.21839	10.10879	10.37485	10.30661	10.27755	10.20447	10.15912	10.03257	10.10138	10.0725	10.08638	10.29368
"ENSG00000130940"	6.55205333333333	6.81323666666667	6.79502	6.95729333333333	6.79367333333333	6.64249	6.74585	6.69660333333333	6.85697333333333	6.73016666666667	6.7371	6.93014
"ENSG00000130943"	5.61373	5.93257	5.62087	6.13063	5.7135	5.81355	5.70291	5.68533	5.78729	5.79278	5.73047	5.94846
"ENSG00000130948"	5.10204	5.09002	5.19784	5.26251	5.18118	5.22425	5.16877	5.12098	5.18348	5.18766	5.28247	5.25274
"ENSG00000130950"	7.28326	7.2885	7.21135	7.486395	7.3698	7.32094	7.321575	7.38969	7.4167	7.41567	7.331055	7.360525
"ENSG00000130956"	8.80734	8.65102	9.15044	9.02674	8.94431	9.13734	8.80847	8.76527	8.86593	8.52819	8.94197	9.07853
"ENSG00000130957"	5.36092	5.38466	5.42796	5.65824	5.48366	5.37631	5.46817	5.61555	5.29746	5.42731	5.40614	5.38589
"ENSG00000130958"	8.4153	8.23751	8.20157	7.80217	8.11884	7.83546	8.03629	8.29387	7.80234	8.07526	7.96573	8.25855
"ENSG00000130962"	8.92594	8.77644	8.49987	8.63168	8.71463	8.66811	8.5574	8.25318	8.73631	8.31209	8.39442	8.5199
"ENSG00000130985"	11.61841	11.57746	11.82737	11.90579	11.9151	11.89179	11.6562	11.63117	11.59244	11.5812	11.39296	11.53142
"ENSG00000130988"	5.62895	5.71225	5.31348	6.18803	5.7845	5.77459	5.75807	5.89734	5.38715	5.96123	5.72066	5.72527
"ENSG00000130997"	6.78892	6.75774	6.86291	6.70609	6.63682	6.78696	6.77002	6.54756	6.8201	7.02747	6.59693	6.73708
"ENSG00000131002"	7.88646	7.665795	5.356485	5.315915	5.1557	5.115735	7.5626	7.71086	5.22361	5.39679	7.679075	7.619965
"ENSG00000131007"	4.47345	4.50893	4.51289	4.51094	4.20334	4.29665	4.3931	4.41071	4.46427	4.39775	4.39943	4.44031
"ENSG00000131013"	9.9697	9.65901	9.59472	9.50223	9.5398	9.72715	9.2168	9.44351	9.45525	9.33579	9.41475	9.41437
"ENSG00000131015"	7.44252	7.32137	7.16417	7.59209	7.20199	7.61997	6.95893	6.966	6.6239	7.20053	6.59667	7.10427
"ENSG00000131016"	10.04548	8.91336	10.20706	8.73702	9.84153	8.96658	10.26132	9.61459	11.08	9.00248	11.15012	9.73436
"ENSG00000131018"	8.78004	8.87759	9.26772	9.11775	8.41628	8.72955	8.88502	9.3492	9.18879	9.41512	9.02884	9.03548
"ENSG00000131019"	7.9018	7.93917	8.04954	8.01516	8.74573	8.7513	8.51165	7.82684	7.79066	7.99545	7.49743	8.33382
"ENSG00000131023"	9.57554	9.56693	9.70259	9.41292	9.55167	9.60119	9.54324	9.67999	9.67247	9.73866	9.59689	9.57299
"ENSG00000131037"	6.70367	6.82379	6.78764	6.91244	6.74431	6.70542	6.77166	6.79556	6.67007	6.86703	6.82663	6.7887
"ENSG00000131042"	6.45707	6.54132	6.47912	6.7633	6.45918	6.456055	6.490705	6.512255	6.640435	6.529925	6.53395	6.653875
"ENSG00000131043"	9.56917	9.61444	9.39919	9.50138	9.54169	9.45241	9.41145	9.56865	9.56524	9.66231	9.53733	9.53359
"ENSG00000131044"	5.97404	5.91885	5.86896	6.3108	6.09216	5.84967	5.97903	5.93172	6.0135	6.14586	5.96598	6.15051
"ENSG00000131050"	5.78942	5.8519	5.59962	6.00147	5.61696	5.78587	5.80488	5.77246	5.97746	5.88642	5.88791	5.98247
"ENSG00000131051"	11.32174	11.24621	11.12627	11.03497	10.98469	11.00515	11.28562	11.29088	11.32999	11.37199	11.38025	11.31764
"ENSG00000131055"	6.59996	6.86318	6.83435	7.16236	6.55475	6.50231	6.76557	6.99896	6.79558	7.00157	6.83918	6.90847
"ENSG00000131059"	5.86216	6.12574	5.97054	6.12862	6.04595	6.07858	6.00082	6.07858	6.08862	6.17273	6.05678	6.01091
"ENSG00000131061"	7.55786	7.60539	7.4033	7.58755	7.43697	7.6152	7.71147	7.5811	7.64748	7.60333	7.61657	7.63354
"ENSG00000131067"	8.44615	8.46566	8.39274	8.26124	8.16057	7.95002	8.31117	8.14292	8.00487	8.35346	8.10266	8.40443
"ENSG00000131068"	5.25522	5.33182	5.28167	5.39633	5.2709	5.61745	5.26782	5.25058	5.31013	5.38687	5.38475	5.30183
"ENSG00000131069"	9.2552	9.11243	9.04743	8.96069	8.98557	8.83522	9.14254	8.85051	8.94897	8.92107	8.91547	8.95039
"ENSG00000131080"	9.16068	8.96892	8.72654	8.73135	8.80288	8.84672	8.81425	8.909	9.11609	9.04608	9.51759	8.87419
"ENSG00000131089"	8.74022	8.56966	8.86418	8.80883	8.65155	8.63393	8.83386	8.77205	8.81752	8.74103	8.72436	8.6278
"ENSG00000131094"	8.61812	8.73329	8.78429	9.07808	8.6882	8.5477	8.84386	8.82868	8.84254	8.72542	8.78643	8.89324
"ENSG00000131095"	7.38763	7.45358	7.38427	7.68429	7.48078	7.35762	7.40026	7.38932	7.3041	7.50698	7.44008	7.44458
"ENSG00000131096"	7.34452	7.61297	7.5669	7.7082	7.48768	7.56464	7.27465	7.38364	7.54638	7.58332	7.45815	7.51578
"ENSG00000131097"	5.86869	5.80306	5.92836	6.20614	5.84196	5.86255	6.03412	5.99828	6.00249	6.1266	6.01708	6.08928
"ENSG00000131100"	10.09645	10.01058	10.16682	10.16607	10.13504	10.18857	10.11068	10.04465	9.95447	9.98198	10.12755	10.1993
"ENSG00000131115"	7.94358	7.73799	7.87917	7.38058	7.8646	7.65974	7.89927	7.77911	7.90848	7.74203	7.87094	7.82933
"ENSG00000131116"	6.85922	6.9407	6.79286	6.76923	6.78335	6.59158	6.93287	6.83745	6.81575	6.83285	6.94684	7.0375
"ENSG00000131126"	5.17698	5.41632	5.22913	5.54261	5.29668	5.31577	5.10754	5.05205	5.17461	5.21324	5.43392	5.1704
"ENSG00000131127"	8.4606	8.32201	8.5143	7.84315	8.12218	8.394	8.15357	8.48829	8.67015	8.63582	8.57156	8.37927
"ENSG00000131142"	6.75121	6.9533	7.00077	7.20681	6.99406	7.05146	6.88081	6.80243	6.88179	6.90743	7.04588	6.78131
"ENSG00000131143"	9.78783	9.81484	9.8798	9.91522	9.89103	9.77351	9.82267	9.68152	9.73361	9.7122	9.71387	9.79425
"ENSG00000131148"	7.223185	7.16174	7.179715	7.037855	7.131265	7.085975	7.177935	7.18543	7.12337	7.10652	7.200345	7.073205
"ENSG00000131149"	9.7446	9.98233	9.58621	10.09858	9.77616	9.8306	9.70323	9.49398	9.54169	9.74741	9.40215	9.76919
"ENSG00000131152"	7.27475	7.31289	7.5823	7.64848	7.59777	7.46615	7.67955	7.57424	7.55982	7.61887	7.37331	7.50959
"ENSG00000131153"	7.46275	7.5367	8.5122	9.02769	9.29137	9.8661	9.25375	9.33193	8.27178	7.72803	8.36052	8.30049
"ENSG00000131165"	9.33088	9.43076	9.18333	9.39844	9.38795	9.35839	9.42849	9.45956	9.22256	9.37666	9.22542	9.50759
"ENSG00000131171"	12.34058	12.32669	12.49902	12.36428	12.33727	12.30397	12.09365	12.19075	12.30199	12.35538	12.22946	12.31892
"ENSG00000131174"	8.49309	8.35542	8.32438	7.66657	8.12486	8.51063	8.17446	8.15639	7.78675	7.53505	7.58322	7.52532
"ENSG00000131183"	7.24265	7.26261	7.31948	7.65043	7.14638	7.32835	7.31086	7.12732	7.37583	7.34306	7.30353	7.34579
"ENSG00000131187"	6.61784	6.71926	6.44486	6.91129	6.53515	6.47921	6.60136	6.71509	6.6893	6.66527	6.72861	6.76129
"ENSG00000131188"	8.30903	8.5248	8.25757	8.75088	8.4058	8.27091	8.5589	8.42218	8.41104	8.46818	8.32995	8.39887
"ENSG00000131196"	8.20967	8.57306	7.65988	8.43098	8.12517	8.00603	8.14997	8.49603	8.13858	8.46066	7.94895	8.17405
"ENSG00000131203"	4.76448	4.70683	4.65636	4.84507	4.74221	4.506	4.5098	4.79204	4.70518	4.72272	4.62931	4.59273
"ENSG00000131233"	4.64204	4.59196	4.77292	4.64425	4.66906	4.60687	4.64661	4.66277	4.69248	4.77544	4.66926	4.63015
"ENSG00000131236"	12.38928	12.40497	12.52953	12.62823	12.61986	12.74719	12.34484	12.4363	12.22623	12.4301	12.06471	12.39278
"ENSG00000131238"	10.41777	10.31091	10.97292	10.52523	11.22619	10.93305	10.71702	11.02923	10.54954	10.38228	10.55598	10.52827
"ENSG00000131242"	6.80208	7.04235	6.78152	7.26622	6.85912	6.81348	7.0048	7.00413	7.12307	7.04332	7.11338	7.113
"ENSG00000131263"	10.171245	9.96015	10.16991	9.76233	9.847465	9.957795	9.97517	10.06514	10.05471	9.93027	9.954045	9.86735
"ENSG00000131264"	5.39103	5.51493	5.48052	5.53252	5.33991	5.66003	5.52443	5.55116	5.62431	5.40972	5.47954	5.60876
"ENSG00000131269"	8.85369	8.8843	9.16805	8.86862	8.83112	8.94716	8.78322	8.96622	8.93527	8.96081	8.87311	8.74836
"ENSG00000131323"	8.7945	8.35135	8.83615	8.46818	8.75054	8.66067	8.7833	8.70347	8.89697	8.60196	8.97819	8.50481
"ENSG00000131351"	6.09883	6.0965	6.26202	5.9327	6.33573	6.71392	6.36174	6.37266	6.42929	6.14297	6.35989	6.27878
"ENSG00000131355"	4.75962	4.90396	4.89179	5.03927	5.00403	4.81704	4.83002	4.95716	5.00191	4.89229	4.95298	4.82949
"ENSG00000131368"	8.60536	8.52138	8.75733	8.38345	8.46321	8.51056	8.37083	8.37952	8.59347	8.44205	8.52922	8.46688
"ENSG00000131370"	8.42505	8.48297	8.90787	8.02702	8.08405	7.98064	8.31271	8.67038	9.62354	9.05824	9.45457	8.42881
"ENSG00000131373"	9.17088	8.78305	9.14614	8.66627	8.97853	8.91408	8.97456	8.76695	8.9865	8.61273	9.10077	8.81199
"ENSG00000131374"	9.37203	9.07233	9.30896	8.71369	8.88322	9.07395	9.02152	9.15045	9.21007	9.08182	9.17438	8.99208
"ENSG00000131375"	10.0266	9.86917	9.94004	9.5491	9.60406	9.68608	9.60751	9.68589	9.90487	9.99323	9.85806	9.62477
"ENSG00000131378"	10.03946	9.86429	9.85784	10.24353	10.13023	9.99313	9.61237	9.27191	9.39646	9.71011	9.11193	9.69999
"ENSG00000131379"	5.79898	5.99766	5.89903	6.04492	5.93147	5.88146	6.06629	6.01501	5.93149	5.91735	5.97014	5.80684
"ENSG00000131381"	7.95634	7.91966	7.71288	7.75755	7.76109	7.78623	7.86245	7.90922	7.9854	7.92269	8.04589	7.69761
"ENSG00000131386"	6.4917	6.43402	6.16814	6.43711	6.531	6.83393	6.62044	6.81035	6.83842	7.37139	7.04931	6.51092
"ENSG00000131389"	10.28318	9.58988	11.00843	10.11821	9.87943	9.24526	10.61519	8.48728	9.42447	8.9253	9.88704	9.93641
"ENSG00000131398"	7.7382	7.97186	7.58946	7.8833	7.59899	7.67277	7.50391	7.62888	7.45842	7.61111	7.54869	7.6675
"ENSG00000131400"	6.4359	6.3951	6.27669	6.5253	6.39836	6.34902	6.39911	6.51694	6.68786	6.61695	6.38375	6.56248
"ENSG00000131401"	6.96385	7.17786	7.02247	7.39305	7.11082	6.97868	7.04445	7.14253	7.31513	7.21409	7.22143	7.31818
"ENSG00000131408"	9.76739	9.95806	9.56975	9.91072	9.73557	9.88669	9.63256	9.79247	9.52931	9.78679	9.60992	9.74029
"ENSG00000131409"	7.70081	8.02938	7.68337	8.19686	7.8987	7.62826	7.86893	8.0385	7.97327	7.94452	8.03574	8.04865
"ENSG00000131435"	8.9868	9.15222	9.06048	9.34196	9.11191	9.08644	9.2369	9.26362	9.11631	9.26777	8.95568	9.14788
"ENSG00000131437"	8.08289	7.97072	7.98156	8.03156	7.86914	7.92162	8.06442	7.867	8.00048	8.21595	8.05995	8.09642
"ENSG00000131446"	8.65017	8.56419	8.23153	8.23561	8.32875	8.21549	8.45728	8.4519	8.48048	8.43671	8.60466	8.4626
"ENSG00000131459"	10.21382	9.63669	9.35428	9.12442	8.67876	8.81549	10.2353	10.53229	10.40184	9.98596	10.5955	9.58269
"ENSG00000131462"	11.38975	11.28199	11.68795	11.8002	11.87492	12.01043	11.85048	11.49904	11.45131	11.32993	11.47745	11.49493
"ENSG00000131467"	11.35964	11.22671	11.27861	11.26465	11.48263	11.68383	11.31306	11.18739	11.09327	10.94441	11.05109	11.11436
"ENSG00000131469"	10.20162	10.1869142857143	10.1883042857143	9.93080571428571	10.1050242857143	10.2187114285714	10.1155871428571	10.2262214285714	10.0734971428571	10.0981471428571	10.1139214285714	10.0770757142857
"ENSG00000131470"	6.15124	6.34188	6.45951	6.6702	6.72992	7.04103	7.2347	6.81476	6.57008	6.38587	6.74755	6.4608
"ENSG00000131471"	8.00638	8.72279	7.374415	7.93211	7.768745	7.67749	7.427345	7.576145	7.8224	8.474225	7.79906	7.72625
"ENSG00000131473"	10.97559	11.04888	11.29656	11.34122	11.15646	11.35934	11.26762	11.69686	11.1834	11.27295	10.68036	11.1292
"ENSG00000131475"	10.69344	10.82323	10.79468	10.87576	10.77521	10.94746	10.77904	10.89429	10.74489	10.73017	10.54827	10.83303
"ENSG00000131477"	7.64051	7.97827	7.77161	8.20593	8.05225	8.15812	7.70315	7.58366	7.72099	7.73437	7.81446	8.10665
"ENSG00000131480"	5.79664	5.8509	5.67979	6.06389	5.87989	6.00724	5.75704	5.80416	5.89447	5.76685	5.89894	5.72037
"ENSG00000131482"	4.70083	4.71809	4.69203	4.72531	4.76147	4.78845	4.74298	4.93411	4.81254	4.79837	4.82656	4.81984
"ENSG00000131484"	8.96141	8.81541	9.61588	9.28897	9.04441	9.13024	9.16921	8.93868	9.49002	9.5647	9.24009	9.15832
"ENSG00000131495"	10.2615433333333	10.3227066666667	10.2931566666667	10.34666	10.3478066666667	10.3853733333333	10.6175966666667	10.5221833333333	10.34118	10.3754233333333	10.2140333333333	10.34981
"ENSG00000131503"	9.40452	9.31255	9.32718	9.08609	9.03988	9.14491	9.28448	9.29387	9.39354	9.33893	9.36893	9.28457
"ENSG00000131504"	9.36649	8.76706	9.21108	9.2846	9.36642	9.367	9.41856	9.1211	8.94783	8.80597	8.85316	9.21376
"ENSG00000131507"	10.33559	10.10836	9.87624	10.03035	9.77426	9.85588	9.76954	9.64507	9.85413	9.84127	9.82629	9.85457
"ENSG00000131508"	10.49723	10.41859	10.40102	10.08735	10.29414	10.34417	10.14281	10.30992	10.22032	10.30294	10.28302	10.21197
"ENSG00000131538"	5.20405	5.36829	5.14416	5.35496	5.3413	5.32629	5.18931	5.28434	5.27001	5.30137	5.36147	5.41527
"ENSG00000131548"	5.20405	5.36829	5.14416	5.35496	5.3413	5.32629	5.18931	5.28434	5.27001	5.30137	5.36147	5.41527
"ENSG00000131558"	10.17936	10.05224	9.91331	9.49438	9.65989	9.49991	9.7383	9.60321	9.90842	9.77493	10.06385	9.74623
"ENSG00000131584"	7.93219	8.10241	8.03757	8.24184	7.84403	7.85064	8.08908	8.03794	7.96463	8.08124	8.02273	8.09924
"ENSG00000131591"	7.63974	7.7161	7.53096	7.81887	7.49808	7.49882	7.66385	7.52823	7.6142	7.62803	7.70257	7.67699
"ENSG00000131620"	6.39551	6.39093	6.55759	6.37286	6.90431	6.14903	6.54611	6.24042	6.36333	6.19343	6.49602	6.26549
"ENSG00000131626"	10.24303	10.14277	10.13809	9.9953	10.12222	10.12831	10.0694	10.12951	10.33792	10.35011	10.27434	10.06066
"ENSG00000131634"	9.84525	10.20631	9.58677	10.33808	9.98852	10.27111	10.2688	11.07839	10.19989	10.81371	9.95335	10.27514
"ENSG00000131650"	8.61479	8.75181	8.58362	8.9662	8.78093	8.61504	8.70032	8.82678	8.86318	8.81211	8.86381	8.75089
"ENSG00000131652"	9.58186	9.62291	9.82463	9.58688	9.69292	9.42135	9.90785	9.90954	9.96955	9.51855	9.89699	9.68707
"ENSG00000131653"	9.85147	9.84725	9.45765	9.46143	9.33282	9.30848	9.68135	9.76476	9.49143	9.64733	9.45505	9.45311
"ENSG00000131668"	8.32586	8.54634	8.18463	8.52184	8.0894	7.9627	8.07826	8.08387	8.22053	8.18721	8.13539	8.19973
"ENSG00000131669"	9.78647	9.88635	9.75163	9.58806	9.48924	9.27855	9.67292	9.46277	9.5812	9.61907	9.69457	9.70891
"ENSG00000131686"	5.96916	6.1772	5.97302	6.10459	5.73621	6.08028	5.80057	6.06256	6.25772	6.08167	6.016	6.04803
"ENSG00000131697"	7.31646	7.39093	7.24907	7.42885	7.17994	7.28398	7.26892	7.29293	7.31745	7.30281	7.17951	7.29672
"ENSG00000131711"	12.84868	12.59525	12.69006	12.86273	12.84814	12.62683	12.84811	12.55284	12.16945	12.4356	12.52487	12.73675
"ENSG00000131721"	5.85841	6.05992	5.84604	5.98321	6.05326	5.9812	6.15443	5.90029	5.98072	6.19627	5.86801	5.96317
"ENSG00000131724"	11.17587	11.3608	11.38989	11.40174	11.46662	11.42467	11.40443	11.2853	10.9222	11.15596	10.80524	11.25438
"ENSG00000131725"	9.00249	8.79354	8.97622	9.12573	9.12202	9.37449	8.77954	8.89484	8.955	9.2192	8.79338	9.00772
"ENSG00000131730"	6.82595	7.245	6.44714	7.03398	6.62034	6.55472	6.49102	6.73732	6.43621	6.54536	6.49074	6.63275
"ENSG00000131732"	9.37956	9.50651	9.14547	9.17372	9.34858	9.45416	8.99198	9.37151	8.96852	9.18918	9.07313	9.26825
"ENSG00000131737"	6.9699	8.06418	7.53056	7.58129	6.60603	7.01573	6.40573	6.83823	6.31871	6.53988	6.33217	7.97613
"ENSG00000131738"	7.16914	7.33064	7.1716	7.66346	7.41478	7.22909	7.04046	7.21961	7.11091	6.999	7.07682	7.17164
"ENSG00000131746"	6.6974	6.70729	6.74764	7.01501	6.66124	6.54378	6.66133	6.56759	6.6569	6.75848	6.69324	6.93461
"ENSG00000131747"	7.88984	7.23457	9.02706	9.44102	9.87807	10.48191	10.21536	9.83461	8.5288	7.69961	8.67473	8.46652
"ENSG00000131748"	9.6329	9.68494	9.55222	9.69529	9.64342	9.75991	9.73255	9.54966	9.60336	9.71816	9.54336	9.7716
"ENSG00000131759"	9.24613	9.14896	9.00074	9.07695	8.63255	8.67267	9.00234	8.87461	8.92435	9.02504	8.88233	8.97356
"ENSG00000131771"	6.7141	6.90946	6.67887	7.04509	6.85571	6.89168	6.97056	6.96426	6.88367	7.09758	6.97403	7.03457
"ENSG00000131773"	9.22648	9.499	9.39199	9.0152	9.2897	9.18749	9.22128	9.41394	8.90358	9.28704	8.89346	9.04187
"ENSG00000131778"	7.78905	7.75899	8.1091	7.82593	8.10196	8.25237	7.90909	7.91959	7.6351	7.78624	7.71462	7.69645
"ENSG00000131779"	10.20106	10.24728	10.24181	10.3018	10.30183	10.26765	9.97945	10.06817	10.11287	10.22552	9.8824	10.12435
"ENSG00000131781"	5.63378	5.90288	5.98556	6.14092	6.07725	6.11654	5.98583	5.98308	6.39829	6.33804	6.01463	5.99716
"ENSG00000131788"	9.42712	9.54112	9.75961	9.86448	9.73278	9.83917	9.70438	9.60005	8.97168	9.33594	8.96347	9.47219
"ENSG00000131791"	9.83022	10.07699	9.77239	9.93142	9.75817	9.98807	9.5056	10.15619	9.62675	10.21877	9.4972	9.64675
"ENSG00000131797"	7.4494	7.43887	7.35465	7.46169	7.29516	7.30326	7.31456	7.1891	7.3924	7.30052	7.36691	7.35419
"ENSG00000131808"	5.63419	5.714	5.70636	5.78189	5.94595	5.74311	5.80109	5.59807	5.83501	5.86168	5.72146	5.82999
"ENSG00000131828"	9.5746	9.44135	9.13102	9.24879	9.29995	9.35176	9.15482	9.38233	8.78939	9.20092	8.74625	9.20229
"ENSG00000131831"	7.82438	7.73018	7.47355	8.14355	7.70605	7.82315	7.61131	7.62225	7.9345	7.59645	7.90567	7.87086
"ENSG00000131844"	8.94388	8.68194	8.93462	8.37164	8.5647	8.28715	8.72613	8.81841	8.8263	8.62058	8.78806	8.70061
"ENSG00000131845"	7.84474	7.7178	7.45945	7.44971	7.4518	7.11724	7.12558	7.44766	7.54561	7.44828	7.35878	7.32696
"ENSG00000131848"	6.805805	6.96811	6.90035	7.00316	6.9085	7.011665	6.840195	6.98092	7.068195	6.960785	6.920235	6.926515
"ENSG00000131849"	7.4362	7.49006	7.27949	7.24371	7.10455	7.30725	7.17293	7.26108	7.28112	7.44846	7.17742	7.1668
"ENSG00000131864"	5.45612	5.3989	5.38469	5.45169	5.5739	5.68168	5.42607	5.47613	5.5692	5.33279	5.20923	5.58249
"ENSG00000131871"	9.22574	9.20023	8.94178	9.41372	9.06838	9.11702	9.17886	9.46795	9.37628	9.41785	9.2826	9.31743
"ENSG00000131873"	9.88651	10.14584	10.37774	10.13416	10.23991	10.17995	10.10009	10.09135	9.79317	9.96346	9.88752	10.0619
"ENSG00000131876"	8.083655	7.882095	8.110605	7.829085	7.729095	7.97381	8.234695	8.079015	7.91178	7.61335	7.928895	7.879215
"ENSG00000131885"	7.858915	8.01985	8.189435	8.245235	8.04132	7.957345	8.00801	7.911255	7.89363	7.953335	7.96979	8.034015
"ENSG00000131899"	8.91784	8.93807	8.75104	8.83579	8.7413	8.52757	8.8889	8.92446	8.73402	8.88465	8.67946	8.91506
"ENSG00000131910"	6.84443	6.93336	7.01461	7.30025	7.02326	7.1249	6.7557	6.87139	6.98904	7.06252	6.85461	7.01486
"ENSG00000131914"	6.46716	6.40593	6.50065	6.79965	6.88411	6.4917	6.42793	6.57433	6.50898	6.5893	6.5473	6.57232
"ENSG00000131931"	8.66576	8.61937	8.05814	8.08881	8.32047	8.36814	8.74548	8.76171	8.62204	8.71377	8.52932	8.55203
"ENSG00000131941"	8.54253	8.47632	8.28926	7.30607	7.27564	6.77812	7.59709	7.30766	7.99947	7.17193	7.87317	7.16273
"ENSG00000131943"	8.45226	8.66518	8.58989	8.54576	8.40831	8.31429	8.21116	8.53332	8.54073	8.71718	8.58705	8.49433
"ENSG00000131944"	7.62578	7.38314	7.36063	7.28361	7.32315	7.39326	7.35484	7.38249	7.87697	7.49624	7.82963	7.26347
"ENSG00000131951"	4.18416	4.16143	4.21497	4.16841	4.26332	4.34473	4.21825	4.24909	4.23643	4.23616	4.23225	4.23388
"ENSG00000131966"	10.50633	10.33239	10.26758	10.01375	10.01206	9.99595	9.92149	10.34147	10.2	10.15591	10.02485	9.99293
"ENSG00000131969"	5.02731	4.98668	4.98521	5.04963	4.93844	5.05638	5.0981	5.05209	5.10055	5.05453	5.13878	4.96014
"ENSG00000131979"	8.01128	8.24704	7.05382	6.84543	6.47582	6.39122	6.79732	7.23107	7.18836	7.66329	7.44377	8.40538
"ENSG00000131981"	9.15153	9.08837	9.23443	8.79288	9.04781	8.51196	9.2822	9.30801	9.04281	9.03249	9.17523	9.32132
"ENSG00000132000"	8.66626	9.47136	8.57826	9.36466	8.275	8.71217	8.55739	9.49228	9.15503	10.12102	8.74309	9.31248
"ENSG00000132002"	9.80896	9.82681	9.70377	9.54982	9.4785	9.52234	9.65617	9.8801	9.95981	9.91758	10.03928	9.65566
"ENSG00000132003"	8.3879	8.52317	8.06875	8.17912	7.90579	7.94684	7.91616	8.63903	8.37102	8.86876	8.11194	8.16358
"ENSG00000132004"	7.94765	8.18215	7.89049	8.18904	7.96702	7.84651	8.03182	8.14303	8.05771	8.20778	7.97006	8.21325
"ENSG00000132005"	7.39385	7.48457	7.29718	7.54688	7.19039	7.2987	7.44276	7.48814	7.35385	7.45762	7.22525	7.48735
"ENSG00000132010"	6.37721	6.4663	5.98855	6.14437	6.1649	5.98114	6.11059	6.18616	6.26255	6.45921	6.29097	6.07183
"ENSG00000132016"	7.02022	7.25023	7.18272	7.49476	7.32897	7.20167	7.28564	7.44734	7.3015	7.25021	7.35729	7.41004
"ENSG00000132017"	8.47423	8.54808	8.28102	8.57451	8.33056	8.42663	8.5033	8.49668	8.36623	8.44769	8.17924	8.29984
"ENSG00000132024"	9.89801	9.72452	9.86284	9.63067	9.873045	9.891155	9.878355	9.58617	9.59888	9.759235	9.692205	9.757825
"ENSG00000132026"	6.72312	7.09232	6.93725	7.10112	6.83632	6.67631	6.85652	6.86747	6.80856	6.94313	7.1562	6.93653
"ENSG00000132031"	6.65514	6.85292	6.87401	7.23204	6.75799	6.88979	6.34201	6.96776	7.48544	8.00474	6.64407	7.03292
