"iWAT_M08(r1)"	"iWAT_M08(r2)"	"iWAT_M08(r3)"	"Beige/brite (cold on iWAT)_M08(r1)"	"Beige/brite (cold on iWAT)_M08(r2)"	"Beige/brite (cold on iWAT)_M08(r3)"	"iWAT_M08(r4)"	"iWAT_M08(r5)"	"iWAT_M08(r6)"	"Beige/brite (cold on iWAT)_M08(r4)"	"Beige/brite (cold on iWAT)_M08(r5)"	"Beige/brite (cold on iWAT)_M08(r6)"
"ENSMUSG00000027514"	7.294595	7.226105	7.31162	6.631755	6.730995	6.845565	7.361595	7.20018	7.769635	6.9392	7.0552	7.00121
"ENSMUSG00000027518"	5.10323	5.11089	5.09117	5.11747	5.15822	5.09119	5.15531	5.21583	5.15331	5.25845	5.32253	5.39225
"ENSMUSG00000027519"	7.5347025	7.608275	7.55358	7.4881925	7.604085	7.5157425	7.666025	7.6691325	7.6540125	7.5959525	7.6572525	7.5959125
"ENSMUSG00000027520"	6.14963	6.17331	6.35324	6.54866	6.25988	6.30174	6.18965	6.33749	6.3266	6.38472	6.25288	6.38872
"ENSMUSG00000027522"	9.5305	9.3911	9.44191	9.1576	9.15487	9.27925	9.63961	9.74362	9.7931	9.26848	9.40502	9.01581
"ENSMUSG00000027523"	8.952705	8.906555	8.831215	9.10015	9.077475	9.093105	9.031095	8.956065	8.947825	9.296815	9.19529	9.273975
"ENSMUSG00000027524"	5.194555	5.12339	5.196205	5.297455	5.274385	5.102565	5.19764	5.17416	5.25519	5.28306	5.24564	5.227045
"ENSMUSG00000027525"	5.62207	5.56092	5.6062	5.78095	5.56794	5.65618	5.62975	5.59908	5.65371	5.87967	5.82475	5.7288
"ENSMUSG00000027528"	5.03175	5.02928	5.0556	5.05589	5.14282	5.31009	5.0702	4.97163	5.01894	5.22533	5.14227	5.17968
"ENSMUSG00000027530"	5.51028	5.47235	5.56397	5.81409	5.7653	5.62935	5.48702	5.54076	5.53766	5.77538	5.86751	5.69646
"ENSMUSG00000027531"	9.249325	9.295575	9.31407	9.16077	9.019845	9.34212	9.43452	9.56342	9.41415	8.90483	9.06342	8.77431
"ENSMUSG00000027533"	12.218225	12.229165	12.23336	12.690675	12.650645	12.432585	12.184245	11.952185	11.886035	12.84504	13.121145	12.87755
"ENSMUSG00000027534"	5.62208333333333	5.64893666666667	5.73534333333333	5.57275333333333	5.71867	5.76860333333333	5.66211666666667	5.60874666666667	5.6192	5.43189	5.41925	5.46702
"ENSMUSG00000027536"	4.79352	4.79881	4.7769475	4.8258	4.80879	4.79506	4.8100075	4.7777075	4.8126675	4.854445	4.8589975	4.8437025
"ENSMUSG00000027540"	9.40175	9.34575	9.325115	8.82153	8.94664	8.9184	9.17338	9.261445	9.32384	8.86907	9.09031	8.625325
"ENSMUSG00000027544"	6.18716	6.16746	6.191778	6.257476	6.166514	6.186356	6.183772	6.194846	6.241028	6.241624	6.169678	6.233808
"ENSMUSG00000027546"	7.50754666666667	7.58976333333333	7.63547666666667	7.37899333333333	7.48125666666667	6.96848	7.47324333333333	6.80975	6.71181	7.71904333333333	7.67955666666667	7.41152333333333
"ENSMUSG00000027547"	5.334885	5.40728	5.40277	5.513755	5.523575	5.516055	5.667385	5.480565	5.57379	5.63394	5.539585	5.53345
"ENSMUSG00000027550"	5.56249666666667	5.43155666666667	5.53522333333333	5.46132	5.38367333333333	5.48102	5.51596666666667	5.61533666666667	5.71257	5.37830333333333	5.22504	5.30326666666667
"ENSMUSG00000027551"	5.598462	5.598366	5.583712	5.59335	5.533276	5.437872	5.607748	5.428556	5.566594	5.73174	5.6867	5.765292
"ENSMUSG00000027552"	7.65759	7.546905	7.634935	7.572485	7.52638	7.50279	7.644235	7.79377	7.814915	7.26101	7.651555	7.29496
"ENSMUSG00000027555"	5.79262333333333	5.81529333333333	5.81257	6.19119666666667	6.12691666666667	6.25386	6.04690666666667	6.06239333333333	5.91928333333333	6.17205333333333	6.22046	6.12355666666667
"ENSMUSG00000027556"	6.0975	6.11966	6.19365	6.22134	6.18693	5.99768	6.03637	5.97202	5.96001	6.14974	6.11993	6.08304
"ENSMUSG00000027559"	12.800225	12.7730125	12.75904	12.4047775	12.4162275	12.4692875	12.8149225	12.92813	12.6609125	12.2359325	11.942035	12.2459425
"ENSMUSG00000027560"	5.25818	5.33564	5.19016	5.21448	5.21127	5.2738	5.33555	5.21699	5.30143	5.47206	5.59668	5.58813
"ENSMUSG00000027562"	7.43619	7.4525	7.38136	7.47055	7.47632	7.75308	7.09038	7.33759	7.51335	7.32946	7.62084	7.40304
"ENSMUSG00000027564"	4.87315	4.89575	4.82152	4.88773	4.90509	4.89755	4.9446	4.89118	4.89459	4.90524	4.95421	4.89001
"ENSMUSG00000027566"	10.109085	10.0672	10.244905	9.90562	9.87642	9.87557	10.241995	10.240895	10.33792	10.229175	10.44161	10.37996
"ENSMUSG00000027568"	5.87368	5.99073	5.85446	5.98619	6.01105	5.97048	6.03669	5.99538	5.97766	6.09329	6.09639	6.2329
"ENSMUSG00000027569"	8.5346	8.37094	8.47393	8.56755	8.5272	8.73559	8.35058	8.37996	8.35588	8.15463	8.27134	8.11164
"ENSMUSG00000027570"	5.24032	5.2313	5.19357	5.31393	5.283735	5.13603	5.196555	5.26523	5.22347	5.30008	5.32534	5.24285
"ENSMUSG00000027573"	8.71737	8.65422	8.59704	8.57732	8.61261	8.6318	8.85186	8.82817	8.82831	8.77555	8.76044	8.58724
"ENSMUSG00000027574"	6.15717	6.12862	6.09378	6.17297	6.32023	6.27534	6.25335	6.18993	6.20027	6.31632	6.24781	6.4292
"ENSMUSG00000027575"	7.17935	7.122845	7.071005	7.039615	7.074585	7.0436	6.97895	7.02069	6.876195	6.993855	7.03083	6.971975
"ENSMUSG00000027577"	5.726775	5.74958	5.798675	5.811635	5.817325	5.7826	5.778575	5.73213	5.728465	6.06953	5.9317	5.989405
"ENSMUSG00000027579"	6.35696	6.4335	6.44113	6.64553	6.76164	6.55388	6.54103	6.43863	6.46049	6.6625	6.72015	6.84703
"ENSMUSG00000027580"	9.30374	9.32977	9.51616	9.06254	9.07085	9.31833	9.22517	9.41214	9.75463	8.6054	8.90828	8.86647
"ENSMUSG00000027581"	5.771825	5.81077	5.85677	5.95912	5.962285	5.875725	5.96126	6.01079	5.948355	6.030945	6.00274	6.16126
"ENSMUSG00000027582"	7.8309125	7.79531	7.7422	7.243605	7.2423475	7.0314775	7.6196525	7.4833025	7.66871	7.315585	7.4849225	7.337605
"ENSMUSG00000027583"	6.100075	6.08441	6.145405	6.235245	6.244165	6.0709275	6.124695	6.09787	6.01811	6.0646775	6.1069725	6.0458325
"ENSMUSG00000027584"	5.11705666666667	5.1666	5.19197333333333	5.30173	5.28406333333333	5.27597666666667	5.21642666666667	5.17913666666667	5.22748	5.28454	5.22115333333333	5.27047333333333
"ENSMUSG00000027589"	8.75735	8.71723	8.633765	8.8575	8.782575	8.930555	8.7531	8.79396	9.00999	8.57369	8.57701	8.572315
"ENSMUSG00000027593"	6.108685	6.034485	6.19606	6.25965	6.163775	6.13983	6.23234	6.103115	6.20996	6.244125	6.235935	6.381115
"ENSMUSG00000027596"	5.49572	5.41425	5.47174	5.76738	5.57021	5.50432	5.47437	5.47436	5.54986	5.64883	5.5386	5.6818
"ENSMUSG00000027597"	8.50887	8.68987	8.64942	8.0888	8.06509	7.98664	8.51752	8.42421	8.79012	8.25837	8.50409	8.09977
"ENSMUSG00000027598"	6.88456666666667	6.74305666666667	6.74084333333333	6.56101333333333	6.62144333333333	6.74003666666667	6.85346666666667	7.13706666666667	6.94950666666667	6.51848666666667	6.51341	6.56802333333333
"ENSMUSG00000027599"	7.66137666666667	7.63247666666667	7.63088	7.94270666666667	7.89121	7.83775	7.63297333333333	7.69277666666667	7.53877	7.93694	7.87295	7.90144333333333
"ENSMUSG00000027601"	7.777315	7.884955	7.927635	8.24396	8.173715	8.07832	8.1485	8.13768	7.90021	8.137645	8.28391	8.370345
"ENSMUSG00000027602"	11.07603	11.067245	11.02506	10.826105	10.90971	10.487275	11.2183	10.66117	10.41296	11.07894	11.04574	10.937365
"ENSMUSG00000027603"	6.36336	6.46584	6.49909	6.74309	6.55402	6.5352	6.51647	6.39729	6.31478	6.58347	6.56668	6.64593
"ENSMUSG00000027605"	9.00968	9.00467	9.01104	8.987235	8.96407	8.8948875	8.9977725	8.48705	8.6923475	9.29418	9.3206425	9.6089825
"ENSMUSG00000027606"	6.09675	5.93738	5.97699	6.1565	6.18767	6.00373	5.99704	6.0579	6.12557	6.14598	6.11228	5.97457
"ENSMUSG00000027610"	6.3221	6.24973	6.46692	6.79354	6.45011	6.62543	6.58079	6.43251	6.3248	6.618	6.61386	6.47676
"ENSMUSG00000027611"	9.45532	9.07711	9.15159	8.42704	8.50645	8.80336	9.32538	9.68054	9.30559	8.80071	8.73793	8.61143
"ENSMUSG00000027612"	5.89201666666667	5.84567	5.78508666666667	5.95976333333333	5.93618666666667	6.02591666666667	5.75829	5.81180666666667	5.91828333333333	6.01747333333333	6.03851666666667	6.09759333333333
"ENSMUSG00000027613"	8.62057	8.61475	8.623465	8.374595	8.399255	8.40271	8.603165	8.64565	8.667945	8.60433	8.62595	8.634575
"ENSMUSG00000027615"	8.78269	8.82842	8.72379	8.62817	8.63398	8.64149	8.69574	9.12716	9.30185	8.04246	8.40889	8.05593
"ENSMUSG00000027618"	7.54950666666667	7.60826	7.55579666666667	7.62378	7.72951333333333	7.44146333333333	7.42544666666667	7.35295666666667	7.3216	7.84051	7.77387333333333	7.86559
"ENSMUSG00000027620"	8.41297777777778	8.44698444444444	8.42249444444444	7.86493	7.98949222222222	7.93925111111111	8.22461	8.79502888888889	8.55337222222222	7.57834	7.18241888888889	7.36535888888889
"ENSMUSG00000027624"	7.75256333333333	7.73934	7.77379	7.55017333333333	7.64333	7.57383333333333	7.92367	7.88878333333333	7.70278	7.63907	7.60247333333333	7.47049
"ENSMUSG00000027628"	5.87382666666667	5.88072	5.80055666666667	5.89506	5.86216666666667	5.90507	5.80378	5.76402	5.76155333333333	5.85602	5.84767666666667	5.83442333333333
"ENSMUSG00000027630"	6.1286	6.073882	5.984992	6.06687	6.044258	6.09017	6.043228	6.081444	6.135572	6.065764	6.062246	6.058892
"ENSMUSG00000027634"	8.5185	8.570265	8.640175	9.214765	9.324015	9.040645	8.729565	8.533315	8.47791	9.11321	9.364945	9.10891
"ENSMUSG00000027635"	5.67127	5.57322	5.64588	5.67952	5.81954	5.72806	5.48554	5.50269	5.57402	5.34871	5.58885	5.56861
"ENSMUSG00000027636"	5.948925	5.900035	5.937765	5.88245	5.875965	5.936265	5.91033	5.86288	5.95128	5.91131	5.953245	5.78892
"ENSMUSG00000027637"	11.20494	11.29511	11.31001	11.96872	11.98429	11.96377	11.44462	11.37387	11.32012	12.1086	12.14591	12.03333
"ENSMUSG00000027639"	8.48951	8.47984	8.48887666666667	7.93861	8.07941666666667	8.08541666666667	8.32334	8.60857333333333	8.82520666666667	7.68700333333333	7.95569666666667	7.63753333333333
"ENSMUSG00000027641"	5.7203125	5.6852775	5.660005	5.4177925	5.47244	5.6157625	5.7360925	5.78538	5.9245725	5.355845	5.47711	5.369285
"ENSMUSG00000027642"	10.53267	10.53052	10.41517	9.64145	9.62362	9.49363	10.52555	10.33789	10.29569	10.05128	10.09787	9.98599
"ENSMUSG00000027643"	6.54273	6.5445	6.44044	6.67827	6.59594	6.63042	6.51543	6.38062	6.66031	6.74741	6.89032	6.88441
"ENSMUSG00000027646"	6.531655	6.517645	6.478935	6.538785	6.64537	6.53507	6.546905	6.544855	6.67264	6.67919	6.60653	6.76816
"ENSMUSG00000027649"	8.4135	8.50966	8.50941	8.08188	8.24577	8.14833	8.34081	8.30278	8.5284	7.7524	8.20297	7.9722
"ENSMUSG00000027650"	7.83296	7.48336	7.6727	7.43159	7.64332	7.63129	7.52902	7.68589	7.71362	7.38944	7.83718	7.58718
"ENSMUSG00000027651"	6.54712333333333	6.53012666666667	6.37805	6.07540333333333	6.10971	6.21703333333333	6.48522	6.50300666666667	6.42846	6.24583666666667	6.44536666666667	6.21453333333333
"ENSMUSG00000027652"	7.049965	7.055055	7.01957	7.174795	7.3311	7.449175	6.9753	6.94275	7.01581	7.194625	7.13606	7.11314
"ENSMUSG00000027654"	5.72243	5.90869	5.79285	6.00337	5.8398	5.92369	5.96217	5.97677	5.95551	6.17289	6.16468	6.2882
"ENSMUSG00000027655"	5.54761	5.63762	5.46147	5.60562	5.59001	5.76029	5.54953	5.4948	5.7139	5.45547	5.46231	5.31547
"ENSMUSG00000027656"	6.55812	6.57215	6.67433	6.54274	6.55918	6.36076	6.44596	6.35543	6.47628	6.54398	6.47974	6.71062
"ENSMUSG00000027660"	7.55324	7.59141	7.56287	7.728105	7.674775	7.7206	7.59877	7.722155	7.555705	7.335705	7.50138	7.286655
"ENSMUSG00000027661"	5.330905	5.30721	5.245175	5.185235	5.194985	5.13962	5.14073	5.2499	5.246785	5.21373	5.091375	5.134695
"ENSMUSG00000027663"	7.46318	7.56764	7.44217	7.06518	7.14249	7.06025	7.66875	7.49112	7.60826	7.08069	7.20055	7.08202
"ENSMUSG00000027665"	6.493565	6.43063	6.31105666666667	6.47200833333333	6.50193833333333	6.55712333333333	6.369995	6.565275	6.65351833333333	6.23850833333333	5.90715166666667	6.12049
"ENSMUSG00000027667"	8.34401	8.41845	8.3195	8.21696	8.35532	8.34445	8.44005	8.57943	8.4056	8.19291	8.15882	8.18822
"ENSMUSG00000027668"	7.815015	7.694405	7.7641	8.04928	7.93431	7.74152	7.90768	7.865255	7.75206	8.19387	8.151565	8.246765
"ENSMUSG00000027669"	6.7222925	6.81849	6.757685	6.5291175	6.4974775	6.606295	6.815415	6.8358625	6.8194725	6.680835	6.7314075	6.708455
"ENSMUSG00000027670"	5.39719	5.18633	5.17615	5.37316	5.2043	5.31982	5.40723	5.18115	5.28809	5.44097	5.67854	5.6374
"ENSMUSG00000027671"	8.02461666666667	8.03168	8.17154333333333	8.00189	8.02677666666667	7.9804	7.98286	8.20151	8.08061	7.63826	7.79519	7.50480666666667
"ENSMUSG00000027673"	11.16245	11.16426	11.283275	12.01544	11.954005	11.90459	11.391995	11.23349	11.278535	12.159695	12.14842	12.123085
"ENSMUSG00000027674"	5.6178175	5.61253	5.6122025	5.75757	5.741725	5.7604925	5.6433225	5.6217425	5.65159	5.8578475	5.8595075	5.848235
"ENSMUSG00000027676"	4.49593666666667	4.51145666666667	4.54165	4.60653666666667	4.60062333333333	4.70949	4.54263666666667	4.52089666666667	4.52698	4.54152666666667	4.54085333333333	4.53670333333333
"ENSMUSG00000027677"	6.8871	6.909505	6.804344	6.690923	6.799034	6.789014	6.866022	7.027442	6.956946	6.588118	6.070376	6.679201
"ENSMUSG00000027678"	6.60842333333333	6.47392666666667	6.48721666666667	6.32255333333333	6.39983	6.53277333333333	6.3569	6.47840666666667	6.33750666666667	6.14756	6.27512	6.18742333333333
"ENSMUSG00000027679"	7.416825	7.465355	7.49827	7.553585	7.4891325	7.7554125	7.5709025	7.45583	7.4465975	7.3755125	7.3248775	7.27552
"ENSMUSG00000027680"	7.46118	7.51718333333333	7.42699666666667	7.81534333333333	7.74885	7.80552	7.60889333333333	7.58468666666667	7.68529333333333	7.82184	7.45194666666667	7.95515666666667
"ENSMUSG00000027684"	6.10853	6.133915	6.00782	6.045025	6.286875	6.139045	6.08567	6.031425	6.11767	6.1599	6.189455	6.3081
"ENSMUSG00000027690"	4.61761	4.76463	4.63062	4.7823	4.79586	4.79084	4.68999	4.76571	4.7372	4.72891	4.66558	4.8671
"ENSMUSG00000027692"	5.4394325	5.4419425	5.4267175	5.35493	5.3862575	5.474965	5.370255	5.5916125	5.549185	5.2626125	5.2915075	5.31305
"ENSMUSG00000027694"	10.413875	10.38198	10.368595	10.14178	10.172065	10.01912	10.393875	10.15095	10.176425	10.252795	10.395875	10.344475
"ENSMUSG00000027695"	6.45580333333333	6.42651666666667	6.41731333333333	6.35907	6.31103666666667	6.49047	6.46234666666667	6.45659	6.58560333333333	6.16349333333333	6.26113666666667	6.08746
"ENSMUSG00000027698"	6.21433666666667	6.17430333333333	6.12529666666667	5.9871	6.09225	6.13184333333333	6.18819666666667	6.08858666666667	6.14603666666667	5.97583333333333	6.04713333333333	6.01473666666667
"ENSMUSG00000027699"	4.70807	4.7571	4.94587	4.519	4.60933	4.60601	4.65968	4.68337	4.79074	4.55395	4.58104	4.51212
"ENSMUSG00000027702"	4.92395	4.855	4.88536	4.86359	4.89387	4.89586	4.93815	4.8436	4.97349	4.97472	4.99087	4.93053
"ENSMUSG00000027703"	5.36181	5.31626	5.34822	5.56809	5.4397	5.40288	5.23676	5.28955	5.30879	5.43533	5.39656	5.48576
"ENSMUSG00000027706"	7.8873225	7.907125	7.82907	7.8983125	7.850455	7.9630925	8.033095	8.090425	7.9723375	7.713565	7.4171	7.7569225
"ENSMUSG00000027708"	6.90682833333333	6.85626	6.74128333333333	6.773895	6.780365	6.78429166666667	6.89632333333333	6.89239333333333	7.003345	6.76655	6.39377333333333	6.84900166666667
"ENSMUSG00000027709"	9.46355	9.41841	9.3742	10.043015	10.10144	10.2283	9.747425	9.53751	9.34587	9.83258	9.832655	9.93317
"ENSMUSG00000027710"	7.13514333333333	7.1718	7.14658	7.20837333333333	7.33461	7.30975666666667	7.35943	7.36084333333333	7.27026333333333	7.52064666666667	7.60423333333333	7.48836333333333
"ENSMUSG00000027712"	12.05376	12.13288	12.02741	11.81092	11.78403	11.58852	12.18894	11.99166	12.13929	11.88148	12.00384	11.85716
"ENSMUSG00000027713"	6.08304	5.97825	6.04776	6.45409	6.2301	6.33673	6.09112	5.98114	6.04064	6.08251	6.31886	6.35807
"ENSMUSG00000027714"	8.49843	8.53468	8.60564	8.61579	8.64133	8.97241	8.41186	8.6295	8.69923	8.08891	8.03359	8.10667
"ENSMUSG00000027715"	7.296825	7.19835	7.166495	6.620685	6.785475	6.51821	6.97367	6.789645	7.20871	6.83887	7.13169	7.03138
"ENSMUSG00000027716"	5.81746	5.6987	5.77127	6.05634	5.95387	5.81009	5.85132	5.7941	5.7225	6.03592	5.73795	5.8363
"ENSMUSG00000027718"	4.57059	4.58003	4.64782	4.55966	4.61149	4.54618	4.57041	4.52294	4.56488	4.64232	4.53273	4.64627
"ENSMUSG00000027719"	4.73229	4.77403	4.69736	4.69796	4.75093	4.75689	4.76669	4.70995	4.76767	4.88972	4.90816	5.03347
"ENSMUSG00000027720"	7.22437	7.22555	7.240615	7.45926	7.331175	7.44872	7.211505	7.14865	7.204145	7.299145	7.321355	7.247515
"ENSMUSG00000027722"	6.72059333333333	6.67346333333333	6.62014333333333	6.46563	6.45238	6.47528666666667	6.67896	6.73164	6.84853333333333	6.59102	6.57464333333333	6.56361666666667
"ENSMUSG00000027737"	4.89461	4.93731	4.953445	4.94361	4.933275	4.86935	4.927225	4.97552	5.04424	4.957305	5.01107	5.02335
"ENSMUSG00000027739"	8.65212	8.9421	8.76138	8.41741	8.54263	8.81673	8.69661	8.89077	8.86562	7.86189	8.39181	7.98941
"ENSMUSG00000027742"	8.40978	8.49042	8.19175	8.25441	8.22027	8.28042	8.63922	8.52048	8.58809	8.33384	8.44922	8.38271
"ENSMUSG00000027744"	4.998725	5.046135	5.094475	5.039935	5.06627	5.060505	4.994835	5.04642	5.02859	5.16967	5.109785	5.111195
"ENSMUSG00000027746"	6.6622325	6.71182	6.723375	6.676965	6.6546375	6.6382075	6.7030575	6.538885	6.618175	6.64716	6.7560825	6.7402075
"ENSMUSG00000027748"	5.19394333333333	5.15523666666667	5.28818333333333	5.33807	5.27341666666667	5.32029333333333	5.26919666666667	5.29191333333333	5.27159666666667	5.32256	5.29859333333333	5.33386
"ENSMUSG00000027750"	10.1052	10.22972	10.10177	10.26913	10.26695	10.33451	10.28273	10.81806	10.59787	10.22321	9.56287	10.36295
"ENSMUSG00000027751"	7.11823833333333	7.10517166666667	7.06532833333333	6.816115	6.889745	6.90544	6.978135	7.11460666666667	7.17656833333333	6.99438166666667	6.94552	7.053135
"ENSMUSG00000027752"	7.424785	7.54412	7.599605	7.16562	7.288745	7.27455	7.36103	7.360405	7.46525	7.00627	6.94166	6.75586
"ENSMUSG00000027761"	5.19792	5.30729	5.23391	5.36902	5.29845	5.27807	5.22869	5.1967	5.19175	5.33132	5.39696	5.39313
"ENSMUSG00000027762"	9.12948	9.35612	9.37987	9.25308	9.26562	9.34717	9.28488	9.23544	9.09005	8.69651	8.70477	8.43009
"ENSMUSG00000027763"	7.82741	7.84206666666667	7.8393	7.88921333333333	7.85206333333333	7.90385	7.70804333333333	7.77079333333333	7.75393	7.75438	7.65902	7.77727333333333
"ENSMUSG00000027765"	5.90393	5.65985	5.72295	5.81169	5.78904	5.94095	5.76997	5.7884	5.81938	6.10266	6.16908	6.0072
"ENSMUSG00000027770"	7.66599	7.61309333333333	7.52172333333333	7.23746333333333	7.1895	7.26987666666667	7.50193666666667	7.57197333333333	7.56825333333333	7.14663333333333	6.79915666666667	7.37170333333333
"ENSMUSG00000027774"	7.4113	7.396115	7.393275	8.410495	8.53369	8.49227	7.67137	7.587315	7.654945	8.481575	8.58406	8.443275
"ENSMUSG00000027775"	8.11519333333333	8.15799333333333	8.19136666666667	7.78326666666667	7.9116	8.00252	8.02389333333333	8.17378	8.21489666666667	7.6039	7.78929	7.64613333333333
"ENSMUSG00000027776"	5.68107	5.61773	5.69238	5.65387	5.72836	5.60655	5.74696	5.73031	5.7373	5.74643	5.74525	5.77969
"ENSMUSG00000027777"	5.59614	5.74037	5.488365	5.64889	5.62661	5.5873	5.667905	5.621985	5.64519	5.724575	5.81608	5.743175
"ENSMUSG00000027778"	6.909445	7.03131	6.9442	6.624915	6.581025	6.89687	7.01204	7.53771	7.586705	6.600535	6.57315	6.604605
"ENSMUSG00000027782"	7.78812333333333	7.8118	7.83123	8.01203	7.92195333333333	7.86913	7.72620333333333	7.72084333333333	7.70839666666667	7.46606	7.31567	7.52052333333333
"ENSMUSG00000027784"	6.16528666666667	6.20125333333333	6.16428	6.54890333333333	6.53051666666667	6.50470666666667	6.44554	6.42355666666667	6.24328333333333	6.56647666666667	6.61008333333333	6.61177333333333
"ENSMUSG00000027787"	6.53849	6.53533	6.5729	6.593945	6.5646375	6.6143575	6.5622075	6.7527275	6.730505	6.35099	6.443045	6.382395
"ENSMUSG00000027792"	7.61457666666667	7.67552	7.62981333333333	7.5443	7.54029333333333	7.49819333333333	7.68609333333333	7.49616666666667	7.70839333333333	7.84982333333333	7.18992333333333	8.00201
"ENSMUSG00000027793"	5.06274	5.11176	5.09256	5.09106	5.05602	4.99136	5.12671	5.21434	5.22171	5.18904	5.17456	5.15842
"ENSMUSG00000027794"	6.07278	5.90905	6.00487	6.01036	6.14929	5.85687	5.91196	5.94675	5.88576	5.99409	5.83949	5.99126
"ENSMUSG00000027796"	5.48211	5.44386	5.40395	5.54764	5.48406	5.47805	5.40161	5.414	5.4336	5.54051	5.57776	5.51589
"ENSMUSG00000027797"	5.84312111111111	5.88632666666667	5.81397222222222	5.66915333333333	5.64350777777778	5.81884777777778	5.67713666666667	5.75487666666667	5.76291444444444	5.43315333333333	5.32628333333333	5.43070222222222
"ENSMUSG00000027799"	5.60306	5.63604666666667	5.67931333333333	5.69924	5.79118333333333	5.75021666666667	5.53704666666667	5.62568666666667	5.64106666666667	5.59809333333333	5.51522666666667	5.47404666666667
"ENSMUSG00000027800"	6.9908	7.05032	7.06111333333333	7.30808666666667	7.23001	7.08618333333333	7.05529666666667	7.18888333333333	7.02527333333333	7.07797666666667	7.06082	7.00673666666667
"ENSMUSG00000027801"	5.74182	5.83685	5.84528	5.83495	5.89026	5.85731	5.90549	5.95968	5.9215	6.005	6.19368	6.00669
"ENSMUSG00000027803"	9.05088	9.06615666666667	8.92125666666667	8.80936333333333	8.86753666666667	8.97925666666667	8.85360333333333	8.41060333333333	8.18823333333333	8.70833666666667	8.73999	9.11513
"ENSMUSG00000027804"	9.03403	8.75195	8.83451	7.68407	8.04312	7.91729	9.14784	9.31264	9.26029	7.7694	8.15183	7.93942
"ENSMUSG00000027805"	7.84121333333333	7.87101	7.86391333333333	7.75510333333333	7.66607	8.10679666666667	7.74806666666667	7.77261333333333	7.77918333333333	7.3846	7.84269666666667	7.58599
"ENSMUSG00000027806"	6.322595	6.433345	6.448155	6.492215	6.449305	6.69962	6.49978	6.624375	6.439955	6.03837	6.145905	6.06628
"ENSMUSG00000027808"	10.78827	10.82617	10.80242	10.584675	10.525715	10.38302	10.8992	10.89427	11.06264	10.895015	10.97901	10.94591
"ENSMUSG00000027809"	7.21484	7.30064	7.18872	8.29184	8.315565	8.36234	7.39509	7.3287	7.33733	8.445825	8.23655	8.43904
"ENSMUSG00000027810"	8.0902	7.9695	8.153575	8.148225	8.11748	8.181515	8.18778	8.35689	8.40788	7.83309	7.72815	7.656105
"ENSMUSG00000027811"	5.44271	5.40844	5.26611	5.21177	5.16762	5.15531	5.22231	5.28511	5.26016	5.09972	5.31824	5.09031
"ENSMUSG00000027820"	8.45881	8.538245	8.54045	9.20358	9.17577	9.099245	8.850975	8.478415	8.54584	9.32643	8.67253	9.29715
"ENSMUSG00000027822"	8.89758	8.8851	9.08992	9.21018	9.18398	9.20419	9.18634	9.22854	9.10559	8.83633	8.83337	8.64119
"ENSMUSG00000027823"	6.86296	6.79822	6.70547	6.98654	7.23072666666667	7.32820333333333	6.91937	7.05308333333333	6.93731	7.01340666666667	6.81611666666667	6.97312666666667
"ENSMUSG00000027824"	5.75533	5.70218	5.76586	5.61286	5.72656	5.80244	5.717	5.68545	5.69518	5.80147	5.84066	5.71882
"ENSMUSG00000027827"	4.879715	4.85802	4.90828	5.037945	5.05625	5.058435	4.798785	4.904375	4.949025	4.91466	4.931895	4.946745
"ENSMUSG00000027828"	10.06508	10.009475	9.969295	9.929405	9.96522	10.000395	10.084465	10.07361	10.059315	9.96254	9.95941	9.93852
"ENSMUSG00000027829"	9.78309	9.80116	9.75409	9.6766	9.64003	9.79379	9.98854	10.24099	9.98338	9.31031	9.28977	9.44168
"ENSMUSG00000027831"	4.77986	4.73186	4.83815	4.66854	4.80582	4.73184	4.82154	4.73256	4.79075	4.86747	4.92953	4.82313
"ENSMUSG00000027832"	4.82473	4.87073	4.84654	4.60341	4.67646	4.71935	4.82825	4.84272	4.88883	4.72102	4.70762	4.71479
"ENSMUSG00000027833"	6.932075	6.992425	6.88475	7.473645	7.542395	7.444285	7.227145	7.029135	6.959235	7.380095	7.376035	7.29873
"ENSMUSG00000027834"	5.37926	5.40006666666667	5.31307666666667	5.20036	5.17655333333333	5.24171666666667	5.33621666666667	5.37852666666667	5.52966	5.2802	5.22291	5.30126
"ENSMUSG00000027835"	7.52102	7.45525333333333	7.54868666666667	7.42610666666667	7.41392	7.63722666666667	7.49905333333333	7.61878333333333	7.68055666666667	7.23928666666667	7.29975333333333	7.29506
"ENSMUSG00000027840"	5.32011	5.36633	5.36232	5.42359	5.39455	5.50004	5.49681	5.34761	5.4884	5.60837	5.52491	5.61989
"ENSMUSG00000027843"	8.31326	8.24838	8.58472	7.74911	7.64368	8.03396	7.97691	8.35512	8.85889	6.88444	7.60747	7.07571
"ENSMUSG00000027845"	5.73643333333333	5.766	5.71790666666667	5.81838	5.83107666666667	5.84050666666667	5.79984	5.79409	5.80931	5.90771	5.79904	5.81275
"ENSMUSG00000027848"	6.83768	6.83623	6.888315	6.639555	6.799065	6.70416	6.68945	6.66881	6.702595	6.807505	6.704335	6.5386
"ENSMUSG00000027849"	5.73219	5.76255	5.67524	5.86653	5.73046	5.88146	5.84891	5.74111	5.88842	5.81786	5.95821	5.85294
