"iWAT_M08(r1)"	"iWAT_M08(r2)"	"iWAT_M08(r3)"	"Beige/brite (cold on iWAT)_M08(r1)"	"Beige/brite (cold on iWAT)_M08(r2)"	"Beige/brite (cold on iWAT)_M08(r3)"	"iWAT_M08(r4)"	"iWAT_M08(r5)"	"iWAT_M08(r6)"	"Beige/brite (cold on iWAT)_M08(r4)"	"Beige/brite (cold on iWAT)_M08(r5)"	"Beige/brite (cold on iWAT)_M08(r6)"
"ENSMUSG00000000215"	6.76801	6.76598	6.74699	6.8395	6.88165	6.71758	6.68435	6.69226	6.59497	6.888	6.98957	7.06132
"ENSMUSG00000000216"	5.65689	5.68253	5.68808	5.93719	5.82329	5.88818	5.74849	5.77639	5.83639	6.0443	5.9239	6.02871
"ENSMUSG00000000223"	5.97679666666667	5.93922333333333	6.07894333333333	6.20490333333333	6.18422666666667	6.17609	5.99626666666667	6.02485666666667	6.11855333333333	6.14629666666667	6.14247	6.05814
"ENSMUSG00000000244"	8.13243	8.06699	8.130665	7.610975	7.65116	7.5206	7.751985	8.01762	8.12627	7.446675	7.59039	7.47424
"ENSMUSG00000000247"	4.82434	4.8472	4.78992	4.86027	4.88772	4.83687	4.87423	4.84576	4.83375	5.0458	4.90909	4.89463
"ENSMUSG00000000248"	4.6045	4.59572	4.54564	4.60203	4.56561	4.52044	4.52646	4.55391	4.51615	4.565	4.56065	4.61166
"ENSMUSG00000000253"	6.57182	6.51515	6.53293	6.92737	7.11327	6.74976	6.50365	6.30522	6.4919	7.1133	6.75253	6.86961
"ENSMUSG00000000263"	4.828745	4.863725	4.893295	4.873855	4.88723	4.940305	4.819915	4.86466	4.79081	5.000925	4.91804	4.99251
"ENSMUSG00000000266"	5.163455	5.23915	5.19466	5.22256	5.30488	5.106205	5.15952	5.143565	5.189745	5.39316	5.185265	5.32449
"ENSMUSG00000000275"	8.12962	8.14161	8.11792666666667	7.81117	7.84411666666667	7.93136	8.16492333333333	8.25114	8.41887666666667	7.74846	7.85366333333333	7.77057
"ENSMUSG00000000276"	6.23438666666667	6.21892666666667	6.15957666666667	6.39786	6.46146666666667	6.45835666666667	6.11438	6.16660666666667	6.16694	6.23357	6.38039333333333	6.38390333333333
"ENSMUSG00000000278"	11.272185	11.206785	11.328695	11.19645	11.08666	10.96729	11.25904	11.33956	11.367135	11.03267	11.103025	10.93561
"ENSMUSG00000000282"	6.475695	6.55575	6.66939	6.567005	6.395525	6.397415	6.621015	6.71817	6.661245	6.50852	6.43306	6.314345
"ENSMUSG00000000290"	10.4057	10.41631	10.34781	9.63723	9.71147	9.91041	10.21348	10.37439	10.77181	9.31174	9.71741	9.30681
"ENSMUSG00000000295"	7.78062	7.88676	7.79001	8.09791	8.00409	8.30637	7.78721	8.08126	8.03422	7.96575	8.19206	7.86034
"ENSMUSG00000000296"	5.12539	5.12512	5.16594	5.47209	5.35785	5.39673	5.14392	5.08037	5.1192	5.45085	5.5286	5.37097
"ENSMUSG00000000301"	5.91685	5.93362	5.96458	6.0214	5.93242	5.89533	5.99257	5.82483	5.73563	6.09872	6.33641	6.22035
"ENSMUSG00000000303"	4.8015	4.72558	4.79248	4.74216	4.82409	4.71175	4.68278	4.75305	4.75719	4.6377	4.68233	4.7086
"ENSMUSG00000000305"	5.11661333333333	5.10863333333333	5.13275333333333	5.23633333333333	5.14643666666667	5.17917666666667	5.13417333333333	5.01191	5.17023	5.26805666666667	5.24121666666667	5.36709
"ENSMUSG00000000308"	5.15803	5.156055	5.207555	5.26314	5.222075	5.3591	5.31081	5.26494	5.20709	5.35902	5.38147	5.311795
"ENSMUSG00000000317"	7.11275	7.23415	7.11079	6.99546	6.80565	6.84762	7.12635	7.03929	7.11945	7.24506	7.19781	7.36874
"ENSMUSG00000000318"	9.91863	10.00659	10.0396	9.40026	9.6318	9.68841	10.41882	10.53735	10.27395	9.61322	9.70831	9.46287
"ENSMUSG00000000320"	5.48807	5.49579	5.491685	5.756205	5.654975	5.628785	5.50588	5.507625	5.584515	5.62097	5.650225	5.619795
"ENSMUSG00000000325"	5.75073	5.70639666666667	5.7193	5.78907333333333	5.74298	5.66743333333333	5.81898	5.7102	5.7983	6.04981333333333	5.89395333333333	5.86009666666667
"ENSMUSG00000000326"	10.51481	10.598485	10.56327	11.11107	11.02187	10.7819	10.975565	10.76226	10.532495	11.012805	11.54141	11.50202
"ENSMUSG00000000339"	8.20927	8.39337	8.51727	8.75672	8.78053	8.96778	8.28239	8.41369	8.61041	8.48622	8.61063	8.3181
"ENSMUSG00000000340"	9.13442	9.01533	9.05124	9.52881	9.61983	9.6912	9.54241	9.47779	9.08025	9.99534	9.65375	10.16295
"ENSMUSG00000000346"	11.426	11.3882	11.35546	11.08361	11.09168	10.94431	11.29816	11.41282	11.44496	10.92894	11.11409	10.91072
"ENSMUSG00000000355"	10.42609	10.44314	10.63932	10.86052	10.91155	10.75965	10.56915	10.08667	10.35292	10.81737	10.62063	10.84505
"ENSMUSG00000000359"	5.477355	5.34167	5.358965	5.479845	5.316915	5.458945	5.51674	5.273725	5.272265	5.651885	5.718	5.68929
"ENSMUSG00000000365"	4.81974333333333	4.85312	4.87716666666667	4.94498	4.88299333333333	4.85991	4.86735333333333	4.87077	4.86195	4.89418333333333	4.95923333333333	4.94162666666667
"ENSMUSG00000000374"	9.02118	9.02078	8.95548	8.97345	8.99152	8.98043	8.92374	8.98203	8.91892	8.88395	9.02095	8.68863
"ENSMUSG00000000378"	9.34974333333333	9.42162333333333	9.55577	9.1407	9.19344	9.20096	9.25039	9.34513	9.37307666666667	8.94929333333333	9.08695333333333	8.95435666666667
"ENSMUSG00000000381"	5.90283	5.9474	5.84926	5.89738	5.85049	5.92042	5.88238	5.89344	5.96767	6.08568	5.91268	6.30253
"ENSMUSG00000000384"	7.271685	7.2476775	7.3222875	7.8107675	7.842855	7.48158	7.4027175	7.36189	7.1706925	8.1270225	8.0250825	8.0042375
"ENSMUSG00000000385"	5.21995	5.19058333333333	5.31124666666667	5.24417333333333	5.24840333333333	5.35559	5.34210666666667	5.29796333333333	5.25798333333333	5.28902333333333	5.34872	5.31708333333333
"ENSMUSG00000000386"	5.98314	6.10343	6.16966	5.86867	5.87009	5.99162	5.88452	6.19544	7.29219	5.5576	5.76777	5.68349
"ENSMUSG00000000392"	8.63765	8.5037	8.50157	7.93207	8.07265	8.27258	8.92808	8.96196	8.86993	7.69232	7.6645	7.63182
"ENSMUSG00000000394"	5.04837	4.99948	5.00409	5.04084	5.10185	5.12297	5.11342	5.06607	5.03376	5.30951	5.10701	5.18941
"ENSMUSG00000000399"	11.1296	11.11785	11.07748	11.72195	11.66575	11.51399	11.30455	10.99067	11.10524	12.23561	12.20103	12.20703
"ENSMUSG00000000402"	4.49774	4.43661	4.44701	4.53727	4.59035	4.43746	4.49571	4.42176	4.50707	4.51238	4.49827	4.45687
"ENSMUSG00000000409"	8.44720666666667	8.54361666666667	8.55407333333333	7.89221	7.96445	7.85853	8.01228	8.2186	8.12313333333333	7.60485666666667	7.92558333333333	7.61574333333333
"ENSMUSG00000000411"	5.26072	5.19157	5.2773	5.25825	5.06898	5.30973	5.36617	5.30267	5.2613	5.30628	5.41945	5.5207
"ENSMUSG00000000416"	4.49965	4.50142	4.46542	4.48485	4.46228	4.52846	4.51133	4.51137	4.51991	4.4807	4.34512	4.48138
"ENSMUSG00000000420"	9.15698	9.20168	9.060915	8.932005	9.06667	8.95251	9.31249	9.368905	9.455395	9.227575	9.32054	9.21814
"ENSMUSG00000000435"	4.4449	4.4346	4.41877	4.43511	4.3609	4.45673	4.39248	4.4217	4.4826	4.41382	4.5746	4.41835
"ENSMUSG00000000439"	7.12618	7.08141666666667	7.0992	7.20726666666667	7.24963333333333	7.26688	7.22382666666667	7.15646666666667	7.21297666666667	7.27368666666667	7.35442666666667	7.24129666666667
"ENSMUSG00000000440"	11.39957	11.50687	11.58534	11.40187	11.36841	11.40945	11.63413	11.65183	11.59871	11.34424	11.31298	11.34798
"ENSMUSG00000000441"	9.73461	9.754305	9.677905	9.22393	9.165745	9.10106	9.830295	9.8214	9.674105	9.41765	9.673075	9.418125
"ENSMUSG00000000486"	7.81187	7.50949	7.53455	7.51203	7.6326	7.47041	7.26396	7.3806	7.45464	7.25591	7.43858	7.1511
"ENSMUSG00000000489"	7.199355	7.22138	7.157885	7.07249	7.141045	6.77553	7.287155	6.95057	6.965815	7.320915	7.4046	7.53067
"ENSMUSG00000000530"	6.788975	6.796625	6.703945	6.49959	6.65096	6.434635	6.7696	6.75323	6.64327	6.82118	6.87039	6.89683
"ENSMUSG00000000531"	7.12277	7.166675	7.13698	7.066515	7.24419	7.015795	7.174805	7.124875	6.763785	7.089795	7.05134	7.0436
"ENSMUSG00000000532"	9.03163	9.02686	8.81216	8.45265	8.46091	8.34747	8.80927	8.78416	8.83398	8.14619	8.35219	8.07321
"ENSMUSG00000000538"	6.3954	6.4246875	6.3530125	6.4492375	6.3969625	6.3769425	6.3067775	6.2964675	6.2357575	6.492615	6.4910125	6.5630825
"ENSMUSG00000000544"	5.85035	5.868485	5.76526	6.019375	5.879795	5.882715	5.86168	5.88074	5.8432	6.14631	6.134075	6.12874
"ENSMUSG00000000552"	8.72774	8.67886	8.74648	8.21287	8.45588	8.122	8.37536	8.13016	8.19819	8.54969	8.55562	8.47978
"ENSMUSG00000000555"	6.67143	6.77539	6.61817	6.43548	6.23343	6.47779	6.58808	6.51608	6.55297	6.6368	6.80019	6.66419
"ENSMUSG00000000560"	4.75991	4.75516	4.76831666666667	4.82978666666667	4.85524	4.89774666666667	4.82009333333333	4.7409	4.86017	4.82531333333333	4.8336	4.83912333333333
"ENSMUSG00000000561"	7.46968333333333	7.36858666666667	7.38875666666667	7.13260666666667	7.37703666666667	7.14429	7.36352666666667	7.45237666666667	7.24202666666667	7.29824	7.41865666666667	7.27028
"ENSMUSG00000000562"	4.71061	4.70712	4.68016	4.70976	4.72325	4.7654	4.65006	4.7027	4.68257	4.72912	4.79703	4.70568
"ENSMUSG00000000563"	11.703525	11.72982	11.75173	12.331745	12.3112	12.27652	11.90331	11.76985	11.76156	12.46162	12.343565	12.499155
"ENSMUSG00000000567"	5.844565	5.77741	5.79592	5.81666	5.84132	5.88323	5.774915	5.84504	5.826415	5.861945	5.90841	5.84099
"ENSMUSG00000000568"	6.65354	6.66053333333333	6.61852333333333	6.36658333333333	6.41368	6.47647	6.54971333333333	6.82219333333333	6.79093666666667	6.28588333333333	6.34125666666667	6.19320333333333
"ENSMUSG00000000579"	10.772965	10.82752	10.926795	10.402335	10.44536	10.211805	10.732835	10.84996	10.979265	10.50851	10.820275	10.481715
"ENSMUSG00000000581"	6.50021666666667	6.44699333333333	6.39711666666667	6.40182666666667	6.32309666666667	6.23077	6.52821	6.55823333333333	6.66306666666667	6.53667333333333	6.45653666666667	6.39512333333333
"ENSMUSG00000000594"	7.87923333333333	7.87384333333333	7.73335	7.54759333333333	7.80401	7.44898333333333	7.68810333333333	7.42855666666667	7.46475666666667	8.00561	8.11608666666667	8.00525333333333
"ENSMUSG00000000600"	6.518102	6.504936	6.534576	6.295398	6.42922	6.459628	6.424306	6.470244	6.219448	6.026848	5.883048	6.0508
"ENSMUSG00000000605"	8.687115	8.805245	8.70352	8.32233	8.3501	8.141805	8.449565	8.413545	8.437855	8.112085	8.22529	8.0069
"ENSMUSG00000000606"	4.63318	4.60966	4.661735	4.70593	4.79659	4.66547	4.68161	4.644135	4.69028	4.70942	4.722525	4.70599
