"BAT_M05(r1)"	"BAT_M05(r2)"	"BAT_M05(r3)"	"eWAT_M05(r1)"	"eWAT_M05(r2)"	"eWAT_M05(r3)"
"ENSMUSG00000027950"	6.29324	6.273555	6.24619	6.117635	6.142835	6.08724
"ENSMUSG00000027951"	7.736395	7.502185	7.74493	7.97004	8.086385	7.88658
"ENSMUSG00000027952"	8.9469	8.74008	9.04793	7.71024	8.13413	8.00718
"ENSMUSG00000027953"	8.75302	9.17061	9.13685	9.29652	9.14164	9.39425
"ENSMUSG00000027954"	5.948185	5.824135	5.97099	6.36075	6.33928	6.115585
"ENSMUSG00000027955"	5.974155	5.744015	6.054115	8.174755	7.9805	8.07647
"ENSMUSG00000027956"	6.359115	6.331215	6.304155	5.942655	6.083085	6.13915
"ENSMUSG00000027957"	6.690565	6.5783675	6.5903725	6.8859925	6.770815	6.6620225
"ENSMUSG00000027959"	5.49332	5.268485	5.52967	5.2971	5.381305	5.3089
"ENSMUSG00000027961"	6.362985	6.142625	6.252405	6.002035	6.04208	6.0257
"ENSMUSG00000027962"	5.9618025	6.107995	6.09825	6.5201325	6.588545	6.49495
"ENSMUSG00000027963"	7.921725	7.82613	8.009125	8.3177	8.33561	8.3551
"ENSMUSG00000027965"	3.87604	3.94903333333333	3.91204	3.88049666666667	3.91974333333333	3.83774666666667
"ENSMUSG00000027966"	4.74629	4.82148	4.672425	4.587085	4.477325	4.44943
"ENSMUSG00000027967"	5.46794	5.69492	5.50677	5.0916	4.84809	4.79978
"ENSMUSG00000027968"	6.10477	6.18379	6.28381	5.884155	6.17016	6.014755
"ENSMUSG00000027971"	6.02623	5.82486	5.971685	5.619605	5.6795	5.58367
"ENSMUSG00000027973"	5.52301	5.77025	5.60809	5.01698	4.8125	5.27993
"ENSMUSG00000027977"	5.284645	5.21388	5.29396	4.996665	5.02306	5.11004
"ENSMUSG00000027978"	7.10652	7.22256	6.99462	6.94082	7.24342	6.9968
"ENSMUSG00000027981"	5.13861	5.13940333333333	5.16361333333333	5.72894666666667	5.78226333333333	6.02686666666667
"ENSMUSG00000027983"	7.42755666666667	7.36702666666667	7.40155333333333	6.21139	6.16988	6.19793666666667
"ENSMUSG00000027984"	11.6879333333333	11.57948	11.5451033333333	10.5772233333333	10.6129466666667	10.55507
"ENSMUSG00000027985"	5.648615	5.80999	5.625715	5.469705	5.422235	5.5174
"ENSMUSG00000027993"	7.34405333333333	7.35416333333333	7.28299333333333	6.17397666666667	6.26782666666667	6.24984333333333
"ENSMUSG00000027994"	5.80863	5.8223	6.18105	8.08483	7.90128	7.99719
"ENSMUSG00000027995"	6.60158	6.69149	6.6504	6.82282	6.87023	6.86684
"ENSMUSG00000027996"	6.84286	6.64116	6.92128	9.89819	9.75661	9.73008
"ENSMUSG00000027997"	6.885625	6.755705	6.740935	6.603815	6.656125	6.681635
"ENSMUSG00000027998"	7.95736	7.93698	7.94624	8.24523	8.49057	8.21682
"ENSMUSG00000027999"	8.4029	8.40896	8.60933	8.10473	8.32449	8.14455
"ENSMUSG00000028001"	4.79297	5.05812	4.94339	4.39732	4.37748	4.3331
"ENSMUSG00000028003"	4.92961	5.00563	4.908875	4.975325	4.90422	5.00434
"ENSMUSG00000028004"	3.76297	3.87554	3.72637	3.68803	3.66633	3.64051
"ENSMUSG00000028005"	6.246725	5.872455	5.97961	6.719205	6.75653	6.803905
"ENSMUSG00000028007"	8.00234	7.98606	7.86726	8.52814	8.5874	8.50713
"ENSMUSG00000028008"	4.38506	4.38431	4.4372	4.37458	4.42869	4.42691
"ENSMUSG00000028009"	5.87971	5.92805	5.93826	5.41769	5.47231	5.41417
"ENSMUSG00000028010"	6.92419	7.24486	7.11137	7.32102	7.55833	7.30744
"ENSMUSG00000028011"	4.55067333333333	4.63435333333333	4.64840666666667	4.7336	4.76519	4.83843
"ENSMUSG00000028012"	5.582	5.67178	5.65068	5.6634	5.79456	5.29782
"ENSMUSG00000028013"	9.75194	9.55277	9.70834	8.34159	8.41673	8.16372
"ENSMUSG00000028015"	8.21302	8.13977	8.14208	9.126925	9.04798	9.00407
"ENSMUSG00000028016"	6.470135	6.613995	6.35871	6.895305	6.810795	6.84008
"ENSMUSG00000028017"	5.98449	6.02265	6.12337	5.96209	5.91437	6.09905
"ENSMUSG00000028018"	6.8747	6.79818	6.58332	7.23943	7.17114	7.18527
"ENSMUSG00000028019"	6.87387	7.221765	7.04466	8.81768	8.68898	8.69317
"ENSMUSG00000028020"	3.934925	4.083415	3.89927	3.88148	3.796705	3.91251
"ENSMUSG00000028023"	4.63326	4.676565	4.52528	4.4896	4.59211	4.565315
"ENSMUSG00000028024"	8.42354	8.26006	8.35866	11.39191	11.32879	11.31311
"ENSMUSG00000028028"	5.23585	5.25491	5.35255	5.2367	5.18653	5.23709
"ENSMUSG00000028029"	8.70548	8.47491	8.55141	8.6105	8.72704	8.50153
"ENSMUSG00000028030"	6.118855	6.01749	6.13673	6.03753	6.078205	6.012605
"ENSMUSG00000028031"	4.41908	4.34856	4.31112	4.26109	4.32107	4.41623
"ENSMUSG00000028032"	9.4135	9.24912	9.37531	10.03571	10.06339	9.9886
"ENSMUSG00000028033"	4.435145	4.455145	4.44139	4.36157	4.1693	4.317335
"ENSMUSG00000028034"	5.39637	5.43119166666667	5.362255	5.85465	5.76261166666667	5.99093666666667
"ENSMUSG00000028035"	8.00317	8.07564	8.04956333333333	7.95722	7.89623666666667	7.81687
"ENSMUSG00000028036"	4.376295	4.35128	4.359295	4.26886	4.19209	4.211725
"ENSMUSG00000028037"	6.36648	6.00858	6.04766	6.19252	6.579	6.33706
"ENSMUSG00000028039"	5.66004	5.618205	5.580845	5.531935	5.721275	5.511945
"ENSMUSG00000028040"	6.25216	6.01263	6.13649	6.36648	6.52802	6.23829
"ENSMUSG00000028041"	7.62119	7.68502	7.6361825	8.709825	8.7915225	8.605765
"ENSMUSG00000028042"	9.421785	9.235585	9.330635	9.313155	9.37867	9.215045
"ENSMUSG00000028044"	7.38202	7.192175	7.22145	9.51761	9.55242	9.54216
"ENSMUSG00000028047"	5.70669	5.72791	5.9996	7.5729	7.51597	7.28854
"ENSMUSG00000028048"	8.08919	8.01153	7.957795	8.66385	8.739725	8.733915
"ENSMUSG00000028049"	9.436	9.03796	9.32112	9.43756	9.31774	9.43395
"ENSMUSG00000028051"	6.93552	7.0194	7.15044	6.85507	6.89502	6.75977
"ENSMUSG00000028053"	8.24917	8.22968666666667	8.20097333333333	8.71598333333333	8.71479333333333	8.83513
"ENSMUSG00000028057"	7.63632	7.545855	7.467695	8.126235	8.15236	8.005785
"ENSMUSG00000028059"	7.10355666666667	7.03087666666667	7.16686666666667	7.19168666666667	7.19399333333333	7.18154333333333
"ENSMUSG00000028060"	7.528535	7.44995	7.365775	7.63058	7.523085	7.534845
"ENSMUSG00000028062"	9.88014	9.88503	9.98328	9.31572	9.57714	9.33998
"ENSMUSG00000028063"	7.464244	7.517792	7.536528	7.871364	7.957216	7.892198
"ENSMUSG00000028064"	8.08084	7.944665	8.05215	8.52051	8.504515	8.536595
"ENSMUSG00000028066"	8.098375	8.153705	8.112475	8.00519	7.98636	7.900155
"ENSMUSG00000028068"	6.03513	6.100235	6.11191	6.16589	6.166435	6.170955
"ENSMUSG00000028069"	5.51949	5.69846666666667	5.64632666666667	5.47077333333333	5.50917666666667	5.33121333333333
"ENSMUSG00000028070"	10.56246	10.36826	10.58747	9.82102	9.92697	9.95124
"ENSMUSG00000028071"	7.52779	7.67214	7.8027	7.4191	7.46348	7.33653
"ENSMUSG00000028072"	5.0489	5.16948	5.15267	5.09468	5.34583	5.24991
"ENSMUSG00000028073"	6.8061775	6.7757525	6.89664	6.9881475	6.9956175	6.9761325
"ENSMUSG00000028076"	11.39924	11.284485	11.33362	11.79762	11.815695	11.777595
"ENSMUSG00000028078"	7.05219	7.09436	6.96574	6.86918	6.94509	6.922855
"ENSMUSG00000028080"	6.79642333333333	6.63340333333333	6.72606666666667	6.32354333333333	6.4307	6.38981666666667
"ENSMUSG00000028081"	12.07386	11.77167	12.03434	12.58904	12.85496	12.61838
"ENSMUSG00000028082"	5.780305	5.7178275	5.5166	6.5019775	6.551595	6.5523325
"ENSMUSG00000028085"	7.65523	7.60362	7.4444	6.64405	6.81871	6.77978
"ENSMUSG00000028086"	5.916465	5.936025	6.00749	6.037365	6.14439	6.059275
"ENSMUSG00000028088"	6.11941333333333	6.30760333333333	6.28839	6.99398666666667	6.93782	6.99925
"ENSMUSG00000028089"	8.35115	8.12081	7.86564	7.91713	8.08792	7.95812
"ENSMUSG00000028093"	8.44079	8.34812	8.37794	8.06887	8.13099	8.10755
"ENSMUSG00000028096"	8.2288	8.12673	8.2433	7.87181	7.83838	7.73455
"ENSMUSG00000028098"	8.328505	8.360225	8.24352	8.488665	8.583545	8.5377
"ENSMUSG00000028099"	6.37377	6.286395	6.32106	5.863835	5.98269	5.966305
"ENSMUSG00000028100"	5.93668	6.38801	6.07164	5.3752	5.3831	5.49617
"ENSMUSG00000028101"	7.14032	7.31801	7.314765	7.91444	7.862975	7.86613
"ENSMUSG00000028102"	8.007775	7.91197	7.899305	7.825455	7.80905	7.91052
"ENSMUSG00000028104"	8.49726	8.30911	8.55449	8.7294	8.88436	8.97743
"ENSMUSG00000028106"	6.223525	6.18460666666667	6.34604666666667	6.28649833333333	6.15842833333333	6.12163666666667
"ENSMUSG00000028107"	7.452735	7.37438	7.35794	6.54562	6.69368	6.81054
"ENSMUSG00000028108"	8.05696	8.05666	8.05269	10.24953	10.45959	10.31503
"ENSMUSG00000028109"	3.7523	3.77645	3.88722	3.66796	3.7	3.65874
"ENSMUSG00000028111"	7.52957	7.55097	7.59878	8.32546	8.34513	8.38629
"ENSMUSG00000028114"	6.26572	6.36949	6.06637	6.37503	6.712	6.37328
"ENSMUSG00000028115"	5.25923	4.95117	5.22953	4.97848	5.15735	5.08313
"ENSMUSG00000028116"	5.26797	5.40709	5.49602	4.99788	5.05446	5.10304
"ENSMUSG00000028121"	7.27279	7.35569	7.332215	8.44731	8.397525	8.317625
"ENSMUSG00000028124"	9.78971333333333	9.71453333333333	9.79975666666667	9.95263	9.88306333333333	9.92413333333333
"ENSMUSG00000028125"	6.23606	6.04802	6.20328	6.15715	6.10052	6.11825
"ENSMUSG00000028126"	7.8035925	7.6832425	7.773055	7.772535	7.7758725	7.7688425
"ENSMUSG00000028127"	8.2355	8.2819	8.37664	7.19543	7.378245	7.30212
"ENSMUSG00000028128"	8.45705	8.05819	8.5279	8.34587	8.49643	8.47105
"ENSMUSG00000028132"	4.59955	4.622895	4.628655	4.398015	4.3173575	4.334205
"ENSMUSG00000028133"	4.88668	4.88892666666667	4.8711	4.37028666666667	4.50041	4.55345333333333
"ENSMUSG00000028134"	6.62859	6.455215	6.607265	6.33347	6.36226	6.252985
"ENSMUSG00000028136"	7.679015	7.685115	7.609255	8.06292	7.83185	7.96846
"ENSMUSG00000028137"	8.58053	8.63264	8.51164	8.2728	8.4449	8.2197
"ENSMUSG00000028138"	8.7949	8.7616	8.83217	8.6036	8.729935	8.658375
"ENSMUSG00000028139"	4.58965	4.63323	4.56731	4.59729	4.61578	4.614
"ENSMUSG00000028140"	9.29957666666667	9.02260333333333	9.29663666666667	7.93703666666667	8.02736666666667	7.88846
"ENSMUSG00000028141"	4.92764	4.877052	4.97494	4.695798	4.61372	4.570238
"ENSMUSG00000028145"	7.732975	7.648665	7.771355	7.132775	7.21283	7.213025
"ENSMUSG00000028148"	4.8634	4.93244	5.04468666666667	4.79465	4.80844666666667	4.81477
"ENSMUSG00000028149"	9.66839	9.6406	9.65833	9.30823	9.33458	9.36094
"ENSMUSG00000028150"	7.17971	6.978465	7.127565	6.024105	6.043675	6.03861
"ENSMUSG00000028152"	5.11421333333333	5.25387333333333	5.27426333333333	5.96603	5.97773	5.9206
"ENSMUSG00000028156"	7.0574875	7.0751125	7.15342	7.000435	7.001595	6.9820025
"ENSMUSG00000028158"	5.6079725	5.6125125	5.6054925	5.388985	5.332545	5.356655
"ENSMUSG00000028159"	5.705675	5.59735	5.653845	5.82382	5.8514	5.90682
"ENSMUSG00000028161"	8.42146333333333	8.44112666666667	8.53775	8.87675333333333	8.84535666666667	8.92215333333333
"ENSMUSG00000028163"	8.65821	8.41341	8.44339	9.00113	9.08552	9.0277
"ENSMUSG00000028164"	6.73068	6.65789	6.68328	7.44382	7.73045	7.62064
"ENSMUSG00000028165"	7.07974	6.94342	6.91757	6.83036333333333	6.97432	6.90964
"ENSMUSG00000028167"	5.6178	5.47369	5.6118	5.7297	5.86798	5.89168
"ENSMUSG00000028172"	5.47116333333333	5.55254	5.36354	5.22428	5.0369	5.22473333333333
"ENSMUSG00000028173"	7.49817	7.40742333333333	7.54934666666667	8.72145	8.79409333333333	8.73903333333333
"ENSMUSG00000028174"	7.30584	7.31312	7.03968	6.76463	6.72478	6.54685
"ENSMUSG00000028175"	3.70569	3.82668	3.77168	3.6583	3.67172	3.60142
"ENSMUSG00000028176"	6.3874	6.55339	6.40898	6.26807	6.22388	6.23937
"ENSMUSG00000028177"	6.66216	6.90893	6.90208	6.47292	6.58045	6.35031
"ENSMUSG00000028179"	5.68436	5.78598	5.69164	6.76847	6.84525	7.09022
"ENSMUSG00000028180"	10.13264	9.95972	10.07091	10.6227	10.64578	10.61867
"ENSMUSG00000028182"	4.973165	5.09706	5.0091975	4.8805575	4.872305	4.869555
"ENSMUSG00000028184"	7.160295	7.057045	7.165175	8.28015	8.224315	8.169375
"ENSMUSG00000028185"	5.38216	5.53856	5.40227	5.19435	5.36629	5.19428
"ENSMUSG00000028186"	5.45419	5.89291	5.59018	5.4189	5.41359	5.31202
"ENSMUSG00000028187"	6.74566333333333	6.95673	6.79261333333333	6.70211333333333	6.51190333333333	6.57576333333333
"ENSMUSG00000028188"	4.57171	4.6185	4.71508	4.64545	4.49912	4.5373
"ENSMUSG00000028189"	5.18429333333333	5.15807333333333	5.15655666666667	5.61432666666667	5.46341666666667	5.37618
"ENSMUSG00000028191"	8.17022333333333	8.03890333333333	8.07672333333333	8.38606	8.48041333333333	8.35923
"ENSMUSG00000028194"	5.8509375	5.8403775	5.871495	5.94809	6.3016725	6.11833
"ENSMUSG00000028195"	6.85351	6.354305	6.692275	6.70373	6.66238	6.734605
"ENSMUSG00000028197"	3.64855	3.6631	3.78541	3.56582	3.53707	3.61638
"ENSMUSG00000028199"	9.44804	9.283645	9.283395	8.14282	8.12426	7.990885
"ENSMUSG00000028207"	6.57851833333333	6.4614	6.540215	7.83533166666667	7.79384833333333	7.803665
"ENSMUSG00000028211"	7.04396	7.017915	7.060555	7.11179	7.175615	7.048215
"ENSMUSG00000028212"	4.27255	4.25217	4.23451	4.31223	4.23664	4.28378
"ENSMUSG00000028214"	4.90578	4.86143	4.82486	4.39104	4.37216	4.39104
"ENSMUSG00000028217"	6.59329	6.87931	6.37761	6.00637	5.61271	5.84404
"ENSMUSG00000028218"	6.1395	5.958525	6.10476	6.403985	6.387965	6.33988
"ENSMUSG00000028221"	8.60557	8.31998	8.42375	9.51439	9.58648	9.50195
"ENSMUSG00000028222"	4.3504	4.46545	4.45173	4.26407666666667	4.20046333333333	4.2523
"ENSMUSG00000028223"	11.92579	11.677865	11.888275	10.24079	10.21466	10.00644
"ENSMUSG00000028224"	6.60474	6.5774	6.723	6.0644	6.38893	6.29924
"ENSMUSG00000028226"	5.170305	5.27722	5.1148375	5.033855	5.0464775	5.1187025
"ENSMUSG00000028228"	7.7983725	7.6360225	7.6288575	7.938145	7.8570225	7.952875
"ENSMUSG00000028229"	7.460275	7.35956	7.56367	6.206985	6.097585	6.0676
"ENSMUSG00000028232"	7.78772	7.71224	7.73987	7.74347	7.66034	7.93246
"ENSMUSG00000028233"	6.957215	6.8896025	6.9613425	7.381955	7.4784025	7.442165
"ENSMUSG00000028234"	8.270935	8.26064	8.30078	8.58243	8.676915	8.633755
"ENSMUSG00000028236"	4.87752	5.05811	5.04675	4.6747	4.90503	4.8112
"ENSMUSG00000028238"	5.75276	5.94314	6.05435	5.95642	5.94844	5.764835
"ENSMUSG00000028240"	6.06168	6.26614	6.142575	5.92983	5.902485	5.983965
"ENSMUSG00000028243"	4.336825	4.39822	4.4601	4.80507	4.980215	4.936585
"ENSMUSG00000028245"	7.11129	7.13403	7.32376	7.46369	7.39985	7.4328
"ENSMUSG00000028246"	4.57517	4.81101	4.796365	4.65664	4.516715	4.55407
"ENSMUSG00000028247"	8.29373	8.23879	8.287415	7.05068	7.186155	7.183605
"ENSMUSG00000028248"	7.52619	7.49367714285714	7.54028285714286	8.19603857142857	8.22120142857143	8.36409857142857
"ENSMUSG00000028249"	8.43077	8.33404666666667	8.36744	8.68587333333333	8.77696666666667	8.68683
"ENSMUSG00000028251"	7.69309	7.73774	7.53033	5.86022	6.09669	5.93393
"ENSMUSG00000028252"	5.43717	5.58695	5.50338333333333	5.57817333333333	5.41067666666667	5.50054333333333
"ENSMUSG00000028255"	4.49623	4.721015	4.459675	4.28197	4.03201	4.118675
"ENSMUSG00000028256"	5.66999	5.6071	5.47542	5.5527	5.46965	5.60813
"ENSMUSG00000028259"	5.23718	5.27919	5.22395	5.23441	5.2066	5.23073
"ENSMUSG00000028261"	9.157615	9.21735	9.1008	7.641205	7.52599	7.70719
"ENSMUSG00000028262"	3.98315666666667	4.10689	3.99476333333333	4.14371666666667	4.14632333333333	4.20633666666667
"ENSMUSG00000028264"	4.98877	5.12704	5.05115	4.80627	4.84512	4.90906
"ENSMUSG00000028266"	8.82676	8.46803	8.89237	9.75945	9.82516	9.73494
"ENSMUSG00000028268"	8.07029	7.86086	7.80153	8.21089	8.2917	8.34779
"ENSMUSG00000028270"	8.814475	8.548515	8.8299	9.46838	9.71339	9.560175
"ENSMUSG00000028271"	7.209375	7.002345	7.171065	7.18515	7.15766	7.197705
"ENSMUSG00000028273"	5.81227	5.70442714285714	5.71253	6.00830857142857	5.92930142857143	5.94699857142857
"ENSMUSG00000028274"	6.938605	6.823715	6.956945	6.79219	6.795815	6.748275
"ENSMUSG00000028277"	8.31483	8.159405	8.178975	8.76573	8.6602	8.678625
"ENSMUSG00000028278"	4.73840666666667	5.00241666666667	4.83084333333333	4.55897666666667	4.56002	4.59146666666667
"ENSMUSG00000028280"	6.05039	6.03199	6.03199	5.64852	5.56873	5.67147
"ENSMUSG00000028282"	5.87689	6.11866	5.89213	7.09158	7.04802	7.01247
"ENSMUSG00000028284"	6.048458	6.067614	6.13489	6.008196	6.054048	6.012742
"ENSMUSG00000028287"	6.04292	5.96067	6.05144	5.86145	5.69571	5.71232
"ENSMUSG00000028289"	4.407815	4.411575	4.2801175	4.2012	4.3184375	4.297525
"ENSMUSG00000028291"	9.39335	9.08884	9.34244	9.73318	9.86279	9.752
"ENSMUSG00000028292"	9.88323	9.77408	9.80984	9.33663	9.13183	9.19755
"ENSMUSG00000028293"	8.067145	7.886045	8.024745	8.139155	8.167875	8.114405
"ENSMUSG00000028294"	6.12707	6.16158	5.97863	6.06758	6.03283	5.89576
"ENSMUSG00000028295"	9.41166	9.19487	9.34692	8.82491	8.86768	8.80439
"ENSMUSG00000028298"	4.71847	4.6997	4.70465	4.5458	4.5373	4.49469
"ENSMUSG00000028300"	7.54197	7.2643	7.33369	9.6772	9.76447	9.69128
"ENSMUSG00000028307"	6.86395	7.10377	7.01372	6.85879	7.5116	7.24553
"ENSMUSG00000028309"	6.96490666666667	7.09930333333333	6.97608333333333	7.13295	7.21892	7.27718333333333
"ENSMUSG00000028310"	4.57359	4.78795	4.8018	4.69324	4.65491	4.55877
"ENSMUSG00000028312"	4.926265	4.94561	4.8369525	4.9164875	5.0501625	4.9277675
"ENSMUSG00000028314"	3.94185	4.19565	3.93814	3.94185	3.91318	4.03523
"ENSMUSG00000028318"	4.83595	4.991225	5.014695	4.9103	5.06279	5.075395
"ENSMUSG00000028322"	6.55716	6.52388	6.58928	6.50703	6.68682	6.51454
"ENSMUSG00000028327"	4.3772	4.37213	4.43947	4.38408	4.25394	4.29053
"ENSMUSG00000028328"	6.83932	6.57787	6.73464	7.20815	7.52009	7.42669
"ENSMUSG00000028329"	5.52615	5.50265	5.61703	5.84095	6.01202	5.99376
"ENSMUSG00000028330"	8.4792	8.1672	8.32898	7.93732	8.01282	7.94779
"ENSMUSG00000028331"	7.50133	7.36598	7.54002	7.61892	7.70455	7.47754
"ENSMUSG00000028332"	4.37352	4.33371	4.2358	4.11739	4.25509	3.98201
"ENSMUSG00000028333"	8.96232	8.85055	9.10127	9.50131	9.92862	9.74402
"ENSMUSG00000028334"	6.60213	6.46716	6.680045	7.101525	7.08363	7.04916
"ENSMUSG00000028337"	5.09706	4.85329	4.89099	5.02624	5.04443	5.11005
"ENSMUSG00000028339"	8.8208	8.50368	8.7814	11.2638	11.44697	11.32579
"ENSMUSG00000028341"	7.94712	8.05267333333333	8.04803666666667	6.97636666666667	6.98896	7.03891666666667
"ENSMUSG00000028343"	7.939155	7.601255	7.8447	7.619045	7.7447	7.61359
"ENSMUSG00000028344"	5.17028666666667	5.22251	5.20109666666667	5.18980333333333	5.30840333333333	5.24008666666667
"ENSMUSG00000028345"	7.0299	7.07371	7.0047	7.52695	7.564265	7.56912
"ENSMUSG00000028347"	7.19904	7.06144	7.17542	6.59928	6.60189	6.5861
"ENSMUSG00000028348"	5.37106	5.30532	5.52855	5.39867	5.37106	5.37868
"ENSMUSG00000028351"	5.09117	4.83344	4.78003	4.43439	4.5373	4.52459
"ENSMUSG00000028354"	5.08248666666667	5.21639	5.12449666666667	4.81577666666667	4.81600333333333	4.71458333333333
"ENSMUSG00000028356"	4.85069	4.96419	5.10819	4.55271	4.85829	4.64765
"ENSMUSG00000028357"	5.59921	5.678985	5.654955	5.48098	5.503175	5.50853
"ENSMUSG00000028358"	6.167625	6.1904625	6.0944075	6.228415	6.03864	6.096295
"ENSMUSG00000028362"	5.72602	5.71892	5.79129	5.73035	5.60847	5.43106
"ENSMUSG00000028364"	6.34836	6.35221	6.3762	6.71239	6.5365	6.36939
"ENSMUSG00000028367"	12.01538	11.8375	11.96863	12.11048	12.22456	12.09141
"ENSMUSG00000028369"	10.30556	10.15615	10.24196	10.2325	10.301	10.33232
"ENSMUSG00000028370"	6.06092	6.108785	5.958175	5.851395	5.901945	5.811655
"ENSMUSG00000028373"	4.67775	5.14388	4.7978	4.52985	4.62126	4.57701
"ENSMUSG00000028378"	6.19104	6.35934	6.20979	6.60975	6.67572	6.74526
"ENSMUSG00000028381"	5.58166	5.60249	5.52111	6.21573	6.17629333333333	6.11780666666667
"ENSMUSG00000028382"	6.21306666666667	6.13641666666667	6.28494333333333	6.87693	6.87394333333333	6.93681
"ENSMUSG00000028383"	10.750925	10.55894	10.67249	9.635635	9.549845	9.625595
"ENSMUSG00000028385"	6.96286	6.88681	6.943935	7.25351	7.265235	7.151355
"ENSMUSG00000028386"	6.095505	6.26716	6.18496	6.09222	5.82607	5.87445
"ENSMUSG00000028389"	6.02581	5.91361	5.809195	5.8518	5.79334	5.87925
"ENSMUSG00000028391"	4.869055	4.865435	4.786665	4.77992	4.78139	4.766545
"ENSMUSG00000028392"	4.88065	4.91389	4.67223	4.62215	4.72452	4.786
"ENSMUSG00000028393"	9.21749	9.10234	9.29247	9.51821	9.59979	9.5808
"ENSMUSG00000028394"	7.4984	7.583205	7.54642	7.45052	7.50395	7.50672
"ENSMUSG00000028396"	5.40502	5.385765	5.32631	5.27718	5.30186	5.35508
"ENSMUSG00000028397"	6.29514	6.34776	6.38103	6.40024	6.53616	6.51615
"ENSMUSG00000028398"	10.64726	10.56405	10.57981	10.59302	10.67238	10.67471
"ENSMUSG00000028399"	6.56462571428571	6.62740714285714	6.56537571428571	6.30816285714286	6.32848857142857	6.32233571428571
"ENSMUSG00000028402"	6.61398333333333	6.54319666666667	6.53962	7.41346333333333	7.44561666666667	7.43906
"ENSMUSG00000028403"	7.40773	7.574955	7.31838	7.694815	7.79383	7.592515
"ENSMUSG00000028405"	11.46522	11.24455	11.448445	11.53342	11.719025	11.682215
"ENSMUSG00000028407"	6.392295	6.498495	6.40241	6.50322	6.44755	6.39241
"ENSMUSG00000028409"	7.67659	7.41461666666667	7.55383666666667	7.53723666666667	7.63185	7.59377333333333
"ENSMUSG00000028410"	9.34167333333333	9.38406	9.45430333333333	10.1159533333333	10.25455	10.2562266666667
"ENSMUSG00000028411"	6.26933	6.08329	6.08124	5.89308	5.92674	5.88204
"ENSMUSG00000028412"	8.7993	8.72867	8.712515	9.43182	9.50688	9.389295
"ENSMUSG00000028413"	10.2503	10.10328	10.17525	10.55321	10.62858	10.62455
"ENSMUSG00000028414"	6.8450375	6.82516	6.8547625	6.1661525	6.207625	6.141825
"ENSMUSG00000028415"	5.43213	5.20975	5.62805	5.00693	5.36412	5.23411
"ENSMUSG00000028416"	10.75022	10.63345	10.73424	10.18203	10.46564	10.36471
"ENSMUSG00000028417"	4.6451	4.80846	4.81973	4.556345	4.43106	4.492805
"ENSMUSG00000028419"	10.80523	10.73178	10.86846	11.21433	11.33817	11.25919
"ENSMUSG00000028420"	9.31857333333333	9.21416666666667	9.22935666666667	8.28945	8.28767666666667	8.35234666666667
"ENSMUSG00000028423"	6.3934875	6.3272725	6.33563	6.7059625	6.6228	6.6716975
"ENSMUSG00000028426"	7.4841875	7.4676825	7.49457	7.829725	7.8578625	7.7689025
"ENSMUSG00000028427"	8.777335	8.77763	8.87035	8.251465	8.044985	8.078545
"ENSMUSG00000028430"	9.138835	9.220835	9.23704	9.54029	9.644	9.561475
"ENSMUSG00000028431"	6.985125	7.022785	6.9145	7.50554	7.5672	7.638045
"ENSMUSG00000028433"	7.85323	7.80887	7.8585	8.5953	8.45359	8.48878
"ENSMUSG00000028434"	5.55764666666667	5.50009666666667	5.55948333333333	5.19273	5.24442	5.2231
"ENSMUSG00000028435"	5.31107666666667	5.36639666666667	5.34739333333333	5.23917666666667	5.28235666666667	5.33360333333333
"ENSMUSG00000028436"	7.12168333333333	7.07681666666667	7.14715666666667	7.39394333333333	7.42104666666667	7.36317333333333
"ENSMUSG00000028437"	7.84827333333333	7.89277666666667	7.90827	7.97878	8.0568	8.00927333333333
"ENSMUSG00000028438"	5.63374666666667	5.53336333333333	5.46971	5.36636	5.29954333333333	5.41584666666667
"ENSMUSG00000028439"	7.18377	7.126005	7.097745	7.361905	7.40783	7.501145
"ENSMUSG00000028441"	6.41141	6.45718	6.19312	6.11314	6.18473	6.48854
"ENSMUSG00000028443"	8.80596	8.60372	8.71423	8.26159	8.29749	8.28572
"ENSMUSG00000028444"	7.370695	7.23211	7.40663	6.42922	6.539235	6.267705
"ENSMUSG00000028445"	5.64317	5.67567	5.72439	5.723045	5.75778	5.600605
"ENSMUSG00000028447"	9.6359	9.48048	9.50595	10.04653	10.1459	9.97681
"ENSMUSG00000028452"	8.79673	8.703105	8.813505	8.95056	8.97876	8.894425
"ENSMUSG00000028453"	6.681625	6.385915	6.60044	6.673715	6.825585	6.879465
"ENSMUSG00000028454"	8.22541	8.16798333333333	8.18575333333333	7.79491333333333	7.84077	7.76643
"ENSMUSG00000028455"	9.65318	9.37667	9.59312	8.62392	8.58271	8.62128
"ENSMUSG00000028456"	6.110685	6.13684	6.190795	6.229525	6.141375	6.259185
"ENSMUSG00000028458"	8.57831	8.55492	8.57097	7.75386	7.83117	7.80894
"ENSMUSG00000028459"	5.35857	5.45824	5.62656	5.42844	5.33026	5.33604
"ENSMUSG00000028460"	5.6552	5.71175	5.90275	5.56678	5.54316	5.5802
"ENSMUSG00000028461"	7.95943	8.1004	7.99887	7.1839	7.30687	7.13969
"ENSMUSG00000028463"	7.1012	7.20532	7.17379	7.02387	6.7099	6.88609
"ENSMUSG00000028464"	7.02607	7.0443	6.9157425	7.1533375	7.29733	7.1632225
