"BAT_M05(r1)"	"BAT_M05(r2)"	"BAT_M05(r3)"	"eWAT_M05(r1)"	"eWAT_M05(r2)"	"eWAT_M05(r3)"
"ENSMUSG00000000365"	4.19755666666667	4.17576666666667	4.13593333333333	4.11735	4.16636666666667	4.08884666666667
"ENSMUSG00000000374"	9.26205	8.90889	9.10454	9.24095	9.33144	9.30882
"ENSMUSG00000000378"	8.69588666666667	8.56187333333333	8.74099	8.87072	9.02209666666667	8.92990333333333
"ENSMUSG00000000381"	5.05625	4.94242	5.13655	5.06902	5.04136	4.97231
"ENSMUSG00000000384"	8.5340525	8.4359625	8.4920625	6.98946	7.16621	7.1477125
"ENSMUSG00000000385"	5.68507	5.72715333333333	5.66966	5.73129	6.05347	5.89254333333333
"ENSMUSG00000000386"	4.59064	4.52015	4.48954	4.58701	4.59254	4.62412
"ENSMUSG00000000392"	6.7753	6.74731	6.53958	7.96136	7.93704	8.01724
"ENSMUSG00000000394"	4.70009	4.92456	4.59697	4.57845	4.5794	4.54346
"ENSMUSG00000000399"	12.50372	12.28335	12.48099	10.52167	10.72769	10.55528
"ENSMUSG00000000402"	4.64032	4.58973	4.53268	4.70165	4.72826	4.58867
"ENSMUSG00000000409"	6.1229	6.25917333333333	6.16308	5.87274666666667	6.05212333333333	5.97095
"ENSMUSG00000000411"	4.66155	4.6811	4.66155	4.59098	4.47312	4.62728
"ENSMUSG00000000416"	3.7444	3.8417	3.75152	3.88377	3.95231	3.80409
"ENSMUSG00000000420"	8.8182	8.75069	8.717075	9.05565	8.960195	9.047025
"ENSMUSG00000000435"	3.74916	3.69033	3.76115	3.57457	3.73174	3.72671
"ENSMUSG00000000439"	7.97784333333333	7.80311333333333	7.95732666666667	7.67483	7.72929666666667	7.65326666666667
"ENSMUSG00000000440"	11.46874	11.13891	11.29036	11.29223	11.46236	11.31904
"ENSMUSG00000000441"	9.26446	9.22092	9.151095	9.48036	9.53655	9.583775
"ENSMUSG00000000486"	7.37806	7.61707	7.60746	6.63387	6.85441	6.91562
"ENSMUSG00000000489"	7.460685	7.32933	7.560965	7.683105	7.63683	7.526765
"ENSMUSG00000000530"	6.969905	6.66785	6.893955	7.035765	7.25803	7.214955
"ENSMUSG00000000531"	7.94851	7.92688	7.927745	8.166655	8.288405	8.095805
"ENSMUSG00000000532"	7.22328	7.29831	6.86382	8.6129	8.52513	8.58663
"ENSMUSG00000000538"	6.77757	6.5110275	6.58041	6.57267	6.4958825	6.52866
"ENSMUSG00000000544"	5.68325	5.7747	5.636765	5.349135	5.408105	5.216475
"ENSMUSG00000000552"	9.51364	9.67515	9.3358	10.23292	10.01213	9.98841
"ENSMUSG00000000555"	6.1852	6.29593	5.85965	6.99481	7.03554	7.1383
"ENSMUSG00000000560"	4.41308	4.71663	4.45813	4.29814666666667	4.25123666666667	4.29655
"ENSMUSG00000000561"	7.20806	7.0583	7.23001333333333	7.19816333333333	7.11641	7.06433333333333
"ENSMUSG00000000562"	4.059	4.03731	4.02709	4.0535	4.00617	4.01197
"ENSMUSG00000000563"	12.18465	12.029535	12.261995	10.90564	11.083805	10.96373
"ENSMUSG00000000567"	5.46788	5.46085	5.54783	5.57485	5.64194	5.539795
"ENSMUSG00000000568"	5.44059333333333	5.50585666666667	5.41809666666667	5.65177333333333	5.78636666666667	5.74478333333333
"ENSMUSG00000000579"	9.261385	9.118265	9.24459	9.931375	10.108945	10.06488
"ENSMUSG00000000581"	6.06446333333333	6.17886666666667	6.13736333333333	6.30458	6.27791666666667	6.35768333333333
"ENSMUSG00000000594"	8.2028	8.07327333333333	8.25537666666667	8.48368333333333	8.46697666666667	8.52621666666667
"ENSMUSG00000000600"	5.898934	5.92648	5.87074	6.206278	6.108942	6.15789
"ENSMUSG00000000605"	9.123695	9.09963	9.09524	8.924415	9.053895	8.989075
"ENSMUSG00000000606"	4.29011	4.289115	4.339375	4.22134	4.205765	4.21708
"ENSMUSG00000000627"	5.30711	5.45601	5.542975	5.22397	5.393315	5.350125
"ENSMUSG00000000628"	10.79298	10.71529	10.78176	10.23121	10.20886	10.25464
"ENSMUSG00000000631"	9.43977	9.54735	9.27777	8.89358	8.96568	9.1039
"ENSMUSG00000000632"	6.660335	6.774975	6.760465	6.604515	6.57561	6.635045
"ENSMUSG00000000673"	6.71904	6.85478	6.64969	6.60786	6.45779	6.51902
"ENSMUSG00000000682"	7.61253	7.6625	7.78355	8.98004	9.27226	9.46829
"ENSMUSG00000000686"	6.96498	6.72346	7.03377	7.31052	7.06278	7.064215
"ENSMUSG00000000690"	5.0021	4.86285	5.11222	5.71605	5.6706	5.58087
"ENSMUSG00000000693"	6.92925	7.10789	6.64353	7.24699	7.29376	7.17838
"ENSMUSG00000000706"	4.85211	5.06817666666667	4.81622666666667	4.69086	4.65373666666667	4.49022666666667
"ENSMUSG00000000708"	8.519715	8.16954	8.27371	8.83876	8.68208	8.698085
"ENSMUSG00000000711"	7.81921	7.45864	7.97008	7.77067	7.4823	6.83776
"ENSMUSG00000000724"	4.92195	5.14804	4.97769	4.80724	4.8808	4.75112
"ENSMUSG00000000730"	5.98361	6.19412	5.9261	5.89807	5.94889	5.96939
"ENSMUSG00000000731"	5.64557	5.61863	5.78767	5.40046	5.48111	5.47696
"ENSMUSG00000000732"	7.61533	7.43703	7.63609	7.78645	7.78576	7.96892
"ENSMUSG00000000738"	9.54747	9.44585	9.41304	8.76565	8.6974	8.79496
"ENSMUSG00000000739"	7.27734	7.36021	7.66357	7.65962	7.65914	7.65318
"ENSMUSG00000000740"	11.53943	11.35966	11.5225166666667	12.2296	12.3721266666667	12.2734333333333
"ENSMUSG00000000743"	9.26421	9.35072	9.31455	9.65409	9.7387	9.67734
"ENSMUSG00000000751"	8.793465	8.523	8.672095	8.948415	9.112385	9.092395
"ENSMUSG00000000753"	9.55368	9.260535	9.561435	10.97066	11.04892	10.985365
"ENSMUSG00000000759"	6.33533	6.39911	6.40871	6.65768	6.64612	6.93158
"ENSMUSG00000000766"	6.4233925	6.654465	6.542015	6.2913075	6.073085	6.1473625
"ENSMUSG00000000776"	7.67083	7.875695	7.75648	7.63728	7.59446	7.449845
"ENSMUSG00000000782"	6.25732	6.56108	6.49456	6.338965	6.369345	6.29313
"ENSMUSG00000000787"	10.79403	10.6280666666667	10.8544833333333	10.7397233333333	10.8978533333333	10.75609
"ENSMUSG00000000791"	5.61446	5.68029	5.69697	5.58018	5.68029	5.48295
"ENSMUSG00000000792"	6.66079	6.71444	6.85917	6.494875	6.37194	6.514515
"ENSMUSG00000000794"	5.54352	5.83951	5.90037	5.29712	5.24082	5.53112
"ENSMUSG00000000804"	6.736805	6.687365	6.73446	6.829265	6.72554	6.80814
"ENSMUSG00000000805"	9.60595	9.425195	9.74152	9.17927	9.362765	9.389115
"ENSMUSG00000000811"	7.43695333333333	7.29018333333333	7.34477333333333	7.45400333333333	7.45866	7.50439333333333
"ENSMUSG00000000817"	5.576175	5.583815	5.584605	5.41095	5.38279	5.326675
"ENSMUSG00000000823"	7.706155	7.54886	7.88956	7.88545	7.74398	7.84375
"ENSMUSG00000000826"	8.122178	7.945772	8.094418	8.10353	8.230308	8.175304
"ENSMUSG00000000827"	8.64877666666667	8.44360666666667	8.57723666666667	8.40484	8.40940666666667	8.36809333333333
"ENSMUSG00000000838"	7.563635	7.412805	7.460625	8.19667	8.09183	8.19357
"ENSMUSG00000000861"	5.40118666666667	5.43803	5.37656166666667	5.26451666666667	5.28061166666667	5.22924833333333
"ENSMUSG00000000869"	6.23724	6.18974	6.41301	5.85108	6.03734	5.64024
"ENSMUSG00000000876"	9.599385	9.43065	9.638575	9.784385	9.80844	9.754185
"ENSMUSG00000000881"	7.21341	7.20748	7.0645	6.87961	7.16286	6.79548
"ENSMUSG00000000884"	6.59637	6.52286	6.72965	6.60504	6.65271	6.67756
"ENSMUSG00000000889"	7.42737	7.65154	7.49774	7.03774	6.92025	6.94289
"ENSMUSG00000000901"	5.30535	5.26494	5.26201	5.62797	5.83458	5.96165
"ENSMUSG00000000902"	7.328075	7.15923	7.337275	7.3436	7.37873	7.37743
"ENSMUSG00000000903"	7.04595	7.2015	7.16643	6.90776	7.01758	6.78355
"ENSMUSG00000000915"	7.80179	7.72979333333333	7.82270333333333	7.33726333333333	7.46315666666667	7.41352333333333
"ENSMUSG00000000916"	7.238835	7.170195	7.25011	6.73752	6.82514	6.865175
"ENSMUSG00000000934"	7.45367	7.19091	7.00288	6.47958	6.37877	6.36403
"ENSMUSG00000000938"	4.89294	4.77397	4.73385	4.5157	4.73808	4.52498
"ENSMUSG00000000942"	7.95567	7.82884	8.03936	6.51927	6.76918	6.54071
"ENSMUSG00000000948"	11.689885	11.463175	11.73372	11.68673	11.60001	11.440305
"ENSMUSG00000000957"	6.67598	6.447725	6.5537	7.985435	7.987985	7.987175
"ENSMUSG00000000958"	5.782625	5.72618	5.59645	5.865575	5.789875	5.802185
"ENSMUSG00000000959"	8.480475	8.481925	8.48015	7.643005	7.529125	7.515305
"ENSMUSG00000000976"	6.6637825	6.71821	6.617315	7.0435875	7.056775	7.113635
"ENSMUSG00000000982"	5.34061	5.60406	5.23564	5.43616	5.29035	5.6254
"ENSMUSG00000000983"	6.71443	7.0158	6.68169	6.70676	6.53891	6.55165
"ENSMUSG00000001014"	5.01197	4.97213	5.06284	4.80512	4.94051	4.70888
"ENSMUSG00000001016"	6.274915	6.422665	6.139735	6.948785	6.89345	6.96633
"ENSMUSG00000001017"	8.30254	8.131775	8.21832	8.677945	8.750515	8.67114
"ENSMUSG00000001018"	8.33638	8.2732	8.447825	8.621875	8.44932	8.635535
"ENSMUSG00000001020"	7.09015	6.90001	6.86026	8.44616	8.80824	9.14555
"ENSMUSG00000001021"	5.35246	5.38653	5.27824	4.76878	5.14043	5.0256
"ENSMUSG00000001023"	5.27024	5.35311	5.44206	5.28089	5.49512	5.17345
"ENSMUSG00000001025"	8.48161	8.48898	8.14053	10.89285	11.1079	11.06886
"ENSMUSG00000001027"	4.68066	4.72996	4.65536	4.6332	4.66525	4.62584
"ENSMUSG00000001029"	7.67952	7.4119	7.68125	8.05566	8.16005	8.06046
"ENSMUSG00000001034"	6.58419	6.61804	6.57437	6.97496	7.09592	7.22711
"ENSMUSG00000001036"	8.35941666666667	8.15335666666667	8.40445666666667	8.82367	8.80373666666667	8.75594666666667
"ENSMUSG00000001039"	5.76434	5.74715	5.64804	5.89326	5.87374	5.99168
"ENSMUSG00000001052"	7.843245	7.44433	7.831255	8.335555	8.43785	8.122275
"ENSMUSG00000001053"	6.87037	6.98176	6.78111	7.07075	7.10193	7.00461
"ENSMUSG00000001054"	8.09314	7.95668	7.83152	8.13759	8.10389	8.0509
"ENSMUSG00000001056"	8.66159	8.53377	8.613395	8.09534	8.10249	7.908355
"ENSMUSG00000001062"	7.521845	7.456995	7.4674	7.42019	7.365235	7.240975
"ENSMUSG00000001065"	6.30676	6.2944175	6.304155	6.18526	6.3228625	6.3018375
"ENSMUSG00000001082"	6.36766	6.41964	6.48978	6.92454	6.93079	6.9558
"ENSMUSG00000001089"	7.616545	7.5424	7.510365	7.72081	7.68809	7.610755
"ENSMUSG00000001095"	6.70716	6.79316	6.83671	6.4466	6.61758	6.786
"ENSMUSG00000001098"	8.79907	8.62229	8.7003	9.74299	9.7575	9.78245
"ENSMUSG00000001100"	10.45465	10.177365	10.403005	9.28053	9.47023	9.28707
"ENSMUSG00000001103"	7.576985	7.855875	7.68271	7.289035	7.4371	7.46476
"ENSMUSG00000001105"	7.20183	7.33706	7.38879	7.23966	7.48593	7.44703
"ENSMUSG00000001119"	9.693	9.44197	9.54693	11.67823	11.81326	11.77932
"ENSMUSG00000001120"	6.37494	6.31393	6.23557	6.50198	6.54208	6.40505
"ENSMUSG00000001123"	9.48558	9.17343	9.45979	10.32254	10.22575	10.11732
"ENSMUSG00000001127"	6.469184	6.409384	6.48436	6.581996	6.582288	6.639992
"ENSMUSG00000001128"	6.44701	6.73049	6.67915	9.63546	9.77874	9.75796
"ENSMUSG00000001131"	6.82462	7.04694	6.61108	6.64159	6.66679	6.88189
"ENSMUSG00000001138"	7.069225	6.962945	7.165505	7.336035	7.3100475	7.2734675
"ENSMUSG00000001143"	7.3372	7.392635	7.210625	7.392135	7.394555	7.379395
"ENSMUSG00000001150"	7.46662	7.32135	7.51822	7.8355	7.96618	7.82804
"ENSMUSG00000001151"	8.42614	8.57395	8.574165	8.58516	8.516895	8.73897
"ENSMUSG00000001155"	6.22163	6.25069	6.02344	6.05801	5.64155	5.96425
"ENSMUSG00000001156"	6.7382	6.67930333333333	6.67059	6.84802666666667	6.75414666666667	6.83941333333333
"ENSMUSG00000001157"	6.60026	6.441405	6.470375	6.7014425	6.6679675	6.6315275
"ENSMUSG00000001158"	10.767815	10.59938	10.788735	10.222315	10.19719	10.10203
"ENSMUSG00000001166"	4.53755	4.59151	4.37089	4.68749	4.49454	4.59492
"ENSMUSG00000001168"	5.61556	5.82835	5.6989	5.28222	5.0439	4.87218
"ENSMUSG00000001173"	5.67792333333333	5.70418333333333	5.61862	5.90190333333333	5.75420333333333	5.79551333333333
"ENSMUSG00000001175"	10.10904	10.071034	10.152386	10.89748	11.059496	11.045306
"ENSMUSG00000001211"	9.025725	9.04504	9.0004075	7.74051	7.6939675	7.6910775
"ENSMUSG00000001225"	4.65038666666667	4.70696666666667	4.51651	4.52533666666667	4.78794666666667	4.67713333333333
"ENSMUSG00000001227"	7.36486	7.37749	7.41838	7.3534	7.43034	7.22729
"ENSMUSG00000001228"	5.87317666666667	5.67322666666667	5.88114	5.65374333333333	5.67879	5.76981333333333
"ENSMUSG00000001229"	7.81055	7.71422	7.87017	7.96882	8.13195	8.02146
"ENSMUSG00000001240"	9.00446	8.83118333333333	9.09859	9.26107333333333	9.31783666666667	9.30458
"ENSMUSG00000001247"	7.77578	7.79753	7.68625	8.26528	8.28347	8.22045
"ENSMUSG00000001248"	8.56374	8.23743	8.35738	7.76277	8.06281	8.06401
"ENSMUSG00000001249"	5.27161	5.07665	5.25128	5.2574	5.317	5.24204
"ENSMUSG00000001260"	4.253705	4.25359	4.43091	4.081185	4.17791	4.168405
"ENSMUSG00000001270"	8.50124	8.62642	8.41051	9.07163	9.47277	9.31659
"ENSMUSG00000001280"	8.14075	7.85741666666667	8.01001666666667	8.54547	8.47655	8.40383333333333
