"sWAT_patient 5_hM3"	"sWAT (cold acclimation)_patient 5_hM3"	"sWAT_patient 2_hM3"	"sWAT_patient 6_hM3"	"sWAT (cold acclimation)_patient 2_hM3"	"sWAT (cold acclimation)_patient 6_hM3"	"sWAT_patient 3_hM3"	"sWAT_patient 7_hM3"	"sWAT (cold acclimation)_patient 3_hM3"	"sWAT (cold acclimation)_patient 7_hM3"	"sWAT_patient 4_hM3"	"sWAT_patient 8_hM3"	"sWAT (cold acclimation)_patient 4_hM3"	"sWAT (cold acclimation)_patient 8_hM3"
"ENSG00000113100"	2.1989	2.25708	2.16044	2.58781	1.95674	2.10344	1.96065	2.23435	2.33901	1.88889	2.26718	2.07921	2.21412	2.12165
"ENSG00000113108"	6.84466	6.65623	6.45495	6.75705	6.56723	7.03676	7.04762	6.54723	7.03044	6.71785	6.65058	6.35599	6.37529	6.68112
"ENSG00000113119"	5.79536	5.90305	5.80262	6.20116	5.72993	6.12586	6.02879	5.81852	6.10104	5.74759	5.8617	5.9565	5.55752	5.39598
"ENSG00000113140"	12.69958	12.129	12.64943	12.15109	12.92896	12.44733	12.50822	12.9427	12.60223	12.7573	12.5616	12.56887	12.70687	12.77731
"ENSG00000113141"	8.51672	8.05283	8.13289	8.29779	8.29915	8.25481	8.01214	8.08286	7.90341	8.3479	8.50919	8.30999	8.33625	8.26002
"ENSG00000113161"	6.69968	7.6996	6.5648	6.00695	6.51245	6.63688	6.46508	6.80193	6.54259	6.87546	5.97459	6.71248	6.81205	6.95518
"ENSG00000113163"	8.45951	8.00744	8.40726	7.87203	8.22894	8.15844	7.83974	8.54489	7.79563	8.57237	7.68007	8.5472	8.32981	8.42192
"ENSG00000113194"	9.64613333333333	9.52718333333333	9.72025	9.32252333333333	9.73702333333333	9.74674666666667	9.33749666666667	9.75491333333333	9.40191	9.65987333333333	9.39005666666667	9.66408666666667	9.65077666666667	9.69759333333333
"ENSG00000113196"	2.44692	2.28903	2.76074	2.73512	2.48209	2.72248	2.75573	2.37531	2.50551	2.41571	2.79573	2.7714	2.68125	2.26576
"ENSG00000113205"	5.46305	5.61414	5.85104	7.09663	5.71974	6.33216	6.13782	6.40157	6.49423	6.02939	5.72073	5.9316	6.33817	5.86291
"ENSG00000113209"	6.77953	5.75894	6.54222	5.63751	6.62444	5.80528	5.45495	6.23119	5.91443	6.21061	5.15387	5.69543	5.64158	5.86455
"ENSG00000113211"	4.32824	4.62722	4.31873	5.24349	5.20555	4.96242	4.62993	4.73461	5.12755	4.74702	4.65843	3.90159	4.49423	4.37714
"ENSG00000113212"	4.7336	4.39548	4.48093	4.6269	4.86415	5.63827	4.86359	5.42927	4.78109	4.92226	5.00515	4.49044	5.4175	4.58141
"ENSG00000113231"	7.92924	7.18412	8.05324	8.21511	8.02744	8.51856	8.1459	7.96112	8.17539	8.18049	8.60492	8.02055	8.90812	8.19219
"ENSG00000113240"	7.403935	6.647365	7.364005	6.821255	7.25455	7.534795	6.814745	7.396925	6.57842	7.334185	6.75591	7.28515	7.504355	7.445845
"ENSG00000113248"	5.41634	4.83355	5.56415	4.95897	5.20719	5.80665	4.4703	5.23869	4.30703	5.20826	4.74149	5.55506	5.38973	5.41636
"ENSG00000113249"	3.26485	4.35079	4.44336	4.30195	4.33085	4.07904	3.98322	4.32517	4.29643	4.24953	4.78133	4.17483	4.71635	4.29161
"ENSG00000113262"	3.22122	2.61312	2.91547	3.0407	2.88782	2.93265	2.81335	2.75451	2.87532	2.6321	3.5309	2.80251	2.95078	3.0489
"ENSG00000113263"	4.4797	5.17141	5.78848	5.25827	5.44921	4.29491	4.96543	4.90935	4.65843	5.59015	5.50242	4.661	5.61023	4.88843
"ENSG00000113269"	9.12202	9.53941	9.38886	9.23458	9.19922	9.38963	9.37352	9.26326	9.35914	9.1806	9.05485	9.47122	9.17213	9.29224
"ENSG00000113272"	5.9581	5.81532	5.74385	6.09464	6.07699	6.11525	5.46255	6.22598	5.69423	5.94981	6.17882	5.97834	6.25416	6.10059
"ENSG00000113273"	6.06419	6.57901	6.41093	6.21186	6.06919	6.13815	6.26274	6.33187	6.30473	6.16783	5.75487	6.58525	5.93268	5.97
"ENSG00000113282"	8.63633	8.36452	8.42618	8.36231	8.40197	8.25886	8.26601	8.41666	8.25434	8.54886	8.53169	8.59375	8.58446	8.49991
"ENSG00000113296"	7.0663	5.64546	7.0608	6.54855	7.18286	6.55847	4.70476	6.88628	4.67637	7.06751	6.97537	7.28121	7.24669	6.77533
"ENSG00000113300"	6.55267	6.44601	6.63732	6.25693	6.44185	6.52661	6.15529	6.58196	6.02468	6.47319	6.39455	6.70901	6.58633	6.70953
"ENSG00000113302"	2.80326	2.64595	2.69646	2.77784	2.63718	2.52101	2.66769	2.88929	2.72469	2.85536	2.66085	2.88699	2.60423	2.76052
"ENSG00000113303"	3.423985	3.454075	3.544975	3.813615	3.131985	3.20765	3.6727	3.433135	3.70576	3.39131	3.22149	3.19101	3.12947	3.25141
"ENSG00000113312"	6.96445	7.06014	6.85344	7.08509	6.85777	6.74473	6.91374	6.84527	6.60209	6.86197	7.24597	6.82816	6.80926	6.76048
"ENSG00000113318"	7.69966	7.35503	7.92382	7.41144	7.97824	7.52043	7.54244	7.85632	7.56102	7.7479	7.66751	7.54849	7.7526	7.76075
"ENSG00000113319"	8.20831	7.74319	8.13931	7.94418	8.15987	8.08963	7.99885	7.65056	7.6973	7.51422	8.26486	7.83099	8.45136	7.81686
"ENSG00000113327"	2.23131	2.24606	2.49557	2.07192	2.38587	2.08574	2.28469	2.09441	2.32991	2.09286	2.0552	1.96902	2.20046	2.12785
"ENSG00000113328"	8.65978	8.68422	8.54371	9.05678	8.87362	8.89807	8.97111	9.10838	8.76516	9.05427	9.01263	8.54644	8.93746	8.87837
"ENSG00000113356"	5.3363	5.1978	5.24207	5.19564	5.58565	4.92216	5.24488	5.25587	5.59722	5.30919	5.31883	5.2784	5.20594	5.57412
"ENSG00000113360"	7.49358	7.50875	7.34553	7.7012	7.62309	7.54578	7.80552	7.59382	7.64362	7.55938	7.745	7.48061	7.68661	7.67786
"ENSG00000113361"	6.62561	6.09745	5.71272	6.00068	6.19924	6.13667	5.33213	6.20971	5.19159	5.5296	4.89545	6.54467	5.7833	6.74363
"ENSG00000113368"	4.56862	5.85728	5.29523	4.82763	4.6789	4.65902	4.86162	4.4242	5.04518	4.30806	4.96337	4.83908	4.92985	4.93361
"ENSG00000113369"	9.01997	9.12949	9.27834	9.11201	9.20665	9.30343	9.28218	9.24433	9.27841	8.97546	9.21809	9.1618	9.15022	9.09427
"ENSG00000113384"	8.27414	8.03761	8.25674	8.14071	8.29357	8.19951	8.28839	8.26768	8.18664	8.28438	8.26948	8.22579	8.22536	8.21631
"ENSG00000113387"	9.10641	8.81347	8.9191	8.61091	9.0688	8.8484	8.44368	9.36905	8.61195	8.82993	8.93978	9.43869	9.22011	9.29922
"ENSG00000113389"	8.68076	6.998955	8.340385	7.18194	9.43946	7.11003	7.783355	9.121255	7.320175	8.977345	8.96521	8.42137	8.84426	8.866815
"ENSG00000113391"	8.39422	8.18794	8.50456	8.31927	8.50197	8.48374	8.23048	8.63485	8.25966	8.36691	8.31411	8.57162	8.53174	8.79729
"ENSG00000113396"	2.43465	2.67032	2.62685	2.52584	2.52489	2.45153	2.63173	2.92566	2.92719	2.86422	2.5879	2.50987	2.8068	2.70218
"ENSG00000113407"	7.97801	8.10386	7.94642	7.69908	7.82333	8.01171	7.85227	8.21321	7.85221	7.90758	7.73613	8.25506	8.21805	8.33461
"ENSG00000113430"	2.57612	2.6133	2.77129	2.82753	2.52807	2.83535	2.80886	2.86714	2.71561	2.34792	2.84918	2.59225	2.59962	2.43323
"ENSG00000113441"	9.1874	8.85413	9.09772	8.92221	9.04376	9.24722	8.54434	9.15268	8.5302	9.26324	8.99363	9.0593	9.1297	9.09091
"ENSG00000113448"	5.30982	4.76112	5.64203	5.39904	5.40402	5.51283	4.80201	5.35441	5.27486	5.38775	5.16207	5.84321	5.62039	5.78845
"ENSG00000113456"	6.17504	5.73295	5.68347	5.56263	5.79231	5.83691	5.47124	5.85413	5.74835	6.02478	5.31776	5.87591	6.08757	6.12709
"ENSG00000113460"	6.3789	6.65705	6.23974	6.48736	6.22519	6.5138	6.40518	6.32418	6.23106	6.53239	6.49254	6.46828	6.60551	6.77424
"ENSG00000113492"	3.37959	3.29115	3.49471	3.20967	3.17111	3.22346	3.3147	3.30833	3.65302	3.58052	3.36631	3.32467	3.33814	3.26276
"ENSG00000113494"	2.02176	2.31671	2.6142	2.50814	2.36435	2.56408	2.41285	2.24602	2.69742	2.29905	2.56597	2.71439	2.20493	2.34562
"ENSG00000113504"	6.38605	6.28925	6.61674	5.88355	6.39461	6.44791	6.06311	6.19288	6.23921	6.41388	5.81757	6.48133	6.36743	6.44198
"ENSG00000113520"	2.20456	2.14701	2.12709	2.23067	2.33057	2.14512	2.25291	2.09917	2.21526	2.06156	2.04876	2.00674	2.1663	2.16293
"ENSG00000113522"	8.86003	8.94543	9.01038	8.95776	8.9604	8.99339	8.95161	8.86118	8.82653	8.9766	8.97736	8.90147	9.04632	8.94944
"ENSG00000113525"	2.05777	1.98312	2.27666	2.36186	2.2124	2.24104	2.0602	2.17157	2.35932	2.31314	2.22293	2.1934	2.25899	2.09383
"ENSG00000113532"	7.19785	7.1552	7.61292	7.09356	7.14178	7.30798	6.84547	7.66898	7.18702	7.39474	6.88601	7.51675	7.4468	7.3916
"ENSG00000113552"	6.13521	6.5927	6.59546	5.9427	6.71658	6.34245	6.18138	6.44258	6.07675	6.34022	6.29929	6.44774	6.52899	6.39273
"ENSG00000113555"	6.75712	5.87362	5.90478	5.75455	6.22463	6.39398	5.55932	6.43721	5.85279	6.51496	5.60922	6.29505	6.1179	5.90906
"ENSG00000113558"	8.125415	7.866145	8.017305	8.103945	8.101955	7.843815	7.951825	8.07449	7.51278	8.214545	8.323255	8.09648	8.102425	8.12392
"ENSG00000113569"	7.88965	7.90452	7.84694	7.76682	7.7977	7.97405	7.98048	7.99931	7.96741	7.84934	7.88829	8.02866	8.11635	7.98848
"ENSG00000113575"	8.67717	8.42453	8.49426	8.42681	8.55872	8.7115	8.5878	8.68706	8.60821	8.77892	8.55036	8.78619	8.74886	8.84412
"ENSG00000113578"	5.5412	5.3894	6.40325	5.05831	6.07818	4.70851	4.65059	6.20188	5.2842	5.98253	5.1605	5.9829	6.1913	5.94873
"ENSG00000113580"	9.20195	8.49625	8.81467	8.80826	8.86077	9.21158	8.70334	9.2221	8.65465	9.12412	8.71022	8.86194	9.01054	9.21688
"ENSG00000113583"	7.47372	7.04741	7.26055	6.89115	7.20042	7.23933	6.98421	7.69804	7.0529	7.40997	7.05254	7.41374	7.2959	7.48504
"ENSG00000113593"	7.33955	7.03173	7.34606	7.19492	7.31549	7.42541	7.05654	7.39349	7.00451	7.36225	7.50971	7.43254	7.5407	7.49473
"ENSG00000113594"	9.72574	9.14131	9.85392	9.1687	9.8558	9.79132	9.86553	9.65948	9.39099	9.38055	9.3947	9.45629	9.86817	9.85243
"ENSG00000113595"	6.60996	5.94777	6.65473	6.37855	6.50456	6.63673	5.8805	6.86818	5.9771	6.65984	6.17818	6.86784	6.82158	6.75325
"ENSG00000113597"	4.8339	4.98952	5.20909	4.975505	5.223	5.305965	4.75958	5.09334	4.655915	5.130315	4.914605	5.360115	5.505645	5.525605
"ENSG00000113600"	2.30192	2.42285	2.32056	2.32126	2.19876	2.52395	2.21601	2.35094	2.59609	2.17991	2.31956	2.30746	2.19498	2.5536
"ENSG00000113615"	7.57182	7.63097	7.56994	7.72937	7.52633	7.59433	7.76014	7.68068	7.71348	7.62691	7.75423	7.59946	7.55742	7.62124
"ENSG00000113621"	7.21355	7.07262	7.2186	6.75789	7.15715	7.313	6.80833	7.50575	6.82131	7.29195	6.70845	7.76582	7.55483	7.48835
"ENSG00000113638"	6.06385	5.39027	5.7821	5.54305	5.7464	5.96177	5.17066	6.11579	5.028	5.96726	5.22068	5.76643	6.14753	6.26585
"ENSG00000113643"	7.95127	8.1659	7.8658	7.80162	8.07406	7.9796	8.05597	8.261	7.74811	8.06364	7.92268	8.06801	8.3224	8.11716
"ENSG00000113645"	4.40518	3.76979	3.66816	3.28848	4.28777	3.56149	3.69107	3.97384	3.72276	3.44649	3.83061	3.65511	3.67048	4.85673
"ENSG00000113648"	7.98328	8.52004	8.01907	7.48569	7.94656	7.93362	7.86698	7.94552	7.77688	7.92718	7.62218	8.16424	7.93047	8.05653
"ENSG00000113649"	7.67576	7.70023	7.57304	7.70064	7.56455	7.69482	7.85434	7.65562	7.76662	7.53166	7.74102	7.78312	7.72356	7.85448
"ENSG00000113657"	7.53522	6.74195	6.95022	6.60856	7.28766	7.39688	7.23118	7.38605	7.08869	7.28601	6.42346	7.36436	7.31688	7.42491
"ENSG00000113658"	8.12966	7.80651	7.91291	7.98612	8.07938	8.21599	7.87371	8.30031	8.04824	8.15331	7.80984	8.0879	8.18353	8.19695
"ENSG00000113712"	8.27947	8.32354	8.26093	7.98107	8.30376	8.5288	7.9374	8.49591	7.62108	8.23459	7.99683	8.2649	8.37633	8.50247
"ENSG00000113716"	6.79907	6.96191	6.70624	6.27117	6.71334	6.76483	6.6322	6.55579	6.97226	6.62318	6.35063	6.91788	6.90466	6.9186
"ENSG00000113719"	8.22831	8.58476	8.72824	8.21802	8.51903	8.03299	8.60977	8.33552	8.79861	8.20148	8.00932	8.38186	8.09922	8.42428
"ENSG00000113721"	9.477535	9.2061	9.32264	9.188565	9.53433	9.50041	9.34835	9.46086	9.479195	9.51784	9.256275	9.14555	9.30558	9.43111
"ENSG00000113722"	4.32878	4.19112	4.25646	4.20942	4.09106	4.11939	4.34762	4.3351	4.20111	4.11292	4.39623	4.5207	4.01887	4.3142
"ENSG00000113732"	10.38128	10.44081	10.35284	10.48233	10.3879	10.17224	10.30068	10.51143	10.62565	10.27713	10.17242	10.40266	10.3039	10.38577
"ENSG00000113734"	4.74549	5.40312	4.59118	4.70798	4.95649	4.97544	4.62114	4.60701	4.80344	4.54543	4.71966	4.72151	5.09508	5.05191
"ENSG00000113739"	5.16714	4.29962	5.01539	4.13093	4.7805	4.39373	4.344	4.96909	3.95841	4.23598	4.19819	4.88578	4.79054	4.81988
"ENSG00000113742"	7.70942	7.89075	8.16274	7.87101	7.92816	7.91423	7.93831	7.99427	7.91936	7.72411	7.63415	8.02506	7.68958	8.15335
"ENSG00000113749"	4.16171	4.85694	5.42174	5.08929	4.46362	4.47538	4.94159	4.60126	5.139	4.42133	4.41651	4.44445	4.071	4.174
"ENSG00000113758"	6.6365	6.61656	6.59423	6.52916	6.61763	6.79626	6.58232	6.55228	6.78462	6.62884	6.38017	6.7319	6.34307	6.6086
"ENSG00000113761"	6.19463	5.8286	6.07524	5.95858	6.2807	6.20959	6.1164	6.0109	6.23189	6.3881	6.25206	5.76895	6.30803	6.17155
"ENSG00000113763"	3.31043	3.12317	3.12416	3.16349	3.00724	3.0743	3.18321	3.33109	3.29843	3.10048	3.32284	3.15181	2.9942	3.11755
"ENSG00000113790"	7.11487	6.19051	7.19473	6.15484	7.15061	6.49116	6.41272	7.27785	6.46682	7.21949	6.27135	7.10335	6.79585	7.04688
"ENSG00000113805"	5.83567	5.34935	5.83609	5.47264	5.96173	5.5652	5.16258	5.76204	5.31169	5.69689	5.50976	5.65322	5.41949	5.61945
"ENSG00000113810"	6.67526	7.18636	6.72354	6.61115	6.3296	6.64795	6.63877	6.50182	6.58499	6.4144	6.50243	6.64235	6.78284	6.35616
"ENSG00000113811"	7.07169	7.22712	7.04653	7.22536	6.89945	6.74632	7.24508	6.57076	6.91961	6.95283	7.60939	6.79361	7.14317	6.87588
"ENSG00000113812"	6.68163	6.58437	6.40089	6.31621	6.53534	6.72756	5.88422	6.72424	6.26995	6.69572	6.25103	6.95966	6.71602	6.95317
"ENSG00000113838"	6.50502	6.38734	6.64764	6.42764	6.54796	6.64943	6.58165	6.69066	6.25435	6.64184	6.56901	6.51276	6.56489	6.51921
"ENSG00000113845"	9.07393	9.02263	9.12116	8.76731	9.14602	9.06457	8.78385	9.5624	8.99914	9.21506	8.78848	9.39142	9.36099	9.26549
"ENSG00000113851"	8.70863	8.36306	8.75053	8.94602	8.55689	8.73411	8.75675	8.74594	8.34374	8.62445	9.03648	8.72512	8.763	8.64735
"ENSG00000113889"	2.59319	2.793	2.15259	2.42337	2.50655	2.27607	2.71324	2.37272	3.0312	2.3133	2.68935	2.69252	2.41117	2.31256
"ENSG00000113905"	2.59275	2.24436	2.02276	2.38068	2.2669	2.30694	2.3005	2.24729	2.4228	2.24147	2.30122	2.18635	2.20736	2.47689
"ENSG00000113916"	9.86689	9.58983	9.87488	9.68814	9.56977	9.94329	9.80813	9.89135	10.18658	9.8515	9.63298	9.49638	9.48322	9.65918
"ENSG00000113924"	2.6051	2.53737	2.53694	2.59977	2.35956	2.59853	2.41513	2.57931	2.72732	2.68554	2.38771	2.38111	2.64219	2.55515
"ENSG00000113946"	3.3799	2.99924	3.03624	3.12962	2.85862	2.91626	2.93519	2.9959	3.44801	2.74781	2.95155	3.0525	2.68963	2.86644
"ENSG00000113966"	5.33899	5.29134	5.22863	5.38109	5.07877	5.76517	4.0193	5.88011	5.01145	5.672	5.35861	5.53061	5.83223	5.82849
"ENSG00000113971"	7.472485	6.811095	7.467785	7.061025	7.58345	7.607275	7.15726	7.70025	7.13987	7.587995	7.346065	7.619685	7.932775	7.73485
"ENSG00000114013"	4.66255	6.47948	6.21379	5.34426	5.71559	5.48665	5.34504	5.29434	5.60106	5.58552	5.47442	6.21084	5.53185	5.35417
"ENSG00000114019"	7.83621	7.21738	7.30534	7.49487	7.71535	6.9462	7.69897	7.21482	7.2744	7.73861	7.65726	7.3147	7.27705	7.64087
"ENSG00000114021"	7.6524	7.38179	7.2752	7.58061	7.91159	7.65715	7.40091	7.958	7.36941	7.84731	7.75548	7.69476	7.7983	7.71095
"ENSG00000114023"	6.16167	5.97465	6.26278	6.30023	6.52281	6.21782	5.92946	6.58807	6.00543	6.1626	6.32873	6.29049	6.33064	6.3978
"ENSG00000114026"	5.48706	5.53321	5.48072	5.57666	5.4362	5.70877	5.68923	5.41729	5.69946	5.58458	5.44452	5.59069	5.48134	5.39632
"ENSG00000114030"	7.68564	7.38304	7.55394	7.36743	7.82387	7.62699	7.37927	7.68516	7.2053	7.67887	7.47065	7.6332	7.54823	7.84094
"ENSG00000114054"	7.57719	7.27362	7.63296	7.03246	7.80154	7.33209	7.17578	7.97497	7.42595	7.64487	7.3794	7.62166	7.57049	7.74221
"ENSG00000114062"	7.7951	7.42251	7.77093	7.47449	7.66405	7.86293	7.55192	7.69096	7.48827	7.79218	7.55014	7.93804	7.86896	7.96257
"ENSG00000114098"	7.37536	7.21933	7.38758	7.14526	7.4231	7.40509	7.12579	7.46647	7.07347	7.44516	7.23522	7.51833	7.47352	7.63422
"ENSG00000114107"	5.62758	5.91565	5.59603	5.77181	5.85354	5.90151	5.76825	5.68242	5.31242	5.69812	6.14894	5.79803	6.34789	6.25302
"ENSG00000114113"	3.99655	4.0292	4.37706	4.05458	3.75153	4.11335	4.32816	4.02295	4.17434	4.049	4.05596	3.93199	3.78192	3.88108
"ENSG00000114115"	4.27802	4.15825	4.19641	4.15364	4.41731	4.55142	4.34342	4.06371	4.51477	4.18427	3.74419	3.96196	4.22134	4.15256
"ENSG00000114120"	7.38214	6.74085	7.06671	6.78332	7.41041	7.38388	6.73817	7.36696	6.42165	7.45867	7.13793	7.41875	7.42012	7.64601
"ENSG00000114124"	2.84356	2.90283	2.74096	2.7921	2.98268	2.68628	2.87434	2.81645	2.91074	2.76158	2.69944	2.96608	2.74164	2.52755
"ENSG00000114125"	5.35148	5.46579	5.36479	4.99421	5.361	5.48663	5.25554	5.49247	5.13237	5.44644	5.51889	5.45788	5.62385	5.45045
"ENSG00000114126"	8.54143	7.99229	8.32997	8.20929	8.38246	8.20773	7.93405	8.38887	7.65569	8.36092	8.53683	8.4154	8.34446	8.40521
"ENSG00000114127"	8.32107	8.01721	8.41318	8.16823	8.32325	8.43771	8.16936	8.23997	7.98214	8.39931	8.39395	8.23133	8.5085	8.52941
"ENSG00000114166"	8.65914	8.50998	8.77632	8.8109	8.67303	8.63072	8.42278	8.78398	8.42318	8.685	8.53133	8.57561	8.8734	8.62857
"ENSG00000114200"	4.17933	3.98577	3.14077	3.96164	3.89389	4.3138	3.95263	4.55004	4.06442	4.03142	4.18832	3.30829	4.96169	3.89713
"ENSG00000114204"	2.73397	3.25488	3.11671	3.00143	2.99557	2.73521	2.89713	2.96046	2.95148	2.95744	2.74942	3.3273	2.89916	3.12558
"ENSG00000114209"	6.88712	7.20027	6.65963	7.28205	6.83689	6.99616	6.73883	7.12709	6.75735	6.78453	7.24613	6.88689	7.31455	7.163
"ENSG00000114248"	2.37897	2.27898	2.23671	2.07669	2.28946	2.11457	2.25367	2.73961	2.25971	2.24329	2.52297	2.42097	2.15172	2.33561
"ENSG00000114251"	2.92561	2.68385	3.06015	2.83094	2.94558	2.82424	2.83621	3.02688	3.22426	2.91325	3.06947	2.90165	2.91648	2.5274
"ENSG00000114268"	4.64356	4.83049	4.75524	4.43099	4.69791	4.23623	4.82667	4.33005	4.75513	4.54882	4.56883	4.45469	4.54463	4.57648
"ENSG00000114270"	4.04661	3.92891	4.04762	3.96713	4.04825	4.06672	4.22267	4.14571	4.20342	3.96291	4.19727	3.90256	3.84641	3.91309
"ENSG00000114279"	5.36542	4.55059	4.71932	4.76168	4.88349	5.06253	5.247	5.2332	4.84434	4.83018	5.26892	4.97876	4.96258	5.1073
"ENSG00000114302"	7.37986	7.1737	6.86408	7.12798	7.13732	7.16047	7.00159	7.15962	6.9141	7.20729	7.01401	7.06379	7.05464	7.25397
"ENSG00000114315"	6.09744	5.70699	6.05594	6.39237	6.23249	6.19319	6.53346	6.11655	5.97657	6.33634	6.32069	6.75016	6.37103	7.22461
"ENSG00000114316"	8.42563	8.26921	8.49685	8.0922	8.34994	8.38109	8.03356	8.52393	8.24066	8.53594	7.96059	8.4781	8.39992	8.40088
"ENSG00000114331"	8.30548	7.81556	8.40301	7.81778	8.36868	8.44606	8.06843	8.3459	7.78542	8.2714	8.14079	8.45982	8.34838	8.40115
"ENSG00000114346"	5.78402	6.3657	5.87194	5.9839	5.88702	5.90813	6.07941	6.19027	6.13454	5.90226	5.38382	5.98114	6.02868	6.19369
"ENSG00000114349"	3.29898	3.18692	3.21221	3.09272	3.32035	3.1193	3.13126	3.21861	3.16876	3.24751	3.28869	3.3197	3.16876	3.04425
"ENSG00000114353"	7.644975	7.45253	7.67848	7.419905	7.636895	7.528585	7.87832	7.593785	7.743035	7.573385	7.506175	7.548965	7.381925	7.50082
"ENSG00000114354"	8.33482	8.70024	8.28345	8.55601	8.49179	8.4339	8.73289	8.62144	8.78344	8.49819	8.70358	8.21819	8.56186	8.27928
"ENSG00000114374"	7.36363	6.76794	7.30354	6.95828	7.40331	7.55259	7.04536	7.29407	6.95459	7.28487	7.17787	7.36555	7.56375	7.42083
"ENSG00000114378"	6.19187	6.01631	5.86357	6.15518	5.90527	6.20399	6.01789	5.82287	5.95936	5.9481	5.95254	5.9329	6.1344	5.71723
"ENSG00000114383"	5.35101	5.31053	5.10414	5.27732	5.22014	5.34656	5.64848	5.35255	5.23457	5.41279	4.83813	5.30491	5.00602	5.28739
"ENSG00000114388"	5.0991	5.17062	4.78952	4.86733	5.10951	4.5843	5.07735	5.00773	4.66769	5.14247	5.07094	4.87687	5.00102	4.89165
"ENSG00000114391"	9.930705	9.86245	9.711665	10.052875	10.01272	10.01545	9.74237	10.034265	9.935435	10.00048	9.98097	10.096525	10.25642	10.14944
"ENSG00000114395"	5.31175	5.60041	5.19019	5.2405	5.5837	5.38841	4.98978	5.22627	5.25323	5.155	4.82636	5.29204	5.39991	5.17171
"ENSG00000114405"	4.79319	5.47828	4.14696	4.62662	5.27575	5.46478	4.55029	5.149	5.09437	4.66453	5.20292	5.74223	5.93404	5.69744
"ENSG00000114416"	8.82312	8.82178	8.74549	8.89106	8.87743	9.12478	8.81914	9.04294	8.6327	9.04169	8.87042	8.99097	8.93987	9.06372
"ENSG00000114423"	8.76985	8.84783	8.47545	9.25007	8.62428	9.3419	9.02906	8.44864	9.08067	8.86831	8.86716	8.6471	8.73206	8.83864
"ENSG00000114439"	8.21842	7.88691	8.19651	7.69835	8.32912	8.21441	8.0868	8.37734	7.68161	8.43887	8.23932	8.16656	8.43085	8.34518
"ENSG00000114446"	7.08587	6.98905	6.79579	7.09386	6.93491	7.13845	6.66203	6.94834	6.79665	7.03098	7.10334	6.95075	7.16448	7.13359
"ENSG00000114450"	6.6438	7.10482	6.86886	6.47505	6.70303	6.88985	6.85902	6.98227	6.71314	6.69619	6.41871	6.96579	6.98396	6.86356
"ENSG00000114455"	2.5066	2.40695	2.33853	2.48208	2.50373	2.35575	2.31715	2.39644	2.5411	2.04431	2.10635	2.3439	2.34718	2.44022
"ENSG00000114473"	6.56331	6.50667	6.7557	6.48378	6.82292	6.44879	6.26086	6.89752	6.53682	6.89482	6.67415	7.05363	6.66815	6.6182
"ENSG00000114480"	9.35767	9.17581	9.16783	8.9715	9.25149	9.67445	8.69902	9.45346	8.67645	9.38633	8.56145	9.27915	9.16001	9.4098
"ENSG00000114487"	2.756	2.62419	2.88481	3.10217	2.49043	2.76284	2.9026	2.87467	3.51041	2.83145	3.06052	2.64406	2.719	2.7701
"ENSG00000114491"	6.47886	5.88062	6.24071	4.98372	6.43652	6.16461	6.01104	6.45389	5.20488	6.40197	5.92038	6.46188	6.30432	6.45967
"ENSG00000114503"	7.64021	7.40432	7.418	7.02762	7.60581	7.48553	6.54279	7.76042	6.72037	7.57942	7.19706	7.79788	7.63439	7.62241
"ENSG00000114520"	6.92728	6.85399	6.72302	6.77367	6.80229	7.00212	6.67284	7.00693	6.32916	6.98213	6.84735	7.0887	7.08115	7.05614
"ENSG00000114529"	3.36164	3.73222	3.40826	3.65076	3.45012	4.29085	3.81431	4.32342	3.89563	3.64772	3.49215	3.7727	4.18885	3.81169
"ENSG00000114541"	7.73149	8.14755	8.46853	7.53017	8.2563	8.21288	7.93545	8.19849	8.10639	8.10648	7.52852	8.84592	8.29853	8.42159
"ENSG00000114544"	5.4523	5.33258	5.36746	5.18772	5.71008	5.54989	5.6665	5.45116	5.42373	5.40411	5.45042	5.59418	5.29554	5.30591
"ENSG00000114547"	2.724345	2.989055	2.6892	3.146685	2.58549	2.722595	2.836	2.811915	2.91071	2.90663	2.90809	2.90932	2.771495	3.540985
"ENSG00000114554"	6.22372	6.89264	6.4463	6.66028	6.41046	6.10841	6.88939	6.12705	6.82559	6.03473	6.76786	5.91811	6.20107	5.84829
"ENSG00000114573"	7.54221	7.60533	7.53114	6.96429	7.64764	7.48855	7.39269	7.80414	7.51571	7.64166	6.95286	7.77566	7.62902	7.63846
"ENSG00000114626"	6.02526	5.86831	6.62032	6.71402	6.21077	6.12832	6.61096	6.02511	6.43379	6.50343	6.01095	5.97592	5.91522	6.01852
"ENSG00000114631"	5.06619	4.93791	4.60806	4.81695	4.92686	4.65608	4.8569	4.95501	4.93529	4.60095	5.03683	4.76977	4.58758	4.6548
"ENSG00000114638"	2.63816	2.43107	2.91613	3.02683	2.50347	2.63486	2.55899	2.72757	2.69462	2.62428	2.98996	2.5047	2.71911	2.62733
"ENSG00000114646"	3.42621	3.60345	3.17158	3.48627	3.59719	3.54984	4.01294	4.06889	3.63402	3.57048	3.60279	3.6392	3.23484	3.32317
"ENSG00000114648"	6.13748	6.29772	6.29941	5.71777	6.13641	6.15045	6.03392	6.19952	5.89477	6.3663	5.80314	6.11668	6.07551	6.16074
