"eWAT_M04(r1)"	"eWAT_M04(r2)"	"eWAT_M04(r3)"	"BAT_M04(r1)"	"BAT_M04(r2)"	"BAT_M04(r3)"
"ENSMUSG00000000381"	5.02343	5.3318	4.89781	5.51556	5.62013	5.35592
"ENSMUSG00000000384"	5.3929675	5.460905	5.5717175	6.7059525	6.64136	6.506515
"ENSMUSG00000000385"	5.89885	5.38778	5.53498	4.33362	5.20891	4.6715
"ENSMUSG00000000386"	3.00553	2.92959	2.98352	3.19849	2.96297	3.14758
"ENSMUSG00000000392"	4.01571	4.80581	4.65916	5.1477	5.41837	5.29137
"ENSMUSG00000000394"	2.6673	2.86429	2.63709	3.46141	3.35751	2.81248
"ENSMUSG00000000399"	9.19931	9.17524	9.02274	11.66888	11.59901	11.56615
"ENSMUSG00000000402"	7.14058	7.32625	7.31863	4.07544	3.61149	3.68825
"ENSMUSG00000000409"	4.7858	4.73212	4.76737	4.71332	4.78878	4.91315
"ENSMUSG00000000411"	4.678	4.75512	4.85353	4.93263	4.5509	4.92575
"ENSMUSG00000000416"	5.76234	6.51667	6.26738	4.57621	5.10166	4.92286
"ENSMUSG00000000420"	7.95669	8.00658	8.0178	7.99961	8.00231	7.92339
"ENSMUSG00000000435"	3.27157	3.3537	3.19359	3.43317	3.40444	3.83348
"ENSMUSG00000000439"	7.54503	7.58848	7.57759	7.94069	7.88378	7.9418
"ENSMUSG00000000440"	9.33013	9.40723	9.50293	10.88852	10.68	10.77867
"ENSMUSG00000000441"	8.57157	8.68658	8.70037	9.10925	8.87521	9.07063
"ENSMUSG00000000486"	5.822255	5.904795	6.054375	5.99181	6.089285	6.12229
"ENSMUSG00000000489"	7.46901	7.28947	7.74967	7.77418	7.80177	7.9042
"ENSMUSG00000000530"	7.29725	7.39843	7.29656	7.30618	7.31653	7.39523
"ENSMUSG00000000531"	5.91228	5.86113	5.76044	6.20457	6.18178	6.22678
"ENSMUSG00000000532"	7.86134	7.53851	7.78393	6.35429	6.21756	6.72202
"ENSMUSG00000000538"	7.63314	7.64262	7.65533	8.03751	7.94749	7.95395
"ENSMUSG00000000544"	4.62198	5.02899	4.63743	4.49252	4.62294	4.70201
"ENSMUSG00000000552"	6.74153	6.61	6.66472	6.70649	6.57833	6.73593
"ENSMUSG00000000555"	5.67763	5.78929	6.16907	5.42553	5.28212	5.91977
"ENSMUSG00000000560"	3.44389	2.94766	2.62001	3.73407	3.26852	3.44329
"ENSMUSG00000000561"	8.52493	8.50837	8.59446	8.84561	8.60524	8.66654
"ENSMUSG00000000562"	4.49775	4.56793	4.33955	4.46439	4.61179	4.76166
"ENSMUSG00000000563"	9.429065	9.30281	9.24238	11.211995	11.300655	11.184645
"ENSMUSG00000000567"	7.55906	7.88158	7.9796	5.78243	4.96434	6.19661
"ENSMUSG00000000568"	9.23599	9.23846	9.44638	8.64847	8.55007	8.83169
"ENSMUSG00000000579"	10.08882	9.794345	9.94803	9.17851	9.33609	9.187355
"ENSMUSG00000000581"	5.34363	5.23474	5.21408	5.33077	5.42134	5.2506
"ENSMUSG00000000594"	9.73007	9.7793	9.71051	9.62145	9.51396	9.76199
"ENSMUSG00000000600"	6.95459	7.08585	7.17556	7.17358	7.24368	6.96411
"ENSMUSG00000000605"	7.95473	8.06323	8.11923	8.5504	8.25386	8.33977
"ENSMUSG00000000617"	4.46518	4.58661	4.62631	4.58065	5.2155	4.7639
"ENSMUSG00000000627"	3.86747	4.21876	4.30789	4.49908	4.34083	4.89863
"ENSMUSG00000000628"	9.0334	9.2798	9.39604	10.95038	10.28584	11.36052
"ENSMUSG00000000631"	6.69571	6.75363	6.84028	7.48177	7.23806	7.46243
"ENSMUSG00000000632"	5.03075	5.0004	4.78288	5.18088	5.33117	5.46527
"ENSMUSG00000000673"	5.6342	5.78132	6.12282	5.43912	5.31579	5.2379
"ENSMUSG00000000682"	11.15908	9.78315	9.66132	5.36204	5.54596	5.89884
"ENSMUSG00000000686"	7.27765	7.0709	6.64096	8.35859	8.07054	8.05411
"ENSMUSG00000000690"	9.33268	9.17624	9.49832	6.0604	5.61909	6.38868
"ENSMUSG00000000693"	5.69167	5.84422	5.94251	4.98058	5.37951	5.3346
"ENSMUSG00000000701"	4.59743	4.3212	4.05642	4.15489	4.63916	4.61896
"ENSMUSG00000000706"	3.2769	3.21777	3.14755	3.44062	3.59026	3.53693
"ENSMUSG00000000708"	6.94776	6.92312	6.81559	7.5765	7.24082	7.29052
"ENSMUSG00000000711"	10.9381785714286	10.8314242857143	10.7792457142857	10.0007014285714	10.1221485714286	9.91170285714286
"ENSMUSG00000000724"	3.03541	2.90779	2.76164	3.49408	2.97226	3.17256
"ENSMUSG00000000730"	3.8573	3.78506	3.85885	4.16496	4.42493	4.21641
"ENSMUSG00000000731"	5.23826	5.4453	5.19011	5.18275	5.44817	5.62712
"ENSMUSG00000000732"	6.58642	6.70337	6.81196	5.39475	5.6188	5.4894
"ENSMUSG00000000738"	7.69744	7.61915	7.38555	8.39895	8.15558	8.21667
"ENSMUSG00000000739"	6.51103	5.56021	5.81754	4.77838	4.96219	5.12118
"ENSMUSG00000000740"	10.066685	9.891496	9.891208	9.181293	9.074394	8.983063
"ENSMUSG00000000743"	8.4948	8.4036	8.26711	7.89637	8.08437	8.04674
"ENSMUSG00000000751"	7.08364	6.99675	7.13062	7.11342	7.06794	7.0542
"ENSMUSG00000000753"	8.59921	8.85492	9.20497	7.96432	7.95298	8.17339
"ENSMUSG00000000759"	7.25974	7.2544	7.33825	7.06427	7.07678	6.90384
"ENSMUSG00000000766"	7.29812	7.24125	7.33639	7.425945	7.368645	7.395615
"ENSMUSG00000000776"	6.80286	6.96481	6.83753	6.65897	6.66195	6.86382
"ENSMUSG00000000782"	7.81477	7.83192	7.94513	4.75242	5.5143	4.86362
"ENSMUSG00000000787"	9.587955	9.68219	9.6766	9.972885	10.00104	10.047965
"ENSMUSG00000000791"	4.71502	4.98498	4.73119	5.2614	5.05152	5.64451
"ENSMUSG00000000792"	5.01274	4.87956	5.20974	5.11855	5.52825	5.45765
"ENSMUSG00000000794"	4.68852	5.08459	5.45057	4.75534	4.77727	4.88937
"ENSMUSG00000000804"	7.66085	7.81115	7.76181	8.23924	8.07442	7.82958
"ENSMUSG00000000805"	8.3063	6.88168	7.19117	8.5629	8.45777	8.31713
"ENSMUSG00000000811"	7.16213	6.97366	7.08758	7.55931	7.16636	7.08869
"ENSMUSG00000000817"	3.42574	3.31902	3.55411	3.5603	3.58978	3.85082
"ENSMUSG00000000823"	6.92107	6.7178	7.0311	6.12861	6.17526	5.88615
"ENSMUSG00000000826"	8.61347	8.62564	8.6423	8.33604	8.19775	8.30412
"ENSMUSG00000000827"	7.2725	7.34359	7.31411	7.77466	7.67501	7.67735
"ENSMUSG00000000838"	9.02182	8.51454	8.68298	7.99637	7.90504	7.75214
"ENSMUSG00000000861"	5.20561	4.96982	5.09534	5.22868	5.28208	5.46976
"ENSMUSG00000000869"	3.72753	3.92346	3.67262	3.92346	4.15562	3.89796
"ENSMUSG00000000876"	8.04634	7.83708	7.63982	8.45482	8.36326	8.37995
"ENSMUSG00000000881"	5.31541	5.43552	5.34744	5.10044	5.30573	5.08668
"ENSMUSG00000000884"	5.9013	5.89364	6.01821	5.98153	5.97452	5.97382
"ENSMUSG00000000889"	3.45313	3.49877	3.40949	3.93185	3.85376	4.00775
"ENSMUSG00000000901"	6.05571	5.87586	5.86567	6.00365	5.55667	5.78257
"ENSMUSG00000000902"	8.09104	8.28696	8.29444	7.92176	7.90982	7.93749
"ENSMUSG00000000903"	3.94748	3.82837	4.04577	4.07644	4.52237	4.69758
"ENSMUSG00000000915"	8.41025	8.3781	8.21541	6.64818	7.46875	7.2095
"ENSMUSG00000000916"	5.42939	5.77409	5.63788	6.60454	6.40991	6.25779
"ENSMUSG00000000934"	6.55653	6.51283	6.55345	7.31155	7.15024	7.07854
"ENSMUSG00000000938"	4.087975	3.831325	4.005695	4.09721	4.514945	4.507675
"ENSMUSG00000000942"	6.70399	6.57017	6.4096	7.89951	7.91135	7.93524
"ENSMUSG00000000957"	8.86706	9.00048	9.35485	6.58559	6.55548	6.94423
"ENSMUSG00000000958"	5.19917	5.1129	5.07949	4.67679	4.46827	4.91962
"ENSMUSG00000000959"	8.89209	8.79806	8.61059	9.98739	9.70716	9.76287
"ENSMUSG00000000976"	6.74265	6.69341	6.77973	6.57366	6.36695	6.67522
"ENSMUSG00000000982"	4.50698	5.89611	4.96938	3.79274	3.9749	3.94808
"ENSMUSG00000000983"	3.71335	3.65179	3.51442	3.54195	3.44654	3.72849
"ENSMUSG00000001014"	5.0509	4.95687	4.67243	5.50833	5.27264	5.44776
"ENSMUSG00000001016"	6.69396333333333	6.17619333333333	6.20669666666667	6.34992	5.90799666666667	5.80141
"ENSMUSG00000001017"	7.90237	7.60327	8.01538	7.97686	7.84525	7.68535
"ENSMUSG00000001018"	7.79623545454545	7.77232	7.69842727272727	7.85246818181818	7.74426909090909	7.64307727272727
"ENSMUSG00000001020"	4.59678	4.36844	4.515	4.3967	3.92135	4.65874
"ENSMUSG00000001021"	3.55207	3.75518	3.66107	3.49481	4.35121	3.90483
"ENSMUSG00000001023"	4.0544	4.13521	4.08224	4.31233	4.30802	4.21765
"ENSMUSG00000001025"	8.3589	8.30698	8.30782	6.48084	6.91205	7.25252
"ENSMUSG00000001027"	4.33254	4.58041	4.41351	5.44535	5.74079	6.74201
"ENSMUSG00000001029"	5.62326	5.75313	5.75993	6.13746	6.26022	6.01866
"ENSMUSG00000001034"	6.54917	6.69563	6.61049	5.88874	6.12961	6.1455
"ENSMUSG00000001036"	7.4225	7.58786	7.62205	7.76441	7.55734	7.63215
"ENSMUSG00000001039"	5.84039	6.01122	6.01686	5.78624	5.57205	5.36863
"ENSMUSG00000001052"	8.32938	8.31151	8.44122	7.74363	7.56057	7.62027
"ENSMUSG00000001053"	6.73266	6.67444	6.58186	6.37166	6.22561	6.47956
"ENSMUSG00000001054"	8.15883	7.95768	8.11971	7.56521	7.54565	7.29056
"ENSMUSG00000001056"	8.16802	8.00216	7.81358	8.2263	8.1617	8.02321
"ENSMUSG00000001062"	5.66463	5.80485	5.69891	6.13131	6.23016	6.08897
"ENSMUSG00000001065"	5.87478	5.81845	5.61667	5.82863	5.75616	5.74876
"ENSMUSG00000001076"	4.98864	5.19299	5.33068	4.8324	4.05583	4.23184
"ENSMUSG00000001082"	7.4267	7.61626	7.87412	7.0593	6.91513	7.03641
"ENSMUSG00000001089"	6.67387	6.84558	6.93832	7.46063	7.22626	7.37234
"ENSMUSG00000001095"	5.2817	5.39078	5.25159	4.08197	4.12278	4.40083
"ENSMUSG00000001098"	7.18227	7.33001	7.24386	7.35159	7.27482	7.28927
"ENSMUSG00000001100"	9.23855	9.08347	9.11042	10.75109	10.65694	10.69942
"ENSMUSG00000001103"	3.50064	3.45184	3.58703	3.4828	3.98987	3.92677
"ENSMUSG00000001105"	9.89331	9.84372	9.79194	9.37287	9.42931	9.1905
"ENSMUSG00000001119"	8.94717	9.36198	9.77126	7.87515	7.97869	8.26476
"ENSMUSG00000001120"	7.68811	7.92488	7.71589	6.9804	6.46787	6.64704
"ENSMUSG00000001123"	7.63486	7.64267	7.85943	7.9744	7.94338	8.05234
"ENSMUSG00000001127"	9.0946	9.26782	9.25721	8.01185	7.90669	7.75587
"ENSMUSG00000001128"	7.54093	7.44387	7.68713	6.07866	6.43366	6.70092
"ENSMUSG00000001131"	5.33271	5.44967	5.72194	4.40701	4.45464	4.50611
"ENSMUSG00000001134"	6.86434	7.01417666666667	6.79201666666667	7.75782333333333	8.09338666666667	7.76381333333333
"ENSMUSG00000001138"	6.83929	6.80379	6.66021	6.98351	6.82483	6.80379
"ENSMUSG00000001143"	8.13089	8.12605	7.9432	8.70166	8.65825	8.69463
"ENSMUSG00000001150"	6.55314	6.70783	6.78297	6.86844	6.48663	6.68601
"ENSMUSG00000001151"	6.31232	6.42861	6.43912	6.13905	6.25697	6.2077
"ENSMUSG00000001155"	5.55498	5.78637	5.54299	6.0447	5.92052	6.01979
"ENSMUSG00000001156"	7.03367	7.0443	7.04253	6.9236	6.99083	7.18682
"ENSMUSG00000001157"	7.65568	7.7477	7.69765	7.17114	7.14082	6.69663
"ENSMUSG00000001158"	5.53088333333333	5.46910066666667	5.56631733333333	5.87179266666667	5.81959933333333	5.85700333333333
"ENSMUSG00000001166"	4.31283	4.11253	4.38242	4.05863	3.54967	3.72194
"ENSMUSG00000001168"	2.66962	2.58537	2.88553	2.69683	3.18571	3.22403
"ENSMUSG00000001173"	7.45887	7.57256	7.56888	6.18708	6.28263	6.18731
"ENSMUSG00000001175"	10.28971	10.35539	10.29729	9.98402	10.15106	9.92979
"ENSMUSG00000001211"	9.74576	9.82525	9.64931	10.82024	10.65239	10.72531
"ENSMUSG00000001225"	5.91366	6.34833	6.40185	2.93512	3.61863	2.98203
"ENSMUSG00000001227"	6.2326	6.00602	6.08369	6.75302	6.54645	6.52654
"ENSMUSG00000001228"	5.66957	5.90466	6.03386	5.58638	5.15783	5.31837
"ENSMUSG00000001229"	7.0586	7.13547	7.10284	7.17168	6.82157	7.10473
"ENSMUSG00000001240"	8.617985	8.485575	8.56218	8.872155	8.917265	8.87872
"ENSMUSG00000001247"	7.18645	7.40369	7.45072	4.85818	5.43272	5.12218
"ENSMUSG00000001248"	7.37045	7.32373	7.35229	7.97045	7.87485	7.73801
"ENSMUSG00000001249"	7.14942	6.90407	6.90728	5.36821	5.55914	5.4834
"ENSMUSG00000001260"	2.50805	2.42497	2.36348	2.66369	2.68176	2.55627
"ENSMUSG00000001270"	8.97912	9.2222	9.18111	8.55067	8.57028	8.24549
"ENSMUSG00000001280"	7.46277	7.50411	7.62633	7.49033	7.45287	7.28278
"ENSMUSG00000001281"	5.31746	5.13397	5.31235	4.99438	4.95247	5.34303
"ENSMUSG00000001285"	7.12656	7.09421	7.05293	6.94336	7.06042	6.96752
"ENSMUSG00000001288"	6.74762	6.63748	6.93817	6.52784	6.51847	6.80387
"ENSMUSG00000001289"	8.10081923076923	8.05108307692308	7.97224153846154	7.71383230769231	7.74470076923077	7.74971538461539
"ENSMUSG00000001300"	7.20645	7.39243	7.35442	6.96448	7.01101	6.67954
"ENSMUSG00000001305"	6.0818	6.19221	6.08128	6.62497	6.6449	6.35001
"ENSMUSG00000001313"	6.41019	6.53037	6.52192	6.28272	6.06982	5.88311
"ENSMUSG00000001323"	7.24158	6.96322	6.98176	8.21532	8.28564	7.96013
"ENSMUSG00000001333"	5.47215	5.65394	5.48354	5.52713	5.83677	6.37176
"ENSMUSG00000001334"	5.79822	6.10211	5.94755	7.69395	8.08242	8.12202
"ENSMUSG00000001348"	9.43045	9.51654	9.34493	10.2089	10.10344	10.20984
"ENSMUSG00000001349"	6.93294	7.30668	7.73388	4.96727	4.57004	5.42919
"ENSMUSG00000001366"	7.94496	8.04342	7.9179	8.91773	8.80131	8.57722
"ENSMUSG00000001376"	6.77925	6.65768	6.49116	6.69173	6.82635	6.52925
"ENSMUSG00000001380"	7.57432	7.58706	7.52414	7.77668	7.8899	7.63838
"ENSMUSG00000001383"	8.53015	8.36564	8.43132	8.28683	8.60212	8.21826
"ENSMUSG00000001403"	5.24179	4.95411	5.23956	4.98957	5.03682	5.26679
"ENSMUSG00000001415"	7.22039	7.30714	7.22763	7.82791	7.66124	7.82265
"ENSMUSG00000001416"	8.81639	8.79231	8.69653	8.76099	8.73865	8.70867
"ENSMUSG00000001418"	9.14723	9.13918	9.10487	8.79985	8.715	8.7818
"ENSMUSG00000001419"	6.45317	6.54248	6.749165	7.067955	7.003505	7.354255
"ENSMUSG00000001420"	5.71924	5.5662	5.65466	8.77158	8.47679	8.80829
"ENSMUSG00000001424"	9.57607	9.99037	9.95558	8.28396	7.79687	7.97559
"ENSMUSG00000001435"	7.87646	7.93929	8.01947	6.62949	6.38962	6.64713
"ENSMUSG00000001436"	7.28103	7.39544	7.33458	8.00021	7.45219	7.73431
"ENSMUSG00000001440"	9.11017	9.24986	9.37113	8.98184	8.69634	8.81246
"ENSMUSG00000001441"	8.34967	8.49099	8.50807	8.48315	8.45534	8.39564
"ENSMUSG00000001444"	4.50192	4.38641	4.4524	5.09522	5.00313	5.11684
"ENSMUSG00000001445"	8.42436	8.32857	8.29349	9.77992	9.58829	9.65083
"ENSMUSG00000001467"	7.94847	7.99032	8.00781	7.25696	7.15916	7.51509
"ENSMUSG00000001472"	9.83681	9.88148	9.96247	9.82966	9.72514	9.70385
"ENSMUSG00000001473"	6.89142	7.05627	7.4029	6.68885	6.91676	7.13727
"ENSMUSG00000001482"	7.16871	7.05487	7.06438	7.44773	7.49158	7.30158
"ENSMUSG00000001493"	5.31628	5.21441	5.44436	5.83967	5.51951	5.68442
"ENSMUSG00000001494"	5.07421	5.26205	4.97765	5.58526	5.29516	5.86736
"ENSMUSG00000001496"	4.10893	4.34577	4.15014	4.31775	4.64025	4.56392
"ENSMUSG00000001497"	4.59819	4.66913	4.70292	4.8118	4.99012	4.83371
"ENSMUSG00000001504"	6.34642	6.4145	6.61482	5.93821	6.35071	6.30006
"ENSMUSG00000001506"	11.09099	11.46445	12.09795	9.91886	9.72279	10.35623
"ENSMUSG00000001507"	7.48149	7.84049	7.70899	6.10436	5.70633	5.92305
"ENSMUSG00000001508"	4.49557	4.26275	4.46234	5.28617	5.51099	6.29489
"ENSMUSG00000001510"	5.14089	5.12095	5.11813	5.52883	5.53317	5.74158
"ENSMUSG00000001517"	5.0261	5.2682	5.16173	4.86245	4.58593	4.83591
"ENSMUSG00000001518"	6.72555	6.71347	6.6478	7.03122	6.87906	6.98161
