"eWAT_M04(r1)"	"eWAT_M04(r2)"	"eWAT_M04(r3)"	"BAT_M04(r1)"	"BAT_M04(r2)"	"BAT_M04(r3)"
"ENSMUSG00000029012"	6.72533	6.7953	6.74795	7.07443	7.07187	6.58421
"ENSMUSG00000029014"	6.54272	6.56988	6.60394	6.64451	6.50538	6.54362
"ENSMUSG00000029015"	3.21322	3.12539	3.25586	3.52969	3.61799	3.26029
"ENSMUSG00000029016"	6.6301	6.76955	6.75008	6.75818	6.78784	6.75861
"ENSMUSG00000029017"	7.77448	7.77251	7.63968	9.40677	9.4376	9.46062
"ENSMUSG00000029019"	4.41809	4.70059	4.46422	4.90966	4.87339	4.93598
"ENSMUSG00000029020"	9.27928	9.29578	9.13371	10.98717	10.69107	10.92566
"ENSMUSG00000029022"	6.7512	6.58323	6.78806	6.54563	6.75327	6.50045
"ENSMUSG00000029026"	4.94752	5.06679	4.85191	5.15843	4.97925	5.05293
"ENSMUSG00000029027"	5.40145	5.44851	5.39307	5.64054	5.26408	5.51881
"ENSMUSG00000029028"	7.55165	7.52218	7.39455	7.79111	7.45949	7.70284
"ENSMUSG00000029029"	6.44278	6.43305	6.54637	6.92441	6.7248	6.81198
"ENSMUSG00000029030"	9.02565	8.90934	8.82294	9.09159	8.95057	9.05567
"ENSMUSG00000029032"	6.85885	6.60182	6.594	5.74985	5.07185	5.63139
"ENSMUSG00000029033"	6.28763	6.10936	6.35552	6.59502	6.25044	6.48585
"ENSMUSG00000029034"	6.59695	6.6787	6.538	6.91749	6.89167	6.54517
"ENSMUSG00000029036"	7.52079	7.09877	7.326	9.20948	8.9892	9.04045
"ENSMUSG00000029038"	7.89265	7.82528	7.7329	8.17799	8.09436	7.82099
"ENSMUSG00000029044"	2.6574	2.37949	2.92311	2.9466	3.39169	2.74438
"ENSMUSG00000029047"	6.52147	6.2838	6.27747	7.39556	7.20288	7.1091
"ENSMUSG00000029048"	9.37674	9.25723	9.24606	9.41384	9.45063	9.37111
"ENSMUSG00000029049"	5.38621	5.62704	5.77255	5.35168	5.41483	5.32505
"ENSMUSG00000029050"	8.71141	8.92233	9.10794	8.20897	7.97033	8.19582
"ENSMUSG00000029053"	6.922645	6.95444	6.83501	5.61533	5.77738	5.942535
"ENSMUSG00000029054"	4.73272	4.33754	4.4698	4.86135	4.64095	4.81137
"ENSMUSG00000029055"	5.12484	5.43024	5.37733	5.54661	5.5551	5.68375
"ENSMUSG00000029056"	6.28666	6.27131	6.21193	6.83985	6.70025	6.60561
"ENSMUSG00000029059"	8.45565	8.64894	8.43114	7.61749	7.53809	7.41055
"ENSMUSG00000029060"	6.93471	7.11992	6.98233	7.42859	7.25066	7.24437
"ENSMUSG00000029061"	6.07273	6.16406	6.38214	5.2392	5.25749	5.22529
"ENSMUSG00000029062"	7.43894	7.51216	7.5122	7.39873	7.47043	7.44304
"ENSMUSG00000029063"	9.82797	9.71581	9.85038	10.71077	10.66692	10.61174
"ENSMUSG00000029064"	11.20007	11.2377	11.25728	11.16903	11.1192	11.14366
"ENSMUSG00000029066"	7.66573	7.32853	7.21984	8.58981	8.85748	8.44047
"ENSMUSG00000029068"	8.38703	8.32864	8.36694	8.50237	8.50819	8.47311
"ENSMUSG00000029070"	8.32713	8.46209	8.61908	6.98746	7.02405	7.20598
"ENSMUSG00000029071"	7.82061	7.74451	7.83343	7.74081	7.71604	7.77362
"ENSMUSG00000029072"	4.53181	4.52369	4.23018	5.26913	4.98476	4.91426
"ENSMUSG00000029073"	5.90103	5.98487	6.00706	5.40608	5.4854	5.46813
"ENSMUSG00000029074"	5.93546	6.21265	6.33774	5.34825	5.07644	4.85697
"ENSMUSG00000029075"	4.7662	4.50565	4.56985	4.78392	4.95746	5.0569
"ENSMUSG00000029076"	6.95791	6.78567	6.82648	6.681345	6.806895	6.747285
"ENSMUSG00000029082"	4.55822	4.69846	4.69964	4.4712	4.42411	4.48625
"ENSMUSG00000029084"	7.640638	7.508722	7.574176	7.407084	7.67069	7.337758
"ENSMUSG00000029086"	9.18252	9.17742	9.3111	4.62511	4.60448	4.07407
"ENSMUSG00000029088"	2.70651	2.7925	2.65534	2.83231	2.62984	2.53331
"ENSMUSG00000029089"	6.53088	6.32302	6.37333	5.97557	5.86584	6.37994
"ENSMUSG00000029090"	7.10759	7.0148	7.12787	7.42936	7.54357	7.34891
"ENSMUSG00000029092"	3.29248	2.76808	2.99758	3.14161	3.33595	3.0873
"ENSMUSG00000029093"	6.94885	6.89662	7.32009	6.84864	6.44455	6.80795
"ENSMUSG00000029094"	7.26439	7.26508	7.50596	7.20822	6.9698	7.33388
"ENSMUSG00000029095"	6.61121	6.56172	6.48931	6.11409	6.28224	6.34758
"ENSMUSG00000029096"	7.40871	7.60729	7.625	6.85045	6.76175	6.81143
"ENSMUSG00000029097"	5.70261	5.4969	5.52918	5.34111	5.53849	5.24026
"ENSMUSG00000029098"	9.73783	9.8262	9.79112	8.11835	7.77976	8.02004
"ENSMUSG00000029101"	6.11071	6.30972	6.47135	5.41158	5.49584	5.2978
"ENSMUSG00000029102"	7.2321	7.47229	7.25182	4.98333	4.6645	4.58385
"ENSMUSG00000029103"	9.61257	9.71853	9.53567	8.32393	8.1361	8.19933
"ENSMUSG00000029104"	7.32116	7.53251	7.63135	7.22614	7.1113	7.21315
"ENSMUSG00000029106"	8.81069	8.99016	9.04233	8.34024	8.12698	8.3001
"ENSMUSG00000029108"	7.01443	6.73189	6.93001	5.27339	5.5081	5.30583
"ENSMUSG00000029110"	9.47787	9.46912	9.53918	9.4868	9.23948	9.4239
"ENSMUSG00000029111"	6.57848	6.70097	6.66999	6.81782	6.76248	6.6802
"ENSMUSG00000029112"	5.99069	6.23661	5.91622	6.36265	6.51275	6.3231
"ENSMUSG00000029119"	7.18039	7.24153	7.25627	6.9871	6.89561	6.88775
"ENSMUSG00000029120"	4.33232	4.41881	4.48769	4.22263	4.14153	4.23836
"ENSMUSG00000029121"	3.46492	3.48431	3.60257	3.59073	3.88301	3.87401
"ENSMUSG00000029122"	6.07671	6.3008	6.37895	5.7695	6.02068	6.20253
"ENSMUSG00000029123"	4.08849	4.18479	3.84246	4.39003	4.40946	4.56003
"ENSMUSG00000029125"	7.84809	7.69185	7.76301	8.87124	8.68487	8.55996
"ENSMUSG00000029126"	5.48448	5.01409	5.36494	5.29562	4.75816	5.01732
"ENSMUSG00000029127"	5.5341	5.54506	5.35115	5.78462	5.30257	5.37845
"ENSMUSG00000029128"	7.05633	6.85634	6.79573	7.49861	7.70208	7.43461
"ENSMUSG00000029130"	4.10565	3.88787	3.99476	4.00869	3.91771	3.6136
"ENSMUSG00000029131"	8.47988	8.543168	8.613732	8.913428	8.952648	9.091198
"ENSMUSG00000029134"	4.37155857142857	4.45354	4.45046	4.54375428571429	4.50556857142857	4.69335142857143
"ENSMUSG00000029135"	7.4622	7.65724	7.43834	7.55047	6.9592	7.41541
"ENSMUSG00000029136"	7.01358	7.03294	6.72875	6.90542	7.03977	6.58285
"ENSMUSG00000029138"	3.55855	2.93052	3.30326	3.44484	3.53517	3.45857
"ENSMUSG00000029141"	6.02421	6.21364	6.22176	5.89627	6.06801	5.88879
"ENSMUSG00000029145"	6.28553	6.14766	6.12489	6.69757	6.71864	6.5859
"ENSMUSG00000029146"	8.9869	8.84386	8.91086	8.86808	8.79555	8.67411
"ENSMUSG00000029147"	8.0446	8.02167	8.01518	8.06411	7.83785	8.02607
"ENSMUSG00000029148"	7.844665	7.655185	7.717685	7.4197	7.23395	7.23291
"ENSMUSG00000029149"	6.7422	6.4118	6.39009	6.34761	6.08957	6.10891
"ENSMUSG00000029151"	6.74979	6.90024	6.8343	5.60903	5.50105	6.08551
"ENSMUSG00000029152"	9.56011	9.59718	9.49575	10.06244	9.94567	9.99449
"ENSMUSG00000029153"	8.73081	8.62647	8.58658	6.1751	5.28158	5.89585
"ENSMUSG00000029154"	7.41887	3.79154	4.62268	4.53254	4.06087	3.81114
"ENSMUSG00000029155"	5.51506	5.58008	6.04482	4.53941	4.83416	4.65837
"ENSMUSG00000029156"	6.60915	6.97732	6.81999	7.87928	8.0947	8.22279
"ENSMUSG00000029158"	3.9486	3.64336	3.88251	4.43532	5.1991	5.20648
"ENSMUSG00000029161"	5.28791	5.41686	5.58481	5.6098	5.67001	5.59448
"ENSMUSG00000029162"	7.47154	7.3643	7.31305	7.17048	7.06638	6.73509
"ENSMUSG00000029163"	6.41398	6.83161	7.07197	6.35423	6.25187	6.5192
"ENSMUSG00000029165"	6.22256	6.16667	6.30551	5.59468	5.68076	5.59358
"ENSMUSG00000029166"	6.92142	6.84637	6.72486	7.81366	7.88242	7.83109
"ENSMUSG00000029167"	4.71311	4.98472	4.789695	7.57314	7.247205	7.37839
"ENSMUSG00000029168"	4.41894	4.20358	4.30251	4.5458	4.58763	5.1423
"ENSMUSG00000029169"	9.25287	9.36535	9.34394	9.10151	8.98558	8.97099
"ENSMUSG00000029171"	6.78058	6.73617	7.04671	6.90252	6.84707	6.80369
"ENSMUSG00000029173"	6.97415	6.64704	6.85716	7.82657	7.92417	7.58289
"ENSMUSG00000029174"	8.16777	8.14986	8.06557	5.97022	6.08062	6.17595
"ENSMUSG00000029175"	7.46841	7.36405	7.36178	8.1698	7.96935	7.83222
"ENSMUSG00000029176"	8.46477	8.53455	8.51382	7.97792	8.01787	7.93168
"ENSMUSG00000029177"	5.92644	5.66127	5.93554	6.78044	6.534	6.4885
"ENSMUSG00000029178"	8.01474	8.00065	8.20377	7.51056	7.39195	7.34786
"ENSMUSG00000029179"	5.4395	5.83507	5.59121	6.66579	6.72019	6.32872
"ENSMUSG00000029182"	5.19887	5.06796	5.06353	5.09639	4.96723	5.327
"ENSMUSG00000029184"	3.29528	2.77044	3.0643	3.28292	3.49768	3.09227
"ENSMUSG00000029185"	7.45907	7.75366	7.61664	6.0418	5.99109	5.95963
"ENSMUSG00000029186"	5.7445	5.42152	5.5483	6.6004	6.70355	6.37363
"ENSMUSG00000029188"	7.256	7.42194	7.56742	3.97059	4.22381	3.87211
"ENSMUSG00000029189"	6.30098	6.73092	6.37711	4.51729	4.99804	5.24082
"ENSMUSG00000029190"	7.11447	7.13479	7.29031	8.03747	7.81641	8.24459
"ENSMUSG00000029191"	7.5994	7.65181	7.7094	7.96951	7.84226	7.76173
"ENSMUSG00000029192"	8.45131	8.20545	8.22785	6.78943	7.08857	6.79762
"ENSMUSG00000029193"	3.92433	4.56181	4.26693	4.32958	4.26693	4.41353
"ENSMUSG00000029195"	5.91716	6.48506	6.17972	8.40404	8.1168	7.84608
"ENSMUSG00000029196"	7.62797	7.65474	7.73769	8.80805	8.61597	8.74546
"ENSMUSG00000029198"	8.10601	7.74165	7.97698	10.08614	10.15532	10.0425
"ENSMUSG00000029199"	7.68996	7.45632	7.4347	8.89159	8.93929	8.75086
"ENSMUSG00000029201"	8.60776	8.48219	8.66738	7.96547	8.07797	8.08554
"ENSMUSG00000029202"	8.89078	9.0013	9.17178	8.95211	8.7601	8.74511
"ENSMUSG00000029203"	8.5868	8.49572	8.5407	9.1564	9.1657	9.12433
"ENSMUSG00000029204"	4.65999	4.70181	4.61857	4.78622	4.71965	4.62551
"ENSMUSG00000029205"	4.09261	3.76747	3.65508	4.2859	4.28984	4.5202
"ENSMUSG00000029206"	2.5574	2.74733	2.84059	2.81183	2.64042	2.72315
"ENSMUSG00000029207"	7.52995	7.42273	7.64551	6.80354	7.05189	6.91646
"ENSMUSG00000029208"	6.99518	7.14739	7.26457	8.28283	8.41148	8.11882
"ENSMUSG00000029209"	6.54057	6.37253	6.20615	6.52108	6.84485	6.19637
"ENSMUSG00000029211"	5.76839	6.19027	6.01412	3.83866	3.88455	4.02542
"ENSMUSG00000029212"	5.68278	6.54168	6.43419	3.56242	4.13017	3.82868
"ENSMUSG00000029213"	6.81525	6.66584	6.60266	6.81001	6.84427	6.88161
"ENSMUSG00000029217"	5.89189	5.87743	5.88864	4.26147	4.53305	4.45375
"ENSMUSG00000029219"	4.131355	3.978235	3.86948	4.30531	4.335435	4.6019
"ENSMUSG00000029221"	8.60948	8.60848	8.53353	9.23399	9.35974	9.18128
"ENSMUSG00000029223"	6.65185	6.41695	6.46004	5.66727	5.74299	5.72678
"ENSMUSG00000029227"	7.82089	8.01786	8.18072	7.53903	7.51055	7.47804
"ENSMUSG00000029228"	6.03731	6.37413	6.28733	5.75112	5.68478	5.55028
"ENSMUSG00000029229"	7.2974	7.09264	7.11824	7.29436	7.33275	7.10404
"ENSMUSG00000029231"	9.18722	9.53865	9.65168	7.11489	7.46276	7.34155
"ENSMUSG00000029233"	7.94179	7.60339	7.69312	6.77608	7.09062	6.52266
"ENSMUSG00000029234"	6.74111375	6.801710625	6.806550625	6.22585125	6.17686	6.0706475
"ENSMUSG00000029235"	2.736	2.60144	2.93274	3.28913	2.75042	2.77404
"ENSMUSG00000029236"	3.15949	3.07451	3.11802	3.53433	3.55124	3.45441
"ENSMUSG00000029238"	4.4768725	4.3783875	4.47054	4.6049125	4.7866325	4.6451175
"ENSMUSG00000029245"	2.96519	2.90159	2.82194	3.20939	3.21269	3.16371
"ENSMUSG00000029246"	7.63223	7.71784	7.63985	7.06941	6.86851	6.70161
"ENSMUSG00000029247"	10.55899	10.59408	10.65519	11.15408	10.93621	10.85268
"ENSMUSG00000029248"	3.18641	3.24394	3.21752	3.0024	3.5538	3.22446
"ENSMUSG00000029249"	7.75667	8.02463	8.00164	7.06472	6.42054	6.74512
"ENSMUSG00000029250"	8.32037	8.56458	8.51711	8.69022	8.51364	8.48852
"ENSMUSG00000029253"	5.30943	5.52507	5.38653	5.10685	4.80117	4.51879
"ENSMUSG00000029254"	7.17054	7.27836	7.20244	3.73225	3.40269	3.89939
"ENSMUSG00000029255"	3.18339	3.08359	3.14466	3.34405	3.50654	3.55249
"ENSMUSG00000029260"	2.79624	2.47718	2.63964	3.25204	3.5218	2.87644
"ENSMUSG00000029263"	7.22992	7.12119	7.12542	7.49702	7.29344	7.17467
"ENSMUSG00000029265"	8.25688	8.1225	8.13752	8.42907	8.37759	8.36904
"ENSMUSG00000029267"	7.29544	7.19522	7.26341	6.8114	7.02299	6.51597
"ENSMUSG00000029268"	2.63938	2.45888	2.59722	2.80375	2.73388	3.14159
"ENSMUSG00000029269"	2.32504	2.20246	2.13699	2.43966	2.28046	2.24587
"ENSMUSG00000029270"	7.47296	7.07578	7.26546	8.48508	8.15726	8.26914
"ENSMUSG00000029272"	8.27198	7.66018	7.73784	3.21418	3.93626	3.12031
"ENSMUSG00000029273"	4.89015	4.0381	4.30802	2.98956	3.072	2.90917
"ENSMUSG00000029275"	4.28083	4.52276	4.42248	5.22846	4.91038	5.20198
"ENSMUSG00000029276"	5.25733	5.14862	5.26057	5.40293	5.49114	5.15227
"ENSMUSG00000029279"	3.31336	3.35716	3.34213	3.6181	3.85208	3.49924
"ENSMUSG00000029280"	2.69327	2.7109	2.84283	3.02075	3.08201	3.04654
"ENSMUSG00000029281"	2.52994	2.29722	2.49283	2.43266	2.88692	2.658
"ENSMUSG00000029282"	2.98889	3.51344	3.4379	3.83844	3.75008	3.8549
"ENSMUSG00000029283"	4.50015	4.15755	4.5111	3.89648	4.5315	4.3564
"ENSMUSG00000029286"	2.51474	2.52734	2.6818	3.08055	2.82156	2.60883
"ENSMUSG00000029287"	8.50936	8.56233	8.55999	8.70684	8.58161	8.6386
"ENSMUSG00000029288"	3.20146	3.40638	3.44601	3.25908	3.35859	3.49877
"ENSMUSG00000029290"	6.35137	6.26978	6.56097	6.6025	6.13685	6.01409
"ENSMUSG00000029291"	5.57583	5.71785	5.81549	5.37006	5.07438	5.30345
"ENSMUSG00000029298"	6.31076	6.40676	6.4288	7.22078	6.61115	6.76786
"ENSMUSG00000029299"	3.45192	3.48437	3.64708	3.53306	3.59874	3.46539
"ENSMUSG00000029304"	4.50194	5.09284	5.32631	4.67038	4.43083	4.48921
"ENSMUSG00000029306"	3.50447	3.37437	3.28232	3.8345	3.87224	3.90985
"ENSMUSG00000029307"	3.27	3.32444	3.47467	3.40492	3.40756	3.70799
"ENSMUSG00000029309"	9.65483	10.17444	10.25115	10.23775	9.99806	10.19167
"ENSMUSG00000029310"	8.35012	8.22985	8.18813	8.60331	8.51508	8.55929
"ENSMUSG00000029311"	8.45868	8.42359	8.36326	8.28671	8.23707	8.2041
"ENSMUSG00000029312"	5.61396	5.89392	5.75941	6.07337	5.83892	5.80502
"ENSMUSG00000029313"	7.48639	7.50527	7.427255	6.57486	6.548535	6.426825
"ENSMUSG00000029314"	8.39613	8.53376	8.444	7.09481	6.57366	7.03842
"ENSMUSG00000029319"	7.59082	7.48256	7.40489	8.06703	8.37058	8.17423
"ENSMUSG00000029320"	3.69536	3.86573	3.65088	3.47179	4.14114	3.81924
"ENSMUSG00000029321"	4.9574	5.19733	4.44917	5.82146	5.31531	4.65282
"ENSMUSG00000029322"	8.82001	8.47089	8.43695	3.81609	3.38244	3.8438
"ENSMUSG00000029326"	6.77929	6.8959	6.86389	6.67939	6.41503	6.48673
"ENSMUSG00000029328"	8.14968	8.17327	8.12421	7.94403	8.17912	7.87819
"ENSMUSG00000029330"	8.9092	8.90211	8.92202	7.5903	7.29625	7.56023
"ENSMUSG00000029331"	3.60524	3.6114	3.40338	3.88863	3.67544	3.84607
"ENSMUSG00000029333"	6.31868	6.58164	6.55915	3.75991	3.93847	3.77027
"ENSMUSG00000029334"	3.63893	3.66418	4.10166	3.89063	4.14703	3.8992
"ENSMUSG00000029335"	5.84688	5.93648	6.27503	5.78201	5.66876	5.65435
"ENSMUSG00000029337"	4.77002	4.8455	4.53371	4.94502	5.00078	4.95514
"ENSMUSG00000029338"	7.80699	7.68592	7.88033	6.97951	7.17345	7.06996
"ENSMUSG00000029343"	6.98696	6.94283	6.95015	6.59116	6.72899	6.48671
"ENSMUSG00000029344"	10.1988	10.25717	10.19864	8.1928	8.12015	7.9703
"ENSMUSG00000029345"	7.40599	7.44002	7.47687	7.49848	7.1168	7.21254
"ENSMUSG00000029346"	5.72527	5.8039	5.73772	6.16389	6.14766	6.11539
"ENSMUSG00000029348"	4.42766	4.77554	4.41297	5.11129	4.73769	4.73533
"ENSMUSG00000029352"	5.02543	5.29693	5.02361	5.65226	5.55348	5.55207
"ENSMUSG00000029359"	6.20302	6.30046	6.0872	6.88968	6.73784	6.83522
"ENSMUSG00000029360"	4.49152	4.62192	4.88803	4.81108	5.33572	5.11725
"ENSMUSG00000029361"	4.56256	4.5872	4.33412	4.86382	5.09012	4.94141
"ENSMUSG00000029363"	7.45521	7.46216	7.67808	7.2779	7.03991	7.557
"ENSMUSG00000029364"	9.23178	9.02835	9.06318	8.8752	8.94728	8.73585
"ENSMUSG00000029366"	6.50463	6.51471	6.45963	6.46416	6.62597	6.45306
"ENSMUSG00000029368"	8.8493	7.00013	6.13832	6.7262	9.26586	5.49623
"ENSMUSG00000029369"	3.1568	3.20184	3.33752	3.59862	3.44318	3.25643
"ENSMUSG00000029370"	4.73726	4.90669	4.58816	5.81305	5.858	5.5052
"ENSMUSG00000029371"	3.04518	2.71367	2.89301	3.22401	3.03906	2.88476
"ENSMUSG00000029372"	3.97572	4.10712	3.71637	5.43093	6.2322	5.26963
"ENSMUSG00000029373"	6.83064	6.6063	6.85435	5.89356	6.28349	6.2704
"ENSMUSG00000029375"	2.39823	2.20598	2.30432	2.91652	2.71689	2.64178
"ENSMUSG00000029376"	6.46751	6.03039	6.44532	6.53365	6.2085	6.08296
"ENSMUSG00000029377"	3.61086	3.67603	3.72703	4.15115	3.9502	3.98509
"ENSMUSG00000029378"	4.32479	4.62987	4.66785	5.04994	4.9059	4.79864
"ENSMUSG00000029379"	3.15339	3.23625	3.35594	3.82458	3.50962	3.72304
"ENSMUSG00000029380"	5.00255	4.94098	5.07646	5.46048	5.51475	5.80429
"ENSMUSG00000029381"	6.24817	6.4774	6.31597	5.31502	5.16238	5.21256
"ENSMUSG00000029384"	4.33262	4.22208	4.27813	4.33262	4.63896	4.44753
"ENSMUSG00000029385"	7.52766	7.51332	7.27281	8.11844	7.70172	7.1884
"ENSMUSG00000029386"	6.71317	6.66528	6.6502	6.13783	5.78927	5.90186
"ENSMUSG00000029387"	7.29195	7.26245	7.3654	7.72325	7.57673	7.64775
"ENSMUSG00000029388"	7.54532	7.30193	7.25212	7.9985	7.65408	7.76944
"ENSMUSG00000029389"	6.45935	6.52583	6.40555	6.35044	6.33711	6.6187
"ENSMUSG00000029390"	10.9593733333333	10.9100433333333	10.8589933333333	10.8162	10.89966	10.80443
"ENSMUSG00000029392"	7.07472	7.0186	7.09507	6.24654	6.37613	6.31387
"ENSMUSG00000029394"	9.505305	9.38936	9.573865	9.21469	9.165995	9.13742
"ENSMUSG00000029397"	7.65443	7.49576	7.54016	7.42365	7.4882	7.42937
"ENSMUSG00000029401"	5.34157	5.31447	4.9346	5.84132	5.95259	5.7678
"ENSMUSG00000029402"	5.06567	5.24017	5.17978	5.79447	5.78672	6.16721
"ENSMUSG00000029403"	5.81957	5.77563	5.78688	5.37711	5.35301	5.45585
"ENSMUSG00000029404"	7.86668	7.74732	7.77105	7.83066	7.79384	7.57845
"ENSMUSG00000029405"	5.29511678571429	5.38487142857143	5.46691107142857	5.15043535714286	4.97846482142857	5.11244160714286
"ENSMUSG00000029406"	6.89301	6.81254	7.01421	7.96864	7.41887	7.68546
"ENSMUSG00000029407"	9.5807	9.71575	9.66415	8.59639	8.48531	8.60154
"ENSMUSG00000029408"	7.0375	6.97834	7.01533	7.42201	7.15521	7.16429
"ENSMUSG00000029409"	2.77833	2.78138	2.91968	3.06618	2.94237	3.07974
"ENSMUSG00000029410"	3.47248	3.4817	3.18687	3.82599	3.75145	3.55507
"ENSMUSG00000029413"	8.26539	8.38412	8.36919	8.31283	7.84528	8.05182
"ENSMUSG00000029414"	3.30257	3.42829	3.64275	3.34714	3.23244	3.43937
"ENSMUSG00000029415"	6.32157	6.15589	6.23706	5.90187	5.96883	5.96011
"ENSMUSG00000029416"	7.05094	7.12967	7.19687	7.07899	7.02637	7.05279
"ENSMUSG00000029417"	6.64266	6.07679	6.20511	6.59671	6.81404	7.2315
"ENSMUSG00000029419"	6.76093	6.644595	6.731665	7.043175	7.1091	7.03354
"ENSMUSG00000029420"	4.50419	4.33132	4.45547	4.79427	5.09835	4.72284
"ENSMUSG00000029422"	7.84641	7.958	7.94257	7.90915	7.93303	7.78369
"ENSMUSG00000029423"	3.56129	3.70172	3.54936	3.99629	3.72255	3.84098
"ENSMUSG00000029426"	8.56249	8.43214	8.75075	9.76244	9.7714	9.85602
"ENSMUSG00000029427"	7.05848	7.04489	7.1252	7.09639	7.08508	7.10888
"ENSMUSG00000029428"	7.10753	7.30634	7.185	6.61756	6.77192	6.74783
"ENSMUSG00000029430"	8.03913	8.09757	8.09611	8.21901	8.26011	8.08558
"ENSMUSG00000029431"	5.04016	5.10706	5.02567	5.14322	5.42965	5.44913
"ENSMUSG00000029432"	8.88267	8.73976	8.66285	10.0386	10.16824	10.1148
"ENSMUSG00000029433"	6.53013	6.48358	6.47734	7.40865	7.49339	7.1615
"ENSMUSG00000029434"	7.97053	7.9404	7.93602	8.78643	8.62987	8.64981
"ENSMUSG00000029436"	4.89395	5.25955	4.99254	5.36242	5.27245	5.32255
"ENSMUSG00000029437"	4.56497	4.4623	4.46972	5.03183	5.09847	4.86349
"ENSMUSG00000029438"	6.50241	6.554495	6.720135	6.620945	6.199335	6.300335
"ENSMUSG00000029439"	7.22211	7.38521	7.51135	6.78911	6.63768	6.85569
"ENSMUSG00000029440"	7.46322	7.39516	7.34344	7.37024	7.28406	7.39375
"ENSMUSG00000029442"	5.11851	5.34076	5.63195	5.19745	4.94611	5.20377
"ENSMUSG00000029445"	5.39333	4.96428	4.58927	6.33433	6.68607	5.68139
"ENSMUSG00000029446"	4.977945	4.63763035714286	4.61964785714286	5.0941175	5.2026875	5.17513821428571
"ENSMUSG00000029447"	7.32142333333333	6.75443	7.27629	7.30591	7.44761666666667	7.79947
"ENSMUSG00000029449"	4.5455	4.513	4.53247	4.88106	4.82223	4.88973
"ENSMUSG00000029451"	3.88361	3.77943	3.94255	4.1017	3.78995	4.46043
"ENSMUSG00000029452"	4.56483	4.49923	4.46784	4.27789	4.37861	4.44208
"ENSMUSG00000029454"	7.39963	7.45398	7.30042	8.07188	7.89294	7.93855
"ENSMUSG00000029455"	10.86543	10.87611	10.85546	11.06192	10.78687	10.96915
"ENSMUSG00000029456"	6.17567	6.38035	6.37845	8.04042	7.70511	7.76141
"ENSMUSG00000029458"	7.72382	7.64817	7.6461	8.45745	8.51945	8.22904
"ENSMUSG00000029461"	7.14156	7.11268	7.06906	7.18988	6.89085	7.15239
"ENSMUSG00000029462"	8.86824	8.67378	8.63636	8.84243	8.95528	8.68654
"ENSMUSG00000029463"	6.32776	6.61996	6.37928	6.54773	6.35665	6.43468
"ENSMUSG00000029464"	7.05242	6.90883	6.80926	7.11226	7.15537	6.97859
"ENSMUSG00000029465"	8.75092	8.68395	8.52545	8.46768	8.42783	8.39206
"ENSMUSG00000029466"	7.90179	7.81924	7.82264	7.90489	7.75067	7.78853
"ENSMUSG00000029467"	10.47817	10.79092	10.80933	10.63145	10.46964	10.56661
"ENSMUSG00000029468"	6.43166	6.54767	6.59884	5.40475	5.52881	5.8191
"ENSMUSG00000029469"	6.19037	6.19696	6.42094	6.15596	5.93266	5.80306
"ENSMUSG00000029470"	7.51887	7.59408	7.5307	7.90233	7.92392	7.80897
"ENSMUSG00000029471"	6.72872	6.8167	6.72422	7.32765	7.10645	7.19261
"ENSMUSG00000029472"	9.06837	9.01891	9.08645	8.93641	8.93911	9.01037
"ENSMUSG00000029474"	7.9839	7.89786	7.98926	7.49298	7.47973	7.40182
"ENSMUSG00000029475"	6.36886	6.44349	6.43313	6.25614	6.21761	6.32767
"ENSMUSG00000029477"	4.96016	4.88702	4.85701	4.90335	4.8065	4.6846
"ENSMUSG00000029478"	7.67423	8.0663	8.14021	7.63385	7.29867	7.68399
"ENSMUSG00000029480"	6.9498	7.33018	7.2618	7.81356	7.40986	7.54826
"ENSMUSG00000029482"	9.59315	9.63431	9.62421	10.79029	10.30408	10.76426
"ENSMUSG00000029484"	8.47288	8.40995	8.58474	6.75397	6.87582	6.7816
"ENSMUSG00000029486"	7.32083	6.96182	7.11313	8.06736	8.54789	8.05436
"ENSMUSG00000029490"	5.88925	5.72934	5.91567	5.92488	5.52389	5.83142
"ENSMUSG00000029491"	3.54845	3.56775	3.38958	4.01541	3.89244	3.98239
"ENSMUSG00000029499"	7.67604	7.63336	7.30519	8.3787	8.51267	8.28256
"ENSMUSG00000029500"	7.25412	7.0776	7.01045	7.60513	7.41106	7.36666
"ENSMUSG00000029501"	7.53904	7.45214	7.48896	7.4439	7.43332	7.39752
"ENSMUSG00000029502"	7.26491	7.29985	7.40401	7.07485	6.68913	6.80435
"ENSMUSG00000029503"	7.31091	7.43858	7.39107	4.5857	4.85994	4.68295
"ENSMUSG00000029504"	6.46256	6.44424	6.39415	6.56051	6.29401	6.39703
"ENSMUSG00000029505"	7.05955	7.36399	7.31789	6.84877	6.79753	6.87083
"ENSMUSG00000029507"	6.32397	6.51221	6.39038	7.1195	6.6346	7.30834
"ENSMUSG00000029510"	5.46138	5.47713	5.74719	4.90778	4.77912	5.20182
"ENSMUSG00000029512"	7.31934	7.33285	7.54171	8.02969	7.61271	8.08442
"ENSMUSG00000029513"	8.15038	8.14043	8.15488	8.75592	8.42655	8.90349
"ENSMUSG00000029516"	4.58479	4.76525	4.74882	4.59946	4.73105	4.67846
"ENSMUSG00000029517"	2.40615	2.28633	2.54498	3.15414	3.37776	2.63939
"ENSMUSG00000029518"	8.15577	8.06915	8.21089	8.33517	8.37361	8.24566
