"Treated BAT (fex)_R2(r1)"	"BAT_R2(r1)"	"Beige/brite (fex on gWAT)_R2(r1)"	"gWAT_R2(r1)"	"Beige/brite (fex on iWAT)_R2(r1)"	"iWAT_R2(r1)"
"ENSMUSG00000030105"	13.3790721909884	13.2869874248549	13.421263639155	13.4167871980407	13.1835604329153	13.2528950001484
"ENSMUSG00000098001"	2.47515397425877	2.1882566919382	2.2359386093642	2.42134693865415	2.00261862806498	2.74472132302402
"ENSMUSG00000096054"	12.1787530154169	12.0054745167259	12.749669604933	12.6317417021943	12.4638940743852	12.3914994072628
"ENSMUSG00000074445"	-0.932735760266197	-0.924071945891787	-0.789346892477306	-0.940778157184148	-0.937854111244349	-0.57065697506219
"ENSMUSG00000065904"	3.77500884229299	4.14244155319155	3.47652126104276	3.09450120448486	2.87606037159612	3.19315883711335
"ENSMUSG00000020495"	10.4013728500319	10.4611718598713	10.4130484837006	10.3422458370117	10.2981755118009	10.2749159217415
"ENSMUSG00000058979"	11.3463885819206	11.2889314687975	10.505557115019	10.3451728250282	10.7871890025645	10.6814194235348
"ENSMUSG00000094006"	3.3462718112937	3.62812498686934	5.14551536195872	5.49090764141935	4.59959691695162	4.5353155968279
"ENSMUSG00000045903"	7.41162161277628	7.64359970423294	9.71337622780213	9.56991936223222	7.58503659719296	8.26953858525405
"ENSMUSG00000038045"	4.77895230744014	4.50771254370475	4.69396467809203	4.73057975129268	4.56070036906206	4.42611946236208
"ENSMUSG00000099569"	0.49798412417098	0.223783020069213	0.341335029247388	0.41150283843647	0.19505404667636	0.647569228133309
"ENSMUSG00000049536"	8.80501482636895	8.62407931266685	8.58045247345228	8.50385603915768	8.72566405865306	8.47462928879857
"ENSMUSG00000027333"	10.0036267070203	9.98507269443673	10.3089658486748	10.3574588876376	9.95727932394185	10.1048902654915
"ENSMUSG00000085586"	8.03308918427867	8.13425872047299	8.24877700137688	7.63033410437453	7.56918000039879	7.55421951303644
"ENSMUSG00000025237"	11.6163513270536	11.7905705013618	10.989686876469	11.0604137226624	11.0512414323089	11.0563810082608
"ENSMUSG00000006299"	13.1023364168027	13.1681891505268	13.1693935148018	13.0992875104745	13.3219339368015	13.238824690974
"ENSMUSG00000029608"	2.0981156592587	1.63629654047618	1.834624267291	2.44771566407965	2.1669817516249	2.25145176051374
"ENSMUSG00000036792"	10.786809461393	10.8148520692583	10.5642688506142	10.5154241993239	10.5308206504355	10.5019599122893
"ENSMUSG00000021287"	10.9791169001018	10.9530084543798	10.9135283164606	10.7263469335437	10.9928283077148	10.7872871310085
"ENSMUSG00000106962"	3.43324099430611	3.46189919070064	3.83913923013557	4.05842218089662	3.81166362991499	3.82890678333066
"ENSMUSG00000041241"	12.2446971335236	12.2804359617271	11.3627817985101	11.3238023553719	11.4729288069107	11.4256768590284
"ENSMUSG00000005540"	6.31202730688111	6.30225584847173	6.44723523801401	6.72398485953822	9.4558722478656	10.1363405957053
"ENSMUSG00000021368"	10.474001297335	10.3131717359595	10.0655381165072	9.92378669751561	10.3185632519725	10.1684657635885
"ENSMUSG00000089651"	2.35540833345489	2.59544314097647	3.08087604808656	3.12663903770548	2.68598299977638	2.47299374220916
"ENSMUSG00000048655"	2.00008687315827	2.59198838662207	2.54957487946343	2.06980558395811	2.12700328181307	2.13653767813867
"ENSMUSG00000041607"	12.2563366317095	12.2184182926421	12.2695426590827	12.2048728969913	12.4708743767819	12.3878673141753
"ENSMUSG00000054146"	-1.42036479408665	-1.41484894577791	-1.42231717816992	-1.21068260594352	-1.2953045896096	-1.42327498417117
"ENSMUSG00000026163"	3.54268136748052	3.02935322780589	2.58311527681354	3.21756109267458	2.33964757043112	2.55123746718983
"ENSMUSG00000106940"	1.97205310088819	2.15859034766354	1.72046218489716	1.43028248790043	1.34552554912243	1.20455802465355
"ENSMUSG00000001053"	11.1128053380755	10.6569411904247	10.097458117867	10.1303929878428	10.7927292178822	10.7182532959662
"ENSMUSG00000085787"	-1.24711548124499	-1.1958115533031	-1.41820836667019	-1.4220563595747	-1.41977957013028	-1.41939381985071
"ENSMUSG00000030374"	12.7417477593243	12.7001337597986	12.5836175414028	12.5884751353729	12.6293133420335	12.6183477490026
"ENSMUSG00000034297"	12.3442837149776	12.5816251036144	12.3831059776742	12.3151947511076	12.3426186401444	12.2606335820828
"ENSMUSG00000046714"	5.47753858872325	5.50511241860727	6.07251955474403	6.47152999083369	5.40423658492444	5.38521587302756
"ENSMUSG00000088022"	0.292615342874512	0.532277575680092	0.578328523567263	0.270039810576974	1.09475989592744	0.2797228656546
"ENSMUSG00000105063"	1.84366254273359	1.97190572461396	1.97917106662638	1.80293939099681	1.76574272893151	1.86509626177278
"ENSMUSG00000032298"	10.4342520399722	10.213411341539	9.64230518865053	9.72677545844557	9.80482711976532	9.88433653341895
"ENSMUSG00000097716"	-0.387668963436988	-0.527310655618083	-0.405809517312826	-0.336460567664266	-0.4176730042351	-0.54200206217354
"ENSMUSG00000022594"	12.6167767735344	12.2324972629119	10.9890191790807	11.2585794206338	11.3882568657986	11.4687594699027
"ENSMUSG00000055958"	2.44874665481024	2.00517020389281	2.29957522883402	2.65884379713217	2.257384062746	2.18294640617088
"ENSMUSG00000081941"	-1.90845501362461	-1.90410394655086	-1.91000528280905	-1.91247436505368	-1.9110155085374	-1.65277175052152
"ENSMUSG00000060311"	2.90431884539687	2.510848626284	2.01059355308557	2.21837710307165	3.29973555145355	4.19823074546367
"ENSMUSG00000000411"	1.69517353031841	1.93989543223363	2.38073397888131	1.72184497648657	2.19579957431281	2.1342833027301
"ENSMUSG00000082911"	0.0504202926199456	0.107045331204272	-0.113500443317202	0.282412654632228	0.0166385767842559	-0.116105998323128
"ENSMUSG00000085526"	2.20772249456864	2.30668136739413	2.82500259951667	2.62394098951633	3.35671082386551	3.16959419658136
"ENSMUSG00000096506"	3.3669984436753	3.10407826622141	4.1553630137764	4.26182200934929	5.41678471487346	5.95016372005876
"ENSMUSG00000078192"	0.823354882613166	0.693542395429231	1.0302996632154	0.866329971385825	1.17727212649337	0.905102722110843
"ENSMUSG00000030472"	1.97429898504359	1.60485890461777	1.91372778001614	1.81353856951254	1.59678700113401	1.79862467484828
"ENSMUSG00000022900"	3.58851132970424	4.04448983573973	4.60846753877184	4.43604554743336	5.09387838245631	5.16593427122105
"ENSMUSG00000038459"	11.7489319719043	11.757680231102	11.3234210178531	11.3657834713815	11.2445491665188	11.0585612202993
"ENSMUSG00000001441"	12.7104051257612	12.5739578626816	12.4829802186138	12.6970050005811	12.438579775167	12.6163831648839
"ENSMUSG00000030754"	13.3687567082654	13.4153338687988	13.4462612447349	13.4356477178409	13.2873655353563	13.3357413061949
"ENSMUSG00000087611"	8.04366044742411	7.92250466719822	6.62694126951715	6.8752121842812	7.37702305331988	7.55863796055238
"ENSMUSG00000078851"	8.06948635268956	7.86128077813433	8.00370309243532	8.3480478401043	7.72156822253804	8.17574493266532
"ENSMUSG00000039395"	8.98124272910013	8.74773438263207	8.10940713719143	7.86898872018826	8.48810068360045	8.65426201460951
"ENSMUSG00000096630"	1.54280435823382	1.82705438086565	3.13329581395552	2.93821470614984	1.50179073332603	1.80644088815133
"ENSMUSG00000081418"	3.30845514401349	3.59388310928693	3.36128068140458	3.54711794223892	3.69029994429081	3.62328693441265
"ENSMUSG00000062275"	-2.09272158216517	-2.08914097172195	-2.09399049367879	-1.87720041139459	-2.09481541028955	-2.09461324034892
