"BAT_R3(r1)"	"BAT_R3(r2)"	"Beige/brite (RG on iWAT)_R3(r1)"	"Beige/brite (RG on iWAT)_R3(r2)"	"iWAT_R3(r1)"	"iWAT_R3(r2)"
"ENSMUSG00000030105"	12.055390933698	11.9694138814065	12.3223123914473	12.0609194722403	11.7176104589874	11.828721466884
"ENSMUSG00000105390"	-1.27086236549368	-1.32196916837765	-1.26030988000028	-1.32379848035838	-1.32383796952907	-1.32348215032934
"ENSMUSG00000098001"	0.747098093661476	0.651216533101947	0.767661987140655	0.708232074429382	0.764967490703169	0.683378941650848
"ENSMUSG00000096054"	8.53133362561958	8.59715956945797	8.29533356967665	8.45666682059481	8.58832181566219	8.46819402815537
"ENSMUSG00000065904"	4.86747335271397	4.59852036581285	4.47302056015189	5.10931225886911	4.28072728068194	4.33918503950014
"ENSMUSG00000020495"	9.25835099769973	9.46562970825634	9.24493792185947	8.98563362543843	9.18885720208428	9.07811287703451
"ENSMUSG00000058979"	7.05134342126736	7.28593680574451	6.79703011746571	7.1114624094114	6.60263523390056	6.71492922868369
"ENSMUSG00000045903"	0.947832580446756	0.762711908578948	0.879968497858244	0.819578952163631	0.787129258829364	0.831178419895832
"ENSMUSG00000038045"	3.06013880388789	2.93983393680942	3.03011466462292	3.15522745066704	3.03715460663908	3.21382025298288
"ENSMUSG00000099569"	5.07329360716525	4.11880601171987	4.69004895108579	4.19054180259776	4.78489484486631	5.04859578660941
"ENSMUSG00000049536"	4.89511779893691	4.76636688835485	4.74207139486285	4.86989526450532	5.22362090428451	5.08233598778097
"ENSMUSG00000027333"	6.15127092162001	6.06330391563317	6.19576204873095	6.31654263786788	5.83206449543128	6.19602956681396
"ENSMUSG00000087914"	-1.18240102422616	-1.18159941490848	-1.18175912838104	-1.05933807989979	-1.18362692790017	-1.18324104708824
"ENSMUSG00000085586"	6.68444516812079	6.67094355963392	7.05962880126249	6.97205663633082	6.80259577178186	6.37622591245898
"ENSMUSG00000025237"	9.81073544104221	9.81270735426742	9.91458749437618	9.72173949946255	9.5065802807581	9.57306215682646
"ENSMUSG00000006299"	9.61263446597618	9.15590431460748	9.87539187150513	9.45290995910482	9.69158796998406	9.47093471093658
"ENSMUSG00000029608"	-0.0921579169602791	-0.142380126629191	0.0305978516167848	-0.146531125994133	-0.114002795078863	-0.145812624219643
"ENSMUSG00000036792"	10.0844171593992	10.6147308340606	9.96648480520375	10.0690730177386	10.0613615443045	10.0435917191079
"ENSMUSG00000021287"	9.96329297191144	10.2356864971901	9.89516587454417	9.54956451736231	9.6763466757249	9.6470648591187
"ENSMUSG00000106962"	2.21414150563757	2.74464131399301	2.16489575683948	2.34540910368906	2.27947987263528	2.61527260569757
"ENSMUSG00000041241"	8.92731219034529	8.49227342166325	8.54264445221985	8.65214121780473	8.33609353821391	8.22746431339759
"ENSMUSG00000005540"	3.19170004524791	3.43370763416346	3.41655519720753	3.27639510391709	3.33736555700301	3.37923584088171
"ENSMUSG00000021368"	8.86685315513647	8.78310270093003	9.17384451612645	8.58145422999349	8.59794725228639	8.515601755841
"ENSMUSG00000089651"	3.40609261774561	3.90072878570074	3.94604413844441	3.83391554844278	3.59633758851697	3.80611230579792
"ENSMUSG00000048655"	2.21630364092419	2.18644508976946	2.44814652686511	2.23085965762586	2.58995700577067	2.28876947738839
"ENSMUSG00000041607"	9.02378790256844	8.83576783118824	9.02971322719079	9.22620304965171	8.86081463883306	8.78047877873316
"ENSMUSG00000026163"	4.1744679505031	5.22897420250511	5.38042414243833	5.45198896511627	5.51812944006264	5.66364643994508
"ENSMUSG00000106940"	6.09105420845455	6.10353627177288	5.2907185062136	5.62501973968553	5.18568640027729	5.55454610816669
"ENSMUSG00000001053"	3.93143226172907	4.17929636977078	3.96715078026269	4.02959082880787	4.27818574755725	4.42950695750962
"ENSMUSG00000085787"	-2.12872701621769	-2.12835347027402	-2.12842803212766	-2.06836269202237	-2.12929496478187	-2.1291166243909
"ENSMUSG00000030374"	8.47803203075278	8.61954668630015	8.53743645117105	8.30756274033002	8.49933376097133	8.42268901591757
"ENSMUSG00000034297"	12.2867563486436	12.4916894236893	11.8479960718786	12.0344022965252	11.8227038377303	12.1305942768402
